rank,company,revenues_2018_$m,employees,family_ownership,founded,public/private,generation,family_executive,woman_in_leadership,sector,headquarters,state_(abbreviation),website
409,turck grunderpool gmbh & co kg,687.0,"4,500","turck, hermes",1965,private,2,no,no,technology,mulheim an der ruhr,nw,www.turck.com
410,musikhaus thomann ek,684.7,"1,500",thomann,1954,private,2,yes,no,retail,burgebrach,by,www.thomann.de
411,polifilm holding gmbh,681.8,"1,572",runkel,1972,private,2,yes,no,industrial manufacturing,koln,nw,www.polifilm.de
412,heller gmbh,681.1,"2,930",heller,1894,private,4,no,no,industrial manufacturing,nurtingen,bw,www.heller.biz
413,bischof klein group,679.5,"2,580","klein, gunther",1892,private,5,no,no,industrial manufacturing,lengerich,nw,www.bk-international.com
414,kk klaas & kock bv & co kg,678.2,"6,649",klaas,1950,private,2,yes,no,consumer products,gronau,nw,www.klaas-und-kock.de
415,lohr & becker ag,678.1,"1,288",lohr,1892,private,4,no,no,retail,koblenz,rp,www.loehrgruppe.de
416,emag gmbh & co kg,675.5,"2,973","hebruggen, pan",1867,private,2,yes,no,industrial manufacturing,salach,bw,www.emag.com
417,pneuhage management gmbh & co kg,669.8,"2,300",schutterle,1953,private,3,yes,no,profe ional services,karlsruhe,bw,www.pneu.com
418,ireks group,666.0,"2,600",ruckdeschel,1856,private,5,yes,yes,foods and beverages,kulmbach,by,www.ireks.com
419,herbrand gmbh,665.2,"1,068","lacek-herbrand, holtermann",1934,private,3,yes,no,retail,kevelaer,nw,www.herbrand.de
420,katjes group,664.1,"2,000","fa in, bachmuller",1910,private,3,yes,no,foods and beverages,emmerich am rhein,nw,www.katjes.de
421,einhell group,663.4,"1,569",thannhuber,1964,public,2,no,no,consumer products,landau an der isar,by,www.einhell.com
422,orafol europe gmbh,661.1,"1,582",loclair,1808,private,2,yes,yes,industrial manufacturing,oranienburg,bb,www.orafol.de
423,nord-schrott gmbh & co kg,660.8,192,la en,1986,private,1,yes,no,industrial manufacturing,flensburg,sh,www.nord-schrott.de
424,gerhard d wempe kg,660.5,750,wempe,1878,private,4,yes,yes,consumer products,hamburg,hh,www.wempe.de
425,erndtebrucker eisenwerk gmbh & co kg,659.9,"2,100","schorge, dietze hein ",1936,private,2,yes,no,industrial manufacturing,erndtebruck,nw,www.eew-group.com
426,bhs corrugated maschinen- und anlagenbau gmbh,658.3,"2,200","bradatsch, engel",1717,private,2,yes,no,industrial manufacturing,weiherhammer,by,www.bhs-world.com
427,martin bauer group,655.4,"3,400",wedel,1930,private,3,yes,no,foods and beverages,vestenbergsgreuth,by,www.the-nature-network.de
428,paul bauder gmbh & co kg,654.9,"1,017",bauder,1857,private,4,yes,no,industrial manufacturing,stuttgart,bw,www.bauder.de
429,max luning gmbh & co kg,654.9,"1,625",rielander,1853,private,6,yes,no,consumer products,rietberg,nw,www.luening.de
430,heidemark gruppe,654.4,355,kalvelage,1968,private,3,yes,no,foods and beverages,ahlhorn,ni,www.heidemark.de
431,piepenbrock unternehmensgruppe gmbh co kg,650.3,"26,506",piepenbrock,1913,private,4,yes,no,profe ional services,osnabruck,ni,www.piepenbrock.de
432,thomas philipps beteiligungs gmbh,649.1,"3,100",philipps,1987,private,2,yes,no,retail,bi endorf,ni,www.thomas-philipps.de
433,recaro holding gmbh,644.9,"2,521",putsch,1965,private,4,yes,no,automotive,stuttgart,bw,www.recaro.com
434,muller fleisch gmbh,642.7,460,muller,1959,private,3,yes,no,foods and beverages,birkenfeld,bw,www.mueller-fleisch.de
435,obo bettermann familien-holding kg,641.2,"4,000",bettermann,1911,private,4,yes,no,technology,menden,nw,www.obo.de
436,ludwig krohne gmbh & co kg,640.8,"3,900",rademacher-dubbick,1921,private,4,yes,no,technology,duisburg,nw,www.krohne.com
437,kuster holding gmbh,638.6,"3,200",kuster,1926,private,3,yes,no,automotive,ehringshausen,he,www.kuester.net
438,l stroetmann gmbh & co kg,633.2,"1,502",stroetmann,1791,private,6,yes,no,consumer products,munster,nw,www.stroetmann.de
439,familie julius thy en verwaltungsges mbh,632.5,"2,487","thy en, wegener, schumacher u.a.",1913,private,5,no,no,profe ional services,mulheim an der ruhr,nw,www.thy enhandel.de
440,montana group gmbh,631.4,220,koburger,1960,private,2,yes,no,energy and utilities,grunwald,by,www.montana-energie.de
441,busch-holding gmbh,629.7,"3,284",busch,1963,private,2,yes,yes,industrial manufacturing,maulburg,bw,www.busch.de
442,molkerei gropper gmbh & co kg,629.7,800,gropper,1929,private,3,yes,no,foods and beverages,bi ingen,by,www.molkerei-gropper.de
443,schneider holding gmbh,629.1,"4,000","schneider, schmidt",1927,private,3,no,no,automotive,kronach,by,www.dr-schneider.com
444,w cla en group,628.1,"1,500",hannig,1963,private,2,yes,no,industrial manufacturing,kaisersesch,rp,www.cla en.de
445,witron logistik informatik gmbh,626.8,"3,500",winkler,1971,private,1,no,no,industrial manufacturing,parkstein,by,www.witron.de
446,hama hamaphot hanke & thomas gmbh & co,626.4,"2,330","hanke, thomas",1923,private,4,yes,no,consumer products,monheim,by,www.hama.de
447,f volckmar gmbh & co kg,625.7,"1,900","thurmann, voerster",1829,private,6,yes,no,retail,stuttgart,bw,www.knv.de
448,brillux gmbh & co kg,625.5,"2,500",konig,1889,private,4,yes,no,industrial manufacturing,munster,nw,www.brillux.de
449,bahlsen gmbh & co kg,624.1,"2,880",bahlsen,1889,private,4,yes,yes,foods and beverages,hannover,ni,www.thebahlsenfamily.com
450,nolte gmbh & cokgaa,623.1,"2,082",nolte,1921,private,4,no,no,consumer products,germersheim,rp,www.nolte.de
451,fuchs group,622.7,"3,000",fuchs,1952,private,2,yes,no,foods and beverages,di en,ni,www.fuchsgruppe.com
452,kotter gmbh & co kg verwaltungsdienstleistungen,619.9,"18,500",kotter,1934,private,3,yes,yes,profe ional services,e en,nw,www.koetter.de
453,kraiburg holding gmbh & co kg,616.2,"2,200","schmidt, westhoff",1947,private,3,yes,yes,industrial manufacturing,waldkraiburg,by,www.kraiburg.de
454,joh berenberg go ler & co kg,614.2,"1,640",berenberg,1590,private,13,no,no,financial services,hamburg,hh,www.berenberg.de
455,stern-wywiol gruppe gmbh & co kg,613.4,"1,500",wywiol,1980,private,2,yes,no,foods and beverages,hamburg,hh,www.stern-wywiol-gruppe.de
456,josef marschall gmbh,612.9,29,geiger,1982,private,3,no,no,foods and beverages,schwaig bei nurnberg,by,www.marschall-schwaig.de
457,erich netzsch gmbh & co holding kg,611.4,"3,550",netzsch,1873,private,5,yes,no,industrial manufacturing,selb,by,www.netzsch.com
458,autohaus widmann gmbh & co kg,611.4,931,widmann,1956,private,2,yes,no,retail,aalen,bw,www.widmannbewegt.de
459,igear se & co kgaa,610.3,"3,700",zimber-morat,1863,private,5,no,no,automotive,donaueschingen,bw,www.imsgear.com
460,westmetall gmbh & co kg,607.9,34,weber,1919,private,3,yes,yes,industrial manufacturing,wuppertal,nw,www.westmetall.com
461,alois poschl gmbh & co kg,606.8,840,"poschl, engels",1902,private,4,yes,yes,foods and beverages,geisenhausen,by,www.poeschl-tobacco.com
462,otto kirchner beteiligungen gmbh,606.8,"4,400",kirchner,1906,private,3,yes,no,financial services,konigsberg,by,www.fraenkische.de
463,heinrich schmid group,606.8,"5,200",schmid,1914,private,4,yes,no,industrial manufacturing,reutlingen,bw,www.heinrich-schmid.de
464,kogel trailer gmbh & co kg,606.8,"1,350",humbaur,1934,private,1,no,yes,industrial manufacturing,burtenbach,by,www.koegel.com
465,ei mann automotive deutschland gmbh,606.4,"5,000",eimann,1964,private,3,no,no,automotive,bad urach,bw,www.ei mann.com
466,ke ebohmer holding ek,601.1,"2,550",ke ebohmer,1954,private,2,yes,no,consumer products,bad e en,ni,www.ke eboehmer.com
467,automobil-verkaufs-gesellschaft joseph bra gmbh & co kg,600.0,"1,104",bra ,1937,private,3,yes,no,retail,aschaffenburg,by,www.bra -gruppe.de
468,ejot holding gmbh & co kg,598.0,"3,119",kocherscheidt,1922,private,3,yes,no,industrial manufacturing,bad berleburg,nw,www.ejot.com
469,hawesko holding gmbh,596.7,"1,170",meyer,1964,public,2,no,no,consumer products,hamburg,hh,www.hawesko.com
470,berger holding gmbh,596.2,"2,572",berger,1905,private,4,yes,no,industrial manufacturing,pa au,by,www.bergerholding.eu
471,lorenz snack-world holding gmbh,595.4,"1,950",bahlsen,1889,private,4,no,yes,foods and beverages,neu-isenburg,he,www.lorenz-snackworld.de
472,moritz j weig gmbh & co kg,595.4,"1,500",weig,1931,private,3,yes,no,industrial manufacturing,mayen,rp,www.weig-packaging.de
473,vector stiftung,595.4,"2,000",hindereru.a.,1988,private,1,yes,no,technology,stuttgart,bw,www.vector.com
474,helu kabel gmbh,592.2,"1,442",luksch,1978,private,1,yes,no,industrial manufacturing,hemmingen,bw,www.helukabel.de
475,gretsch-unitas gmbh,590.7,"1,650",von resch,1907,private,5,yes,no,technology,ditzingen,bw,www.g-u.com
476,georg nordmann holding ag,590.0,750,nordmann,1912,private,4,no,yes,industrial manufacturing,hamburg,hh,www.nrc.de
477,heinrich schmidt group,588.4,433,schmidt,1960,private,3,yes,no,industrial manufacturing,monchengladbach,nw,www.heinrich-schmidt-gruppe.de
478,boschgotthardshutte o breyer gmbh,587.2,"1,821",winterhager,1466,private,3,yes,no,industrial manufacturing,freital,sn,www.bgh.de
479,a hartrodt gmbh & co kg,587.1,"2,078","wenzel, van tienhoven",1887,private,2,yes,no,transportation and logistics,hamburg,hh,www.hartrodt.com
480,coroplast fritz muller gmbh & cokg,586.1,"6,200",muller,1928,private,3,yes,yes,industrial manufacturing,wuppertal,nw,www.coroplast.de
481,grie on - de beukelaer gmbh & co kg,585.2,"2,052","gries, land",1924,private,3,no,yes,foods and beverages,polch,rp,www.grie on-debeukelaer.de
482,frosta ag,584.3,"1,779",ahlers,1961,public,2,yes,no,foods and beverages,bremerhaven,hb,www.frosta-ag.com
483,alfred ritter gmbh & cokg,583.9,"1,089",ritter,1912,private,3,no,no,foods and beverages,waldenbuch,bw,www.ritter-sport.de
484,auto-scholz gmbh & co kg,583.9,"1,098","eidenmuller, prickel",1894,private,4,yes,no,retail,bamberg,by,www.auto-scholz.de
485,develey holding gmbh & co beteiligungs kg,583.9,"2,300",durach,1845,private,2,yes,no,foods and beverages,unterhaching,by,www.develey.de
486,kemna bau andreae gmbh & co kg,583.9,"1,816","kemna, andreae",1867,private,4,no,no,industrial manufacturing,pinneberg,sh,www.kemna.de
487,haver & boecker ohg,579.3,"2,954","festge, haver",1887,private,4,yes,no,industrial manufacturing,oelde,nw,www.haverboecker.com
488,richard kehr gmbh & co kg,577.7,381,kehr,1924,private,3,yes,no,retail,braunschweig,ni,www.kehr.de
489,schuller mobelwerk kg,577.1,"1,662",schuller,1966,private,2,yes,no,consumer products,herrieden,by,www.schueller.de
490,verlag ch beck ohg,574.7,"2,092",beck,1763,private,7,yes,no,media and entertainment,munchen,by,www.beck.de
491,trox gmbh,574.0,"4,000",trox,1951,private,2,no,no,industrial manufacturing,neukirchen-vluyn,nw,www.trox.de
492,birkenstock gmbh & co kg,570.2,"2,552",birkenstock,1774,private,6,no,no,retail,neustadt  wied ,rp,www.birkenstock-group.com
493,lukad holding gmbh & co kg,570.0,"2,512",menshen,1955,private,3,yes,yes,industrial manufacturing,werdohl,nw,www.lukad.com
494,linde wiemann gmbh-kg,569.7,"2,330","schoof, mauden",1939,private,3,yes,no,automotive,dillenburg,he,www.linde-wiemann.com
495,dieffenbacher gmbh,568.3,"1,700",dieffenbacher,1873,private,5,yes,no,industrial manufacturing,eppingen,bw,www.dieffenbacher.de
496,mediengruppe pre edruck,564.9,"3,600","holland, scherer",1945,private,3,yes,yes,media and entertainment,augsburg,by,www.mediengruppe-pd.de
497,index-werke gmbh & co kg,563.6,"2,032",hahn,1914,private,n.a.,no,no,industrial manufacturing,e lingen,bw,www.index-werke.de
498,theodor stiebel werke gmbh & co kg,557.2,"3,700",stiebel,1924,private,3,no,no,financial services,holzminden,ni,www.stiebel-eltron.de
499,amazonen-werke h dreyer gmbh & co kg,557.1,"1,850",dreyer,1883,private,4,yes,no,industrial manufacturing,hasbergen,ni,www.amazone.de
500,w markgraf gmbh & co kg bauunternehmung,556.5,968,markgraf,1932,private,3,no,no,industrial manufacturing,bayreuth,by,www.markgraf-bau.de/

