ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
carlo bertazzo,italy,19043000000.0,14658000000.0,15611000000,atlantia,"30,745",7043000,industries
andrew williams,uk,10914000000.0,12671000000.0,15584000000,halma,"7,120",1796000,industries
andreas nauen,spain,11972000000.0,27381000000.0,15524000000,siemens gamesa renewable energy,"24,500",11237000,industries
robert kunze-concewitz,italy,10541000000.0,12785000000.0,15491000000,davide campari-milano,"4,000",2394000,consumer defensive
christian kullmann,germany,14321000000.0,15140000000.0,15424000000,evonik industries ag,"33,004",16480000,basic materials
carsten rasch egeriis,denmark,14286000000.0,14088000000.0,15411000000,danske bank a/s,"21,754",0,financial services
,russia,20544000000.0,13970000000.0,15311000000,transneft,"115,900",15816000,energy
alexanmerieux,france,10573000000.0,16797999999.0,15281000000,biomerieux,"12,000",3720000,healthcare
michael zahn,germany,14834000000.0,18289000000.0,15251000000,deutsche wohnen se,"1,339",2271000,real estate
nicholas j anderson,uk,10528000000.0,11789000000.0,15248000000,spirax-sarco engineering,85,1759000,industries
miuccia prada,italy,12543000000.0,16898000000.0,15139000000,prada,"13,331",3708000,consumer cyclical
annica bresky,finland,12362000000.0,15005000000.0,15063000000,stora enso oyj,"22,094",11201000,basic materials
robert swaak,netherlands,17404000000.0,9181000000.0,15059000000,abn abank,"17,813",0,financial services
mike fries,uk,14020000000.0,13905000000.0,15016000000,liberty global,"11,200",10311000,communication services
peter cowgill,uk,10574000000.0,11445000000.0,15001000000,jd sports fashion,"61,053",10086000,consumer cyclical
evgenii nikitin,russia,7366000000.0,7333000000.0,14968000000,united company rusal,,11994000,basic materials
sasndor csanyi,hungary,14823000000.0,12280000000.0,14752000000,otp bank nyrt,"38,626",0,financial services
philipp rickenbacher,switzerland,11248000000.0,12707000000.0,14734000000,julius bar gruppe ag,"6,606",0,financial services
,russia,29337000000.0,29590000000.0,14690000000,pjsc tatneft,"60,000",11843000,energy
pemanuel de castro soares dos santos,portugal,10498000000.0,10576000000.0,14681000000,jeronimo martins sgps,"123,458",23020000,consumer defensive
anthony smurfit,ireland,9381000000.0,12111000000.0,14596000000,smurfit kappa group,"46,000",11138000,consumer cyclical
iwona duda,poland,10978000000.0,10020000000.0,14476000000,pko bank polski en,"23,693",,financial services
warren east,uk,17247000000.0,12729000000.0,14458000000,rolls-royce holdings,"50,000",14684000,industries
didier michaud-daniel,france,11824000000.0,11905000000.0,14433000000,bureau veritas sa,"78,395",5489000,industries
bertrand camus,france,9469000000.0,12408000000.0,14416000000,suez sa,"86,195",20307000,utilities
,monaco,13656000000.0,12158000000.0,14241000000,hal trust,"51,397",7311000,financial services
arnaud de puyfontaine,france,34413000000.0,35068000000.0,14134000000,vivendi,"42,800",10548000,communication services
rob smith,germany,8500999999.0,11358000000.0,14105000000,kion group ag,"39,602",11344000,industries
simon wolfson,uk,12111000000.0,12883000000.0,14071000000,next plc,"25,491",5447000,consumer cyclical
dominik von achten,germany,14598000000.0,15242000000.0,14035000000,heidelberg cement ag,"51,209",18713000,basic materials
christian kohlpaintner,germany,8471000000.0,11917000000.0,13934000000,brenntag ag,"17,237",15849000,basic materials
martin bouygues,france,16359000000.0,15598000000.0,13909000000,bouygues sa,"129,000",41423000,industries
henri poupart-lafarge,france,10843000000.0,16911999999.0,13861000000,alstom sa,"75,000",15466000,industries
bracken p darrell,switzerland,7946000000.0,16635000000.0,13772000000,logitech international,"9,000",5691000,technology
michael allison,switzerland,5051000000.0,7411000000.0,13761000000,vat group ag,,958000000,industries
andy ransom,uk,10983000000.0,12922000000.0,13741000000,rentokil initial,"44,500",3869000,industries
helena stjernholm,sweden,10820000000.0,14257000000.0,13700000000,ab industrivarden publ,15,2820000,financial services
augustin de romanet,france,19584000000.0,12784000000.0,13570000000,aeroports de paris sa,"22,448",3060000,industries
fredrik lundberg,sweden,11419000000.0,13217000000.0,13450000000,l e lundbergforetagen ab publ,"3,287",2607000,financial services
denis machuel,france,17256000000.0,12310000000.0,13308000000,sodexo,"412,088",19206000,industries
paolo rocca,luxembourg,13626000000.0,9618000000.0,13234000000,tenaris,"19,399",6521000,energy
jette nygaard-andersen,uk,,9490000000.0,13233000000,entain plc,,5013000,casinos
axel wachtmeister,sweden,6199000000.0,8670000000.0,13168000000,lifco ab publ,"6,265",1835000,industries
,uk,,,13132000000,wise plc,"2,243",658000000,digital payment solution services
,norway,11273000000.0,10855000000.0,13126000000,yara international asa,"16,818",16617000,basic materials
,switzerland,12062000000.0,13187000000.0,13023000000,barry callebaut ag,"12,783",7661000,consumer defensive
,netherlands,12764000000.0,12728000000.0,13014000000,kpn,"10,102",5792000,communication services
,switzerland,12237000000.0,11842000000.0,12999000000,coca-cola hbc ag,"26,000",7899000,consumer defensive
,germany,13721000000.0,13693000000.0,12896000000,traton se,"82,600",30611000,industries
,sweden,7612000000.0,12209000000.0,12777000000,svenska cellulosa aktiebolaget sca publ,"4,253",1976000,basic materials
,netherlands,11262000000.0,12085000000.0,12763000000,randstad,"34,680",27148000,industries
,sweden,8904000000.0,12323000000.0,12748000000,swedish match ab publ,"6,735",1941000,consumer defensive
,sweden,8767000000.0,9338000000.0,12743000000,fastighets ab balder publ,784,940000000,real estate
,italy,8649000000.0,11362000000.0,12714000000,recordati industria chimica e farmaceutica,"4,362",1580000,healthcare
,uk,9391000000.0,11258000000.0,12678000000,bunzl,"19,853",13463000,consumer defensive
,germany,8780000000.0,11905000000.0,12615000000,covestro ag,"17,883",17525000,basic materials
,uk,14230000000.0,12079000000.0,12609000000,schroders,"5,500",3873000,financial services
,finland,6854000000.0,10220000000.0,12580000000,kesko oyj,"17,650",12453000,consumer defensive
,uk,12537000000.0,11675000000.0,12579000000,intercontinental hotels group,"350,000",2907000,consumer cyclical
,uk,9809000000.0,12584000000.0,12576000000,aveva group,"6,250",1396000,technology
,uk,8891000000.0,11790000000.0,12546000000,admiral group,"11,445",2029000,financial services
,uk,11288000000.0,11417000000.0,12465000000,mondi,"26,000",8511000,basic materials
,belgium,12149000000.0,12322000000.0,12455000000,solvay sa,,12601000,basic materials
,belgium,11853000000.0,12199000000.0,12455000000,umicore sa,,26508000,industries
,germany,12576000000.0,9777000000.0,12435000000,talanx ag,"23,527",43116000,financial services
,uk,12384000000.0,12464000000.0,12318000000,intertek group,"43,800",3647000,industries
,germany,8007000000.0,8494999999.0,12312000000,nemetschek se,"3,300",681000000,technology
,uk,8254000000.0,8327999999.0,12264000000,st james's place,"2,014",23498000,financial services
,norway,13404000000.0,11447000000.0,12256000000,mowi asa,"11,684",4631000,consumer defensive
,uk,7310000000.0,9396000000.0,12136000000,evraz,"69,619",13486000,basic materials
,uk,11430000000.0,12068000000.0,12121000000,persimmon,"5,000",4725000,consumer cyclical
,france,12624000000.0,13896000000.0,12103000000,edenred sa,"10,000",1793000,financial services
,norway,10427000000.0,11092000000.0,12078000000,gjensidige forsikring asa,"3,700",3661000,financial services
,denmark,7678000000.0,9507000000.0,12074000000,demant a/s,"15,000",2726000,healthcare
,sweden,9720000000.0,9997000000.0,11908000000,ica gruppen ab publ,"24,043",15154000,consumer defensive
,denmark,4154000000.0,11142000000.0,11812000000,pandora a/s,"22,236",3462000,consumer cyclical
,germany,3573000000.0,13444000000.0,11707000000,hellofresh se,"4,477",6604000,consumer cyclical
,norway,11808000000.0,8956000000.0,11615000000,aker bp asa,"1,742",5639000,energy
,sweden,9647000000.0,11756000000.0,11604000000,ab skf publ,"42,602",8582000,industries
,germany,15006000000.0,13784000000.0,11584000000,mtu aero engines ag,"10,313",4187000,industries
,switzerland,11799000000.0,9740000000.0,11546000000,vifor pharma ag,"2,384",1865000,healthcare
,germany,7677000000.0,12089000000.0,11462000000,qiagen,"5,610",2251000,healthcare
,uk,10715000000.0,8723000000.0,11445000000,sage group,"11,785",2416000,technology
,uk,,,11390000000,allfunds group plc,,3142000,financial services
,russia,9515000000.0,9662000000.0,11361000000,alrosa,"32,475",2988000,basic materials
,ireland,11576000000.0,10711000000.0,11358000000,allegion,"11,000",2867000,industries
,netherlands,4614000000.0,7220000000.0,11329000000,imcd,"3,049",3785000,basic materials
,netherlands,1390000000.0,925000000.0,11322000000,eurocommercial properties,,237000000,real estate
,france,14132000000.0,12644000000.0,11287000000,renault sa,"179,565",50927000,consumer cyclical
,france,6152000000.0,9316000000.0,11237000000,remy cointreau sa,"1,832",1312000,consumer defensive
,germany,8337999999.0,8019000000.0,11192000000,commerzbank ag,"46,724",0,financial services
,netherlands,9269000000.0,8071000000.0,11152000000,aegon,"22,322",46124000,financial services
,italy,6432000000.0,9304000000.0,11131000000,amplifon spa,"11,265",2147000,healthcare
,uk,14483000000.0,11277000000.0,11092000000,informa plc,"11,000",2354000,communication services
,germany,9246000000.0,10543000000.0,11071000000,rational ag,"2,216",779000000,industries
,spain,21151000000.0,17417000000.0,11020000000,grifols,"23,668",5436000,healthcare
,sweden,2426000000.0,5264000000.0,11009000000,samhallsbyggnadsbolaget i norden ab publ,,623000000,real estate
,spain,10940000000.0,11005000000.0,10989000000,red electrica corporacion,"2,051",2151000,utilities
,sweden,4504000000.0,7750000000.0,10980000000,indutrade ab publ,"7,000",2280000,industries
,italy,5841000000.0,11611000000.0,10961000000,infrastrutture wireless italiane,,865000000,communication services
,france,8067000000.0,8735000000.0,10936000000,arkema,"19,794",10490000,basic materials
,uk,3423000000.0,21687000000.0,10907000000,farfetch,"5,441",2256000,consumer cyclical
,uk,16829999999.0,10852000000.0,10857000000,international consolidated airlines group,"64,734",9312000,industries
,sweden,5627000000.0,6329000000.0,10831000000,getinge ab,"10,818",2840000,healthcare
,italy,13134000000.0,10082000000.0,10821000000,telecom italia,"52,347",15311000,communication services
,sweden,2547000000.0,10056000000.0,10813000000,embracer group ab publ,"5,500",1606000,communication services
,italy,7447000000.0,9934000000.0,10812000000,finecobank banca fineco,"1,225",0,financial services
,netherlands,7952000000.0,16734000000.0,10712000000,just eat takeawaycom,"5,423",4953000,retail
,germany,10112000000.0,10510000000.0,10661000000,kabel deutschland holding ag,"4,081",2630000,communication services
,sweden,10233000000.0,10454000000.0,10603000000,skanska ab publ,"31,517",15106000,industries
,belgium,11242000000.0,9922000000.0,10560000000,ageas sa/nv,"10,045",13033000,financial services
,sweden,9849000000.0,7646000000.0,10560000000,lundin energy ab publ,,0,energy
,russia,7500000000.0,8500999999.0,10489000000,magnitogorsk iron & steel works mmk,"17,887",11869000,basic materials
,denmark,10505000000.0,13537000000.0,10437000000,chr hansen holding a/s,"3,700",1187000,basic materials
,sweden,5270000000.0,6993000000.0,10390000000,ab sagax publ,77,326000000,real estate
,france,22188000000.0,10890000000.0,10389000000,unibail-rodamco-westfield,"3,495",2776000,real estate
,netherlands,5800000000.0,7660000000.0,10375000000,euronext,"1,400",1430000,financial services
,uk,10007000000.0,9298000000.0,10253000000,barratt developments,"6,655",5667000,consumer cyclical
,spain,5686000000.0,7751000000.0,10238000000,acciona,"38,967",8931000,industries
,switzerland,,,10215000000,on holding ag,883,768000000,
,france,13215000000.0,11313000000.0,10197000000,gecina sa,504,676000000,real estate
,italy,9741000000.0,7902000000.0,10176000000,mediobanca banca di credito finanziario,,2584000,financial services
,belgium,3777000000.0,4398000000.0,10153000000,d'ieteren sa,,3703000,consumer cyclical
,germany,8208000000.0,11156000000.0,10144000000,leg immobilien ag,"1,400",1058000,real estate
,sweden,10770000000.0,9047000000.0,10059000000,tele2 ab publ,"9,000",2813000,communication services
,austria,8477000000.0,6674000000.0,10044000000,raiffeisen bank international ag,,0,financial services
,uk,15334000000.0,11828000000.0,10033000000,melrose industries,"55,621",9010000,industries
,norway,4763000000.0,7177000000.0,9995000000,tosysteasa,"4,530",1222000,industries
,uk,8667000000.0,8297000000.0,9970000000,sensata technologies holding,"19,200",3820000,technology
,uk,8876000000.0,8317000000.0,9912000000,united utilities group,"5,354",2193000,utilities
,uk,8045999999.0,7477000000.0,9908000000,severn trent,"6,800",2289000,utilities
,italy,6393000000.0,9324000000.0,9903000000,prysmian,"28,000",14035000,industries
,france,11262000000.0,9527000000.0,9902000000,eiffage sa,"72,500",21155000,industries
,russia,5080000000.0,5468000000.0,9857000000,pjsc phosagro,,3784000,basic materials
,uk,6309000000.0,7803000000.0,9857000000,kingfisher,"78,000",15527000,consumer cyclical
,sweden,7334000000.0,5948000000.0,9846000000,ssab ab publ,"14,500",10069000,basic materials
,finland,8826000000.0,8747000000.0,9813000000,elisa oyj,,2201000,communication services
,russia,4144999999.0,5274000000.0,9777000000,pik group,,8016000,real estate
,france,11052000000.0,9083000000.0,9762000000,dassault aviation sa,"12,757",7985000,industries
,luxembourg,,,9749000000,allegroeu sa,,1258000,consumer cyclical
,uk,11873000000.0,9904000000.0,9748000000,burberry group,"9,892",3329000,consumer cyclical
,norway,10460000000.0,10093000000.0,9741000000,orkla asa,"18,110",5649000,consumer defensive
,finland,,,9699000000,metso outotec oyj,,4668000,industries
,switzerland,11433000000.0,10190000000.0,9642000000,temenos ag,"7,500",967000000,technology
,italy,7122000000.0,11346000000.0,9625000000,diasorin,"2,024",1237000,healthcare
,germany,9049000000.0,7557000000.0,9597000000,deutsche lufthansa ag,"138,353",18526000,industries
,luxembourg,4808000000.0,7090000000.0,9570000000,ternium,"20,173",16090000,basic materials
,germany,6103000000.0,6436000000.0,9497000000,gea group,"18,232",5182000,industries
,sweden,7380000000.0,14023000000.0,9333000000,kinnevik ab,40,177000000,financial services
,sweden,7629000000.0,8044000000.0,9243000000,autoliv,"61,000",8230000,consumer cyclical
,poland,8371000000.0,5119000000.0,9217000000,santander bank polska,,0,financial services
,uk,7046000000.0,7874000000.0,9205000000,auto trader group,909,509000000,ecommerce
,france,12666000000.0,9422000000.0,9107000000,accor sa,"260,000",2429000,consumer cyclical
,uk,7080000000.0,9573000000.0,9101000000,phoenix group holdings,"5,752",32009999,financial services
,switzerland,2166000000.0,6194000000.0,9007000000,bachem holding ag,,522000000,basic materials
,poland,5906000000.0,8458000000.0,8999000000,polskie gornictwo naftowe i gazownictwo,"24,608",14692000,energy
,sweden,6687000000.0,6995000000.0,8934000000,castellum ab publ,,667000000,real estate
,switzerland,5096000000.0,7358000000.0,8856000000,sig combibloc group ag,,2271000,consumer cyclical
,uk,12014000000.0,9891000000.0,8838000000,hargreaves lansdown,"1,610",687000000,financial services
,sweden,4919000000.0,7383000000.0,8827000000,husqvarna ab publ,,4941000,industries
,poland,,,8817000000,dino polska sa,,3140000,consumer defensive
,portugal,13908000000.0,8840000000.0,8809000000,galp energia sgps,"6,114",18119000,energy
,uk,7417000000.0,7770000000.0,8805000000,rightmove,650,398000000,communication services
,france,9392000000.0,9289000000.0,8793000000,getlink se,,853000000,industries
,sweden,1751000000.0,10239000000.0,8747000000,sinch ab publ,"1,892",1699000,communication services
,uk,6731000000.0,6859000000.0,8725000000,j sainsbury,"111,900",35211000,consumer defensive
,belgium,5495000000.0,8151999999.0,8707000000,elia system operator sa,,2811000,utilities
,uk,8646000000.0,8555999999.0,8688000000,whitbread,"35,455",2005999,consumer cyclical
,france,7545000000.0,9101000000.0,8653000000,seb sa,"34,000",8880000,consumer cyclical
,greece,8006000000.0,,8617000000,hellenic telecommunications organization,"16,291",3712000,communication services
,luxembourg,7606000000.0,7432000000.0,8611000000,rtl group sa,"16,264",6635000,communication services
,finland,6713000000.0,5893000000.0,8608000000,wartsila oyj abp,"18,307",5265000,industries
,czech republic,6199000000.0,7559000000.0,8600000000,avast,"1,803",941000000,technology
,uk,8510000000.0,8236000000.0,8574999999,taylor wimpey,"6,029",5608000,consumer cyclical
,italy,6203000000.0,6614000000.0,8555999999,edison spa,"13,351",11736000,utilities
,germany,6030000000.0,9125000000.0,8475000000,bechtle ag,"11,487",5303000,technology
,belgium,4730000000.0,6012000000.0,8439999999,warehouses de pauw,,306000000,real estate
,germany,7185000000.0,8529999999.0,8439999999,dws group gmbh & co kgaa,"3,600",2846000,financial services
,switzerland,10370000000.0,10733000000.0,8426000000,adecco group ag,"30,264",23086000,industries
,france,5148000000.0,8701000000.0,8375999999,la francaise des jeux societe anonyme,,2254000,consumer cyclical
,russia,9813000000.0,6660000000.0,8282999999,vtb bank,,0,financial services
,germany,8757000000.0,8170000000.0,8281000000,telefonica deutschland holding ag,"8,500",8557000,communication services
,ireland,8353000000.0,9196000000.0,8263000000,jazz pharmaceuticals,"1,620",3094000,healthcare
,luxembourg,5236000000.0,7064000000.0,8242000000,b&m european value retail,"32,000",5504000,consumer defensive
,uk,6343000000.0,6744000000.0,8241000000,intermediate capital group,,900000000,financial services
,netherlands,,,8231000000,ctp nv,,407000000,real estate
,uk,6269000000.0,11381000000.0,8210000000,fresnillo,"5,510",2703000,basic materials
,ireland,8494999999.0,6978000000.0,8205999999,dcc,"12,773",17556000,energy
,poland,4235000000.0,4139000000.0,8205000000,lpp sa,,14025000,consumer cyclical
,czech republic,6939000000.0,5762000000.0,8192000000,komercni banka,,0,financial services
,netherlands,7778000000.0,7880000000.0,8164000000,grandvision,"33,681",3000000,consumer cyclical
,hong kong,13154000000.0,7799000000.0,8125000000,swire pacific,"130,716",11532000,industries
,denmark,4970000000.0,7650000000.0,8119999999,rockwool international a/s,"11,700",3403000,industries
,norway,6975000000.0,9231000000.0,8105000000,schibsted asa,"5,182",1638000,communication services
,ireland,6173000000.0,4868000000.0,8068000000,bank of ireland group,"9,211",0,financial services
,italy,8173000000.0,7470000000.0,8042000000,unipolsai assicurazioni,,16253000,financial services
,sweden,5219000000.0,7826000000.0,8010000000,holmen aktiebolag publ,,2045000,basic materials
,norway,5825000000.0,6600000000.0,7995000000,salmar asa,"1,702",1685000,consumer defensive
,uk,2773000000.0,4664000000.0,7965000000,endava,"6,624",525000000,technology
,uk,6528000000.0,4983000000.0,7937000000,meggitt,"10,000",1949000,industries
,france,9994000000.0,8592000000.0,7885000000,covivio,,858000000,real estate
,uk,,,7845000000,oxford nanopore technologies plc,628,174000000,healthcare
,uk,9771000000.0,6832000000.0,7833000000,land securities group,530,800000000,real estate
,germany,6294000000.0,7158000000.0,7827000000,hella gmbh & co kgaa,"39,000",6324000,consumer cyclical
,switzerland,8371000000.0,7916000000.0,7821000000,baloise holding ag,,9381000,financial services
,germany,3852000000.0,7032000000.0,7800000000,wacker chemie ag,"14,542",6711000,basic materials
,france,7535000000.0,6840000000.0,7703000000,ipsen,"5,700",3243000,healthcare
,switzerland,5418000000.0,6427000000.0,7695000000,wizz air holdings,,1663000,industries
,denmark,6094000000.0,10303000000.0,7624000000,gn store nord a/s,"6,525",2293000,healthcare
,sweden,7631000000.0,5761000000.0,7611000000,beijer ref ab publ,,1778000,industries
,uk,3875000000.0,5593000000.0,7604000000,electrocomponents,"7,044",2615000,industries
,france,8564999999.0,9413000000.0,7584000000,valeo sa,"110,300",18664000,consumer cyclical
,sweden,5676000000.0,5984000000.0,7533000000,trelleborg ab publ,"22,209",3562000,industries
,uk,8372000000.0,6574000000.0,7512000000,m&g plc,"5,961",19279000,financial services
,uk,6978000000.0,7031000000.0,7502000000,ds smith,"29,300",8529000,consumer cyclical
,switzerland,4617000000.0,5287000000.0,7500000000,belimo holding ag,,811000000,industries
,italy,3399000000.0,5285000000.0,7483000000,interpump group,"7,418",1734000,industries
,denmark,6781000000.0,6932000000.0,7478000000,kobenhavns lufthavne a/s,,237000000,industries
,germany,4408000000.0,4791000000.0,7446000000,sixt se,"8,500",2467000,industries
,russia,5346000000.0,7874000000.0,7445000000,magnit,"300,000",24871000,consumer defensive
,germany,3979000000.0,6029000000.0,7422000000,evotec se,"3,030",618000000,healthcare
,italy,7371000000.0,6349000000.0,7400000000,banca mediolanum,"2,321",7067000,financial services
,germany,6281000000.0,6365000000.0,7397000000,cts eventim ag & co kgaa,"3,202",440000000,communication services
,switzerland,3264000000.0,4890000000.0,7339000000,datwyler holding,"7,000",1004000,industries
,uk,5256000000.0,5631000000.0,7336000000,howden joinery group,"10,000",2734000,consumer cyclical
,netherlands,4967000000.0,4929000000.0,7327000000,aalberts nv,"16,094",3221000,industries
,france,11156000000.0,6451000000.0,7308000000,klepierre sa,"1,100",1352000,real estate
,italy,,,7306000000,pirelli & c spa,"31,575",5764000,consumer cyclical
,italy,5988000000.0,5398000000.0,7301000000,pirelli & c,"31,600",5329000,consumer cyclical
,germany,6653000000.0,7850000000.0,7300000000,united internet ag,"9,638",6104000,communication services
,uk,4516000000.0,5898000000.0,7286000000,janus henderson group,"2,000",2767000,financial services
,switzerland,8753000000.0,7390000000.0,7283000000,swiss prime site ag,,776000000,real estate
,germany,5523000000.0,6970000000.0,7277000000,gsw immobilien ag,,378000000,real estate
,uk,10352000000.0,8416000000.0,7267000000,abrdn plc,"6,029",2236000,financial services
,uk,8000000000.0,8082000000.0,7254000000,berkeley group holdings,"2,709",2766000,consumer cyclical
,germany,9112000000.0,6158000000.0,7243000000,thyssenkrupp ag,"103,598",37519000,industries
,spain,12155000000.0,9409000000.0,7216000000,acs actividades de construccion y servicios,"65,000",30703000,industries
,poland,5048000000.0,9875000000.0,7184000000,kghm polska miedz,"18,444",6259000,basic materials
,spain,2714000000.0,4926000000.0,7182000000,fluidra,"5,500",2446000,industries
,russia,120000000.0,134000000.0,7143000000,x5 retail group,"339,716",36232000,consumer defensive
,ireland,9285000000.0,5557000000.0,7131000000,aib group,"9,520",2419000,financial services
,uk,,3885000000.0,7094000000,airtel africa,"3,300",4714000,telecom
,uk,7887000000.0,6176000000.0,7090000000,british land company,783,483000000,real estate
,luxembourg,10928000000.0,10084000000.0,7077000000,aroundtown sa,500,1085000,real estate
,russia,3743000000.0,3267000000.0,7030000000,vsmpo-avisma corporation,,1463000,basic materials
,uk,3027000000.0,4618000000.0,7026000000,royal mail,"177,047",14973000,industries
,norway,4801000000.0,4785000000.0,7026000000,aker asa,"28,000",668000000,energy
,sweden,2375000000.0,2833000000.0,7009000000,vitrolife ab publ,,178000000,healthcare
,switzerland,7350000000.0,6938000000.0,6968000000,clariant ag,,4539000,basic materials
,russia,9394000000.0,7930000000.0,6920000000,mobile telesystems,"58,415",4847000,communication services
,uk,7969000000.0,17615000000.0,6878000000,novocure,"1,023",535000000,healthcare
,austria,5087000000.0,6370000000.0,6864000000,voestalpine ag,"49,000",14923000,basic materials
,uk,5806000000.0,3646000000.0,6830000000,marks and spencer group,,12821000,consumer cyclical
,sweden,7085000000.0,6652000000.0,6815000000,ab electrolux publ,"48,000",13317000,technology
,italy,2939000000.0,4497000000.0,6809000000,reply,"9,059",1636000,technology
,netherlands,2268000000.0,2720000000.0,6791000000,hunter douglas,"22,000",4606000,consumer cyclical
,france,7380000000.0,6987000000.0,6746000000,faurecia se,"104,739",17226000,consumer cyclical
,uk,6391000000.0,7937000000.0,6713000000,hikma pharmaceuticals,"8,578",2553000,healthcare
,france,3351000000.0,5803000000.0,6707000000,somfy sa,,1477000,consumer cyclical
,switzerland,3878000000.0,5861000000.0,6698000000,bkw ag,"10,500",3617000,utilities
,switzerland,6979000000.0,9250000000.0,6694000000,banque cantonale vaudoise,"1,896",1022999,financial services
,luxembourg,7025000000.0,7408000000.0,6679000000,cpi property group,"4,353",663000000,real estate
,denmark,7511000000.0,8909000000.0,6653000000,ascendis pharma a/s,482,8000000,healthcare
,france,5283000000.0,5490000000.0,6650000000,eurazeo se,270,6147000,financial services
,uk,,,6630000000,pepco group nv,,4191000,consumer defensive
,uk,3868000000.0,5102000000.0,6583000000,dechra pharmaceuticals,"1,753",716000000,healthcare
,switzerland,3320000000.0,5800000000.0,6579000000,tecan group,"2,050",1012000,healthcare
,france,6335000000.0,5683000000.0,6567000000,ald sa,,11536000,industries
,switzerland,6967000000.0,5516000000.0,6563000000,helvetia holding ag,"11,687",12977000,financial services
,france,4049000000.0,4754000000.0,6540000000,rexel,"24,000",16203000,industries
,germany,7823000000.0,5553000000.0,6540000000,fraport ag,"22,514",2364000,industries
,uk,,5823000000.0,6537000000,f&c investment trust,,1275000,investments
,netherlands,5430000000.0,5548000000.0,6512000000,asr nederland,"3,934",10866000,financial services
,belgium,5144000000.0,5021000000.0,6501000000,ackermans & van haaren nv,,4756000,industries
,netherlands,4025000000.0,5247000000.0,6405000000,signify,"37,926",7567000,industries
,uk,7493000000.0,5187000000.0,6405000000,easyjet,"14,000",1935000,industries
,france,8397000000.0,8460000000.0,6390000000,orpea sa,,4297000,healthcare
,finland,3637000000.0,4252000000.0,6381000000,valmet oyj,,4340000,industries
,sweden,4767000000.0,6589000000.0,6300000000,sweco ab publ,,2310000,industries
,france,3793000000.0,4062000000.0,6295000000,financiere de l'odet sa,,26066000,industries
,uk,4342000000.0,3962000000.0,6287000000,nvent electric,"8,800",2462000,industries
,belgium,9323000000.0,6376000000.0,6257000000,proximus,"11,423",6107000,communication services
,uk,7970000000.0,5879000000.0,6253000000,itv,"6,273",4582000,communication services
,switzerland,4642000000.0,5458000000.0,6250000000,emmi ag,,4184999,consumer defensive
,netherlands,2906000000.0,4361000000.0,6240000000,be semiconductor industries,"1,618",826000000,technology
,uk,5211000000.0,7063000000.0,6227000000,weir group,"13,500",2565000,industries
,uk,6723000000.0,6918000000.0,6163000000,pearson plc,"32,000",4549000,education
,switzerland,3609000000.0,2543000000.0,6160000000,goodyear tire & rubber company,"62,000",17478000,consumer cyclical
,denmark,4141000000.0,10713000000.0,6160000000,ambu a/s,"3,500",594000000,healthcare
,uk,4175000000.0,4336000000.0,6143000000,imi,"10,776",1135000,industries
,belgium,1848000000.0,3098000000.0,6140000000,vgp nv,,49000000,real estate
,sweden,2464000000.0,3890000000.0,6088000000,thule group ab publ,,1101000,consumer cyclical
,uk,,3946000000.0,6005000000,tritax big box reit,,244000000,real estate
,luxembourg,3463000000.0,3657000000.0,6002000000,l'occitane international,"9,000",1780000,consumer defensive
,norway,1111000000.0,3054000000.0,5965000000,nordic semiconductor asa,767,610000000,technology
,italy,6446000000.0,5325000000.0,5945000000,hera,,7808000,utilities
,spain,6710000000.0,5721000000.0,5942000000,enagas,361,1075000,utilities
,norway,2904000000.0,3645000000.0,5914000000,kongsberg gruppen asa,,2826000,industries
,france,4336000000.0,3886000000.0,5890000000,alten sa,,2924000,technology
,uk,7056000000.0,3722000000.0,5883000000,centrica,"26,932",24284000,utilities
,uk,6160000000.0,5690000000.0,5868000000,unite group,"1,400",353000000,real estate
,finland,4595000000.0,5447000000.0,5868000000,kojamo oyj,296,431000000,real estate
,sweden,5699000000.0,4853000000.0,5860000000,axfood ab publ,,6136000,consumer defensive
,germany,7231000000.0,8457000000.0,5857000000,scout24 ag,"1,530",389000000,communication services
,austria,5416000000.0,5119000000.0,5840000000,telekom austria ag,"18,153",4664000,communication services
,uk,1841000000.0,2330000000.0,5838000000,future,,804000000,communication services
,germany,7186000000.0,5543000000.0,5797000000,schaeffler ag,"87,700",15279000,consumer cyclical
,france,7911000000.0,5978000000.0,5772000000,scor se,"2,945",19625000,financial services
,uk,,4428000000.0,5768000000,rit capital partners,,1242000,investments
,italy,5823000000.0,4939000000.0,5764000000,a2a,"12,978",12739000,utilities
,sweden,2171000000.0,3720000000.0,5762000000,addtech ab publ,"3,000",1323000,industries
,germany,7909000000.0,3758000000.0,5759000000,tui ag,"48,330",5218000,consumer cyclical
,germany,5968000000.0,6599000000.0,5741000000,lanxess,"14,866",8335000,basic materials
,germany,,14428000000.0,5739000000,curevac,500,102000000,healthcare
,france,8426000000.0,11823000000.0,5737000000,ubisoft entertainment sa,"18,045",2124000,communication services
,netherlands,4422000000.0,4011999999.0,5729000000,oci,"3,147",6318000,basic materials
,germany,4010000000.0,4316000000.0,5718000000,lechwerke ag,,1621000,utilities
,switzerland,5588000000.0,5364000000.0,5709000000,flughafen zurich ag,,728000000,industries
,sweden,4075000000.0,5102000000.0,5699000000,wallenstam ab publ,,246000000,real estate
