name,codice,pricecap,price,country
glaxosmithkline,gsk,72420000000,35,uk
us bancorp,usb,72420000000,47,usa
iberdrola,ibe.mc,72220000000,11,spain
illinois tool works,itw,71640000000,233,usa
3m,mmm,71580000000,129,usa
china tourism group duty free,601888.ss,71450000000,34,china
china yangtze power,600900.ss,71170000000,3,china
northrop grumman,noc,71010000000,461,usa
axa,cs.pa,70810000000,30,france
zurich insurance group,zurn.sw,70780000000,477,switzerland
petrobras,pbr,70690000000,10,brazil
alpha dhabi,alphadhabi.ae,70460000000,7,uae
national australia bank,nab.ax,69520000000,22,australia
walmex,wmmvf,69250000000,3,mexico
air products and chemicals,apd,69120000000,311,usa
bank of montreal,bmo,68950000000,97,canada
csx corporation,csx,68160000000,32,usa
dbs group,d05.si,67849999999,26,singapore
cnooc,0883.hk,66989999999,1,china
equinix,eqix,66800000000,721,usa
boston scientific,bsx,66640000000,46,usa
bank central asia,bbca.jk,66360000000,0,indonesia
state bank of india,sbin.ns,66230000000,7,india
softbank,9984.t,66180000000,45,japan
pnc financial services,pnc,66140000000,164,usa
ubs,ubs,66120000000,20,switzerland
general dynamics,gd,65970000000,240,usa
postal savings bank of china,601658.ss,65920000000,0,china
bmw,bmw.de,65620000000,99,germany
aon,aon,65599999999,317,uk
eaton,etn,65400000000,164,ireland
crown castle,cci,65319999999,150,usa
fiserv,fisv,65120000000,102,usa
colgate-palmolive,cl,65019999999,77,usa
america movil,amx,64920000000,20,mexico
nongfu spring,9633.hk,64800000000,5,china
lam research,lrcx,64590000000,473,usa
kddi,9433.t,64560000000,29,japan
freeport-mcmoran,fcx,64390000000,45,usa
sherwin-williams,shw,63710000000,245,usa
enel,enel.mi,63640000000,6,italy
canadian natural resources,cnq,63560000000,57,canada
airbnb,abnb,63550000000,100,usa
waste management,wm,63290000000,154,usa
cme group,cme,63170000000,175,usa
truist financial,tfc,63110000000,47,usa
abb,abb,62670000000,33,switzerland
humana,hum,62200000000,491,usa
micron technology,mu,62120000000,56,usa
vinci,dg.pa,61900000000,109,france
mindray,300760.sz,61860000000,51,china
investor ab,ivs.f,61790000000,19,sweden
scotiabank,bns,61610000000,51,canada
sumitomo mitsui financial group,smfg,61440000000,9,japan
blackstone group,bx,61390000000,85,usa
bayer,bayzf,61010000000,62,germany
siemens healthineers,shl.de,60880000000,54,germany
daiichi sankyo,4568.t,60700000000,31,japan
kkr & co,kkr,60600000000,54,usa
charter communications,chtr,60470000000,388,usa
midea,000333.sz,60250000000,8,china
emirates telecom etisalat group,eand.ae,60230000000,6,uae
intercontinental exchange,ice,60110000000,107,usa
activision blizzard,atvi,59990000000,76,usa
southern copper,scco,59570000000,77,usa
kla,klac,59520000000,420,usa
occidental petroleum,oxy,59360000000,65,usa
the saudi national bank,1180.sr,59230000000,13,s. arabia
norfolk southern,nsc,59060000000,255,usa
hong kong exchanges & clearing,0388.hk,59000000000,46,hong kong
atlas copco,atco-b.st,58920000000,11,sweden
foshan haitian flavouring and food,603288.ss,58830000000,12,china
uber,uber,58710000000,29,usa
safran,saf.pa,58680000000,137,france
housing development finance corporation,hdfc.ns,58330000000,31,india
westpac banking,wbc.ax,58290000000,16,australia
anglo american,aal.l,58170000000,43,uk
china telecom,0728.hk,58050000000,0,china
netease,ntes,58030000000,88,china
moody's,mco,57620000000,314,usa
verbund ag,oewa.f,57540000000,82,austria
heineken,heia.as,57260000000,99,netherlands
marathon petroleum,mpc,57140000000,121,usa
emerson,emr,57010000000,97,usa
fast retailing,9983.t,56990000000,557,japan
pioneer natural resources,pxd,56780000000,238,usa
santander,san,56750000000,3,spain
industrial bank,601166.ss,56520000000,2,china
thomson reuters,tri,56470000000,117,canada
metlife,met,56420000000,71,usa
enterprise products,epd,56020000000,25,usa
relx,relx,55760000000,29,uk
bharti airtel,bhartiartl.ns,55700000000,9,india
eni,e,55400000000,31,italy
life insurance corporation of india lic,lici.ns,55210000000,8,india
mercadolibre,meli,54460000000,1,argentina
pernod ricard,ri.pa,54250000000,211,france
mckesson,mck,54130000000,381,usa
united heavy machinery,omzzp.me,53580000000,63,russia
vmware,vmw,53410000000,124,usa
monster beverage,mnst,53290000000,102,usa
tokyo electron,8035.t,53070000000,340,japan
basf,bas.de,52950000000,57,germany
reckitt benckiser,rkt.l,52500000000,73,uk
valero energy,vlo,52480000000,136,usa
dominion energy,d,52420000000,62,usa
dollar general,dg,52200000000,233,usa
anz bank,anz.ax,52080000000,17,australia
kraft heinz,khc,51960000000,42,usa
general motors,gm,51860000000,36,usa
deutsche post,dpw.de,51580000000,42,germany
dassault systemes,dsy.pa,51560000000,38,france
shin-etsu chemical,4063.t,51370000000,127,japan
public storage,psa,51220000000,290,usa
marriott international,mar,51200000000,161,usa
ford,f,51140000000,12,usa
o'reilly automotive,orly,51020000000,815,usa
adani enterprises,adanient.ns,50780000000,44,india
synopsys,snps,50750000000,332,usa
recruit,6098.t,50720000000,31,japan
edf electricite de france,edf.pa,50670000000,13,france
sempra energy,sre,50550000000,160,usa
keurig pepper,kdp,50540000000,35,usa
adani total gas,atgl.ns,50520000000,45,india
saudi telecom company,7010.sr,50470000000,10,s. arabia
itc,itc.ns,50440000000,4,india
takeda pharmaceutical,tak,50050000000,16,japan
bank of communications,601328.ss,50030000000,0,china
longi green energy technology,601012.ss,49780000000,6,china
ing,ing,49740000000,13,netherlands
stellantis,stla,49550000000,15,netherlands
shopify,shop,49470000000,38,canada
woodside energy,wds,49020000000,25,australia
london stock exchange,ls4c.f,48970000000,91,uk
nintendo,7974.t,48950000000,41,japan
hikvision,002415.sz,48790000000,5,china
munich re munchener ruck,muv2.de,48760000000,348,germany
american electric power,aep,48730000000,94,usa
itau unibanco,itub,48710000000,5,brazil
phillips 66,psx,48690000000,103,usa
general mills,gis,48640000000,82,usa
archer daniels midland adm,adm,48560000000,88,usa
macquarie,mqg.ax,48480000000,125,australia
edwards lifesciences,ew,48410000000,78,usa
mitsubishi corporation,8058.t,48330000000,33,japan
first abu dhabi bank,fab.ae,48240000000,4,uae
oriental land,4661.t,48220000000,147,japan
maaden,1211.sr,48120000000,19,s. arabia
daikin,6367.t,48110000000,164,japan
baidu,bidu,48020000000,138,china
fortescue,fmg.ax,47900000000,15,australia
american international group,aig,47850000000,64,usa
amphenol,aph,47820000000,80,usa
roper technologies,rop,47820000000,450,usa
sk hynix,000660.ks,47680000000,69,s. korea
fedex,fdx,47600000000,188,usa
intesa sanpaolo,isp.mi,47340000000,2,italy
johnson controls,jci,47260000000,68,ireland
simon property group,spg,46990000000,125,usa
hess,hes,46920000000,152,usa
alimentation couche-tard,atd.to,46900000000,47,canada
universal music group,umg.as,46620000000,25,netherlands
the hershey company,hsy,46470000000,226,usa
agilent technologies,a,46450000000,156,usa
national grid,ngg,46430000000,63,uk
cadence design systems,cdns,46430000000,169,usa
samsung biologics,207940.ks,46420000000,652,s. korea
hitachi,6501.t,46280000000,49,japan
kimberly-clark,kmb,46170000000,136,usa
itochu shoji,8001.t,45790000000,31,japan
cintas,ctas,45610000000,448,usa
the travelers companies,trv,45440000000,193,usa
mitsui bussan,8031.t,45360000000,29,japan
adyen,adyen.as,45320000000,1,netherlands
bank rakyat indonesia,byra.f,45310000000,0,indonesia
snowflake,snow,45300000000,140,usa
aflac,afl,45290000000,72,usa
citic securities,600030.ss,45280000000,3,china
infineon,ifx.de,44980000000,34,germany
foxconn hon hai precision industry,2317.tw,44900000000,3,taiwan
corteva,ctva,44810000000,62,usa
bajaj finance,bajfinance.ns,44780000000,73,india
wanhua chemical,600309.ss,44730000000,14,china
zijin mining,601899.ss,44700000000,1,china
sf express,002352.sz,44630000000,9,china
nxp semiconductors,nxpi,44520000000,171,netherlands
motorola solutions,msi,44470000000,266,usa
autozone,azo,44450000000,2,usa
east money information,300059.sz,44410000000,3,china
bayan resources,byan.jk,44250000000,1,indonesia
ecolab,ecl,43980000000,154,usa
suncor energy,su,43760000000,32,canada
realty income,o,43700000000,66,usa
ping an bank,000001.sz,43670000000,2,china
prudential,puk,43650000000,31,uk
kotak mahinbank,kotakbank.ns,43620000000,21,india
centene,cnc,43620000000,77,usa
budweiser apac,1876.hk,43580000000,3,hong kong
banco santander brasil,bsbr,43570000000,5,brazil
paychex,payx,43360000000,120,usa
autodesk,adsk,43280000000,200,usa
wuxi apptec,2359.hk,43230000000,13,china
newmont,nem,43130000000,54,usa
exelon corporation,exc,43100000000,43,usa
ferrari,race,43030000000,235,italy
ocbc bank,o39.si,42990000000,9,singapore
workday,wday,42950000000,167,usa
block,sq,42850000000,71,usa
tc energy,trp,42830000000,42,canada
ambev,abev,42770000000,2,brazil
bce,bce,42580000000,46,canada
dexcom,dxcm,42570000000,108,usa
nordea bank,nda-fi.he,42530000000,11,finland
kinder morgan,kmi,42360000000,18,usa
chipotle mexican grill,cmg,42260000000,1,usa
tokio marine,8766.t,42260000000,21,japan
trane technologies,tt,42210000000,183,ireland
naspers,npsny,42030000000,40,south africa
las vegas sands,lvs,42000000000,54,usa
palo alto networks,panw,41980000000,138,usa
yanghe,002304.sz,41890000000,27,china
apollo global management,apo,41820000000,69,usa
sika,sika.sw,41730000000,272,switzerland
mizuho financial group,mfg,41680000000,3,japan
devon energy,dvn,41560000000,63,usa
banco bilbao vizcaya argentaria,bbva,41540000000,6,spain
constellation brands,stz,41520000000,225,usa
biogen,biib,41470000000,288,usa
arthur j gallagher & co,ajg,41440000000,196,usa
fidelity national information services,fis,41380000000,69,usa
rsted,dogef,41360000000,98,denmark
ross stores,rost,41320000000,120,usa
dow,dow,41290000000,58,usa
iqvia,iqv,41260000000,222,usa
microchip technology,mchp,41200000000,74,usa
chugai pharmaceutical,4519.t,41060000000,24,japan
jiangsu hengrui medicine,600276.ss,41060000000,6,china
compass group,cpg.l,41020000000,23,uk
7-eleven,3382.t,41020000000,46,japan
muyuan foods,002714.sz,40830000000,7,china
parker-hannifin,ph,40760000000,317,usa
adani green energy,adanigreen.ns,40740000000,25,india
sysco,syy,40700000000,80,usa
lloyds banking group,lyg,40540000000,2,uk
nucor,nue,40420000000,157,usa
msci,msci,40390000000,505,usa
sun hung kai properties,0016.hk,40300000000,13,hong kong
lululemon athletica,lulu,40220000000,315,canada
anta sports,as7.f,40030000000,14,china
williacompanies,wmb,39970000000,32,usa
lonza,lonn.sw,39950000000,538,switzerland
honda,hmc,39890000000,23,japan
idexx laboratories,idxx,39670000000,479,usa
bank of new york mellon,bk,39630000000,49,usa
kuaishou technology,1024.hk,39620000000,9,china
cibc,cm,39620000000,43,canada
wuxi biologics,wxxwy,39570000000,18,china
republic services,rsg,39460000000,124,usa
te connectivity,tel,39410000000,124,switzerland
capital one,cof,39250000000,102,usa
volvo group,volvf,39240000000,19,sweden
energy transfer partners,et,39220000000,12,usa
nutrien,ntr,39130000000,75,canada
xcel energy,xel,38940000000,71,usa
cheniere energy,lng,38910000000,156,usa
halliburton,hal,38730000000,42,usa
wesfarmers,wes.ax,38500000000,33,australia
carrier,carr,38350000000,45,usa
maersk,dp4a.f,38220000000,2,denmark
fortinet,ftnt,38170000000,48,usa
lg chem,051910.ks,38030000000,515,s. korea
denso,6902.t,37830000000,50,japan
neste,neste.he,37820000000,49,finland
atlassian,team,37810000000,148,australia
hapag-lloyd,hlag.de,37810000000,215,germany
xiaomi,xiacf,37760000000,1,china
uob,u11.si,37550000000,22,singapore
l3harris technologies,lhx,37530000000,197,usa
bank of china hong kong,2388.hk,37430000000,3,hong kong
dupont de nemours,dd,37350000000,75,usa
transdigm,tdg,37180000000,683,usa
stmicroelectronics,stm,37170000000,41,switzerland
adani transmission,adanitrans.ns,37170000000,33,india
prudential financial,pru,37160000000,101,usa
cenovus energy,cve,37110000000,19,canada
haier smart home,600690.ss,37050000000,4,china
hilton worldwide,hlt,37020000000,136,usa
mediatek,2454.tw,37000000000,23,taiwan
larsen & toubro,lt.ns,36960000000,26,india
haleon,hln,36890000000,7,uk
allstate,all,36850000000,138,usa
yum brands,yum,36680000000,130,usa
hcl technologies,hcltech.ns,36520000000,13,india
jardine matheson,j36.si,36440000000,50,hong kong
alcon,alc,36280000000,74,switzerland
grupo mexico,gmbxf,36270000000,4,mexico
hoya,7741.t,36170000000,101,japan
aier eye hospital,300015.sz,35960000000,5,china
constellation software,csu.to,35800000000,1,canada
paccar,pcar,35700000000,102,usa
cummins,cmi,35620000000,252,usa
barclays,bcs,35550000000,8,uk
natwest group,nwg,35540000000,7,uk
manulife financial,mfc,35520000000,18,canada
ameriprise financial,amp,35450000000,333,usa
arista networks,anet,35330000000,115,usa
biontech,bntx,35200000000,145,germany
da,bn.pa,35070000000,54,france
japan tobacco,2914.t,34930000000,19,japan
credit agricole,aca.pa,34870000000,11,france
old dominion freight line,odfl,34840000000,315,usa
engie,engi.pa,34750000000,14,france
mettler-toledo,mtd,34720000000,1,usa
marvell technology group,mrvl,34690000000,40,usa
otis worldwide,otis,34680000000,83,usa
electronic arts,ea,34630000000,125,usa
barrick gold,gold,34600000000,19,canada
murata manufacturing murata seisakusho,6981.t,34470000000,54,japan
asian paints,asianpaint.ns,34410000000,35,india
axis bank,axisbank.bo,34390000000,11,india
china pacific insurance,601601.ss,34259999999,3,china
consolidated edison,ed,34240000000,96,usa
dsv,dsv.vi,34229999999,158,denmark
mplx,mplx,34210000000,34,usa
china state construction engineering,601668.ss,34170000000,0,china
cement roadstone holding,crh,33979999999,45,ireland
japan post bank,7182.t,33799999999,9,japan
sea garena,se,33770000000,60,singapore
pacific gas and electric,pcg,33720000000,15,usa
samsung sdi,006405.ks,33710000000,238,s. korea
bank of ningbo,002142.sz,33700000000,5,china
holcim group,holn.sw,33630000000,55,switzerland
welltower,well,33610000000,71,usa
waste connections,wcn,33580000000,130,usa
ametek,ame,33549999999,146,usa
mtr corporation,0066.hk,33549999999,5,hong kong
enphase energy,enph,33409999999,245,usa
citic limited,0267.hk,33220000000,1,china
amerisourcebergen,abc,33189999999,164,usa
sba communications,sbac,33090000000,306,usa
costar group,csgp,32960000000,81,usa
d r horton,dhi,32930000000,94,usa
cognizant technology solutions,ctsh,32920000000,64,usa
rockwell automation,rok,32729999999,285,usa
citic bank,601998.ss,32700000000,0,china
deutsche borse,db1.de,32619999999,177,germany
dollar tree,dltr,32570000000,147,usa
kroger,kr,32360000000,45,usa
telstra,tls.ax,32360000000,2,australia
keysight,keys,32290000000,180,usa
globalfoundries,gfs,32229999999,59,usa
experian,expgf,32229999999,34,ireland
interactive brokers,ibkr,32180000000,77,usa
brown forman,bf-a,32159999999,67,usa
weg on,wege3.sa,32140000000,7,brazil
shanghai pudong development bank,600000.ss,32100000000,1,china
nidec,6594.t,32000000000,55,japan
resmed,rmd,31940000000,218,usa
vici properties,vici,31920000000,33,usa
airports of thailand,aot.bk,31920000000,2,thailand
yili group,600887.ss,31890000000,4,china
baker hughes,bkr,31890000000,31,usa
capgemini,cap.pa,31790000000,186,france
walgreens boots alliance,wba,31720000000,36,usa
caixabank,cabk.mc,31670000000,4,spain
oneok,oke,31650000000,70,usa
illumina,ilmn,31630000000,201,usa
warner bros discovery,wbd,31620000000,13,usa
luxshare precision,002475.sz,31620000000,4,china
vestas wind systems,vwsb.f,31580000000,31,denmark
bae systems,bsp.f,31490000000,10,uk
vanke,2202.hk,31360000000,2,china
hang seng bank,0011.hk,31330000000,16,hong kong
pseg,peg,31260000000,62,usa
hyundai,hymtf,31190000000,32,s. korea
maruti suzuki india,maruti.ns,31150000000,103,india
digital realty,dlr,31140000000,106,usa
unicredit,ucg.mi,31130000000,16,italy
banco bradesco,bbd,31120000000,2,brazil
nasdaq,ndaq,31120000000,63,usa
ppg industries,ppg,31110000000,132,usa
the people's insurance company picc,601319.ss,31030000000,0,china
singtel,z74.si,30970000000,1,singapore
hexagon,hxgbf,30750000000,11,sweden
peoples insurance company of china,1339.hk,30730000000,0,china
fanuc,6954.t,30730000000,161,japan
great wall motors,601633.ss,30700000000,4,china
rwe,rwe.de,30690000000,45,germany
smc corp,6273.t,30640000000,469,japan
vodafone,vod,30610000000,11,uk
sun pharmaceutical,sunpharma.ns,30570000000,12,india
lyondellbasell,lyb,30520000000,93,usa
corning,glw,30500000000,36,usa
state street corporation,stt,30440000000,82,usa
fomento economico mexicano,fmx,30410000000,85,mexico
kbc,kbcsf,30290000000,72,belgium
galaxy entertainment,0027.hk,30290000000,6,hong kong
wec energy group,wec,30200000000,95,usa
swisscom,scmn.sw,30150000000,582,switzerland
japan post holdings,6178.t,30140000000,8,japan
telus,tu,30070000000,21,canada
china overseas land & investment,0688.hk,30060000000,2,hong kong
henkel,hen3.de,30030000000,71,germany
ahold delhaize,ad.as,30010000000,30,netherlands
coupang,cpng,29930000000,16,s. korea
copart,cprt,29920000000,62,usa
compagnie de saint-gobain,sgo.pa,29830000000,58,france
givaudan,givn.sw,29820000000,3,switzerland
gree electric appliances,000651.sz,29810000000,5,china
generali,g.mi,29810000000,18,italy
ptt pcl,ptt-r.bk,29780000000,1,thailand
kone,knebv.he,29720000000,57,finland
adidas,ads.de,29670000000,162,germany
restaurant brands international,qsr,29640000000,66,canada
international flavors & fragrances,iff,29630000000,116,usa
eqt,eqt.st,29590000000,24,sweden
dnb,dnb.ol,29360000000,18,norway
dmart,dmart.ns,29320000000,45,india
discover financial services,dfs,29280000000,107,usa
transurban,tcl.ax,29260000000,9,australia
eversource energy,es,29260000000,84,usa
chunghwa telecom,cht,29230000000,37,taiwan
global payments,gpn,29110000000,107,usa
w w grainger,gww,28990000000,573,usa
alnylam pharmaceuticals,alny,28970000000,235,usa
american water works,awk,28880000000,158,usa
ferguson,ferg,28800000000,139,uk
dell,dell,28770000000,40,usa
verisk analytics,vrsk,28760000000,183,usa
woolworths group,wow.ax,28750000000,23,australia
kuhne nagel,knin.sw,28730000000,240,switzerland
imperial oil,imo,28710000000,49,canada
orange,oran,28620000000,10,france
swiss re,sren.sw,28580000000,98,switzerland
sartorius,srt.de,28470000000,385,germany
albemarle,alb,28370000000,242,usa
sun life financial,slf,28340000000,48,canada
on semiconductor,on,28170000000,65,usa
foxconn industrial internet,601138.ss,28150000000,1,china
lennar,len,28150000000,98,usa
nokia,nok,28150000000,5,finland
beigene,bgne,28130000000,270,china
franco-nevada,fnv,28110000000,146,canada
eon,eoan.de,28100000000,10,germany
loblaw companies,l.to,28020000000,86,canada
fastenal,fast,27960000000,48,usa
constellation energy,ceg,27840000000,85,usa
bank mandiri,pperf,27830000000,0,indonesia
amadeus it group,ams.mc,27670000000,61,spain
cheniere energy,cqp,27630000000,57,usa
willis towers watson,wtw,27560000000,254,uk
ashtead,0lc.f,27520000000,61,uk
aptiv,aptv,27510000000,101,ireland
jd health,6618.hk,27440000000,8,china
hp,hpq,27410000000,27,usa
beiersdorf,bei.de,27330000000,120,germany
cbre group,cbre,27200000000,86,usa
united rentals,uri,27180000000,392,usa
flutter entertainment,ppba.f,27180000000,73,ireland
bajaj finserv,bajajfinsv.ns,27130000000,17,india
naturgy,ntgy.mc,27060000000,28,spain
fujitsu,6702.t,27050000000,138,japan
astellas pharma,4503.t,26920000000,14,japan
shenzhen inovance,300124.sz,26680000000,10,china
sampo,sampo.he,26660000000,51,finland
thales,ho.pa,26610000000,125,france
equifax,efx,26570000000,217,usa
gartner,it,26550000000,335,usa
wolters kluwer,wosb.f,26500000000,105,netherlands
genmab,gmab,26490000000,40,denmark
t rowe price,trow,26480000000,118,usa
mobileye,mbly,26440000000,32,israel
diamondback energy,fang,26420000000,145,usa
cdw corporation,cdw,26380000000,194,usa
formosa petrochemical,6505.tw,26360000000,2,taiwan
titan company,titan.ns,26280000000,29,india
assa abloy,asazf,26270000000,23,sweden
wipro,wit,26220000000,4,india
daimler truck,dtg.f,26110000000,31,germany
intact financial,ifc.to,26090000000,148,canada
edison international,eix,26040000000,68,usa
skandinaviska enskilda banken,seba.f,25960000000,12,sweden
deutsche bank,db,25930000000,12,germany
coloplast,cbhd.f,25900000000,124,denmark
zimmer biomet,zbh,25890000000,123,usa
smic,mkn2.f,25880000000,2,china
ultratech cement,ultracemco.ns,25840000000,89,india
m&t bank,mtb,25810000000,149,usa
china securities,601066.ss,25730000000,3,china
