name,code,rank,ceo,country,sector,industry,headquarters,employees,founded,marketcap,revenue,net_income,link
huazhu group limited,htht,782,,china,consumer discretionary,lodging,"shanghai, china","18,352",2005,23340000000,,,"https://www.huazhu.com, https://en.wikipedia.org/wiki/huazhu hotels group"
garmin ltd,grmn,781,clifton albert pemble,switzerland,technology,scientific & technical instruments,"schaffhausen, switzerland","18,700",october 1989,23350000000,4190000000,992000000,"https://www.garmin.com, https://www.facebook.com/garmin/, https://twitter.com/garmin, https://www.linkedin.com/company/garmin-international, https://en.wikipedia.org/wiki/garmin"
united microelectronics corporation,2303,780,,taiwan,technology,semiconductors,"hsinchu city, taiwan","19,500",,23350000000,,,"https://www.umc.com, https://www.linkedin.com/company/united-microelectronics-corporation-umc-"
liberty broadband corporation,lbrdk,779,gregory b maffei,united states,communication services,entertainment,"englewood, co, united states",,,23400000000,,,https://www.libertybroadband.com
formosa plastics corp,1301,778,,taiwan,basic materials,specialty chemicals,"kaohsiung, taiwan",,,23420000000,,,https://www.fpc.com.tw
fortis inc,fts,777,david gerard hutchens,canada,utilities,utilitiesregulated electric,"st. john's, nf, canada","9,095",,23430000000,,,"https://www.fortisinc.com, https://www.linkedin.com/company/fortis-inc."
rocket companies inc,rkt,776,jay d farner,united states,financials,mortgage finance,"detroit, mi, united states","26,000",1985,23440000000,15735000000,932000000,"https://www.rocketcompanies.com, https://en.wikipedia.org/wiki/quicken loans"
maxim integrated products inc,mxim,775,,united states,technology,semiconductors,"san jose, ca, united states","7,100",1983,23440000000,2632000000,827000000,"http://www.maximintegrated.com, https://www.facebook.com/maximintegrated, https://twitter.com/maximintegrated, https://www.linkedin.com/company/maxim-integrated/, https://en.wikipedia.org/wiki/maxim integrated"
mtn group ltd,mtn,774,ralph tendai mupita bsc mba,south africa,communication services,telecom services,"johannesburg, south africa","21,975",,23450000000,,,https://www.mtn.com
kubota corp,6326,773,,japan,industrials,farm & heavy construction machinery,"osaka, japan","43,293",,23460000000,,,https://www.kubota.co.jp
first quantum minerals ltd,fm,772,philip kelvin rodda pascall,canada,basic materials,copper,"toronto, on, canada","20,000",1983,23470000000,,,"https://www.first-quantum.com, https://en.wikipedia.org/wiki/first quantum minerals"
pt bank mandiri persero tbk,pq9,771,,indonesia,financials,banks,"jakarta, indonesia","37,840",,23510000000,,,https://bankmandiri.co.id
beiersdorf ag,bei,770,vincent warnery,germany,consumer staples,household & personal products,"hamburg, germany","20,567",,23510000000,,,https://www.beiersdorf.com
sungrow power supply co ltd,300274,769,ren xian cao,china,industrials,electrical equipment & parts,"hefei, china","4,492",,23550000000,,,https://www.en.sungrowpower.com
stanley black & decker inc,swk,768,james m loree,united states,industrials,tools & accessories,"new britain, ct, united states","71,300",1843,23570000000,15600000000,1560000000,"https://www.stanleyblackanddecker.com, https://www.facebook.com/stanleyblackanddecker, https://twitter.com/stanleyblkdeckr, https://www.linkedin.com/company/stanley-black-decker-inc, https://en.wikipedia.org/wiki/stanley black %26 decker"
baoshan iron & steel co ltd,600019,767,,china,basic materials,steel,"shanghai, china","47,710",,23590000000,,,https://www.baosteel.com
horizon therapeutics public limited company,hznp,766,timothy p walbert,ireland,healthcare,drug manufacturersgeneral,"dublin, ireland","1,890",2005,23640000000,3220000000,264000000,"https://www.horizontherapeutics.com, https://www.facebook.com/horizontherapeutics, https://twitter.com/horizonnews, https://www.linkedin.com/company/horizontherapeutics, https://en.wikipedia.org/wiki/horizon therapeutics"
michelin,ml,765,florent menegaux,france,consumer discretionary,auto parts,"clermont-ferrand, france","118,400",,23650000000,,,https://www.michelin.com
sse plc,sse,764,alistair phillips-davies,united kingdom,utilities,utilitiesdiversified,"perth, united kingdom","11,865",1998,23730000000,"6,826.4 million (2021)","2,322.8 million (2021)","https://www.sse.com, https://www.facebook.com/yoursse/, https://twitter.com/sse, https://www.linkedin.com/company/sse-plc/, https://en.wikipedia.org/wiki/sse plc"
endesa sa,ele,763,jose damian bogas galvez,spain,utilities,utilitiesregulated electric,"madrid, spain","9,258",,23780000000,,,https://www.endesa.com
ventas inc,vtr,762,debra a cafaro,united states,real estate,reithealthcare facilities,"chicago, il, united states",434,1998,23810000000,3800000000,$433 millions (2019),"https://www.ventasreit.com, https://www.facebook.com/ventasreit, https://www.linkedin.com/company/ventas-inc., https://en.wikipedia.org/wiki/ventas  company "
eve energy co ltd,300014,761,,china,industrials,electrical equipment & parts,"huizhou, china","9,669",,23820000000,,,https://www.evebattery.com
splunk inc,splk,760,graham vivian smith,united states,technology,softwareinfrastructure,"san francisco, ca, united states","7,500",october 2003,23840000000,2360000000,us$ -336 million (fy 2020),"https://www.splunk.com, https://en.wikipedia.org/wiki/splunk"
m3 inc,2413,759,,japan,healthcare,health information services,"tokyo, japan","8,249",,23890000000,,,https://corporate.m3.com
entergy corporation,etr,758,leo p denault,united states,utilities,utilitiesdiversified,"new orleans, la, united states","12,369",1913,23920000000,10113000000,1406000000,"https://www.entergy.com, https://en.wikipedia.org/wiki/entergy"
steris plc,ste,757,daniel a carestio,ireland,healthcare,medical instruments & supplies,"dublin, ireland","13,000",1985,23930000000,2,304,"https://www.steris.com, https://en.wikipedia.org/wiki/steris"
best buy co inc,bby,756,corie sue barry,united states,consumer discretionary,specialty retail,"richfield, mn, united states","57,750","august 22, 1966",23930000000,"us$47.262 billion (fiscal year ended january 30, 2021)","us$1.798 billion (fiscal year ended january 30, 2021)","https://investors.bestbuy.com/investor-relations/overview/default.aspx, https://en.wikipedia.org/wiki/best buy"
csc financial co ltd,601066,755,,china,financials,capital markets,"beijing, china","9,994",,23940000000,,,https://www.csc108.com
martin marietta materials inc,mlm,754,c howard nye,united states,basic materials,building materials,"raleigh, nc, united states","10,000",1993,23940000000,4700000000,721000000,"https://www.martinmarietta.com, https://en.wikipedia.org/wiki/martin marietta inc."
orix corporation,8591,753,makoto inoue,japan,financials,credit services,"tokyo, japan","33,153",,23970000000,,,"https://www.orix.co.jp, https://www.linkedin.com/company/orix-group/"
schindler holding ag,schn,752,silvio napoli,switzerland,industrials,specialty industrial machinery,"hergiswil, switzerland","69,015",,24020000000,,,https://www.schindler.com
public joint stock company polyus,plzl,751,,russia,basic materials,gold,"moscow, russia",,,24020000000,,,"https://www.polyus.com, https://www.facebook.com/pao.polyus/, https://twitter.com/pao polyus"
church & dwight co inc,chd,734,matthew thomas farrell,united states,consumer staples,household & personal products,"ewing, nj, united states","5,100","1847: as john dwight and company 1896: as church & dwight, co.",24810000000,3400000000,,"https://churchdwight.com, https://en.wikipedia.org/wiki/church %26 dwight"
verisign inc,vrsn,733,d james bidzos,united states,technology,softwareinfrastructure,"reston, va, united states",902,"april 12, 1995",24810000000,1170000000,492000000,"https://www.verisign.com, https://www.facebook.com/verisign, https://www.linkedin.com/company/verisign, https://en.wikipedia.org/wiki/verisign"
diamondback energy inc,fang,732,travis d stice,united states,energy,oil & gas e&p,"midland, tx, united states",870,,24840000000,2813000000,-us$4.517 billion (2020),"https://www.diamondbackenergy.com, https://en.wikipedia.org/wiki/diamondback energy"
seagen inc,sgen,731,clay b siegall,united states,healthcare,biotechnology,"bothell, wa, united states","2,675",1997,24870000000,2176000000,,"https://www.seagen.com, https://en.wikipedia.org/wiki/seagen"
palantir technologies inc,pltr,730,alexander c karp,united states,technology,softwareinfrastructure,"denver, co, united states","2,920",2003,24910000000,us$1.541 billion (fye 31 dec. 2021),us$-520.379 million (fye 31 dec. 2021),"https://www.palantir.com, https://www.facebook.com/palantir, https://twitter.com/palantirtech, https://www.linkedin.com/company/palantir-technologies, https://en.wikipedia.org/wiki/palantir technologies"
delta air lines inc,dal,729,edward h bastian,united states,industrials,airlines,"atlanta, ga, united states","83,000","march 2, 1925",24920000000,47007000000,4767000000,"https://www.delta.com, https://www.facebook.com/delta, https://twitter.com/delta, https://www.linkedin.com/company/2272, https://en.wikipedia.org/wiki/delta air lines"
edp renovaveis sa,edpr,728,miguel stilwell de andrade,spain,utilities,utilitiesrenewable,"madrid, spain","2,114",,25010000000,,,https://www.edpr.com/es
gartner inc,it,727,eugene a hall,united states,technology,information technology services,"stamford, ct, united states","16,600",1979,25030000000,4250000000,233000000,"https://www.gartner.com, https://www.facebook.com/gartner, https://twitter.com/gartner inc, https://www.linkedin.com/company/gartner, https://en.wikipedia.org/wiki/gartner"
cdw corporation,cdw,726,christine a leahy,united states,technology,information technology services,"lincolnshire, il, united states","13,900",1984,25040000000,"us$18.467 billion (fiscal year ended december 31, 2020)","us$788.5 million (fiscal year ended december 31, 2020)","https://www.cdw.com, https://en.wikipedia.org/wiki/cdw"
the mosaic company,mos,725,james c o'rourke peng,united states,basic materials,agricultural inputs,"tampa, fl, united states","12,525","october 22, 2004",25090000000,8900000000,us$ -104.2 million (2017),"https://www.mosaicco.com, https://www.facebook.com/mosaiccompany, https://twitter.com/mosaiccompany, https://www.linkedin.com/company/mosaiccompany, https://en.wikipedia.org/wiki/the mosaic company"
skandinaviska enskilda banken ab,seb.a,724,johan torgeby,sweden,financials,banks,"stockholm, sweden","15,500",,25150000000,,,https://sebgroup.com
galaxy entertainment group ltd,0027,723,,hong kong,consumer discretionary,resorts & casinos,"central, hong kong","17,088",,25170000000,,,https://www.galaxyentertainment.com
legrand sa,lr,722,benoat coquart,france,industrials,specialty industrial machinery,"limoges, france","38,207",,25190000000,,,https://www.legrandgroup.com
enphase energy inc,enph,721,badrinarayanan kothandaraman,united states,technology,solar,"fremont, ca, united states","2,260",2006,25200000000,774400000,134000000,"https://www.enphase.com, https://en.wikipedia.org/wiki/enphase energy"
ck asset holdings limited,1113,720,,hong kong,real estate,real estatedevelopment,"central, hong kong","54,000",,25210000000,,,https://www.ckah.com
albemarle corporation,alb,719,jerry kent masters jr,united states,basic materials,specialty chemicals,"charlotte, nc, united states","6,000",1994,25250000000,3128000000,375000000,"https://www.albemarle.com, https://en.wikipedia.org/wiki/albemarle corporation"
firstenergy corp,fe,718,steven e strah,united states,utilities,utilitiesdiversified,"akron, oh, united states","12,395","november 7, 1997",25260000000,10790000000,1079000000,"https://www.firstenergycorp.com, https://www.facebook.com/firstenergycareers/, https://twitter.com/firstenergycorp, https://www.linkedin.com/company/firstenergy-corp, https://en.wikipedia.org/wiki/firstenergy"
yanzhou coal mining company ltd,600188,717,,china,energy,thermal coal,"zoucheng, china","63,869",,25260000000,,,https://www.yanzhoucoal.com.cn
clp holdings ltd,0002,716,richard kendall lancaster be,hong kong,utilities,utilitiesregulated electric,"hung hom, hong kong","7,061",,25290000000,,,https://www.clpgroup.com
straumann holding ag,stmn,715,guillaume daniellot,switzerland,healthcare,medical instruments & supplies,"basel, switzerland","8,692",,25310000000,,,https://www.straumann.com
lennar corporation,len,714,jonathan m jaffe,united states,consumer discretionary,residential construction,"miami, fl, united states","10,753",1954,25340000000,"us$27.130 billion (fiscal year ended november 30, 2021)","us$4.430 billion (fiscal year ended november 30, 2021)","https://www.lennar.com, https://www.facebook.com/lennar, https://twitter.com/lennar, https://www.linkedin.com/company/lennar, https://en.wikipedia.org/wiki/lennar"
nan ya plastics corp,1303,713,,taiwan,basic materials,specialty chemicals,"kaohsiung, taiwan",,,25410000000,,,https://www.npc.com.tw
united rentals inc,uri,712,matthew j flannery,united states,industrials,rental & leasing services,"stamford, ct, united states","20,400","august 14, 1997",25460000000,8529999999,890000000,"https://www.unitedrentals.com, https://www.facebook.com/pages/united-rentals-inc/200631115132, https://twitter.com/united rentals, https://www.linkedin.com/company/united-rentals, https://en.wikipedia.org/wiki/united rentals"
axis bank ltd,axisbank,711,amitabh chaudhry,india,financials,banks,"mumbai, india","86,266",,25540000000,,,https://www.axisbank.com
banco santander brasil sa,sanb11,710,mario roberto opice leao,brazil,financials,banks,"sao paulo, sp, brazil","48,834",1982,25590000000,28000000000,3000000000,"https://www.santander.com.br, https://www.facebook.com/santanderbrasil, https://www.twitter.com/santander br, https://en.wikipedia.org/wiki/santander brasil"
mitsubishi electric corporation,6503,709,kei uruma,japan,industrials,electrical equipment & parts,"tokyo, japan","145,653","january 15, 1921",25610000000,"4,394.4 billion (2017)",153.5 billion (2014),"https://www.mitsubishielectric.com/en/index.html, https://en.wikipedia.org/wiki/mitsubishi electric"
mongodb inc,mdb,708,dev c ittycheria,united states,technology,softwareinfrastructure,"new york, ny, united states","2,539",2007,25730000000,873800000,,"https://www.mongodb.com, https://www.facebook.com/mongodb, https://twitter.com/mongodb, https://www.linkedin.com/company/783611, https://en.wikipedia.org/wiki/mongodb inc."
laboratory corporation of america holdings,lh,707,adam h schechter,united states,healthcare,diagnostics & research,"burlington, nc, united states","67,950","september 5, 1978",25750000000,"us$ 11,333.4 million (2018)",us$ 436.9 million (2015)  us$ 511.2 million (2014),"https://www.labcorp.com, https://www.facebook.com/labcorp-1639041059681535/, https://twitter.com/labcorp, https://www.linkedin.com/company/labcorp/, https://en.wikipedia.org/wiki/labcorp"
the hartford financial services group inc,hig,706,christopher jerome swift cpa,united states,financials,insurancediversified,"hartford, ct, united states","18,100",1810,25760000000,20740000000,2089999999,"https://www.thehartford.com, https://en.wikipedia.org/wiki/hartford financial svc.gp."
enbw energie baden-wuerttemberg ag,ebk,705,frank mastiaux,germany,utilities,utilitiesdiversified,"karlsruhe, germany","24,519",,25820000000,,,https://www.enbw.com
li auto inc,li,704,xiang li,china,consumer discretionary,auto manufacturers,"beijing, china","11,901",2015,25830000000,,,"https://www.lixiang.com, https://www.linkedin.com/company/%e8%bd%a6%e5%92%8c%e5%ae%b6/, https://en.wikipedia.org/wiki/li auto"
central japan railway co,9022,703,,japan,industrials,railroads,"nagoya, japan","30,153",,26000000000,,,https://www.jr-central.co.jp
telefonica sa,tef,702,jose maraa alvarez-pallete lopez,spain,communication services,telecom services,"madrid, spain","104,150",19 april 1924,26040000000,43.076 billion (2020),1.582 billion (2020),"https://www.telefonica.com, https://en.wikipedia.org/wiki/telef%c3%b3nica"
roblox corp,rblx,701,david baszucki,united states,communication services,electronic gaming & multimedia,"san mateo, ca, united states","1,600",,26050000000,,,https://corp.roblox.com
sandvik ab,sand,684,stefan widing,sweden,industrials,specialty industrial machinery,"stockholm, sweden","44,133",,26710000000,,,https://www.home.sandvik
vonovia se,vna,683,rolf eberhard buch,germany,real estate,real estate services,"bochum, germany","16,051",,26780000000,,,https://www.vonovia.de
beijing wantai biological pharmacy enterprise co ltd,603392,682,,china,healthcare,biotechnology,"beijing, china","3,103",,26800000000,,,https://www.ystwt.com
evolution gaming group ab,evo,681,,sweden,consumer discretionary,gambling,"stockholm, sweden","8,987",,26820000000,,,https://www.evolution.com
bridgestone corp,5108,680,shuichi ishibashi,japan,consumer discretionary,auto parts,"tokyo, japan","138,036",,26880000000,,,https://www.bridgestone.co.jp
zimmer biomet holdings inc,zbh,679,bryan c hanson,united states,healthcare,medical devices,"warsaw, in, united states","19,500",1927,26940000000,7824000000,,"https://www.zimmerbiomet.com, https://www.facebook.com/zimmerbiomet-1780224515629844, https://twitter.com/zimmerbiomet, https://www.linkedin.com/company/zimmerbiomet/, https://en.wikipedia.org/wiki/zimmer biomet"
aier eye hospital group co ltd,300015,678,,china,healthcare,medical care facilities,"changsha, china","22,808",,26950000000,,,https://www.aierchina.com
shaanxi coal industry company ltd,601225,677,,china,energy,thermal coal,"xi'an, china","36,344",,26950000000,,,https://www.shxcoal.com
ansys inc,anss,676,ajei s gopal phd,united states,technology,softwareapplication,"canonsburg, pa, united states","5,100","canonsburg, pennsylvania, united states 1970",26980000000,1516000000,451300000,"https://www.ansys.com, https://www.facebook.com/ansysinc, https://twitter.com/ansys, https://www.linkedin.com/company/ansys-inc, https://en.wikipedia.org/wiki/ansys"
chocoladefabriken lindt & sprungli ag,lisn,675,dieter weisskopf phd,switzerland,consumer staples,confectioners,"kilchberg, switzerland","14,000",,27080000000,,,https://www.lindt-spruengli.com
tractor supply company,tsco,674,harry a lawton iii,united states,consumer discretionary,specialty retail,"brentwood, tn, united states","22,000",1938,27090000000,12731000000,997100000,"https://www.tractorsupply.com, https://en.wikipedia.org/wiki/tractor supply"
fubon financial holding co ltd,2881,673,,taiwan,financials,insurancelife,"taipei, taiwan","44,461",,27130000000,,,https://www.fubon.com
gazprom neft pjsc,sibn,672,alexander valerievich dyukov,russia,energy,oil & gas integrated,"saint petersburg, russia",,,27140000000,,,https://www.gazprom-neft.com
interactive brokers group inc,ibkr,671,milan galik,united states,financials,capital markets,"greenwich, ct, united states","2,571","new york city, united states 1978",27220000000,2218000000,1179000000,"https://www.interactivebrokers.com, https://en.wikipedia.org/wiki/interactive brokers"
will semiconductor co ltd,603501,670,,china,technology,semiconductors,"shanghai, china","3,291",,27240000000,,,https://www.willsemi.com
ganfeng lithium co ltd,002460,669,liangbin li,china,basic materials,chemicals,"xinyu, china","5,533",,27250000000,,,https://www.ganfenglithium.com
ntt data corp,9613,668,hiroshi honma,japan,technology,information technology services,"tokyo, japan","139,677",,27260000000,,,https://www.nttdata.com
mccormick & company incorporated,mkc,667,lawrence e kurzius,united states,consumer staples,packaged foods,"hunt valley, md, united states","14,000",1889,27290000000,"us$6.317 billion (fiscal year ended november 30, 2021)","us$0.755 billion (fiscal year ended november 30, 2021)","https://www.mccormickcorporation.com, https://www.facebook.com/mccormickspice, https://twitter.com/mccormickcorp, https://www.linkedin.com/company/mccormick, https://en.wikipedia.org/wiki/mccormick %26 co."
kone oyj,knebv,666,henrik ehrnrooth msc econ,finland,industrials,specialty industrial machinery,"espoo, finland","62,720",,27290000000,,,https://www.kone.com
nari technology co ltd,600406,665,,china,industrials,specialty industrial machinery,"nanjing, china","8,806",,27330000000,,,https://www.naritech.cn
ww grainger inc,gww,664,donald g macpherson,united states,industrials,industrial distribution,"lake forest, il, united states","22,700",1927,27330000000,11800000000,695000000,"https://www.grainger.com, https://www.facebook.com/grainger, https://twitter.com/grainger, https://www.linkedin.com/company/w.w.-grainger, https://en.wikipedia.org/wiki/grainger  w.w.  inc."
dr horton inc,dhi,663,david v auld,united states,consumer discretionary,residential construction,"arlington, tx, united states","11,788",1978,27340000000,14091000000,1038000000,"https://www.drhorton.com, https://www.facebook.com/drhorton.homes, https://twitter.com/drhorton, https://www.linkedin.com/company/dr-horton, https://en.wikipedia.org/wiki/d. r. horton"
sartorius,srt,662,joachim kreuzburg,germany,healthcare,medical instruments & supplies,"gottingen, germany","13,832",,27350000000,,,https://www.sartorius.com
extra space storage inc,exr,661,joseph daniel margolis jd,united states,real estate,reitindustrial,"salt lake city, ut, united states","4,309",1977,27370000000,1577000000,877000000,"https://www.extraspace.com, https://www.facebook.com/extraspace, https://twitter.com/extraspace, https://en.wikipedia.org/wiki/extra space storage"
sampo oyj,sampo,660,torbjorn magnusson,finland,financials,insurancediversified,"helsinki, finland","13,340",,27460000000,,,https://www.sampo.com
caixabank sa,cabk,659,gonzalo maria gortazar rotaeche,spain,financials,banks,"valencia, spain","49,607",,27580000000,,,https://www.caixabank.com
on semiconductor corporation,on,658,hassane s el-khoury,united states,technology,semiconductors,"phoenix, az, united states","30,000",1999,27630000000,5878000000,629900000,"https://www.onsemi.com, https://en.wikipedia.org/wiki/on semiconductor"
wolters kluwer nv,wkl,657,nancy mckinstry,netherlands,communication services,publishing,"alphen aan den rijn, netherlands","19,454",,27650000000,,,https://wolterskluwer.com
edison international,eix,656,pej pizarro,united states,utilities,utilitiesregulated electric,"rosemead, ca, united states","13,003",1886,27670000000,$12.6 billion (2013)12.4%,$849 million (2013)30%,"https://www.edison.com, https://www.facebook.com/sce, https://twitter.com/edisonintl, https://www.linkedin.com/company/edison-international, https://en.wikipedia.org/wiki/edison int%27l"
swiss re ag,sren,655,,switzerland,financials,insurancereinsurance,"zurich, switzerland","13,985",,27800000000,,,https://www.swissre.com
thai beverage public company ltd,y92,654,thapana sirivadhanabhakdi,thailand,consumer staples,beverageswineries & distilleries,"bangkok, thailand",,,27810000000,,,https://www.thaibev.com
great-west lifeco inc,gwo,653,paul anthony mahon,canada,financials,insurancelife,"winnipeg, mb, canada","28,000",1891,27850000000,c$60.6 bil ytd dec'202065.9%,c$40.0 bil ytd dec'202064.8%,"https://www.greatwestlifeco.com, https://en.wikipedia.org/wiki/great-west lifeco"
koninklijke philips nv,phia,652,franaois adrianus van houten,netherlands,healthcare,diagnostics & research,"amsterdam, netherlands","78,189",15 may 1891,27890000000,19.535 billion (2020),1.195 billion (2020),"https://www.philips.com, https://www.facebook.com/philipsphilippines/, https://twitter.com/philips, https://en.wikipedia.org/wiki/philips"
first republic bank,frc,651,michael j roffler,united states,financials,banks,"san francisco, ca, united states","6,295",1985,27900000000,,,"https://www.firstrepublic.com, https://www.facebook.com/firstrepublicbank, https://twitter.com/firstrepublic, https://www.linkedin.com/company/first-republic-bank, https://en.wikipedia.org/wiki/first republic bank"
svb financial group,sivb,634,gregory w becker,united states,financials,banks,"santa clara, ca, united states","6,567",1983,28910000000,,,"https://www.svb.com, https://en.wikipedia.org/wiki/silicon valley bank"
cosco shipping holdings co ltd,601919,633,,china,industrials,marine shipping,"shanghai, china","29,379",,28930000000,,,https://hold.coscoshipping.com
rwe ag,rwe,632,markus krebber,germany,utilities,utilitiesdiversified,"essen, germany","18,902",,29060000000,,,https://www.group.rwe/en
las vegas sands corp,lvs,631,robert glen goldstein,united states,consumer discretionary,resorts & casinos,"las vegas, nv, united states","44,500","november 17, 1988",29070000000,3612000000,us$2.143 billion (2020),"https://www.sands.com, https://en.wikipedia.org/wiki/las vegas sands"
tongwei co ltd,600438,630,,china,consumer staples,farm products,"chengdu, china","25,549",,29100000000,,,https://www.tongwei.com.cn
rogers communications inc,rci.b,629,anthony staffieri fca fca fcpa,canada,communication services,telecom services,"toronto, on, canada","23,000",,29130000000,,,"https://www.rogers.com, https://www.facebook.com/rogers, https://twitter.com/rogersbuzz, https://www.linkedin.com/company/rogers-communications"
edf,edf,628,jean-bernard levy,france,utilities,utilitiesdiversified,"paris, france","163,423",,29170000000,,,https://www.edf.fr
amadeus it group sa,ams,627,luis maroto camino,spain,technology,information technology services,"madrid, spain","15,936",,29190000000,,,https://www.amadeus.com
astellas pharma inc,4503,626,kenji yasukawa phd,japan,healthcare,drug manufacturersgeneral,"tokyo, japan","15,455",,29220000000,,,https://www.astellas.com
keysight technologies inc,keys,625,ronald s nersesian,united states,technology,scientific & technical instruments,"santa rosa, ca, united states","14,300",2014,29400000000,4300000000,621000000,"https://www.keysight.com, https://www.facebook.com/keysight, https://twitter.com/keysight, https://www.linkedin.com/company/keysight-technologies, https://en.wikipedia.org/wiki/keysight"
ball corporation,bll,624,john a hayes,united states,consumer discretionary,packaging & containers,"westminster, ca, united states","24,300",1880,29400000000,"us$11.781 billion (fiscal year ended december 31, 2020)","us$0.585 billion (fiscal year ended december 31, 2020)","https://www.ball.com, https://en.wikipedia.org/wiki/ball corporation"
saudi electricity company,5110,623,,saudi arabia,utilities,utilitiesregulated electric,"riyadh, saudi arabia",,,29420000000,,,https://www.se.com.sa
weyerhaeuser company,wy,622,devin w stockfish esq jd,united states,real estate,reitspecialty,"seattle, wa, united states","9,214",1900,29420000000,7530000000,797000000,"https://www.weyerhaeuser.com, https://www.facebook.com/weyerhaeusercompany, https://twitter.com/woodbywy, https://www.linkedin.com/company/weyerhaeuser, https://en.wikipedia.org/wiki/weyerhaeuser"
nasdaq inc,ndaq,621,adena t friedman,united states,financials,financial data & stock exchanges,"new york, ny, united states","5,814","february 8, 1971",29520000000,5627000000,1030999999,"https://www.nasdaq.com, https://en.wikipedia.org/wiki/nasdaq, inc."
spotify technology sa,spot,620,daniel g ek,luxembourg,communication services,internet content & information,"luxembourg, luxembourg","6,617",23 april 2006,29560000000,"us$9.668 billion (fiscal year ended december 31, 2021)","us$34 million (fiscal year ended december 31, 2021)","https://www.spotify.com, https://www.facebook.com/spotify, https://twitter.com/spotify, https://www.linkedin.com/company/spotify, https://en.wikipedia.org/wiki/spotify"
copart inc,cprt,619,a jayson adair,united states,industrials,specialty business services,"dallas, tx, united states","8,600","vallejo, california 1982",29580000000,,,"https://www.copart.com, https://en.wikipedia.org/wiki/copart"
cathay financial holding co ltd,2882,618,,taiwan,financials,insurancelife,"taipei, taiwan","57,347",,29580000000,,,https://www.cathayholdings.com
unicredit spa,ucg,617,andrea orcel,italy,financials,banks,"milan, mi, italy","80,879",,29650000000,,,https://www.unicreditgroup.eu
kbc group nv,kdb,616,johan thijs,belgium,financials,banks,"brussels, belgium","33,916",,29810000000,,,https://www.kbc.com
match group inc,mtch,615,sharmistha dubey,united states,communication services,internet content & information,"dallas, tx, united states","2,500",1986,29820000000,2391000000,188000000,"https://www.mtch.com, https://en.wikipedia.org/wiki/match group"
willis towers watson plc,wltw,614,carl a hess,united kingdom,financials,insurance brokers,"london, united kingdom","46,000",5 january 2016,29850000000,9040000000,1070000000,"https://www.willistowerswatson.com, https://en.wikipedia.org/wiki/willis towers watson"
riyad bank,1010,613,mohammed abdullah al-yahya,saudi arabia,financials,banks,"riyadh, saudi arabia","5,660",,29860000000,,,https://www.riyadbank.com
vestas wind systea-s,vws,612,henrik andersen,denmark,industrials,specialty industrial machinery,"aarhus, denmark","29,427",,29930000000,,,https://www.vestas.com
cummins inc,cmi,611,n thomas linebarger,united states,industrials,specialty industrial machinery,"columbus, in, united states","59,900",1919,29940000000,19811000000,1811000000,"https://www.cummins.com, https://en.wikipedia.org/wiki/cummins"
assa abloy ab,alz,610,nico delvaux,sweden,industrials,security & protection services,"stockholm, sweden","51,000",,30050000000,,,https://www.assaabloy.com
alexandria real estate equities inc,are,609,peter m moglia,united states,real estate,reitoffice,"pasadena, ca, united states",559,october 1994,30100000000,1885000000,760000000,"https://www.are.com, https://en.wikipedia.org/wiki/alexandria real estate equities"
saint-gobain,sgo,608,benoit bazin,france,industrials,building products & equipment,"courbevoie, france","167,816",,30160000000,,,"https://www.saint-gobain.com, https://www.facebook.com/saintgobaingroup, https://www.twitter.com/saintgobain, https://www.linkedin.com/company/saint-gobain"
west pharmaceutical services inc,wst,607,eric m green,united states,healthcare,medical instruments & supplies,"exton, pa, united states","10,065",1923,30230000000,"us$1,849.9 million (2019)",241700000,"https://www.westpharma.com, https://www.facebook.com/westpharma, https://twitter.com/westpharma, https://www.linkedin.com/company/west-pharmaceutical-services, https://en.wikipedia.org/wiki/west pharmaceutical services"
fujitsu ltd,6702,606,takahito tokita,japan,technology,information technology services,"tokyo, japan","126,371",,30280000000,,,https://www.fujitsu.com
american water works company inc,awk,605,m susan hardwick,united states,utilities,utilitiesregulated water,"camden, nj, united states","6,400",1886,30430000000,3770000000,709000000,"https://www.amwater.com, https://www.facebook.com/weareamericanwater, https://twitter.com/amwater, https://www.linkedin.com/company/9226, https://en.wikipedia.org/wiki/american water works"
cbre group inc,cbre,604,robert e sulentic,united states,real estate,real estate services,"los angeles, ca, united states","105,000","august 27, 1906",30450000000,"us$23.826 billion (fiscal year ended december 31, 2020)","us$755.868 million (fiscal year ended december 31, 2020)","https://www.cbre.com, https://www.facebook.com/cbre, https://twitter.com/cbre, https://www.linkedin.com/company/cbre, https://en.wikipedia.org/wiki/cbre group"
fifth third bancorp,fitb,603,gregory d carmichael,united states,financials,banks,"cincinnati, oh, united states","19,112","june 17, 1858",30460000000,,2512000000,"https://www.53.com, https://www.facebook.com/fifththirdbank, https://twitter.com/fifththird, https://www.linkedin.com/company/fifth-third-bank, https://en.wikipedia.org/wiki/fifth third bancorp"
bae systeplc,ba.,602,,united kingdom,industrials,aerospace & defense,"london, united kingdom","89,600",30 november 1999,30510000000,19.52 billion (2021),1.91 billion (2021),"https://www.baesystems.com, https://www.facebook.com/baesystemsinc, https://twitter.com/baesystemsinc, https://www.linkedin.com/company/bae-systems, https://en.wikipedia.org/wiki/bae systems"
