name,world_rank,market_value,market_cap,ceo,country
sanofi,116,126370000000,130900000000,,france
starbucks corporation,117,126200000000,138530000000,howard schultz,usa
commonwealth bank of australia,118,125770000000,132470000000,,australia
aia group,119,125620000000,147550000000,lee yuan siong,hong kong
diageo,120,123290000000,112110000000,,uk
american tower corporation reit,121,121400000000,133740000000,james d taiclet jr,usa
caterpillar,122,121270000000,115440000000,jim umpleby,usa
ibm,123,120850000000,125790000000,,usa
rio tinto group,124,116980000000,121550000000,,uk
deere & company,125,116400000000,118130000000,john c may,usa
intuitive surgical,126,115850000000,125360000000,craig h barratt,usa
hdfc bank,127,114330000000,121600000000,,india
prologis,128,113660000000,99902000000,hamid moghadam,usa
servicenow,129,112710000000,127500000000,fred luddy,usa
general electric company,130,111350000000,115700000000,,usa
target corporation,131,110570000000,120540000000,navneet kapoor,usa
glaxosmithkline,132,110320000000,102500000000,,uk
china life insurance company,133,109770000000,105170000000,yang mingsheng,china
anheuser-busch inbev,134,109500000000,123700000000,,belgium
charter communications,135,109450000000,150120000000,thomas m rutledge,usa
gazprom,136,108150000000,102610000000,viktor zubkov,russia
s&p global,137,107670000000,106960000000,richard e thornburgh,usa
schneider electric,138,107120000000,100250000000,,france
ingram micro,139,139,139,,usa
vanguard group,139,139,,tim buckley,usa
conocophillips company,140,106360000000,74359000000,ryan lance,usa
jdcom,141,106000000000,122680000000,richard qiangdong liu,china
micron technology,142,105800000000,82968000000,robert e switz,usa
anthem,143,105580000000,91462000000,elizabeth e tallett,usa
airbnb,144,105510000000,97433000000,brian chesky,usa
airbus,145,105090000000,108800000000,,netherlands
koch industries,145,145,145,charles g koch,usa
bytedance,145,145,145,zhang yiming,china
sea limited,146,104350000000,181990000000,forrest li,singapore
3m company,147,103700000000,112680000000,mike roman,usa
allianz se,148,103280000000,97559000000,,germany
infosys,149,102720000000,101040000000,,india
merck kgaa on,150,102500000000,103430000000,,germany
nippon telegraph and telephone corporation,151,101570000000,98171000000,satoshi miura,japan
ntt docomo,152,101260000000,97019000000,motoyuki ii,japan
kering,153,101130000000,101460000000,,france
automatic data processing adp,154,100640000000,88441000000,arthur f weinbach,usa
booking holdings,155,99972000000,94424000000,robert j mylod jr,usa
zoetis,156,99872000000,97222000000,juan ramon alaix,usa
stryker corporation,157,99429000000,104490000000,kevin a lobo,usa
lockheed martin corporation,158,99322000000,100260000000,marillyn hewson,usa
inditex industria de diseno textil,159,98655000000,106260000000,marta ortega,spain
ford motor company,160,97668000000,52052000000,william clay ford jr,usa
bp plc,161,97619000000,83106000000,,uk
csl,162,97072000000,104100000000,,australia
al rajhi banking and investment corporation,163,94931000000,81675000000,abdullah bin sulaiman,saudi arabia
robert bosch,163,163,163,stefan hartung,germany
the pnc financial services group,164,94557000000,81216000000,jim rohr,usa
saudi basic industries corporation sabic,165,94398000000,99468000000,abdulaziz saleh aljarbou,saudi arabia
lam research corporation,166,94235000000,85857000000,abhijit y talwalkar,usa
mondelez international,167,94230000000,86888000000,dirk van de put,usa
byd company,168,92257000000,111350000000,wang chuanfu,china
deutsche telekom ag,169,92028000000,100940000000,,germany
snowflake,170,91792000000,90118000000,frank slootman,usa
altria group,171,91427000000,92628000000,farrell,usa
audi ag,171,171,82150000000,,germany
deloitte,171,171,171,punit renjen,uk
bnp paribas,172,90457000000,81165000000,,france
us bancorp,173,90451000000,85088000000,andrew cecere,usa
general motors company,174,90407000000,71149000000,mary barra,usa
cargill,174,174,174,,usa
recruit holdings,175,90237000000,96041000000,masumi minegishi,japan
brookfield asset management,176,89968000000,87110000000,frank mckenna,canada
equinor asa,177,89918000000,69062000000,marit arnstad,norway
british american tobacco,178,89470000000,86485000000,,uk
mercedec benz group ag,179,89412000000,89843000000,,germany
gilead sciences,180,89387000000,91252000000,daniel oday,usa
essilor luxottica,181,89047000000,87399000000,,france
the tjx companies,182,88726000000,87449000000,ernie herrman,usa
analog devices,183,88697000000,87571000000,vincent roche,usa
bank of nova scotia,184,87963000000,75020000000,brian j porter,canada
tokyo electron limited,185,87398000000,67212999999,tetsuo tsuneishi,japan
canadian national railway company,186,87195000000,83116000000,robert pace,canada
truist financial corporation,187,86768000000,76165000000,william h bill rogers jr,usa
moderna,188,86710000000,152050000000,stephane bancel,usa
chubb,189,86661000000,80693000000,evan g greenberg,switzerland
swatch group ag,190,85629000000,72635000000,nayla hayek,switzerland
midea group,191,85137000000,72414000000,fang hongbo,china
sherwin-williacompany,192,84747000000,79957000000,john g morikis,usa
pricewaterhousecoopers,193,193,193,sanjeev krishan,uk
compagnie financiere richemont sa,194,84500000000,62283000000,jerome lambert,switzerland
air liquide,195,84264000000,84795000000,,france
crown castle international corporation,196,84163000000,84373000000,landis martin,usa
sberbank of russia,197,83756000000,101810000000,sergey ignatiev,russia
csx corporation,198,83196000000,73339000000,michael j ward,usa
blackstone group,199,82928000000,89938000000,stephen a schwarzman,usa
allergan,200,200,200,brenton l saunders,ireland
marsh & mclennan companies,200,82707000000,79642000000,,usa
publix,200,200,200,ed crenshaw,usa
enbridge,201,82219000000,79749000000,al monaco,canada
softbank group,202,81219000000,111870000000,masayoshi son,japan
siemens healthineers ag,203,81178000000,78575000000,,germany
cme group,204,80879000000,72445000000,terrence a duffy,usa
uber technologies,205,80534000000,73753000000,ronald sugar,usa
duke energy corporation,206,80396000000,80519000000,james e rogers jr,usa
national commercial bank,207,79842000000,73057000000,michael lee-chin,saudi arabia
life insurance corporation of india,207,,,,india
enel,208,79770000000,93913000000,michele crisostomo,italy
psbc postal savings bank of china,209,79132000000,73135000000,lv jiajin,china
china yangtze power,210,78971000000,67611999999,ming shan lei,china
mitsubishi ufj financial group,211,78838000000,70953000000,hironori kamezawa,japan
deutsche post ag,212,78472000000,86161000000,,germany
reliance jio,212,212,,,india
hca healthcare,213,78443000000,80990000000,thomas frist iii,usa
atlas copco ab,214,78380000000,81730000000,mats rahmstrom,sweden
china petroleum & chemical corporation sinopec,215,77722000000,74987000000,dai houliang,china
investor ab publ,216,77328000000,76632000000,jacob wallenberg,sweden
cigna corporation,217,77282000000,71984000000,h edward hanway,usa
illinois tool works,218,77256000000,73343000000,e scott santi,usa
atlassian corporation,219,76763000000,92469000000,shona brown,australia
edwards lifesciences corporation,220,76356000000,73042000000,michael a mussallem,usa
hindustan unilever,221,76085000000,89838000000,,india
rivian automotive inc,221,76220000000,2,robert joseph scaringe,usa
abb,222,76037000000,74202000000,morten wierod,switzerland
rosneft oil company,223,75445000000,71568000000,gerhard schroder,russia
adyen,224,75414000000,95554000000,,netherlands
intercontinental exchange,225,75074000000,67313999999,jeffrey c sprecher,usa
axa,226,74588000000,67669000000,antoine gosset-grainville,france
bank of montreal,227,73370000000,64522000000,george a cope,canada
icici bank,228,73325000000,69454000000,,india
hong kong exchanges and clearing hkex,229,73044000000,81454000000,laura cha,hong kong
hangzhou hikvision digital technology,230,72956000000,74514000000,chen zongnian,china
sk hynix,231,72832000000,63866000000,lee seok-hee,south korea
the southern company,232,72745000000,69597000000,david m ratcliffe,usa
becton dickinson and company,233,72444000000,72286000000,edward j ludwig,usa
norfolk southern corporation,234,72227000000,62617000000,charles moorman,usa
foshan haitian flavouring and food company,235,72144000000,58797000000,pang kang,china
iberdrola,236,72100000000,78478000000,jose ignacio sanchez galan,spain
fiserv,237,71853000000,78001000000,frank bisignano,usa
vale sa,238,71751000000,95523000000,jose luciano duarte penido,brazil
fidelity national information services,239,71635000000,78922000000,gary a norcross,usa
shin-etsu chemical,240,71309000000,69588000000,chihiro kanagawa,japan
dassault systemes,241,71224000000,74752000000,,france
colgate-palmolive company,242,71170000000,66104000000,noel r wallace,usa
glencore,243,70870000000,60237000000,,switzerland
bayerische motoren werke bmw,244,70505000000,61301000000,,germany
canadian pacific railway,245,70397000000,45872000000,andrew reardon,canada
ernst & young,245,245,245,,uk
marvell technology group,246,70128000000,50396000000,rick hill,bermuda
pinduoduo,247,70059000000,125350000000,colin huang zheng,china
fedex corporation,248,69949000000,70724000000,raj subramaniam,usa
equinix,249,69777000000,76000000000,peter van camp,usa
novatek,250,69387000000,73220000000,,russia
moody's corporation,251,69229000000,70899000000,raymond w mcdaniel,usa
lucid group inc,252,69115000000,32308000000,andrew liveris,usa
national australia bank,253,69038000000,69046000000,,australia
basf se,254,68991000000,70978000000,,germany
ap moller - maersk a/s,255,68834000000,53954000000,soren skou,denmark
petroleo brasileiro - petrobras,256,68812000000,68486999999,roberto castello branco,brazil
aldi,256,256,256,,germany
kddi corporation,257,68132000000,69533000000,takashi tanaka,japan
longi green energy technology,258,68086000000,69039000000,baoshen zhong,china
zurich insurance group ag,259,67906000000,65651000000,tom de swaan,switzerland
waste management,260,67667000000,65316999999,thomas tom h weidemeyer,usa
nongfu spring,261,66971999999,59798000000,,china
eaton corporation,262,66905000000,67108000000,craig arnold,ireland
netease,263,66904000000,67760000000,ding lei,china
denso corporation,264,66747000000,54482000000,koji arima,japan
ubs group ag,265,66672000000,57919000000,colm kelleher,switzerland
snap inc,266,66581000000,120340000000,michael lynton,usa
industrial bank,267,66409000000,59705000000,yiping tao,china
america movil,268,66199000000,65349999999,carlos slim domit,mexico
pt bank central asia tbk,269,66013999999,56651000000,jahja setiaatmadja,indonesia
air products and chemicals,270,65931000000,59660000000,seifi ghasemi,usa
ecolab,271,65873000000,64473000000,douglas m baker jr,usa
capital one financial corporation,272,65839000000,74042000000,richard fairbank,usa
nidec corporation,273,65388999999,67613000000,shigenobu nagamori,japan
daikin industries,274,65363000000,73464000000,noriyuki inoue,japan
block inc,275,65289000000,123230000000,jack dorsey,usa
dbs group holdings,276,65120000000,57451000000,dhanabalan,singapore
whatsapp,276,276,276,,usa
china shenhua energy company,277,64992999999,57673000000,yang jiping,china
dominion energy,278,64962999999,62933000000,robert m blue,usa
regeneron pharmaceuticals,279,64927000000,72417000000,leonard schleifer,usa
stellantis nv,280,64800000000,62339000000,john elkann,netherlands
progressive corporation,281,63805000000,56388000000,peter b lewis,usa
china tourism group duty free corporation limited,282,63571000000,69203000000,,china
mediatek,283,63350000000,52812000000,ming-kai tsai,taiwan
kla corporation,284,63213000000,51924000000,kenneth levy,usa
northrop grumman corporation,285,63001000000,58872000000,kathy warden,usa
ferrari,286,62961000000,53761000000,john elkann,italy
wal-mart de mexico,287,62573000000,62400000000,eduardo solorzano morales,mexico
workday,288,62560000000,67744000000,chano fernandez,usa
shenzhen mindray bio-medical electronics,289,62482000000,60359000000,,china
public storage,290,62411000000,56793000000,joseph d russell jr,usa
hdfc,291,62404000000,68936000000,,india
aon,292,62305000000,64757999999,dennis l mahoney,usa
reckitt benckiser group,293,62297000000,54780000000,,uk
bajaj finance,294,61948000000,63560000000,,india
freeport-mcmoran,295,61500000000,53423000000,james r moffett,usa
banco santander,296,61025000000,63883000000,,spain
coinbase global inc,297,60847000000,67831999999,brian armstrong,usa
ab volvo,298,60845000000,56225000000,carl-henric svanberg,sweden
vinci,299,60651000000,63458000000,,france
pernod ricard,300,60061000000,56418000000,,france
boston scientific corporation,301,60006000000,64287000000,michael f mahoney,usa
saudi telecom company stc,302,59860000000,72144000000,olayan m alwetaid,saudi arabia
anglo american,303,59386000000,57498000000,,uk
infineon technologies ag,304,59352000000,55947000000,,germany
pjsc lukoil,305,59246000000,55821000000,,russia
softbank corp,306,59235000000,63618000000,ken miyauchi,japan
general dynamics corporation,307,59220000000,55995000000,nicholas chabraja,usa
scentre group,308,59068000000,10700000000,,australia
nxp semiconductors,309,58859000000,60355000000,kurt sievers,netherlands
state bank of india,310,58772000000,53704000000,,india
relx,311,58743000000,58323000000,,uk
xiaomi corporation,312,58447000000,82097000000,lei jun,china
macquarie group,313,116670000000,47650000000,,australia
illumina,314,57887000000,71546000000,john w thompson,usa
autodesk,315,57703000000,68224000000,stacy j smith,usa
lonza group,316,57618000000,61909000000,albert m baehny,switzerland
anz banking group,317,57484000000,60181000000,,australia
eog resources,318,57432000000,39422000000,ezra yacob,usa
china telecom corporation,319,57142000000,59710000000,ke ruiwen,china
westpac banking corporation,320,57029000000,69093000000,,australia
emerson electric company,321,57002000000,63068000000,lal karsanbhai,usa
metlife,322,56576000000,53128000000,c robert henrikson,usa
vertex pharmaceuticals,323,56406000000,51961000000,reshma kewalramani,usa
shanxi xinghuacun fen wine factory,324,56401000000,51060000000,,china
ing group,325,56183000000,53954000000,,netherlands
hitachi,326,56145000000,54345000000,toshiaki higashihara,japan
hapag-lloyd,327,55995000000,40048000000,,germany
canadian imperial bank of commerce,328,55942000000,51764000000,katharine stevenson,canada
johnson controls international,329,55832000000,53395000000,george r oliver,usa
yihai kerry arawana holdings co ltd,330,55655000000,55886000000,,china
canadian natural resources,331,55652000000,39058000000,n murray edwards,canada
verbund ag,332,55641000000,38474000000,martin ohneberg,austria
sika ag,333,55610000000,50743000000,paul j halg,switzerland
exelon corporation,334,55412000000,47933000000,frank m clark,usa
open joint stock company omz,335,55251000000,46998000000,,russia
dollar general corporation,336,55209000000,52007000000,david perdue,usa
first abu dhabi bank,337,55050000000,50500000000,hana al rostamani,uae
pacificorp,338,55002000000,61343000000,stefan bird,usa
thomson reuters corporation,339,54854000000,57960000000,david thomson,canada
adidas,340,54843000000,69940000000,,germany
east money information,341,54824000000,49209000000,,china
mercadolibre,342,54766000000,92834000000,stelleo passos tolda,argentina
nintendo,343,54630000000,58231000000,shuntaro furukawa,japan
bayer,344,54460000000,55343000000,,germany
safran,345,54377000000,54464000000,,france
luzhou laojiao,346,54324000000,40027000000,liu miao,china
marriott international,347,54278000000,44009000000,bill marriott,usa
wipro,348,54257000000,51170000000,,india
intesa sanpaolo,349,53948000000,55537000000,gian maria gros-pietro,italy
great wall motor company,350,53655000000,73913000000,wei jianjun,china
fast retailing,351,53635000000,68150000000,tadashi yanai,japan
london stock exchange group,352,53536000000,55704000000,,uk
hon hai precision industry,353,53431000000,55404000000,liu young-way,taiwan
baidu,354,53368000000,54652000000,robin li,china
chugai pharmaceutical,355,52995000000,65402000000,christoph franz,japan
simon property group,356,52996000000,45156000000,david simon,usa
keurig pepper,357,52890000000,50562000000,robert gamgort,usa
sf holding,358,52740000000,40051000000,,china
ikea,358,358,358,anders dahlvig,usa
dsv panalpina,359,52508000000,60941000000,thomas plenborg,denmark
ping an bank,360,52303000000,52047000000,ma mingzhe peter,china
national grid transco,361,52115000000,46940000000,,uk
palo alto networks,362,51848000000,44859000000,nikesh arora,usa
te connectivity,363,51743000000,49272000000,tom lynch,switzerland
eni spa,364,51734000000,44110000000,lucia calvosa,italy
luxshare precision industry,365,51647000000,36208000000,lai chun wang,china
bharti airtel,366,51523000000,50778000000,,india
the bank of new york mellon corporation,367,51473000000,47664000000,gerald l hassell,usa
fortinet,368,51447000000,52163000000,ken xie,usa
biontech se,369,51375000000,79834000000,ugur sahin,germany
hoya corporation,370,51220000000,60197000000,hiroshi suzuki,japan
qatar national bank,371,51151000000,47782000000,he ali ahmed al kuwari,qatar
zoom video communications,372,51136000000,86019000000,eric yuan,usa
enterprise products partners,373,51062000000,48647000000,william c montgomery,usa
bank of communications,374,51057000000,47967000000,ren deqi,china
jiangsu hengrui medicine,375,50995000000,44709000000,sun piaoyang,china
lloyds banking group,376,51001000000,43652000000,,uk
honda motor,377,50891000000,52753000000,fumihiko ike,japan
murata manufacturing,378,50865000000,54946000000,tsuneo murata,japan
synopsys,379,50690000000,50979000000,aart j de geus,usa
wanhua chemical group,380,50602000000,50393000000,liao zengtai,china
vmware,381,50552000000,62373000000,michael dell,usa
oriental land,382,50537000000,49349000000,toshio kagami,japan
kotak mahinbank,383,50491000000,48370000000,,india
american international group aig,384,50432000000,46660000000,brian duperreault,usa
ihs markit,385,50254000000,48073000000,lance uggla,uk
wuxi apptec,386,50136000000,61367000000,ge li,china
activision blizzard,387,49880000000,64060000000,bobby kotick,usa
monster beverage corporation,388,49771000000,51730000000,rodney cyril sacks,usa
first gulf bank,388,388,,,uae
southern copper corporation,389,49748000000,48387000000,german larrea mota-velasco,mexico
nordea bank abp,390,49607000000,49772000000,torbjorn magnusson,finland
prudential,391,49339000000,54470000000,,uk
sumitomo mitsui financial group,392,49238000000,48103000000,takeshi kunibe,japan
cnooc limited,393,49168000000,46085000000,wang dongjin,china
schlumberger,394,49134000000,39212000000,andrew gould,usa
amphenol corporation,395,49110000000,45839000000,martin h loeffler,usa
iqvia holdings,396,49080000000,49767000000,ari bousbib,usa
roblox corp,397,48836000000,47191000000,david b baszucki,usa
citic securities company,398,48789000000,48814000000,zhu hexin,china
roper technologies,399,48674000000,50949000000,neil hunn,usa
pioneer natural resources company,400,48600000000,36513000000,scott d sheffield,usa
kimberly-clark corporation,401,48400000000,46409000000,thomas j falk,usa
eqt ab publ,402,48284000000,50965000000,conni jonsson,sweden
xilinx,403,48220000000,38504000000,dennis segers,usa
mitsubishi corporation,404,48174000000,44754000000,takehiko kakiuchi,japan
tc energy corporation,405,47883000000,46497000000,francois poirier,canada
edeka group,405,405,,markus mosa,germany
wesfarmers,406,47592000000,48639000000,,australia
barclays plc,407,47535000000,43534000000,,uk
bce bell canada enterprises,408,47394000000,47255000000,mirko bibic,canada
newmont corporation,409,47392000000,46341000000,wayne w murdy,usa
3i group,410,47296000000,40133000000,,uk
mmc norilsk nickel,411,47226000000,51394000000,andrey bougrov,russia
hcl technologies,412,46927000000,44226000000,,india
orsted a/s,413,46812000000,67699000000,thomas thune andersen,denmark
humana,414,46680000000,52110000000,kurt hilzinger,usa
idexx laboratories,415,46662000000,58445000000,jonathan w ayers,usa
nio inc,416,46604000000,64410000000,bin li,china
samsung biologics,417,46573000000,54740000000,john rim,south korea
walgreens boots alliance,418,46515000000,43898000000,stefano pessina,usa
paychex,419,46480000000,41190000000,martin mucci,usa
muyuan foods,420,46401000000,35352000000,qin yinglin,china
credit agricole,421,46250000000,44696000000,,france
constellation brands,422,46220000000,40707000000,richard sands,usa
givaudan sa,423,46065000000,45552000000,calvin grieder,switzerland
cadence design systems,424,46011000000,45248000000,anirudh devgan,usa
o'reilly automotive,425,45969000000,40963000000,david e oreilly,usa
asian paints,426,45949000000,44366000000,,india
lululemon athletica,427,45928000000,54166000000,glenn k murphynon-executive chairman,canada
spacex,427,427,427,elon musk,usa
stripe,427,427,427,,usa
cognizant technology solutions,428,45918000000,40292000000,rajesh nambiar,usa
itochu corporation,429,45880000000,44708000000,masahiro okafuji,japan
aptiv,430,45844000000,41169000000,kevin p clark,ireland
kraft heinz company,431,45718000000,44030000000,miguel patricio,usa
digital realty trust,432,45707000000,46441000000,laurence a chapman,usa
dexcom,433,45698000000,51221000000,kevin sayer,usa
msci,434,45511000000,52316000000,henry a fernandez,usa
coupang inc,435,45485000000,51998000000,bom suk kim,south korea
microchip technology,436,45461000000,43123000000,steve sanghi,usa
stmicroelectronics,437,45434000000,40157000000,,switzerland
doordash,438,45377000000,64681000000,tony xu,usa
american electric power company,439,45072000000,44807000000,nick akins,usa
fortescue metals group,440,45032000000,46296000000,,australia
chipotle mexican grill,441,44955000000,53474000000,steve ells,usa
trafigura,442,442,442,jeremy weir,usa
trane technologies plc,442,44959000000,47165000000,,ireland
linkedin,443,443,443,jeff weiner,usa
carrier global,443,44924000000,49980000000,david gitlin,usa
datadog,444,44865000000,42720000000,olivier pomel,usa
centene corporation,445,44545000000,36720000000,michael f neidorff,usa
jardine matheson holdings,446,44512000000,45104000000,,bermuda
dell technologies,447,44298000000,74429000000,michael s dell,usa
lg chem,448,44149000000,50469000000,shin hak-cheol,south korea
sempra energy,449,44136000000,42266000000,jeffrey w martin,usa
pt bank rakyat indonesia persero tbk,450,44008000000,33383000000,,indonesia
t rowe price group,451,43910000000,50804000000,rob sharps,usa
agilent technologies,452,43835000000,53245000000,michael r mcmullen,usa
baxter international,453,43786000000,38103000000,jose e almeida,usa
dow inc,454,43711000000,46909000000,jim fitterling,usa
marathon petroleum corporation,455,43664000000,37826000000,john p surmanon-executive chairman,usa
wuxi biologics cayman,456,43633000000,64339000000,ge linon-executive chairman,china
global payments,457,43581000000,47775000000,jeffrey s sloan,usa
cosco shipping holdings,458,43536000000,45027000000,wan min,china
prudential financial,459,43391000000,40870000000,arthur f ryan,usa
jardine strategic holdings,460,460,37907000000,,hong kong
crowdstrike holdings,460,43343000000,63453000000,gerhard watzinger,usa
haier smart home,461,43245000000,39285000000,zhang ruimin,china
smc corporation,462,43223000000,42861000000,katsunori maruyama,japan
munchener ruckversicherungs-gesellschaft,463,43178000000,41115000000,,germany
nu holdings ltd,464,43137000000,,,brazil
align technology,465,43132000000,56108000000,c raymond larkin jr,usa
l3harris technologies,466,43124000000,46822000000,chris kubasik,usa
dupont de nemours,467,43101000000,38717000000,edward d breen,usa
takeda pharmaceutical company,468,43085000000,53344000000,yasuchika hasegawa,japan
svb financial group,469,43027000000,32822000000,roger f dunbar,usa
vodafone group,470,43005000000,47217000000,,uk
spotify technology,471,42828000000,44842000000,daniel ek,sweden
experian,472,42818000000,41303000000,,ireland
motorola solutions,473,42655000000,41410000000,greg brown,usa
republic services,474,42418000000,39519000000,manuel kadre,usa
hilton worldwide holdings,475,42366000000,34797000000,christopher j nassetta,usa
alimentation couche-tard,476,42170000000,43219000000,bouchard,canada
