name,market_capitalization_usd,price,country
hsbc,137020000000,34.0,uk
royal bank of canada,135090000000,97.0,canada
aia,132370000000,11.0,hong kong
ping an insurance,132050000000,7.0,china
union pacific corporation,130340000000,212.0,usa
unilever,129930000000,51.0,uk
caterpillar,129500000000,249.0,usa
qualcomm,129290000000,115.0,usa
bank of china,129290000000,0.0,china
ibm,128800000000,144.0,usa
sap,127660000000,109.0,germany
deere & company,127180000000,426.0,usa
boeing,126940000000,213.0,usa
petrochina,126620000000,1.0,china
china life insurance,125360000000,5.0,china
anheuser-busch inbev,125300000000,61.0,belgium
hdfc bank,125290000000,67.0,india
lockheed martin,124020000000,473.0,usa
sanofi,123030000000,48.0,france
starbucks,122450000000,107.0,usa
lowe's companies,121520000000,201.0,usa
pinduoduo,121330000000,96.0,china
cvs health,120350000000,92.0,usa
rio tinto,120050000000,74.0,uk
intel,118560000000,29.0,usa
goldman sachs,117870000000,348.0,usa
toronto dominion bank,117800000000,64.0,canada
commonwealth bank,117650000000,70.0,australia
siemens,113590000000,143.0,germany
elevance health,113550000000,475.0,usa
s&p global,113320000000,348.0,usa
american express,112210000000,150.0,usa
blackrock,110840000000,738.0,usa
gilead sciences,110470000000,88.0,usa
jingdong mall,109910000000,64.0,china
intuit,108580000000,387.0,usa
prologis,107670000000,117.0,usa
medtronic,107550000000,81.0,ireland
wuliangye yibin,107450000000,28.0,china
bp,104370000000,34.0,uk
deutsche telekom,103540000000,21.0,germany
amd,103120000000,64.0,usa
sony,101890000000,81.0,japan
american tower,101730000000,219.0,usa
diageo,101530000000,179.0,uk
automatic data processing,99620000000,240.0,usa
equinor,99460000000,32.0,norway
ntt nippon telegraph & telephone,98830000000,29.0,japan
byd,98610000000,39.0,china
stryker corporation,96970000000,256.0,usa
airbus,96780000000,123.0,netherlands
tjx companies,95580000000,83.0,usa
intuitive surgical,95550000000,270.0,usa
chubb,94980000000,229.0,switzerland
estee lauder,94130000000,264.0,usa
keyence,93710000000,386.0,japan
mondelez,92880000000,68.0,usa
cigna,92540000000,303.0,usa
porsche,91830000000,101.0,germany
citigroup,91630000000,47.0,usa
british american tobacco,90970000000,41.0,uk
csl,90620000000,188.0,australia
allianz,89930000000,223.0,germany
mitsubishi ufj financial,89730000000,7.0,japan
inditex,89720000000,14.0,spain
applied materials,88010000000,104.0,usa
paypal,87180000000,76.0,usa
merck kgaa,85660000000,197.0,germany
marsh & mclennan companies,84790000000,171.0,usa
booking holdings bookingcom,84530000000,2179.0,usa
analog devices,84290000000,166.0,usa
schneider electric,83630000000,149.0,france
glencore,83550000000,6.0,switzerland
canadian national railway,83530000000,122.0,canada
altria group,83240000000,46.0,usa
enbridge,82670000000,41.0,canada
essilorluxottica,82470000000,185.0,france
vale,82360000000,18.0,brazil
lg energy solution,81540000000,349.0,s. korea
duke energy,80990000000,105.0,usa
compagnie financiere richemont,80710000000,142.0,switzerland
al rajhi bank,80610000000,20.0,s. arabia
regeneron pharmaceuticals,80270000000,737.0,usa
northrop grumman,80250000000,521.0,usa
progressive,78740000000,135.0,usa
general electric,78600000000,72.0,usa
air liquide,78060000000,149.0,france
southern company,77980000000,72.0,usa
volkswagen,77720000000,135.0,germany
schlumberger,77280000000,55.0,usa
bnp paribas,76770000000,62.0,france
china shenhua energy,76120000000,4.0,china
infosys,75410000000,18.0,india
eog resources,74870000000,127.0,usa
mercedes-benz,74850000000,70.0,germany
vertex pharmaceuticals,74490000000,290.0,usa
icici bank,74440000000,21.0,india
servicenow,74030000000,367.0,usa
becton dickinson,73720000000,259.0,usa
target,73710000000,160.0,usa
hindustan unilever,73330000000,31.0,india
sinopec,72940000000,1.0,china
canadian pacific railway,72110000000,78.0,canada
sabic,72040000000,24.0,s. arabia
hca healthcare,71950000000,255.0,usa
glaxosmithkline,71840000000,35.0,uk
us bancorp,70860000000,46.0,usa
zurich insurance group,70360000000,474.0,switzerland
iberdrola,70180000000,11.0,spain
3m,70040000000,127.0,usa
illinois tool works,69710000000,227.0,usa
moderna,69280000000,180.0,usa
china yangtze power,69050000000,3.0,china
air products and chemicals,68850000000,310.0,usa
zoetis,68810000000,148.0,usa
axa,68460000000,29.0,france
general dynamics,68150000000,248.0,usa
kering,67890000000,555.0,france
csx corporation,67690000000,32.0,usa
bank of montreal,67440000000,95.0,canada
china tourism group duty free,67360000000,33.0,china
petrobras,67040000000,10.0,brazil
colgate-palmolive,66800000000,80.0,usa
boston scientific,66350000000,46.0,usa
pnc financial services,66220000000,164.0,usa
dbs group,65960000000,26.0,singapore
bank central asia,65570000000,1.0,indonesia
waste management,65460000000,159.0,usa
kddi,65020000000,30.0,japan
state bank of india,64930000000,7.0,india
fiserv,64880000000,102.0,usa
walmex,64770000000,4.0,mexico
eaton,64060000000,161.0,ireland
softbank,63790000000,44.0,japan
cnooc,63700000000,1.0,china
aon,63570000000,307.0,uk
ubs,63420000000,20.0,switzerland
national australia bank,63360000000,20.0,australia
nongfu spring,63190000000,6.0,china
postal savings bank of china,63120000000,1.0,china
crown castle,63090000000,146.0,usa
cme group,62980000000,175.0,usa
equinix,62360000000,674.0,usa
humana,62350000000,493.0,usa
bmw,62000000000,94.0,germany
micron technology,61940000000,57.0,usa
america movil,61210000000,19.0,mexico
sherwin-williams,61100000000,236.0,usa
fast retailing,60960000000,597.0,japan
abb,60960000000,33.0,switzerland
truist financial,60840000000,46.0,usa
canadian natural resources,60780000000,55.0,canada
lam research,60720000000,445.0,usa
activision blizzard,60720000000,78.0,usa
freeport-mcmoran,60430000000,42.0,usa
scotiabank,60040000000,50.0,canada
enel,60000000000,6.0,italy
norfolk southern,59210000000,256.0,usa
hong kong exchanges & clearing,58800000000,46.0,hong kong
the saudi national bank,58720000000,13.0,s. arabia
intercontinental exchange,58590000000,105.0,usa
daiichi sankyo,58440000000,30.0,japan
vinci,58430000000,104.0,france
occidental petroleum,57940000000,64.0,usa
metlife,57730000000,74.0,usa
bharti airtel,57490000000,10.0,india
housing development finance corporation,57440000000,31.0,india
charter communications,57240000000,368.0,usa
blackstone group,57190000000,79.0,usa
emerson,57030000000,98.0,usa
kla,56890000000,398.0,usa
atlas copco,56740000000,11.0,sweden
investor ab,56500000000,18.0,sweden
thomson reuters,56320000000,117.0,canada
heineken,56150000000,98.0,netherlands
mindray,56050000000,46.0,china
airbnb,56040000000,89.0,usa
anglo american,55910000000,42.0,uk
kkr & co,55710000000,48.0,usa
siemens healthineers,55640000000,50.0,germany
relx,55620000000,28.0,uk
dollar general,55570000000,249.0,usa
pioneer natural resources,55460000000,233.0,usa
sumitomo mitsui financial group,55320000000,8.0,japan
westpac banking,55250000000,16.0,australia
verbund ag,55080000000,79.0,austria
safran,55050000000,129.0,france
china telecom,55010000000,0.0,china
midea,54920000000,8.0,china
marathon petroleum,54740000000,117.0,usa
mckesson,54730000000,386.0,usa
industrial bank,54650000000,3.0,china
santander,54500000000,3.0,spain
enterprise products,54380000000,25.0,usa
life insurance corporation of india lic,54200000000,9.0,india
vmware,53660000000,126.0,usa
united heavy machinery,53580000000,63.0,russia
netease,53530000000,82.0,china
monster beverage,53480000000,102.0,usa
foshan haitian flavouring and food,53410000000,12.0,china
moody's,53070000000,290.0,usa
adani enterprises,52810000000,46.0,india
o'reilly automotive,52720000000,843.0,usa
uber,52650000000,26.0,usa
recruit,52200000000,33.0,japan
kraft heinz,52160000000,43.0,usa
southern copper,52100000000,67.0,usa
bayer,51980000000,53.0,germany
eni,51960000000,30.0,italy
dominion energy,51550000000,62.0,usa
keurig pepper,51350000000,36.0,usa
basf,51060000000,56.0,germany
general motors,51010000000,36.0,usa
pernod ricard,50810000000,196.0,france
general mills,50680000000,86.0,usa
ford,50570000000,13.0,usa
itc,50370000000,4.0,india
reckitt benckiser,49980000000,70.0,uk
saudi telecom company,49980000000,10.0,s. arabia
phillips 66,49950000000,106.0,usa
stellantis,49640000000,15.0,netherlands
american electric power,49600000000,97.0,usa
valero energy,49170000000,128.0,usa
edf electricite de france,49100000000,13.0,france
shin-etsu chemical,48900000000,121.0,japan
synopsys,48850000000,321.0,usa
public storage,48740000000,277.0,usa
sempra energy,48570000000,155.0,usa
bank of communications,48560000000,1.0,china
marriott international,48550000000,153.0,usa
dassault systemes,48520000000,37.0,france
takeda pharmaceutical,48430000000,16.0,japan
ing,48210000000,13.0,netherlands
tokyo electron,48100000000,309.0,japan
nintendo,48040000000,41.0,japan
american international group,47950000000,65.0,usa
anz bank,47870000000,16.0,australia
munich re munchener ruck,47750000000,342.0,germany
edwards lifesciences,47610000000,77.0,usa
bank rakyat indonesia,47510000000,0.0,indonesia
deutsche post,47410000000,39.0,germany
adani total gas,47370000000,43.0,india
archer daniels midland adm,47210000000,86.0,usa
london stock exchange,47100000000,85.0,uk
roper technologies,47050000000,444.0,usa
longi green energy technology,47020000000,6.0,china
fedex,46880000000,186.0,usa
shopify,46870000000,37.0,canada
national grid,46860000000,64.0,uk
amphenol,46750000000,79.0,usa
kimberly-clark,46720000000,138.0,usa
autozone,46660000000,2487.0,usa
oriental land,46430000000,142.0,japan
itau unibanco,46290000000,5.0,brazil
the hershey company,46270000000,226.0,usa
hikvision,46260000000,5.0,china
hitachi,46120000000,49.0,japan
johnson controls,46110000000,67.0,ireland
mitsubishi corporation,46000000000,32.0,japan
baidu,45970000000,133.0,china
alimentation couche-tard,45950000000,46.0,canada
aflac,45910000000,74.0,usa
samsung biologics,45650000000,634.0,s. korea
woodside energy,45590000000,24.0,australia
budweiser apac,45590000000,3.0,hong kong
dexcom,45450000000,116.0,usa
the travelers companies,45430000000,194.0,usa
maaden,45400000000,18.0,s. arabia
fortescue,45330000000,15.0,australia
intesa sanpaolo,45090000000,2.0,italy
macquarie,45010000000,116.0,australia
cintas,44900000000,442.0,usa
universal music group,44870000000,25.0,netherlands
sk hynix,44850000000,65.0,s. korea
centene,44540000000,79.0,usa
simon property group,44480000000,119.0,usa
daikin,44460000000,152.0,japan
foxconn hon hai precision industry,44420000000,3.0,taiwan
hess,44300000000,144.0,usa
adyen,44140000000,1380.0,netherlands
motorola solutions,44110000000,264.0,usa
bayan resources,43950000000,1.0,indonesia
mercadolibre,43930000000,873.0,argentina
bajaj finance,43860000000,72.0,india
cadence design systems,43790000000,160.0,usa
agilent technologies,43720000000,148.0,usa
itochu shoji,43640000000,30.0,japan
kuaishou technology,43590000000,10.0,china
corteva,43590000000,61.0,usa
exelon corporation,43390000000,44.0,usa
mitsui bussan,43200000000,28.0,japan
kotak mahinbank,42990000000,22.0,india
wanhua chemical,42750000000,14.0,china
ambev,42650000000,3.0,brazil
suncor energy,42600000000,31.0,canada
ecolab,42570000000,149.0,usa
sf express,42410000000,9.0,china
paychex,42330000000,117.0,usa
bce,42080000000,46.0,canada
banco santander brasil,42060000000,6.0,brazil
lululemon athletica,41980000000,329.0,canada
ross stores,41860000000,122.0,usa
newmont,41820000000,53.0,usa
prudential,41780000000,30.0,uk
ocbc bank,41770000000,9.0,singapore
kinder morgan,41760000000,19.0,usa
infineon,41750000000,32.0,germany
citic securities,41690000000,3.0,china
workday,41410000000,161.0,usa
nxp semiconductors,41360000000,160.0,netherlands
block,41260000000,69.0,usa
ping an bank,41230000000,2.0,china
fidelity national information services,41120000000,69.0,usa
ferrari,41110000000,224.0,italy
trane technologies,41100000000,179.0,ireland
tokio marine,40920000000,20.0,japan
chugai pharmaceutical,40800000000,25.0,japan
palo alto networks,40770000000,135.0,usa
nordea bank,40750000000,11.0,finland
tc energy,40620000000,40.0,canada
republic services,40560000000,128.0,usa
honda,40530000000,24.0,japan
sun hung kai properties,40500000000,14.0,hong kong
nutrien,40500000000,77.0,canada
arthur j gallagher & co,40480000000,192.0,usa
autodesk,40380000000,187.0,usa
biogen,40210000000,279.0,usa
realty income,40180000000,64.0,usa
devon energy,40020000000,61.0,usa
microchip technology,40020000000,73.0,usa
banco bilbao vizcaya argentaria,40020000000,7.0,spain
snowflake,39890000000,124.0,usa
compass group,39880000000,23.0,uk
sysco,39880000000,79.0,usa
rsted,39690000000,91.0,denmark
williacompanies,39660000000,33.0,usa
parker-hannifin,39610000000,309.0,usa
zijin mining,39580000000,2.0,china
constellation brands,39520000000,214.0,usa
las vegas sands,39400000000,52.0,usa
lloyds banking group,39360000000,2.0,uk
l3harris technologies,39250000000,206.0,usa
east money information,39120000000,3.0,china
naspers,39070000000,37.0,south africa
xcel energy,39010000000,71.0,usa
chipotle mexican grill,38860000000,1402.0,usa
bank of new york mellon,38750000000,48.0,usa
dow,38720000000,55.0,usa
apollo global management,38590000000,64.0,usa
cibc,38430000000,42.0,canada
uob,38400000000,23.0,singapore
volvo group,38370000000,19.0,sweden
jardine matheson,38340000000,53.0,hong kong
te connectivity,38190000000,120.0,switzerland
iqvia,38140000000,205.0,usa
sika,38060000000,249.0,switzerland
fortinet,38030000000,49.0,usa
muyuan foods,37770000000,7.0,china
energy transfer partners,37520000000,12.0,usa
msci,37500000000,469.0,usa
allstate,37490000000,141.0,usa
maersk,37350000000,2135.0,denmark
bank of china hong kong,37340000000,4.0,hong kong
wuxi apptec,37230000000,12.0,china
prudential financial,37170000000,101.0,usa
idexx laboratories,37080000000,448.0,usa
capital one,37050000000,97.0,usa
mizuho financial group,37000000000,3.0,japan
xiaomi,36970000000,1.0,china
nucor,36920000000,144.0,usa
denso,36850000000,49.0,japan
7-eleven,36780000000,42.0,japan
yum brands,36700000000,130.0,usa
halliburton,36510000000,40.0,usa
yanghe,36500000000,24.0,china
cenovus energy,36480000000,19.0,canada
jiangsu hengrui medicine,36440000000,6.0,china
biontech,36420000000,150.0,germany
lonza,36270000000,489.0,switzerland
wuxi biologics,36230000000,17.0,china
carrier,36060000000,43.0,usa
anta sports,36040000000,13.0,china
wesfarmers,36010000000,32.0,australia
dupont de nemours,36000000000,72.0,usa
haleon,35960000000,8.0,uk
neste,35680000000,46.0,finland
cheniere energy,35520000000,143.0,usa
larsen & toubro,35520000000,25.0,india
alcon,35460000000,72.0,switzerland
transdigm,35290000000,649.0,usa
adani green energy,35270000000,22.0,india
hilton worldwide,35220000000,130.0,usa
paccar,34880000000,100.0,usa
axis bank,34840000000,11.0,india
japan tobacco,34740000000,20.0,japan
consolidated edison,34710000000,98.0,usa
manulife financial,34650000000,18.0,canada
asian paints,34600000000,36.0,india
stmicroelectronics,34590000000,38.0,switzerland
arista networks,34550000000,112.0,usa
cummins,34390000000,244.0,usa
lg chem,34370000000,466.0,s. korea
constellation software,34240000000,1616.0,canada
mediatek,34210000000,22.0,taiwan
electronic arts,34200000000,124.0,usa
ameriprise financial,34180000000,321.0,usa
waste connections,34150000000,133.0,usa
adani transmission,34090000000,31.0,india
otis worldwide,34090000000,82.0,usa
haier smart home,33990000000,4.0,china
hcl technologies,33950000000,13.0,india
hoya,33790000000,95.0,japan
barrick gold,33770000000,19.0,canada
hapag-lloyd,33760000000,186.0,germany
pacific gas and electric,33720000000,16.0,usa
mplx,33690000000,34.0,usa
china state construction engineering,33640000000,1.0,china
barclays,33560000000,8.0,uk
amerisourcebergen,33480000000,166.0,usa
credit agricole,33470000000,11.0,france
da,33430000000,52.0,france
old dominion freight line,33220000000,301.0,usa
dsv,33180000000,151.0,denmark
mtr corporation,33140000000,5.0,hong kong
ametek,33030000000,144.0,usa
natwest group,32980000000,7.0,uk
welltower,32970000000,70.0,usa
engie,32770000000,14.0,france
kroger,32740000000,46.0,usa
bae systems,32720000000,11.0,uk
cement roadstone holding,32480000000,44.0,ireland
holcim group,32440000000,53.0,switzerland
mettler-toledo,32310000000,1450.0,usa
dollar tree,32250000000,146.0,usa
d r horton,32240000000,94.0,usa
hang seng bank,32200000000,17.0,hong kong
murata manufacturing murata seisakusho,32120000000,51.0,japan
aier eye hospital,32110000000,4.0,china
illumina,32020000000,202.0,usa
grupo mexico,31990000000,4.0,mexico
airports of thailand,31930000000,2.0,thailand
vanke,31920000000,2.0,china
enphase energy,31750000000,234.0,usa
citic bank,31750000000,1.0,china
japan post bank,31740000000,8.0,japan
walgreens boots alliance,31570000000,37.0,usa
sba communications,31460000000,291.0,usa
china pacific insurance,31390000000,4.0,china
experian,31380000000,34.0,ireland
keysight,31360000000,175.0,usa
costar group,31360000000,77.0,usa
bank of ningbo,31310000000,5.0,china
shanghai pudong development bank,31310000000,1.0,china
china overseas land & investment,31300000000,3.0,hong kong
sea garena,31280000000,56.0,singapore
pseg,31250000000,63.0,usa
singtel,31070000000,2.0,singapore
atlassian,30980000000,121.0,australia
telstra,30970000000,3.0,australia
citic limited,30940000000,1.0,china
brown forman,30860000000,64.0,usa
marvell technology group,30800000000,36.0,usa
cognizant technology solutions,30700000000,60.0,usa
interactive brokers,30690000000,74.0,usa
rockwell automation,30690000000,268.0,usa
caixabank,30690000000,4.0,spain
maruti suzuki india,30670000000,102.0,india
vici properties,30620000000,32.0,usa
resmed,30590000000,209.0,usa
samsung sdi,30580000000,217.0,s. korea
banco bradesco,30480000000,3.0,brazil
the people's insurance company picc,30390000000,1.0,china
deutsche borse,30380000000,165.0,germany
dell,30370000000,42.0,usa
peoples insurance company of china,30360000000,0.0,china
nasdaq,30280000000,62.0,usa
baker hughes,30210000000,30.0,usa
ppg industries,30200000000,129.0,usa
dmart,30150000000,47.0,india
dnb,30020000000,19.0,norway
unicredit,29970000000,15.0,italy
corning,29920000000,35.0,usa
wec energy group,29890000000,95.0,usa
eversource energy,29880000000,86.0,usa
luxshare precision,29830000000,4.0,china
weg on,29820000000,7.0,brazil
digital realty,29780000000,101.0,usa
great wall motors,29760000000,4.0,china
oneok,29750000000,67.0,usa
hexagon,29730000000,11.0,sweden
copart,29710000000,62.0,usa
restaurant brands international,29710000000,66.0,canada
capgemini,29680000000,174.0,france
state street corporation,29600000000,81.0,usa
coupang,29580000000,17.0,s. korea
nidec,29540000000,51.0,japan
vodafone,29340000000,11.0,uk
lyondellbasell,29330000000,90.0,usa
hyundai,29320000000,31.0,s. korea
sun pharmaceutical,29310000000,12.0,india
yili group,29290000000,5.0,china
swiss re,29280000000,101.0,switzerland
swisscom,29220000000,564.0,switzerland
chunghwa telecom,29190000000,38.0,taiwan
ferguson,29080000000,140.0,uk
bajaj finserv,29070000000,17.0,india
japan post holdings,29070000000,8.0,japan
telus,28970000000,20.0,canada
givaudan,28880000000,3130.0,switzerland
generali,28780000000,18.0,italy
american water works,28770000000,158.0,usa
globalfoundries,28750000000,53.0,usa
fomento economico mexicano,28700000000,80.0,mexico
loblaw companies,28680000000,89.0,canada
henkel,28610000000,69.0,germany
verisk analytics,28600000000,183.0,usa
galaxy entertainment,28540000000,7.0,hong kong
ahold delhaize,28460000000,29.0,netherlands
global payments,28430000000,105.0,usa
imperial oil,28430000000,48.0,canada
genmab,28350000000,43.0,denmark
fanuc,28330000000,148.0,japan
bank mandiri,28320000000,1.0,indonesia
compagnie de saint-gobain,28250000000,55.0,france
discover financial services,28150000000,103.0,usa
orange,28090000000,11.0,france
international flavors & fragrances,28040000000,110.0,usa
kbc,28000000000,67.0,belgium
sun life financial,28000000000,47.0,canada
jd health,28000000000,9.0,china
w w grainger,27920000000,553.0,usa
gree electric appliances,27910000000,5.0,china
rwe,27860000000,41.0,germany
hp,27850000000,28.0,usa
vestas wind systems,27850000000,28.0,denmark
kuhne nagel,27810000000,233.0,switzerland
smc corp,27750000000,425.0,japan
alnylam pharmaceuticals,27680000000,225.0,usa
fastenal,27590000000,48.0,usa
kone,27490000000,53.0,finland
nokia,27430000000,5.0,finland
willis towers watson,27430000000,253.0,uk
transurban,27300000000,9.0,australia
constellation energy,27300000000,84.0,usa
ptt pcl,27300000000,1.0,thailand
titan company,27290000000,31.0,india
woolworths group,27290000000,22.0,australia
lennar,27260000000,96.0,usa
warner bros discovery,27240000000,11.0,usa
shenzhen inovance,27220000000,10.0,china
eon,27130000000,10.0,germany
foxconn industrial internet,27070000000,1.0,china
adidas,27030000000,148.0,germany
on semiconductor,27010000000,62.0,usa
cheniere energy,26970000000,56.0,usa
franco-nevada,26970000000,140.0,canada
aptiv,26630000000,98.0,ireland
maybank,26630000000,4.0,malaysia
coca-cola european partners,26470000000,57.0,uk
zimmer biomet,26370000000,126.0,usa
sampo,26370000000,51.0,finland
astellas pharma,26360000000,14.0,japan
eqt,26330000000,22.0,sweden
daimler truck,26240000000,32.0,germany
united rentals,26150000000,377.0,usa
thales,25960000000,122.0,france
gartner,25960000000,329.0,usa
albemarle,25960000000,222.0,usa
wipro,25950000000,5.0,india
m&t bank,25920000000,150.0,usa
ashtead,25880000000,59.0,uk
beiersdorf,25860000000,114.0,germany
wolters kluwer,25790000000,103.0,netherlands
intact financial,25790000000,147.0,canada
deutsche bank,25750000000,12.0,germany
btg pactual,25750000000,2.0,brazil
horizon therapeutics,25640000000,113.0,ireland
amadeus it group,25640000000,57.0,spain
hormel foods,25630000000,47.0,usa
saudi electricity,25600000000,6.0,s. arabia
cbre group,25560000000,81.0,usa
edison international,25530000000,67.0,usa
beigene,25490000000,245.0,china
agnico eagle mines,25400000000,55.0,canada
fujitsu,25390000000,130.0,japan
mobileye,25350000000,32.0,israel
seagen,25280000000,136.0,usa
coloplast,25240000000,119.0,denmark
formosa petrochemical,25190000000,3.0,taiwan
diamondback energy,25130000000,138.0,usa
naturgy,25110000000,26.0,spain
the hartford,25090000000,79.0,usa
t rowe price,25090000000,112.0,usa
equifax,25050000000,205.0,usa
enbw energie,25030000000,92.0,germany
sartorius,24990000000,346.0,germany
skandinaviska enskilda banken,24850000000,12.0,sweden
veeva systems,24840000000,160.0,usa
cdw corporation,24800000000,183.0,usa
ulta beauty,24730000000,486.0,usa
kellogg's,24720000000,72.0,usa
assa abloy,24690000000,22.0,sweden
flutter entertainment,24640000000,67.0,ireland
tripcom,24590000000,38.0,china
saic motor,24570000000,2.0,china
riyad bank,24520000000,8.0,s. arabia
tractor supply,24480000000,222.0,usa
ebay,24470000000,45.0,usa
baxter,24420000000,48.0,usa
ultratech cement,24380000000,85.0,india
yum china,24280000000,58.0,china
cellnex telecom,24260000000,34.0,spain
rogers communication,24240000000,48.0,canada
firstenergy,24220000000,42.0,usa
alexandria real estate equities,24210000000,148.0,usa
hannover ruck,24110000000,200.0,germany
genuine parts company,24110000000,171.0,usa
vulcan materials,24100000000,181.0,usa
bridgestone,24080000000,35.0,japan
smic,24080000000,2.0,china
standard chartered,24060000000,8.0,uk
telkom indonesia,24060000000,24.0,indonesia
china resources beer,23850000000,7.0,hong kong
ck hutchison holdings,23790000000,6.0,hong kong
lindt,23780000000,10252.0,switzerland
partners group,23770000000,912.0,switzerland
imperial brands,23760000000,25.0,uk
raymond james,23690000000,110.0,usa
tyson foods,23640000000,66.0,usa
arch capital,23630000000,64.0,bermuda
fubon financial,23610000000,2.0,taiwan
fifth third bank,23550000000,34.0,usa
arcelormittal,23450000000,29.0,luxembourg
central japan railway,23320000000,119.0,japan
national bank of canada,23300000000,69.0,canada
sirius xm,23290000000,6.0,usa
sandvik,23280000000,19.0,sweden
equity residential,23260000000,59.0,usa
weyerhaeuser,23260000000,32.0,usa
nestle india,23220000000,241.0,india
fortive,23180000000,66.0,usa
mccormick & company,23150000000,86.0,usa
first republic bank,23140000000,127.0,usa
dte energy,23140000000,119.0,usa
china securities,23100000000,4.0,china
delta air lines,23100000000,36.0,usa
delta electronics,23010000000,9.0,taiwan
ecopetrol,22890000000,11.0,colombia
avalonbay communities,22890000000,164.0,usa
dai-ichi life holdings,22860000000,22.0,japan
great-west lifeco,22840000000,25.0,canada
ameren,22830000000,88.0,usa
ck asset holdings,22790000000,6.0,hong kong
sociedad quimica y minera,22750000000,80.0,chile
olympus,22750000000,18.0,japan
entergy,22710000000,108.0,usa
didi,22710000000,5.0,china
zto express,22630000000,28.0,china
banorte,22480000000,8.0,mexico
cnh industrial,22470000000,17.0,uk
oil & natural gas,22450000000,2.0,india
china everbright bank,22450000000,0.0,china
anhui conch cement,22370000000,4.0,china
canon,22370000000,22.0,japan
cosco shipping,22370000000,1.0,china
ingersoll rand,22310000000,55.0,ireland
legrand,22310000000,84.0,france
goodman group,22280000000,12.0,australia
koninklijke dsm,22250000000,127.0,netherlands
ke holdings,22250000000,18.0,china
chow tai fook,22240000000,2.0,hong kong
trina solar,22220000000,10.0,china
crowdstrike,22200000000,95.0,usa
ppl,22060000000,30.0,usa
telefonica,22050000000,4.0,spain
repsol,22000000000,16.0,spain
hewlett packard enterprise,21930000000,17.0,usa
evolution gaming,21860000000,102.0,sweden
naver,21800000000,145.0,s. korea
martin marietta,21800000000,351.0,usa
verisign,21760000000,205.0,usa
michelin,21710000000,30.0,france
techtronic industries,21610000000,11.0,hong kong
longfor group,21550000000,3.0,china
labcorp,21530000000,243.0,usa
the saudi british bank,21470000000,10.0,s. arabia
principal,21390000000,87.0,usa
unicharm,21370000000,36.0,japan
societe generale,21340000000,27.0,france
