name,code,rank,marketcap,country,share_price,change(1day),change(1year),categories
torrent power,torntpower.ns,2985,3150000000,india,6,-0.53%,-15.57%,"utilitycompanies, energy, electricity"
evotec,evo,2984,3150000000,germany,8,-0.12%,-63.85%,"pharmaceuticals, biotech"
equitrans midstream,etrn,2987,3150000000,usa,7,-8.20%,-26.69%,
the a2 milk company,acopy,2983,3150000000,new zealand,4,0.00%,8.21%,"food, dairycompanies"
bts group,bts.bk,2982,3160000000,thailand,0,0.60%,-14.29%,"railways, infrastructure, transportation"
alk-abello,alk-b.co,2980,3160000000,denmark,13,-0.71%,-40.82%,"pharmaceuticals, biotech"
snc-lavalin group,snc.to,2981,3160000000,canada,18,1.49%,-28.59%,"engineering, professionalservices, construction"
ca immo,bzy.f,2979,3160000000,austria,31,-0.82%,-26.15%,realestate
coway,021240.ks,2977,3170000000,south korea,43,1.94%,-33.11%,
national vision holdings,eye,2978,3160000000,usa,40,2.58%,-17.15%,
cohen & steers,cns,2973,3180000000,usa,65,0.21%,-29.52%,
subsea 7,subc.ol,2975,3170000000,luxembourg,10,-2.36%,,"engineering, construction"
albany international,ain,2974,3170000000,usa,102,-0.20%,18.10%,
santen pharmaceutical,4536.t,2976,3170000000,japan,8,0.35%,-33.49%,pharmaceuticals
abcellera,abcl,2972,3180000000,canada,11,-3.21%,-23.44%,"biotech, pharmaceuticals"
bank of hawaii,boh,3015,3080000000,usa,77,-0.59%,-7.10%,
plexus,plxs,3099,2950000000,usa,107,0.12%,12.80%,
excelerate energy,ee,3098,2960000000,usa,27,0.81%,,"oilgas, energy"
televisa,tv,3100,2950000000,mexico,5,0.00%,-49.70%,"mediapress, entertainment"
max financial services,mfsl.ns,3097,2960000000,india,8,0.33%,-33.28%,"financialservices, insurance"
irhythm,irtc,3094,2960000000,usa,98,2.80%,-1.22%,
vienna insurance group,wsv2.f,3096,2960000000,austria,22,-0.68%,-18.60%,insurance
iluka resources,ilu.ax,3095,2960000000,australia,6,-1.62%,13.89%,mining
weatherford international,wfrd,3093,2960000000,usa,41,0.65%,43.22%,"energy, oilgas"
pennon group,pnn.l,3092,2960000000,uk,11,-0.85%,-28.32%,utilitycompanies
amot investment,amot.ta,3091,2960000000,israel,6,-0.14%,,"realestate, investment"
groupe lagardere,mmb.pa,3090,2960000000,france,21,-0.20%,-19.32%,"mediapress, entertainment"
evo payments,evop,3087,2970000000,usa,33,0.00%,43.58%,"financialservices, tech"
skyline champion,sky,3089,2960000000,usa,52,1.76%,-37.82%,construction
acea,ace.mi,3086,2970000000,italy,13,-1.56%,-32.51%,"utilitycompanies, energy, oilgas, electricity"
alteryx,ayx,3088,2960000000,usa,42,6.26%,-34.59%,"software, tech"
sinch,sinch.st,3085,2970000000,sweden,3,-0.25%,-72.57%,telecommunication
vz holding,vzn.sw,3084,2970000000,switzerland,75,0.42%,-22.36%,"assetmanagement, financialservices, investment"
travel leisure,tnl,3083,2970000000,usa,36,0.33%,-28.36%,"travel, mediapress"
quantumscape,qs,3081,2980000000,usa,6,-0.87%,-73.90%,"electricity, batteries"
select medical holdings,sem,3082,2980000000,usa,23,-3.30%,-22.10%,"medicalcarefacilities, healthcare"
thermax,thermax.ns,3080,2980000000,india,25,0.37%,10.41%,engineering
suntec reit,t82u.si,3078,2980000000,singapore,1,1.44%,-5.45%,"realestate, investment, reits"
ollie's bargain outlet,olli,3079,2980000000,usa,47,-17.47%,-7.51%,
wizz air,wizz.l,3077,2980000000,jersey,28,3.67%,-51.21%,"airlines, travel, transportation"
virgin money uk,vmuk.l,3074,2980000000,uk,2,1.46%,-5.26%,"banks, financialservices"
st galler kantonalbank,sgkn.sw,3075,2980000000,switzerland,499,0.21%,7.47%,"banks, financialservices"
jk cement,jkcement.ns,3076,2980000000,india,38,0.20%,-13.35%,"cement, buildingmaterials"
plains gp,pagp,3073,2980000000,usa,12,-1.82%,19.94%,"oilgas, energy"
vontier,vnt,3072,2980000000,usa,18,-0.53%,-40.74%,
amp limited,amp.ax,3070,2990000000,australia,0,0.37%,41.54%,"assetmanagement, investment"
kinaxis,kxs.to,3071,2980000000,canada,107,-3.86%,-27.47%,"software, tech"
spx corporation,spxc,3069,2990000000,usa,66,0.27%,8.19%,
american eagle outfitters,aeo,3067,2990000000,usa,15,2.50%,-42.62%,
indosat,isat.jk,3068,2990000000,indonesia,0,0.43%,-28.85%,telecommunication
progyny,pgny,3065,2990000000,usa,32,0.88%,-37.03%,
archaea energy,lfg,3064,2990000000,usa,25,-0.04%,36.09%,"energy, renewableenergy"
blackbaud,blkb,3066,2990000000,usa,56,-2.18%,-27.03%,"software, tech"
john bean technologies,jbt,3179,2840000000,usa,89,-1.49%,-45.00%,
papa john's pizza,pzza,3178,2840000000,usa,80,-0.15%,-38.51%,"pizza, food, restaurantchains"
blueprint medicines,bpmc,3199,2800000000,usa,46,-3.42%,-51.56%,
kumho petrochemical,011780.ks,3200,2800000000,south korea,107,0.00%,-29.40%,chemicals
guoco,0053.hk,3197,2810000000,hong kong,8,2.31%,-24.96%,investment
keywords studios,kws.l,3196,2810000000,ireland,33,-0.29%,-7.33%,"videogames, professionalservices"
amedisys,amed,3198,2800000000,usa,86,-0.21%,-43.26%,healthcare
ironsource,is,3195,2810000000,israel,2,-3.18%,-68.36%,"software, tech"
esab,esab,3194,2810000000,usa,46,1.96%,,
nextdc,nxt.ax,3193,2810000000,australia,6,1.22%,-27.08%,"itservices, tech"
ovh groupe,ovh.pa,3192,2810000000,france,14,-0.71%,-38.72%,"internet, tech, telecommunication, software"
arcosa,aca,3191,2810000000,usa,58,-4.22%,5.45%,
boralex,blx.to,3190,2820000000,canada,27,-1.06%,-0.22%,"energy, renewableenergy, electricity"
federal signal,fss,3189,2820000000,usa,46,-0.32%,4.50%,
relaxo footwear,relaxo.ns,3186,2830000000,india,11,-1.02%,-32.16%,footwear
ultrapar participacoes,ugp,3187,2830000000,brazil,2,0.39%,-3.73%,
main street capital,main,3188,2830000000,usa,36,0.00%,-17.14%,
site centers,sitc,3185,2830000000,usa,13,0.30%,-15.10%,"realestate, investment, reits"
macerich,mac,3183,2830000000,usa,12,1.86%,-34.24%,"reits, realestate, investment"
pacwest bancorp,pacw,3184,2830000000,usa,24,0.42%,-46.53%,
boise cascade,bcc,3182,2830000000,usa,71,3.42%,7.47%,buildingmaterials
polymetal,pm6.f,3181,2830000000,cyprus,5,0.00%,-66.08%,"mining, goldmining, silvermining"
nordex,ndx1.f,3177,2840000000,germany,13,0.68%,-25.24%,
wsfs financial,wsfs,3176,2840000000,usa,46,-0.39%,-7.88%,"financialservices, banks"
nordstrom,jwn,3180,2830000000,usa,17,-3.64%,-17.30%,"luxurygoods, retail"
vienna airport,flw1.f,3174,2850000000,austria,33,-0.16%,11.39%,"airports, infrastructure"
prospect capital,psec,3175,2840000000,usa,7,-0.97%,-15.76%,investment
vermilion energy,vet,3173,2850000000,canada,17,-2.57%,58.80%,"oilgas, energy"
asana,asan,3172,2850000000,usa,13,-0.67%,-81.94%,"software, tech"
mirati therapeutics,mrtx,3171,2850000000,usa,49,-30.66%,-63.93%,
texas capital bancshares,tcbi,3169,2850000000,usa,57,0.26%,-2.35%,"financialservices, banks"
scorpio tankers,stng,3170,2850000000,monaco,50,-0.68%,286.23%,"transportation, maritimetransportation, oilgas"
atlas air worldwide holdings,aaww,3168,2850000000,usa,100,0.20%,14.87%,"airlines, travel, transportation"
equity commonwealth,eqc,3166,2860000000,usa,26,0.77%,2.83%,"realestate, reits, investment"
syngene international,syngene.ns,3167,2850000000,india,7,-0.58%,-6.68%,
hagerty,hgty,3165,2870000000,usa,8,-4.13%,-45.60%,insurance
leroy seafood,lsg.ol,3164,2870000000,norway,4,0.63%,-33.43%,food
patterson companies,pdco,3212,2770000000,usa,28,-0.87%,-3.87%,
steve madden,shoo,3300,2620000000,usa,33,-1.61%,-30.51%,
rubis,rui.pa,3299,2620000000,france,25,0.33%,-12.62%,
pb fintech,policybzr.ns,3297,2630000000,india,5,5.09%,-62.95%,"financialservices, tech, insurance"
brink's,bco,3296,2630000000,usa,56,-1.65%,-10.41%,
shoals technologies,shls,3295,2630000000,usa,23,-3.17%,-19.42%,"renewableenergy, energy"
360 digitech,qfin,3298,2630000000,china,16,-4.91%,-25.72%,"financialservices, tech"
sig semen indonesia,sms2.f,3294,2640000000,indonesia,0,0.00%,-21.82%,"cement, buildingmaterials"
vector limited,vct.nz,3293,2640000000,new zealand,2,2.46%,-2.58%,"electricity, oilgas, utilitycompanies, energy"
harmonic drive systems,6324.t,3292,2640000000,japan,27,4.53%,-35.11%,
transocean,rig,3290,2640000000,switzerland,3,-4.92%,20.33%,oilgas
liontown resources,ltr.ax,3291,2640000000,australia,1,-7.49%,18.63%,mining
ct reit,crt-un.to,3289,2650000000,canada,11,0.19%,-14.85%,"realestate, investment, reits"
fonterra,fcg.nz,3287,2650000000,new zealand,1,1.97%,-22.64%,"food, dairycompanies"
conmed,cnmd,3288,2650000000,usa,87,1.37%,-38.92%,medicaldevices
cushman & wakefield,cwk,3285,2660000000,usa,11,-0.08%,-41.78%,
first capital reit,fcr-un.to,3286,2650000000,canada,12,-0.59%,-11.15%,"realestate, investment, reits"
dycom industries,dy,3284,2660000000,usa,90,1.26%,-8.90%,"engineering, professionalservices"
bgf retail,282330.ks,3283,2660000000,south korea,154,-0.73%,19.04%,"retail, supermarketchains"
frontier airlines,ulcc,3282,2660000000,usa,12,-5.04%,-10.79%,"airlines, travel, transportation"
ermenegildo zegna,zgn,3280,2660000000,italy,10,-0.36%,,"clothing, luxurygoods"
park hotels & resorts,pk,3279,2660000000,usa,11,-0.75%,-34.55%,
viva energy,vea.ax,3277,2670000000,australia,1,-0.39%,13.16%,"oilgas, energy"
bankunited,bku,3278,2660000000,usa,34,0.00%,-15.74%,
treehouse foods,ths,3281,2660000000,usa,47,-1.41%,19.63%,
digitalocean,docn,3276,2670000000,usa,27,-2.63%,-70.41%,"tech, software, internet"
kosmos energy,kos,3275,2670000000,usa,5,0.51%,52.86%,"oilgas, energy"
urban outfitters,urbn,3274,2670000000,usa,29,0.94%,-11.38%,"clothing, retail"
port of tauranga,pot.nz,3272,2670000000,new zealand,3,0.16%,-15.09%,"ports, infrastructure"
hisense visual technology,600060.ss,3273,2670000000,china,2,0.35%,0.99%,"electronics, tech, techhardware"
kb home,kbh,3271,2680000000,usa,31,3.57%,-28.90%,construction
lic housing finance,lichsgfin.ns,3270,2680000000,india,4,0.06%,-4.13%,financialservices
corporacion financiera alba,alb.mc,3269,2680000000,spain,46,-0.68%,-16.53%,"assetmanagement, investment"
liberty energy,lbrt,3268,2680000000,usa,14,-1.27%,48.04%,"oilgas, oilgasequipmentservices, energy"
methanex,meoh,3301,2620000000,canada,37,-0.98%,-12.68%,
arch resources,arch,3267,2680000000,usa,148,-0.27%,77.62%,"mining, coalmining"
sma solar technology,s92.f,3400,2450000000,germany,70,1.90%,45.69%,
beach energy,bpt.ax,3356,2520000000,australia,1,0.30%,29.07%,"oilgas, energy"
bank of maharashtra,mahabank.ns,3399,2450000000,india,0,4.16%,38.46%,"banks, financialservices"
lci industries,lcii,3395,2460000000,usa,96,-3.64%,-39.35%,
columbia bank,colb,3397,2460000000,usa,31,-0.35%,-6.37%,"banks, financialservices"
ebro foods,ebro.mc,3396,2460000000,spain,16,-0.13%,-17.18%,food
xerox,xrx,3398,2450000000,usa,15,3.07%,-23.41%,"tech, techhardware, electronics"
fletcher building,flq.f,3394,2460000000,new zealand,3,-0.67%,-33.40%,construction
lal pathlabs,lalpathlab.ns,3393,2460000000,india,29,-0.43%,-36.88%,diagnosticsandtesting
fannie mae,fnmal,3391,2460000000,usa,3,-6.25%,-35.17%,financialservices
keppel reit,k71u.si,3392,2460000000,singapore,0,-0.56%,-22.35%,"reits, realestate, investment"
piper sandler,pipr,3390,2460000000,usa,138,1.44%,-21.29%,"banks, financialservices, investment"
stepan company,scl,3387,2470000000,usa,111,0.62%,-7.48%,
first majestic silver,ag,3389,2470000000,canada,9,4.50%,-18.45%,"mining, silvermining"
cbiz,cbz,3388,2470000000,usa,48,-0.10%,31.97%,"financialservices, professionalservices"
perficient,prft,3386,2470000000,usa,71,0.85%,-46.80%,professionalservices
gibson energy,gei.to,3384,2470000000,canada,17,-1.52%,-4.36%,"oilgas, energy, infrastructure"
installed building products,ibp,3385,2470000000,usa,86,2.99%,-36.83%,
qinetiq,qq.l,3383,2480000000,uk,4,1.21%,26.55%,defensecontractors
mdc holdings,mdc,3500,2300000000,usa,32,3.19%,-39.91%,
osisko gold royalties,or,3499,2300000000,canada,12,1.05%,6.74%,
pegasus airlines,pgsus.is,3497,2300000000,turkey,22,0.29%,221.86%,"airlines, travel, transportation"
brady,brc,3498,2300000000,usa,46,-1.68%,-12.52%,manufacturing
iveco group,ivg.mi,3496,2300000000,italy,6,-0.63%,,"manufacturing, specialtyvehicles"
torm,trmd,3495,2300000000,uk,26,-6.63%,242.20%,"oilgas, transportation, maritimetransportation"
agiliti,agti,3494,2300000000,usa,17,-4.63%,-18.49%,healthcare
delek group,dlekg.ta,3492,2310000000,israel,125,0.19%,-98.49%,"energy, infrastructure, conglomerate"
vicor,vicr,3493,2300000000,usa,52,1.63%,-58.82%,electronics
aci worldwide,aciw,3491,2310000000,usa,20,-0.39%,-36.15%,
acer,2353.tw,3490,2310000000,taiwan,0,1.07%,-30.00%,tech
wesbanco,wsbc,3489,2310000000,usa,39,-0.08%,14.42%,"banks, financialservices"
uniqa insurance group,un9.f,3488,2310000000,austria,7,-2.06%,-14.50%,insurance
hutchmed,hcm,3487,2310000000,hong kong,12,-6.63%,-61.65%,"pharmaceuticals, biotech"
1&1,1u1.de,3486,2320000000,germany,13,-2.34%,-54.13%,"telecommunication, internet"
townebank,town,3485,2320000000,usa,31,-0.19%,0.82%,"banks, financialservices"
vertex,verx,3484,2320000000,usa,15,0.72%,-16.13%,"software, tech"
revolution medicines,rvmd,3600,2140000000,usa,24,-1.43%,-11.70%,
rumble,rum,3598,2140000000,usa,7,-2.41%,-41.31%,"internet, tech"
turkiye kalknma,klnma.is,3599,2140000000,turkey,0,-1.52%,-47.90%,
omnicell,omcl,3597,2140000000,usa,48,1.78%,-73.07%,"software, tech, healthcare"
softwareone,swon.sw,3595,2150000000,switzerland,13,-0.76%,-30.78%,"software, tech"
signa sports united,ssu,3596,2150000000,germany,5,-0.18%,-44.28%,"ecommerce, internet, tech, retail, sportsgoods"
sunstone hotel investors,sho,3594,2150000000,usa,10,0.29%,-11.12%,"realestate, investment, reits, hotels, travel"
shimao property,0813.hk,3593,2150000000,hong kong,0,-2.21%,-50.86%,realestate
itau corpbanca,itcb,3592,2150000000,chile,3,1.84%,5.40%,"banks, financialservices"
sprinklr,cxm,3590,2150000000,usa,8,0.12%,-39.66%,"software, tech"
cedar fair,fun,3591,2150000000,usa,39,-0.50%,-18.87%,
ttec,ttec,3588,2160000000,usa,45,-2.24%,-47.77%,
glaukos,gkos,3589,2150000000,usa,45,2.77%,4.36%,"pharmaceuticals, biotech"
harmony gold,hmy,3587,2160000000,south africa,3,0.00%,-12.28%,mining
grainger plc,gri.l,3586,2160000000,uk,2,-1.31%,-29.81%,realestate
tiger brands,tbs.jo,3663,2020000000,south africa,11,0.59%,8.49%,food
blue dart express,bluedart.ns,3585,2160000000,india,91,-0.12%,6.69%,"courier, transportation"
cricut,crct,3700,1970000000,usa,8,-1.86%,-63.63%,
jeudan,jdan.co,3699,1970000000,denmark,34,-0.81%,-15.44%,realestate
comfortdelgro,c52.si,3698,1980000000,singapore,0,0.00%,-11.65%,transportation
tanger factory outlet centers,skt,3697,1980000000,usa,18,0.48%,-8.70%,"realestate, investment, reits"
griffon corporation,gff,3696,1980000000,usa,34,-1.25%,24.92%,conglomerate
harel group,harl.ta,3695,1980000000,israel,9,-0.83%,,insurance
philip morris cr,tbk.f,3694,1980000000,czech republic,716,-1.02%,2.16%,tobacco
novagold resources,ng,3692,1990000000,canada,5,2.23%,-14.49%,"goldmining, mining"
baywa,byw.f,3693,1980000000,germany,57,-5.17%,11.88%,conglomerate
exide industries,exideind.ns,3690,1990000000,india,2,1.29%,7.34%,
n-able,nabl,3691,1990000000,usa,11,0.46%,-11.49%,"software, tech"
paradox interactive,pdx.st,3689,1990000000,sweden,18,-0.36%,11.14%,"videogames, tech, entertainment"
yelp,yelp,3688,1990000000,usa,28,-0.38%,-21.67%,
icf international,icfi,3686,1990000000,usa,105,-3.21%,1.35%,professionalservices
buenaventura mining company,bvn,3687,1990000000,peru,7,-3.56%,4.53%,"mining, silvermining, goldmining"
heartland financial usa,htlf,3684,1990000000,usa,47,-0.61%,-5.60%,"banks, financialservices"
patria investments,pax,3685,1990000000,cayman islands,13,-1.81%,-19.44%,"financialservices, investment"
efes beverage group,aefes.is,3683,1990000000,turkey,3,-0.40%,66.83%,"beverages, alcoholicbeverages"
seacoast banking,sbcf,3682,1990000000,usa,32,-0.21%,-7.49%,"banks, financialservices"
semtech,smtc,3800,1830000000,usa,28,0.24%,-68.15%,
orange polska,tpa1.f,3798,1830000000,poland,1,-0.26%,-27.98%,telecommunication
ci financial,cixx,3799,1830000000,canada,9,-1.48%,-55.92%,financialservices
udemy,udmy,3797,1830000000,usa,13,0.54%,-40.24%,"education, internet, tech"
storagevault canada,svi.to,3796,1830000000,canada,4,2.47%,-1.62%,realestate
hilltop holdings,hth,3793,1840000000,usa,28,0.35%,-17.57%,
nbt bancorp,nbtb,3794,1840000000,usa,42,-0.56%,15.64%,"banks, financialservices"
coursera,cour,3795,1830000000,usa,12,0.48%,-55.39%,"education, internet, tech"
usiminas,usim5.sa,3792,1840000000,brazil,1,0.13%,-42.37%,"steelproducers, steelindustry"
xpel,xpel,3791,1840000000,usa,66,-0.18%,-1.23%,
delek us,dk,3790,1840000000,usa,26,-1.45%,56.33%,"oilgas, energy"
filo mining,fil.to,3789,1850000000,canada,15,2.85%,54.20%,"mining, goldmining, silvermining"
earthstone energy,este,3788,1850000000,usa,13,-2.21%,22.76%,"oilgas, energy"
international seaways,insw,3787,1850000000,usa,37,-4.67%,139.11%,"transportation, maritimetransportation"
robertet,cbe.pa,3892,1700000000,france,778,0.00%,-23.66%,
boardwalk real estate investment trust,bei-un.to,3786,1850000000,canada,36,1.57%,-13.97%,"realestate, investment, reits"
fate therapeutics,fate,3785,1850000000,usa,19,-0.21%,-65.01%,"biotech, pharmaceuticals"
winnebago industries,wgo,3899,1690000000,usa,55,-3.88%,-23.58%,
dcm shriram,dcmshriram.ns,3900,1690000000,india,10,-0.67%,-19.37%,"chemicals, agriculture"
expro group,xpro,3897,1690000000,usa,15,-4.00%,15.72%,"oilgas, energy, oilgasequipmentservices"
wework,we,3898,1690000000,usa,2,-9.70%,-74.91%,realestate
vector group,vgr,3896,1700000000,usa,10,-1.43%,-29.73%,tobacco
befesa,bfsa.de,3895,1700000000,luxembourg,42,-2.33%,-37.99%,wasterecycling
happiest minds technologies,happstmnds.ns,3893,1700000000,india,11,-0.53%,-32.40%,"itservices, professionalservices"
materion,mtrn,3894,1700000000,usa,82,2.04%,-6.01%,
ratnamani metals & tubes,ratnamani.ns,3891,1700000000,india,24,0.23%,-3.98%,
avidxchange,avdx,3890,1700000000,usa,8,2.87%,-54.84%,"software, tech"
hbm healthcare investments,hbmn.sw,3889,1700000000,switzerland,245,-0.86%,-31.79%,"investment, assetmanagement, biotech"
addus homecare,adus,3887,1700000000,usa,106,-0.63%,15.05%,
hph trust hutchison port,ns8u.si,3888,1700000000,singapore,0,-1.51%,-13.04%,"ports, infrastructure"
peab,peab-b.st,3886,1710000000,sweden,5,-1.74%,-53.16%,"construction, engineering"
altus group,aif.to,3885,1710000000,canada,38,0.29%,-25.21%,realestate
tokai carbon,5301.t,3884,1710000000,japan,8,-1.17%,-25.62%,
vtech,0303.hk,3883,1710000000,hong kong,6,0.86%,-13.41%,"electronics, education"
trico bancshares,tcbk,3882,1710000000,usa,51,-0.83%,19.51%,"banks, financialservices"
labrador iron ore royalty corp,lif.to,4000,1580000000,canada,24,0.45%,-16.72%,"steelproducers, steelindustry"
hope bancorp,hope,3999,1580000000,usa,13,-0.08%,-9.62%,"banks, financialservices"
pets at home,pets.l,3998,1580000000,uk,3,-2.83%,-47.08%,retail
stellar bancorp,stel,3997,1580000000,usa,30,-1.46%,9.46%,"banks, financialservices"
cj group,001040.ks,3996,1580000000,south korea,58,1.98%,-18.52%,conglomerate
ltc properties,ltc,3995,1580000000,usa,39,1.14%,17.04%,"realestate, investment, reits"
forbo holding,forn.sw,3994,1580000000,switzerland,1,-1.32%,-44.00%,buildingmaterials
hongkong and shanghai hotels,0045.hk,3993,1580000000,hong kong,0,1.08%,5.49%,"hotels, travel"
billtrust btrs,btrs,3992,1580000000,usa,9,-0.11%,20.20%,"tech, software, financialservices"
national bank holdings,nbhc,3991,1580000000,usa,42,-0.71%,-2.90%,"banks, financialservices"
super group,sghc,3990,1580000000,guernsey,3,10.96%,-68.54%,"internet, gambling, entertainment"
myriad genetics,mygn,3989,1580000000,usa,19,0.51%,-24.72%,"biotech, genomics, diagnosticsandtesting"
sandstorm gold,sand,3988,1580000000,canada,5,2.30%,-9.51%,"mining, goldmining"
hain celestial,hain,3987,1580000000,usa,17,-0.73%,-54.01%,food
jyp entertainment,035900.kq,3986,1590000000,south korea,48,0.16%,18.20%,entertainment
middlesex water company,msex,3985,1590000000,usa,90,0.60%,-12.62%,utilitycompanies
biotest,bio.f,3984,1590000000,germany,44,-0.23%,-7.48%,
talos energy,talo,3983,1590000000,usa,19,-0.16%,77.39%,"energy, oilgas"
nokian tyres,tyres.he,4099,1460000000,finland,10,-0.88%,-71.85%,tires
laureate education,laur,4001,1570000000,usa,10,-0.79%,-4.45%,education
blue star,bluestarco.ns,4100,1460000000,india,15,-0.04%,13.83%,
advantage energy,aav.to,4098,1460000000,canada,8,0.27%,55.07%,"oilgas, energy"
rocket pharmaceuticals,rckt,4097,1460000000,usa,18,-2.86%,-25.36%,"pharmaceuticals, biotech"
magnite,mgni,4096,1460000000,usa,11,3.18%,-39.08%,advertising
momentum metropolitan,mtm.jo,4095,1470000000,south africa,1,0.28%,-4.63%,"financialservices, insurance"
dynavax technologies,dvax,4094,1470000000,usa,11,-0.69%,-20.21%,"pharmaceuticals, biotech"
fortune reit,0778.hk,4092,1470000000,hong kong,0,2.30%,-26.73%,"realestate, investment, reits"
international petroleum,ipco.to,4093,1470000000,canada,10,-0.68%,99.26%,"oilgas, energy"
bystronic ag,bys.sw,4091,1470000000,switzerland,712,0.15%,-50.25%,"manufacturing, machinerymanufacturing"
nh hotel group,nhh.mc,4090,1470000000,spain,3,1.42%,-3.14%,"hotels, travel"
dsme daewoo shipbuilding,042660.ks,4086,1480000000,south korea,13,-0.82%,-35.21%,
adtran,adtn,4087,1470000000,usa,19,-1.70%,-9.89%,telecommunicationsequipment
glenmark pharmaceuticals,glenmark.ns,4088,1470000000,india,5,2.23%,-20.27%,pharmaceuticals
acadia realty trust,akr,4089,1470000000,usa,14,0.55%,-32.91%,"realestate, investment, reits"
dena,2432.t,4084,1480000000,japan,13,-0.95%,-16.34%,"videogames, entertainment, tech"
peptidream,4587.t,4083,1480000000,japan,11,0.58%,-50.46%,pharmaceuticals
madison square garden,msge,4082,1480000000,usa,43,-11.96%,-38.61%,
nevro,nvro,4085,1480000000,usa,41,0.46%,-56.20%,
pc connection,cnxn,4199,1360000000,usa,52,-1.70%,13.93%,
diagnosticos da america,dasa3.sa,4081,1480000000,brazil,2,-0.86%,-57.37%,healthcare
phreesia,phr,4200,1360000000,usa,26,0.85%,-51.18%,"software, tech"
23andme,me,4198,1370000000,usa,3,-0.33%,-63.25%,"biotech, software, tech"
opal fuels,opal,4197,1370000000,usa,8,-5.28%,-19.86%,"oilgas, energy"
corecivic,cxw,4195,1370000000,usa,11,-6.85%,15.33%,
ses ai,ses,4196,1370000000,usa,3,-8.18%,-61.39%,"batteries, electricity"
amara raja batteries,amarajabat.ns,4194,1370000000,india,8,2.38%,-4.05%,"batteries, electricity"
nutex health,nutx,4193,1370000000,usa,2,-4.93%,,healthcare
marcus & millichap,mmi,4192,1370000000,usa,35,-0.20%,-24.99%,realestate
truecaller,true-b.st,4191,1370000000,sweden,3,-0.90%,-75.59%,tech
upstart,upst,4190,1380000000,usa,16,-1.58%,-91.30%,"financialservices, tech"
irobot,irbt,4187,1380000000,usa,50,-2.07%,-31.15%,robotics
sm entertainment,041510.kq,4189,1380000000,south korea,59,-1.52%,-3.71%,entertainment
meridian bioscience,vivo,4188,1380000000,usa,31,-0.57%,63.45%,diagnosticsandtesting
reata pharmaceuticals,reta,4185,1380000000,usa,37,0.27%,-30.61%,"pharmaceuticals, biotech"
bridgebio pharma,bbio,4186,1380000000,usa,9,-1.07%,-76.82%,pharmaceuticals
integral ad science,ias,4184,1380000000,usa,9,-4.15%,-58.91%,advertising
hindustan copper,hindcopper.ns,4183,1380000000,india,1,0.43%,-14.37%,mining
palomar holdings,plmr,4235,1330000000,usa,52,-0.17%,-22.74%,
compass diversified holdings,codi,4300,1270000000,usa,17,0.06%,-44.86%,
hornbach holding,hbh.de,4299,1270000000,germany,79,-0.33%,-36.84%,retail
veidekke,vei.ol,4298,1270000000,norway,9,0.00%,-32.70%,construction
siam city cement insee,sccc.bk,4296,1270000000,thailand,4,0.34%,-7.38%,"cement, buildingmaterials"
ottogi,007310.ks,4297,1270000000,south korea,340,0.22%,-12.45%,food
wacker neuson,wac.f,4295,1270000000,germany,18,0.53%,-39.31%,
the north west company,nwc.to,4294,1270000000,canada,26,1.22%,-3.48%,"supermarketchains, retail"
skycity entertainment group,skc.nz,4293,1270000000,new zealand,1,-1.86%,-21.13%,"entertainment, gambling, hotels"
enghouse systems,engh.to,4291,1270000000,canada,23,0.67%,-45.27%,"software, tech, itservices, professionalservices"
cts corporation,cts,4292,1270000000,usa,40,-1.21%,11.29%,"electronics, manufacturing"
patrick industries,patk,4289,1270000000,usa,56,-2.03%,-26.83%,
jindal stainless,jsl.ns,4290,1270000000,india,2,-1.45%,7.05%,transportation
safety insurance,saft,4287,1270000000,usa,86,-1.43%,9.58%,insurance
allcargo logistics,allcargo.ns,4288,1270000000,india,5,-0.45%,14.29%,
nextgen healthcare,nxgn,4286,1270000000,usa,18,-2.27%,14.73%,healthcare
gamma communications,gama.l,4284,1280000000,uk,12,-0.77%,-42.96%,telecommunication
ofg bancorp,ofg,4285,1270000000,usa,26,-0.26%,7.55%,"banks, financialservices"
kaiser aluminum,kalu,4283,1280000000,usa,80,-3.85%,-15.04%,aluminum
heartland express,htld,4282,1280000000,usa,16,-0.37%,-5.08%,
tompkins financial,tmp,4400,1150000000,usa,79,-1.53%,0.67%,"financialservices, banks"
kratos defense & security solutions,ktos,4399,1160000000,usa,9,-1.07%,-54.65%,defensecontractors
e w scripps company,ssp,4398,1160000000,usa,13,-7.57%,-27.32%,mediapress
hni corporation,hni,4397,1160000000,usa,28,-1.40%,-33.17%,furniture
abercrombie & fitch,anf,4396,1160000000,usa,23,3.54%,-36.98%,"clothing, retail"
guess,ges,4395,1160000000,usa,21,1.57%,-13.70%,"clothing, retail"
uponor,uponor.he,4394,1160000000,finland,16,0.07%,-32.36%,
stewart information services,stc,4393,1160000000,usa,43,0.09%,-43.10%,"realestate, professionalservices"
encore capital group,ecpg,4392,1160000000,usa,49,-0.89%,-12.53%,financialservices
ecovyst,ecvt,4391,1160000000,usa,8,-2.18%,-6.07%,chemicals
telephone and data systems,tds,4390,1160000000,usa,10,0.00%,-47.23%,
ero copper,ero,4388,1160000000,canada,12,5.07%,-14.97%,mining
barloworld,baw.jo,4389,1160000000,south africa,6,1.79%,-29.78%,conglomerate
tennant company,tnc,4387,1170000000,usa,62,-1.79%,-24.71%,
