name,industry,head_quarters,founded,area_served
bharti enterprises,conglomerate,nelson mandela road,1976  46 years ago  1976 ,worldwide
bihl,conglomerate,nelson mandela road,1976  46 years ago  1976 ,
billabong clothing,textile,"burleigh heads, queensland","1973  49 years ago  1973  in gold coast, queensland, australia",
blackdecker,power tools home improvement products hardware fastening technology,"burleigh heads, queensland","september 1910  112 years ago  1910-09   as  the black & decker manufacturing company   in baltimore, maryland,  u.s.a. ",
blackrock,investment management,"burleigh heads, queensland",1988  34 years ago  1988 ,worldwide
bmw,automotive,"burleigh heads, queensland",7 march 1916  106 years ago  1916-03-07   as bayerische flugzeugwerke ,worldwide
bbk electronics,consumer electronics,"burleigh heads, queensland",18 september 1995  27 years ago  1995-09-18 ,worldwide
bbc,mass media,broadcasting house,18 october 1922  100 years ago  1922-10-18   as british broadcasting company  1 january 1927  95 years ago  1927-01-01   as british broadcasting corporation ,worldwide
bnp paribas,financial services,boulevard des italiens,"1848  174 years ago  1848   comptoir national d'escompte de paris, predecessor of bnp  1872  banque de paris et des pays-bas, later called paribas  2000  as bnp paribas ",worldwide
bose corporation,audio electronics,"framingham, massachusetts",1964  58 years ago  1964 ,
boeing,aerospace defense,boeing building,"july 15, 1916  106 years ago  1916-07-15   as pacific aero products co.  seattle, washington, u.s.",worldwide[3]: 1 
bombardier inc,aerospace,boeing building,"valcourt, quebec, canada july 10, 1942  80 years ago  1942-07-10 ",worldwide
books-a-million,retail entertainment,"birmingham, alabama","1917  105 years ago  1917  in florence, alabama",
bouygues,conglomerate,"birmingham, alabama",1952  70 years ago  1952 ,
brac organisation,conglomerate,"birmingham, alabama",1952  70 years ago  1952 ,
braun company,manufacturing,"birmingham, alabama","1921  101 years ago  1921   as braun ag  in frankfurt, germany",worldwide
bridgestone,auto and truck parts,"birmingham, alabama","1 march 1931  91 years ago  1931-03-01  kurume, fukuoka, japan",worldwide
british airways,auto and truck parts,london,25 august 1919  103 years ago  1919-08-25   as aircraft transport and travel limited  31 march 1974  48 years ago  1974-03-31   as british airways ,
bp,oil and gas,london,"14 april 1909  1909-04-14   as the anglo-persian oil company  10 january 1870  1870-01-10   as standard oil, which partially broke up into standard oil of ohio, arco, and amoco which all merged into bp  16 december 1954  68 years ago  1954-12-16   as british petroleum ",worldwide
burberry,fashion,london,"1856  166 years ago  1856  in basingstoke, england",worldwide
bt group,telecommunications,london,18 june 1846  176 years ago  1846-06-18   foundation of the electric telegraph company  1 january 1912  110 years ago  1912-01-01   national telephone company system take-over under the general post office  1 october 1969  53 years ago  1969-10-01   as a public corporation under the post office  1 october 1981  41 years ago  1981-10-01   as a public corporation under the british telecom brand  1 april 1984  38 years ago  1984-04-01   as a private company ,worldwide
bytedance,internet,london,13 march 2012  10 years ago  2012-03-13 ,worldwide
byd auto,electric automotive,london,2003  19 years ago  2003 ,worldwide
cadbury,confectionery,buckinghamshire,"1824  198 years ago   1824  in birmingham, england",
capcom,video games,ch  -ku,30 may 1979  43 years ago  1979-05-30 [1],
canon inc,electronics,ch  -ku,"10 august 1937  85 years ago  1937-08-10   as seikik gaku kenky sho  jpn.        , precision optical industry co. ltd.  tokyo, japan",worldwide
capgemini,information technology consulting outsourcing,ch  -ku,1 october 1967  55 years ago  1 october 1967 ,worldwide
casio,electronics,shibuya,"april 1946  76 years ago  1946-04   as kashio seisakujo [1] june 1957  65 years ago  1957-06   as casio computer co., ltd. ",worldwide
capital one,financial services,capital one tower,"july 21, 1994  28 years ago  july 21, 1994  richmond, virginia, u.s.",
cargill,conglomerate,minnetonka,1865  157 years ago  1865 ,worldwide
cargolux,conglomerate,sandweiler,4 march 1970  52 years ago  1970-03-04 ,
caribbean airlines,conglomerate,piarco,19 september 2006  as bwia in 1939 ,
carlsberg group,beverages,copenhagen,1847  175 years ago  1847 ,worldwide
carrefour,retail wholesaling,copenhagen,1 january 1958  64 years ago  1958-01-01 ,"europe, middle east, north africa, east africa, south asia, east asia, south america"
caterpillar inc,heavy equipment engines financial services,"irving, texas","april 15, 1925  97 years ago  1925-04-15  in california, u.s.",worldwide
celestica,electronics,toronto,1994 by ibm,
celkon,"telecommunications, consumer electronics",hyderabad,2009,worldwide
cencosud,retail,santiago,1960  62 years ago  1960 ,
chupa chups,confectionery,santiago,"sant esteve sesrovires, barcelona, spain  1958  64 years ago  1958  ",
china mobile,telecommunications,beijing,3 september 1997  25 years ago  1997-09-03 [2],"china hong kong  as cmhk  pakistan  as zong  japan, thailand, united kingdom, singapore, italy and canada  as cmlink "
changhong,television manufacturer,beijing,october 1958  64 years ago  1958-10 ,worldwide
chanel,fashion,london,1910  112 years ago  1910  in paris[1],worldwide
chiquita,agriculture,"fort lauderdale, florida",august 1984  as chiquita brands international ,
chevron corporation,energy oil and gas,"san ramon, california","september 10, 1879  143 years ago  1879-09-10  as  pacific coast oil co. ",worldwide
china merchants bank,banking,"san ramon, california",1987  35 years ago  1987 ,worldwide
china resources,conglomerate,china resources headquarters,1938  84 years ago  1938 ,mainland china hong kong
chubb limited,insurance and reinsurance,china resources headquarters,"1985  37 years ago  1985  in hamilton, bermuda",worldwide
china international marine containers,shipping and logistics,shekou,14 january 1980,worldwide
cisco,networking hardware networking software,shekou,"december 10, 1984  38 years ago  1984-12-10  in san francisco, california, united states",worldwide
citigroup,financial services,388390 greenwich st.,"october 8, 1998  24 years ago  1998-10-08 ",worldwide
coolpad,consumer electronics,"shenzhen, china  general office  cayman islands  registered office  hong kong  second office ",29 april 1993  29 years ago  1993-04-29   as yulong computer  2002  as china wireless tech. ,worldwide
the coca-cola company,beverage,"shenzhen, china  general office  cayman islands  registered office  hong kong  second office ","january 29, 1892  130 years ago  1892-01-29  atlanta, georgia, u.s.",worldwide
the coffee bean & tea leaf,restaurants retail coffee and tea,"shenzhen, china  general office  cayman islands  registered office  hong kong  second office ",los angeles  1963  59 years ago  1963  ,united states bangladesh cambodia china egypt india indonesia israel kuwait malaysia middle east mongolia myanmar oman pakistan panama paraguay philippines singapore south korea sri lanka thailand vietnam
cognizant,information technology consulting outsourcing,"shenzhen, china  general office  cayman islands  registered office  hong kong  second office ","26 january 1994  28 years ago  1994-01-26  in chennai, tamil nadu, india[1]",worldwide
colgate-palmolive,consumer goods,park avenue,1806  216 years ago  1806 ,worldwide
comac,aviation,park avenue,11 may 2008  14 years ago  11 may 2008 ,worldwide
concentrix,business services,park avenue,1983  39 years ago  1983 ,worldwide
conocophillips,oil and gas,park avenue,30 august 2002  20 years ago  2002-08-30   as conocophillips co. [1],worldwide
copa airlines,oil and gas,panama city,21 june 1944,
costco,retail,panama city,"september 15, 1983  39 years ago  1983-09-15   as costco  seattle, washington, u.s.",australia canada china france iceland japan korea mexico new zealand spain sweden puerto rico taiwan united kingdom united states[2]
coty inc,beauty,panama city,"1904  118 years ago  1904  in paris, france",worldwide
creative technology,consumer electronics,panama city,1 july 1981  41 years ago  1981-07-01 ,worldwide
credit agricole,financial services,panama city,5 november 1894  128 years ago  1894-11-05 ,worldwide
crocs,"wholesale trade, retail & consumer services, clothing & clothing accessories","broomfield, colorado",2002  20 years ago  2002 ,
credit suisse,financial services,paradeplatz,1856  166 years ago  1856 ,worldwide
cummins,"heavy equipment, automotive",cummins corporate office building,1919  103 years ago  1919 ,
currys plc,consumer electronics,london,7 august 2014  8 years ago  2014-08-07 ,united kingdom ireland mainland europe
cyient,conglomerate,hyderabad,1991  31 years ago  1991 ,worldwide
cyrusone,conglomerate,"dallas, texas",july 2000  22 years ago  2000-07 ,
d-link,networking equipment,"dallas, texas",march 1986  36 years ago  1986-03   as datex systems inc.  1994  as d-link corporation ,
dabur,consumer goods,"dallas, texas",1884  138 years ago  1884 ,worldwide
daikin,"electrical equipment, chemicals",kita-ku,25 october 1924  98 years ago  1924-10-25 ,
mercedes-benz group,automotive,kita-ku,1926  original foundation of daimler-benz  2007  foundation of daimler ag ,worldwide
dangote group,conglomerate construction materials,lagos,1981,
daihatsu,automotive,lagos,1 march 1951  71 years ago  1951-03-01 ,japan indonesia malaysia
da,food processing,boulevard haussmann,"barcelona, spain  1919  103 years ago  1919  ",
dalton maag,font design branding,boulevard haussmann,"london, uk, 1991",worldwide
joshua darden,font design branding,boulevard haussmann,"london, uk, 1991",
decathlon retailer,retail,villeneuve d'ascq,1976  46 years ago  1976 ,
deepin,retail,villeneuve d'ascq,1976  46 years ago  1976 ,
dell,computer hardware computer software,villeneuve d'ascq,"february 1, 1984  38 years ago  1984-02-01 ",worldwide
deloitte,professional services,london,"1845  177 years ago  1845  in london, england",worldwide
delta air lines,professional services,"atlanta, georgia","march 2, 1925  97 years ago  1925-03-02 , as huff daland dusters in macon, georgia",
deutsche bank,banking financial services,deutsche bank twin towers,10 march 1869  153 years ago  10 march 1869 ,worldwide
diageo,beverages,london,1997  25 years ago  1997 ,
dine brands,restaurants,london,1958  64 years ago  1958 ,worldwide
currys plc,consumer electronics,london,7 august 2014  8 years ago  2014-08-07 ,united kingdom ireland mainland europe
dow chemical company,chemicals,"midland, michigan","1897  125 years ago  1897  april 1, 2019  3 years ago  2019-04-01   current iteration ",worldwide
dollar tree,"retail, variety, discount","burnaby, british columbia","april 27, 1989  33 years ago  april 27, 1989  sumter, south carolina, u.s.",canada
docusign,software,"burnaby, british columbia",2003  19 years ago  2003 ,
dole plc,agribusiness,"burnaby, british columbia","june 2, 1851  171 years ago  1851-06-02 [1] kingdom of hawaii",
domino's pizza,foodservice franchising,"ann arbor township, michigan","december 9, 1960  62 years ago  1960-12-09  in ypsilanti, michigan, united states",worldwide
dude perfect,entertainment,frisco,"march 16, 2009  13 years ago  2009-03-16  texas a&m university college station, texas, u.s.",
dupont,chemicals,"wilmington, delaware","september 1, 2017  5 years ago  2017-09-01   as dowdupont  june 1, 2019  2019-06-01   as dupont ",global 90 countries[8]
dxc technology,information technology consulting outsourcing,"wilmington, delaware","april 3, 2017  5 years ago  2017-04-03 ",worldwide
dyson company,household appliances,st james power station,8 july 1991  31 years ago  1991-07-08   as barleta limited [1],worldwide
ebay,e-commerce,san jose,"september 3, 1995  27 years ago  1995-09-03 ",worldwide
electronic arts,video games,san jose,"may 27, 1982  40 years ago  1982-05-27  in san mateo, california, us",worldwide
embraer,"aerospace, defense",san jose,"august 19, 1969  53 years ago  1969-08-19 ",worldwide
emerson electric,electrical equipment,"ferguson, missouri",1890  132 years ago  1890 ,
emigre fonts,typography,"ferguson, missouri",1984  38 years ago  1984 ,
eni,oil and gas,"ferguson, missouri",10 february 1953  69 years ago  1953-02-10 ,worldwide
ericsson,telecommunications networking,kista,"stockholm, sweden  1876  146 years ago  1876  ",worldwide
the estee lauder companies,cosmetics,general motors building,"1946  76 years ago  1946  new york city, new york, u.s.",
etisalat by e&,telecommunication,general motors building,30 august 1976  46 years ago  1976-08-30 ,list united arab emirates saudi arabia morocco algeria pakistan egypt afghanistan mauritania mali gabon burkina faso benin cote d'ivoire togo niger central african republic nigeria
eva air,telecommunication,luzhu,8 march 1989  33 years ago  1989-03-08 ,
evergreen marine corporation,container shipping marine transportation,luzhu,1968  54 years ago  1968 ,worldwide
evercore,investment banking,new york city,1995  27 years ago  1995 ,
exxonmobil,energy: oil and gas,new york city,"august 5, 1882  140 years ago  1882-08-05   as standard oil of new jersey [2]",worldwide
ezaki glico,food manufacturing,new york city,"nishi-ku, osaka, japan  11 february 1922  100 years ago  1922-02-11  [1][2]",
ernst & young,professional services,london,1989  33 years ago  1989   through merger of ernst & whinney and arthur young & co.  oldest component from 1849 [2],worldwide
faber-castell,stationery,london,1761  261 years ago  1761 ,worldwide
fairphone,telecommunications equipment,london,january 2013  9 years ago  2013-01 ,
fast retailing,retail,london,"as mens shop ogori shoji march 1949  73 years ago  1949-03  as fast retailing september 1991  31 years ago  1991-09  1963 as ogori shoji co., ltd.  ube, yamaguchi, japan  1991 as fast retailing co., ltd.  name change ",worldwide
fbt company,sportswear sports equipment,bangkok,1952  70 years ago  1952 ,worldwide
fedex,e-commerce services transportation,"memphis, tennessee","may 5, 1971  51 years ago  1971-05-05  in little rock, arkansas",worldwide
ferrero spa,food,"memphis, tennessee",1946  76 years ago  1946 ,worldwide
fila,sportswear sports goods,"memphis, tennessee","biella, piedmont, italy 1911  111 years ago  1911 ",worldwide
ficosa,sportswear sports goods,"memphis, tennessee","biella, piedmont, italy 1911  111 years ago  1911 ",
fis company,financial sector,"jacksonville, florida",1968  54 years ago  1968 ,worldwide
font bureau,type foundry,boston,1989,
fontshop international,"type foundry, stock photography",boston,"berlin, germany  1990  1990  ",
fortinet,cloud security cybersecurity network security,boston,2000  22 years ago  2000 ,
fossil group,fashion,richardson,1984  38 years ago  1984   as overseas products ,
foxconn,electronics,richardson,"20 february 1974  48 years ago  1974-02-20   as hon hai precision industry co., ltd. ",worldwide
fpt group,"information technology, communications, education",cau giay,"september 13, 1988",
fujifilm,document solutions digital imaging medical imaging cosmetics regenerative medicine stem cells biologics,tokyo midtown,"january 20, 1934  88 years ago  1934-01-20 ",worldwide
fujitsu,computer hardware consulting cloud computing telecommunications data storage consumer electronics,tokyo midtown,"june 20, 1935  87 years ago  1935-06-20   as fuji telecommunications equipment manufacturing  kawasaki, kanagawa, japan[2]",worldwide
fujiya,computer hardware consulting cloud computing telecommunications data storage consumer electronics,tokyo midtown,"june 30, 1938  84 years ago  1938-06-30 ",japan
future group,conglomerate,"mumbai, maharashtra",2013  9 years ago  2013 ,
gamestop,retail,"mumbai, maharashtra",1984  38 years ago  1984 ,several countries australia austria canada france germany italy ireland new zealand switzerland united states
gap inc,retail,"mumbai, maharashtra","august 21, 1969  53 years ago  1969-08-21  san francisco, california, u.s.",worldwide
garmin,technology,"olathe, kansas","october 1989  33 years ago  1989-10   as pronav  in lenexa, kansas, u.s.",
gartner,research & advisory services,"olathe, kansas","1979  43 years ago  1979  by gideon gartner in stamford, connecticut",
gazprom,oil and gas,"olathe, kansas",8 august 1989  33 years ago  1989-08-08 ,
geeknet,online media retail,"olathe, kansas",november 1993  1993-11 [1],
general electric,conglomerate,boston,"april 15, 1892  130 years ago  1892-04-15  in schenectady, new york, us",worldwide
gree electric,"electronics, household appliances",boston,1991  31 years ago  1991 ,worldwide
general mills,food processing,boston,"june 20, 1856  166 years ago  1856-06-20  minneapolis, minnesota, u.s.",worldwide
general motors,automotive,renaissance center,"september 16, 1908  114 years ago  1908-09-16 [1]  original company  july 10, 2009  13 years ago  2009-07-10   present company ",worldwide
assicurazioni generali,financial services,renaissance center,1831  191 years ago  1831 ,worldwide
gerdau,iron and steel,porto alegre,16 january 1901  121 years ago  16 january 1901 ,
giant bicycles,bicycle manufacturing,porto alegre,"dajia, taichung, taiwan, 1972",
globe telecom,telecommunications remittance mass media,porto alegre,"manila, philippine islands  1935  87 years ago  1935  ",philippines
gungho online entertainment,video games,chiyoda,"july 1, 1998  24 years ago  1998-07-01 [1]",
guinness,video games,chiyoda,"july 1, 1998  24 years ago  1998-07-01 [1]",
guess clothing,fashion,chiyoda,1981  41 years ago  1981 ,
gsk plc,pharmaceutical biotechnology,london,27 december 2000  21 years ago  2000-12-27 ,worldwide
geely,automotive,binjiang district,"6 november 1986  36 years ago  1986-11-06 [1] in taizhou, zhejiang",worldwide
goodyear tire and rubber company,manufacturing,binjiang district,"august 29, 1898  124 years ago  1898-08-29  akron, ohio, u.s.",worldwide
google,artificial intelligence advertising cloud computing computer software computer hardware internet,1600 amphitheatre parkway,"september 4, 1998  24 years ago  1998-09-04 [a] in menlo park, california, united states",worldwide
godaddy,"internet, it consulting, smes","tempe, arizona",1997  25 years ago  1997   as jomax technologies ,worldwide
gopro,technology videography consumer electronics,"tempe, arizona",2002  20 years ago  2002 ,worldwide
harley-davidson,technology videography consumer electronics,"milwaukee, wisconsin, u.s.",1903  119 years ago  1903 ,
hermes,luxury goods,rue du faubourg saint-honore,1837  185 years ago  1837  in paris,
haier,home appliances consumer electronics,rue du faubourg saint-honore,1984  38 years ago  1984 ,
harrods,retail,brompton road,1849  173 years ago  1849 ,
haribo,confectionery,brompton road,13 december 1920  102 years ago  1920-12-13 ,
hard rock cafe,"casual dining restaurants, casinos, hotels",davie,"14 june 1971  51 years ago  1971-06-14  london, england",
halliburton,fossil fuel,"houston, texas","1919  103 years ago  1919 , in duncan, oklahoma, u.s.",worldwide
hankook tire,auto and truck parts,bundang-gu,10 may 1941  81 years ago  1941-05-10   as the chosun tire company ,
house foods,food,bundang-gu,"november 11, 1913  109 years ago  1913-11-11  as urakami shoten",worldwide
hartwall,food,bundang-gu,"november 11, 1913  109 years ago  1913-11-11  as urakami shoten",
h&m,retail,bundang-gu,"1947  75 years ago  1947   as hennes  vasteras, sweden",worldwide
hasbro,toys and entertainment,bundang-gu,1923  99 years ago  1923 ,worldwide
hearst communications,media,hearst tower,"march 4, 1887  135 years ago  1887-03-04  san francisco, california, united states",
henkel,fmcg,dusseldorf,1876  146 years ago  1876 ,
hewlett packard enterprise,information technology,dusseldorf,"november 1, 2015  7 years ago  2015-11-01  in san jose, california",worldwide
hilti,manufacturing,schaan,1941,
hisamitsu pharmaceutical,pharmaceuticals,"tosu, saga",1847  175 years ago  1847 ,worldwide
hitachi,conglomerate,"tosu, saga","1910  112 years ago  1910  hitachi, ibaraki, japan",worldwide
honda,manufacturing,"tosu, saga","hamamatsu, japan  october 1946  1946-10 , incorporated 24 september 1948  74 years ago  1948-09-24  ",worldwide
honeywell,conglomerate,"charlotte, north carolina, u.s.","1906  116 years ago  1906  wabash, indiana",worldwide
hp inc,computer hardware,"charlotte, north carolina, u.s.","january 1, 1939  83 years ago  1939-01-01   as hewlett-packard  november 1, 2015  7 years ago  2015-11-01 [1]  as hp inc. ",worldwide
hsbc,financial services,8 canada square,"first established on 3 march 1865  157 years ago  1865-03-03  in british hong kong[1]  as the hongkong and shanghai bank  first incorporated on 14 august 1866  156 years ago  1866-08-14 [2]  as the hongkong and shanghai banking corporation  25 march 1991  31 years ago  1991-03-25 [1][3] in london  as hsbc holdings plc, as parent holding company to the entity in hong kong now as a subsidiary ",worldwide
htc,telecommunications equipment,8 canada square,15 may 1997  25 years ago  1997-05-15 ,worldwide
huayi brothers,entertainment,8 canada square,1994  28 years ago  1994 ,china
huawei,consumer electronics telecom equipment networking equipment semiconductors artificial intelligence automation cloud computing internet of things,8 canada square,15 september 1987  35 years ago  1987-09-15 ,worldwide  exempting united states since 2019 
huntington bancshares,banking,"columbus, ohio","1866  156 years ago  1866  as p. w. huntington & company in columbus, ohio","colorado, indiana, kentucky, minnesota, michigan, ohio, pennsylvania, west virginia, illinois, and wisconsin"
huntington ingalls industries,"defense, shipbuilding, defense technologies","columbus, ohio","march 31, 2011  11 years ago  2011-03-31 ",worldwide
huntsman corporation,chemicals,"the woodlands, texas, u.s.",1970  52 years ago  1970 ,
hytera,telecommunications,shenzhen,1993,worldwide
hmd global,consumer electronics,espoo,1 december 2016  6 years ago  2016-12-01 ,worldwide
hyundai motor company,automotive,espoo,29 december 1967  54 years ago  1967-12-29 ,worldwide
ibm,information technology,espoo,"june 16, 1911  111 years ago  1911-06-16   as computing-tabulating-recording company  endicott, new york, u.s.[1]",177 countries[2]
nex group,financial services,espoo,1999  23 years ago  1999 ,
icici bank,financial services,espoo,5 january 1994  28 years ago  1994-01-05 ,worldwide
ijm corporation,construction property infrastructure plantations industry,espoo,1983,
indeed,construction property infrastructure plantations industry,"austin, texas",november 2004  18 years ago  2004-11 ,
intracom holdings,conglomerate,"austin, texas",1977,europe middle east & africa united states south east asia
ikea,retail,,28 july 1943  79 years ago  1943-07-28 [1] in sweden,europe middle east north africa east asia india southeast asia oceania north america south america
illinois tool works,manufacturing,"glenview, illinois",1912  110 years ago  1912 ,worldwide
