name,rank,market_cap,country,share_price,change_1_day,change_1_year,categories
walmart,14,415870000000,usa,153,-0.10%,13.10%,"retail, dow jones, supermarket chains"
jpmorgan chase,15,396450000000,usa,135,-0.79%,-16.16%,"banks, financial services, dow jones"
nvidia,13,420540000000,usa,168,-1.51%,-47.47%,"tech, semiconductors, electronics, tech hardware, autonomous driving"
tsmc,12,422660000000,taiwan,81,-1.43%,-33.03%,"semiconductors, tech, manufacturing, tech hardware"
exxon mobil,11,452430000000,usa,109,-0.85%,79.28%,"oil&gas, energy"
visa,10,460990000000,usa,217,0.30%,9.77%,"financial services, dow jones"
johnson & johnson,9,467670000000,usa,178,0.08%,13.87%,"pharmaceuticals, dow jones, biotech"
tesla,7,606200000000,usa,194,0.08%,-46.10%,"automakers, tech, electric vehicles, bitcoin, manufacturing, ev charging, autonomous driving"
unitedhealth,8,500960000000,usa,536,0.17%,20.21%,"healthcare, insurance, dow jones"
berkshire hathaway,6,696530000000,usa,316,0.10%,13.28%,investment
amazon,5,960280000000,usa,94,-1.43%,-45.23%,"e-commerce, internet, tech, retail"
microsoft,3,1901000000000,usa,255,0.13%,-22.60%,"software, tech, dow jones, video games"
alphabet google,4,1303000000000,usa,100,-0.44%,-29.87%,"internet, tech, software, autonomous driving"
saudi aramco,2,1938000000000,saudi arabia,8,-1.19%,-5.57%,"energy, oil&gas"
toronto dominion bank,100,125250000000,canada,68,0.32%,-8.94%,"banks, financial services"
hdfc bank,98,126750000000,india,68,-1.94%,1.55%,"banks, financial services"
elevance health,99,125660000000,usa,523,-0.07%,30.99%,"healthcare, insurance"
goldman sachs,97,128870000000,usa,380,-0.84%,-1.80%,"banks, dow jones, financial services"
petrochina,96,129630000000,china,0,0.19%,-3.90%,"oil&gas, energy"
lockheed martin,94,130039999999,usa,496,2.59%,50.13%,"aerospace, defense contractors, aircraft manufacturers, manufacturing"
lowe's companies,95,129910000000,usa,214,-0.30%,-14.20%,retail
prosus,92,131500000000,netherlands,65,0.57%,-19.84%,investment
unilever,93,131150000000,uk,51,0.68%,0.12%,"food, consumer goods"
union pacific corporation,91,132009999999,usa,214,-0.56%,-10.56%,"railways, transportation, infrastructure"
ibm,90,133250000000,usa,148,-0.33%,27.18%,"tech, software, dow jones"
meituan,88,133479999999,china,21,3.07%,-32.17%,"internet, tech, e-commerce"
sap,89,133259999999,germany,112,0.02%,-13.94%,"tech, software, dax"
cvs health,86,134780000000,usa,102,0.91%,13.99%,"healthcare, pharmaceuticals, drugstore, retail"
deere & company,87,134490000000,usa,445,0.86%,27.09%,"machinery manufacturing, manufacturing"
dior,84,135840000000,france,751,-0.14%,-1.01%,"luxury goods, clothing"
at&t,85,135550000000,usa,19,-0.89%,-17.48%,telecommunication
royal bank of canada,82,139630000000,canada,99,-0.62%,-0.46%,"banks, financial services"
catl,83,136360000000,china,55,-0.85%,-48.33%,"batteries, electricity"
qualcomm,80,140860000000,usa,125,-0.91%,-29.02%,"tech, semiconductors, tech hardware"
netflix,79,142580000000,usa,320,1.09%,-48.03%,"entertainment, internet, tech"
agricultural bank of china,81,140400000000,china,0,0.00%,-10.87%,"banks, financial services"
salesforce,78,144550000000,usa,144,-1.66%,-44.66%,"software, dow jones, tech"
honeywell,77,147290000000,usa,219,0.78%,7.39%,"dow jones, aerospace, defense contractors"
raytheon technologies,76,148490000000,usa,101,1.52%,23.70%,"aerospace, defense contractors"
china mobile,75,149180000000,china,6,-0.29%,10.02%,telecommunication
totalenergies,74,151610000000,france,60,-0.09%,26.01%,"oil&gas, energy, cac 40"
conocophillips,73,152240000000,usa,122,-0.72%,71.46%,"oil&gas, energy"
china construction bank,71,153330000000,china,0,-0.55%,-14.29%,"banks, financial services"
amgen,72,152340000000,usa,285,-0.15%,41.92%,"pharmaceuticals, dow jones, biotech"
tata consultancy services,69,154570000000,india,42,-1.05%,-13.01%,"it services, professional services"
charles schwab,70,153930000000,usa,82,0.89%,2.92%,"financial services, banks"
adobe,66,158770000000,usa,341,-0.75%,-49.17%,"software, tech"
comcast,68,155030000000,usa,35,-1.16%,-30.37%,"telecommunication, media/press, entertainment"
morgan stanley,67,155650000000,usa,92,-0.97%,-6.84%,"banks, financial services, investment"
bhp group,64,160500000000,australia,63,0.65%,10.01%,mining
verizon,65,160340000000,usa,38,-0.39%,-24.74%,"telecommunication, dow jones"
texas instruments,63,161230000000,usa,177,0.09%,-8.22%,"semiconductors, tech, tech hardware"
philip morris,62,161680000000,usa,104,1.80%,18.74%,tobacco
linde,60,166770000000,uk,337,0.03%,4.12%,"dax, chemicals"
united parcel service,61,163800000000,usa,189,-0.42%,-5.26%,"courier, transportation"
hermes,59,167380000000,france,1,-0.78%,-12.52%,"luxury goods, cac 40"
nextera energy,58,169300000000,usa,85,0.44%,-3.86%,"energy, electricity, utility companies, renewable energy"
volkswagen,153,87160000000,germany,146,-0.26%,-22.35%,"automakers, dax, manufacturing"
cm bank,101,123170000000,china,4,-1.41%,-39.24%,"banks, financial services"
glencore,151,88100000000,switzerland,6,0.37%,45.53%,"mining, coal mining, energy"
canadian national railway,152,87190000000,canada,127,-0.49%,-0.90%,"railways, transportation"
wuliangye yibin,150,90170000000,china,23,-0.93%,-33.59%,"beverages, alcoholic beverages"
chubb,149,90960000000,switzerland,219,0.38%,20.18%,insurance
applied materials,147,91800000000,usa,106,-0.28%,-27.16%,"semiconductors, tech, tech hardware"
citigroup,148,91490000000,usa,47,-1.13%,-25.97%,"banks, financial services"
stryker corporation,146,92000000000,usa,243,0.97%,-1.73%,medical devices
mondelez,143,93280000000,usa,68,0.32%,14.88%,food
tjx companies,144,93100000000,usa,80,0.56%,14.15%,"retail, clothing"
airbus,145,92040000000,netherlands,116,0.76%,2.12%,"aircraft manufacturers, aerospace, cac 40, manufacturing, dax"
general electric,141,94930000000,usa,86,1.90%,-8.77%,conglomerate
ntt nippon telegraph & telephone,142,94570000000,japan,27,-2.15%,0.37%,telecommunication
british american tobacco,140,94990000000,uk,42,0.98%,24.44%,tobacco
byd,139,95450000000,china,37,-1.72%,-23.01%,"automakers, manufacturing"
csl,137,98930000000,australia,205,1.08%,-4.66%,"biotech, pharmaceuticals"
intuitive surgical,138,96200000000,usa,272,-0.82%,-16.82%,medical devices
american tower,135,102130000000,usa,219,-0.87%,-17.60%,"telecommunication, real estate, reits, infrastructure"
cigna,136,100030000000,usa,327,1.16%,65.43%,insurance
porsche,134,102650000000,germany,112,-0.60%,,"automakers, manufacturing"
keyence,133,102680000000,japan,423,-2.64%,-32.65%,"tech hardware, tech, scientific & technical instruments"
sony,131,103020000000,japan,82,-1.37%,-31.10%,"video games, electronics, tech, entertainment, tech hardware"
deutsche telekom,132,102870000000,germany,20,-0.11%,17.29%,"telecommunication, dax"
medtronic,128,105900000000,ireland,79,0.47%,-25.78%,medical devices
lg energy solution,130,105290000000,south korea,449,-0.17%,,"batteries, electricity, energy"
jingdong mall,129,105710000000,china,58,5.00%,-30.57%,"e-commerce, internet, retail, tech"
bp,127,107070000000,uk,35,-1.01%,30.67%,"oil&gas, energy"
diageo,124,108840000000,uk,191,0.60%,-6.75%,"alcoholic beverages, beverages"
blackrock,126,107080000000,usa,712,-1.27%,-22.41%,investment
prologis,125,107940000000,usa,116,-0.14%,-24.27%,"real estate, investment, reits"
boeing,123,108980000000,usa,182,4.03%,-9.64%,"aircraft manufacturers, aerospace, dow jones, manufacturing"
pinduoduo,122,109160000000,china,86,3.10%,45.65%,"e-commerce, internet, tech"
gilead sciences,121,111660000000,usa,89,1.29%,27.79%,"pharmaceuticals, biotech"
automatic data processing,120,111960000000,usa,269,0.73%,16.12%,"software, it services, professional services, tech"
rio tinto,119,113150000000,uk,69,0.93%,8.87%,mining
siemens,118,113810000000,germany,141,0.78%,-15.21%,"engineering, dax"
sanofi,117,114090000000,france,45,-1.87%,-5.62%,"cac 40, pharmaceuticals, biotech"
ping an insurance,115,115000000000,china,6,-0.47%,-17.19%,insurance
intuit,116,114590000000,usa,407,-1.96%,-39.31%,"software, tech"
china life insurance,113,115970000000,china,5,-0.79%,9.83%,insurance
equinor,114,115890000000,norway,36,-3.25%,44.82%,"energy, oil&gas, electricity"
american express,112,117120000000,usa,156,-0.48%,-0.01%,"dow jones, financial services"
s&p global,111,117220000000,usa,359,-0.77%,-21.95%,financial services
anheuser-busch inbev,110,120110000000,belgium,60,1.04%,7.00%,"alcoholic beverages, beverages"
aia,109,120500000000,hong kong,10,-0.87%,-3.76%,insurance
starbucks,108,120570000000,usa,105,1.63%,-5.72%,beverages
intel,106,121370000000,usa,29,-1.41%,-40.59%,"semiconductors, tech, dow jones, tech hardware, manufacturing"
amd,107,120890000000,usa,74,-3.23%,-50.24%,"tech, semiconductors, electronics, tech hardware"
hsbc,105,122120000000,uk,30,0.10%,6.70%,banks
caterpillar,104,122880000000,usa,236,0.19%,19.99%,"dow jones, machinery manufacturing, manufacturing"
bank of china,102,123070000000,china,0,0.00%,-8.33%,"banks, financial services"
commonwealth bank,103,122920000000,australia,72,-1.36%,6.41%,"banks, financial services"
target,180,75560000000,usa,164,-0.53%,-33.13%,"retail, supermarket chains"
duke energy,179,76630000000,usa,99,-0.79%,1.92%,"energy, electricity, oil&gas, utility companies"
canadian pacific railway,178,77080000000,canada,82,-0.19%,17.96%,"railways, transportation, infrastructure"
progressive,177,77510000000,usa,132,0.95%,38.03%,insurance
vale,176,77980000000,brazil,16,0.48%,28.71%,mining
air liquide,175,78780000000,france,147,0.70%,-10.41%,"cac 40, chemicals"
china shenhua energy,174,79020000000,china,4,-1.57%,28.92%,"mining, coal mining, energy"
booking holdings bookingcom,173,80890000000,usa,2,1.22%,-3.98%,"internet, travel, online travel, tech"
icici bank,172,80890000000,india,23,0.00%,24.13%,"banks, financial services"
merck kgaa,171,81200000000,germany,186,0.45%,-22.36%,"pharmaceuticals, chemicals, dax"
vertex pharmaceuticals,169,82490000000,usa,321,0.19%,57.19%,"pharmaceuticals, biotech"
eog resources,170,81620000000,usa,138,-1.12%,60.55%,"energy, oil&gas"
inditex,167,82910000000,spain,13,0.83%,-17.37%,"clothing, retail"
enbridge,168,82780000000,canada,40,-0.85%,8.61%,"oil&gas, energy"
servicenow,166,83390000000,usa,412,-2.99%,-33.77%,"software, internet, tech"
regeneron pharmaceuticals,165,83460000000,usa,766,0.68%,20.88%,"biotech, pharmaceuticals"
northrop grumman,164,83970000000,usa,545,2.89%,54.75%,"aerospace, defense contractors"
schneider electric,163,84020000000,france,147,-0.45%,-18.89%,"cac 40, tech, professional services, software"
essilorluxottica,162,84690000000,france,190,1.43%,-5.39%,"cac 40, glasses and contact lenses, luxury goods"
paypal,161,85110000000,usa,74,-4.93%,-60.11%,"financial services, tech, internet, bitcoin"
al rajhi bank,160,85280000000,saudi arabia,21,-0.50%,-40.11%,"banks, financial services"
estee lauder,159,85280000000,usa,239,3.04%,-28.58%,"cosmetics and beauty, consumer goods"
altria group,158,85360000000,usa,47,1.32%,10.23%,tobacco
analog devices,157,85880000000,usa,168,-1.22%,-6.64%,"semiconductors, tech, manufacturing"
infosys,156,86000000000,india,20,-1.56%,-13.87%,"professional services, it services"
allianz,155,86060000000,germany,213,-0.54%,-4.44%,"insurance, dax"
marsh & mclennan companies,154,86260000000,usa,173,0.51%,3.23%,"insurance, professional services"
moderna,200,70050000000,usa,182,0.48%,-39.52%,"pharmaceuticals, mrna therapeutics, biotech"
illinois tool works,199,70120000000,usa,228,0.38%,-2.90%,"tool manufacturers, manufacturing"
3m,198,70190000000,usa,126,0.79%,-25.41%,"dow jones, gloves & ppe"
general dynamics,197,70210000000,usa,255,1.38%,31.50%,defense contractors
air products and chemicals,196,70650000000,usa,318,2.05%,10.79%,chemicals
bank central asia,195,71130000000,indonesia,0,-0.73%,11.54%,"banks, financial services"
brookfield asset management,193,71480000000,canada,45,-3.42%,-20.98%,"investment, financial services"
zurich insurance group,194,71250000000,switzerland,480,-0.82%,15.17%,insurance
becton dickinson,192,71510000000,usa,252,0.62%,4.32%,medical devices
glaxosmithkline,191,71890000000,uk,35,0.91%,-14.76%,"biotech, pharmaceuticals"
kering,190,72180000000,france,589,-1.30%,-24.92%,"cac 40, luxury goods"
mercedes-benz,189,72200000000,germany,67,-0.11%,-16.75%,"automakers, manufacturing, dax, autonomous driving"
sinopec,188,73000000000,china,0,-0.22%,-3.03%,"oil&gas, energy"
zoetis,185,73360000000,usa,157,0.50%,-29.47%,"pharmaceuticals, biotech"
southern company,186,73310000000,usa,67,-0.56%,8.60%,"energy, oil&gas, electricity, utility companies"
gazprom,187,73260000000,russia,3,0.04%,-34.32%,"oil&gas, energy"
petrobras,184,74350000000,brazil,11,1.06%,8.88%,"oil&gas, energy"
compagnie financiere richemont,183,74370000000,switzerland,131,-0.20%,-11.28%,luxury goods
schlumberger,182,74850000000,usa,52,1.99%,80.05%,"oil&gas, energy"
hindustan unilever,181,75470000000,india,32,-1.79%,1.10%,"consumer goods, food"
iberdrola,201,69840000000,spain,11,-0.60%,4.86%,"electricity, energy"
waste management,202,69700000000,usa,169,1.19%,3.71%,waste & recycling
freeport-mcmoran,261,57480000000,usa,40,1.64%,8.41%,mining
uber,262,57330000000,usa,28,1.45%,-24.58%,"ridesharing, internet, tech, transportation"
china tourism group duty free,260,58310000000,china,28,-2.25%,-10.38%,retail
investor ab,258,58360000000,sweden,19,0.08%,-19.44%,"investment, conglomerate"
vinci,259,58330000000,france,103,-0.01%,5.37%,"cac 40, construction"
kkr & co,257,58640000000,usa,52,-0.57%,-30.78%,investment
ubs,256,58790000000,switzerland,18,-0.16%,4.12%,"banks, financial services"
london stock exchange,254,59000000000,uk,106,4.66%,18.64%,"financial services, stock exchanges, stock/crypto exchanges"
norfolk southern,255,58820000000,usa,254,-0.89%,-8.88%,"railways, infrastructure"
bmw,253,59090000000,germany,89,0.14%,-10.30%,"automakers, dax, manufacturing"
activision blizzard,252,59290000000,usa,75,0.76%,32.24%,"video games, esports, entertainment, tech"
abb,249,59690000000,switzerland,31,0.22%,-10.40%,engineering
housing development finance corporation,250,59640000000,india,32,-1.32%,-12.53%,"financial services, banks"
micron technology,251,59440000000,usa,54,-1.46%,-34.03%,"tech, tech hardware, semiconductors"
truist financial,248,59780000000,usa,45,-2.51%,-25.37%,"banks, financial services"
the saudi national bank,247,60010000000,saudi arabia,13,-1.17%,-18.94%,"banks, financial services"
atlas copco,245,60530000000,sweden,11,0.66%,-11.72%,manufacturing
metlife,246,60340000000,usa,76,0.34%,29.63%,insurance
intercontinental exchange,243,61020000000,usa,109,-0.26%,-16.74%,"stock exchanges, financial services, stock/crypto exchanges"
crown castle,244,60700000000,usa,140,-1.09%,-24.49%,"real estate, investment, reits, telecommunication, infrastructure"
charter communications,242,61130000000,usa,392,0.91%,-41.42%,telecommunication
siemens healthineers,241,61190000000,germany,54,1.78%,-25.04%,"healthcare, dax"
blackstone group,239,61480000000,usa,85,0.14%,-39.71%,investment
scotiabank,240,61410000000,canada,51,-1.95%,-22.53%,"banks, financial services"
fast retailing,237,61920000000,japan,605,-1.72%,1.88%,"clothing, retail"
bharti airtel,238,61780000000,india,10,0.01%,6.65%,telecommunication
america movil,235,62280000000,mexico,18,-3.28%,3.39%,telecommunication
occidental petroleum,236,61990000000,usa,68,-0.86%,130.05%,"oil&gas, energy"
verbund ag,233,62700000000,,90,-1.44%,-12.30%,"electricity, utility companies, energy"
daiichi sankyo,232,62880000000,japan,32,-4.18%,30.46%,"pharmaceuticals, biotech"
lam research,234,62410000000,usa,457,-1.18%,-30.82%,"semiconductors, tech, tech hardware"
aon,231,63450000000,uk,306,1.22%,3.19%,"professional services, insurance"
nongfu spring,228,63670000000,china,5,-2.11%,-5.35%,beverages
cnooc,229,63670000000,china,1,-1.29%,28.00%,"oil&gas, energy"
cme group,230,63530000000,usa,176,-0.71%,-22.03%,"stock exchanges, financial services, stock/crypto exchanges"
equinix,226,63980000000,usa,691,-0.96%,-13.42%,"internet, tech, reits, real estate, investment"
airbnb,227,63950000000,usa,101,-0.27%,-40.45%,"travel, internet, online travel, tech"
eaton,225,64940000000,ireland,163,-0.03%,-1.99%,conglomerate
kddi,224,65190000000,japan,29,-1.91%,2.86%,telecommunication
dbs group,222,65610000000,singapore,25,-1.37%,10.30%,"banks, financial services"
colgate-palmolive,223,65280000000,usa,78,0.54%,3.56%,consumer goods
pnc financial services,220,66230000000,usa,164,-0.35%,-18.64%,"banks, financial services"
walmex,221,66069999999,mexico,3,-1.97%,14.89%,"retail, supermarket chains"
state bank of india,219,66599999999,india,7,-0.09%,17.30%,"banks, financial services"
boston scientific,218,66739999999,usa,46,1.04%,17.68%,medical devices
sherwin-williams,216,66790000000,usa,257,2.44%,-24.12%,paint & coating
canadian natural resources,217,66790000000,canada,59,0.32%,48.53%,"oil&gas, energy"
fiserv,215,66970000000,usa,105,0.41%,5.61%,"financial services, tech"
sabic,214,67069999999,saudi arabia,22,1.20%,-22.71%,chemicals
national australia bank,213,67230000000,australia,21,-0.95%,7.78%,"banks, financial services"
csx corporation,211,67379999999,usa,32,-1.93%,-9.90%,"railways, transportation, infrastructure"
softbank,212,67280000000,japan,45,0.13%,-9.07%,"investment, financial services, telecommunication, conglomerate"
axa,210,67390000000,france,28,0.05%,1.48%,"insurance, cac 40"
hca healthcare,209,67569999999,usa,239,0.23%,3.00%,healthcare
mitsubishi ufj financial,208,67690000000,japan,5,0.36%,-0.18%,"banks, financial services"
bank of montreal,207,67769999999,canada,99,0.83%,-5.08%,"banks, financial services"
bnp paribas,205,68519999999,france,55,0.23%,-13.07%,"banks, financial services, cac 40"
us bancorp,206,67810000000,usa,45,0.64%,-19.36%,"banks, financial services"
humana,204,69220000000,usa,546,-0.29%,29.74%,insurance
china yangtze power,203,69230000000,china,3,0.75%,-0.98%,"electricity, utility companies"
sempra energy,297,52150000000,usa,165,-0.77%,35.57%,"energy, oil&gas, electricity, infrastructure"
rosneft,296,52210000000,russia,5,-3.77%,-29.67%,"oil&gas, energy"
palo alto networks,295,52210000000,usa,172,-3.20%,-67.74%,"tech, software, it security, networking hardware"
marriott international,294,52420000000,usa,165,0.27%,9.60%,"hotels, travel"
pernod ricard,293,52530000000,france,200,0.37%,-12.74%,"alcoholic beverages, cac 40, beverages"
eni,291,52820000000,italy,29,-1.86%,6.88%,"energy, oil&gas"
safran,292,52610000000,france,123,0.53%,6.71%,"cac 40, aerospace, defense contractors"
synopsys,289,53230000000,usa,348,-2.70%,-0.43%,"software, semiconductors, tech, electronics, tech hardware"
reckitt benckiser,290,53130000000,uk,74,0.00%,-9.24%,consumer goods
united heavy machinery,288,53580000000,russia,63,-1.34%,-25.16%,"machinery manufacturing, manufacturing"
o'reilly automotive,287,53710000000,usa,858,0.14%,30.59%,
enterprise products,286,54060000000,usa,24,0.16%,16.61%,"oil&gas, energy"
anglo american,285,54200000000,uk,40,-0.17%,9.01%,mining
monster beverage,283,54280000000,usa,104,0.77%,25.41%,beverages
tokyo electron,284,54210000000,japan,348,-0.34%,-34.05%,"electronics, semiconductors, tech, tech hardware"
shopify,282,54770000000,canada,43,-0.78%,-97.02%,"e-commerce, internet, tech"
mckesson,281,54850000000,usa,386,1.88%,75.51%,healthcare
keurig pepper,280,54860000000,usa,38,0.08%,13.41%,beverages
adani enterprises,279,54930000000,india,48,0.19%,108.66%,conglomerate
dollar general,278,55030000000,usa,243,3.22%,13.04%,retail
kla,277,55200000000,usa,389,-0.30%,-3.22%,"semiconductors, tech, tech hardware"
moody's,276,55270000000,usa,301,-1.42%,-22.46%,financial services
marathon petroleum,275,55400000000,usa,118,-1.66%,86.69%,
relx,274,55600000000,uk,28,0.21%,-8.39%,
heineken,272,55770000000,netherlands,96,0.35%,-3.52%,"alcoholic beverages, beverages"
ford,273,55720000000,usa,13,-1.56%,-30.25%,"automakers, manufacturing"
enel,271,56350000000,italy,5,0.32%,-25.60%,"electricity, utility companies, energy"
westpac banking,270,56450000000,australia,16,-0.67%,11.07%,"banks, financial services"
general motors,268,56680000000,usa,39,-1.31%,-34.61%,"automakers, manufacturing"
mindray,269,56650000000,china,46,-2.28%,-13.86%,"medical devices, manufacturing"
pioneer natural resources,267,56880000000,usa,239,0.14%,35.25%,"oil&gas, energy"
thomson reuters,266,56890000000,canada,117,0.50%,-2.35%,media/press
postal savings bank of china,264,57100000000,china,0,-0.68%,-25.30%,"banks, financial services"
bayer,265,56980000000,germany,58,-1.06%,13.06%,"pharmaceuticals, chemicals, dax, biotech"
emerson,263,57280000000,usa,96,1.29%,7.18%,"manufacturing, engineering"
dassault systemes,300,51910000000,france,38,0.14%,-34.65%,"software, cac 40, tech"
public storage,299,52090000000,usa,295,0.11%,-11.70%,"real estate, investment, reits"
shin-etsu chemical,298,52110000000,japan,130,-1.88%,-22.31%,chemicals
longi green energy technology,301,51820000000,china,6,2.06%,-47.63%,"electricity, energy, renewable energy"
novatek,358,46650000000,russia,15,-0.50%,-32.81%,"oil&gas, energy"
american international group,359,46620000000,usa,62,-0.55%,16.29%,insurance
johnson controls,357,46770000000,ireland,68,1.82%,-11.14%,
sumitomo mitsui financial group,356,46820000000,japan,6,0.29%,1.64%,"banks, financial services"
sberbank,354,46990000000,russia,2,0.16%,-52.39%,"banks, financial services"
cintas,355,46960000000,usa,462,0.02%,7.03%,
kotak mahinbank,352,47090000000,india,23,-0.18%,-9.40%,"banks, financial services"
roper technologies,353,47070000000,usa,443,-0.19%,-5.01%,"scientific & technical instruments, tech"
cadence design systems,349,47300000000,usa,172,-2.46%,-6.62%,"software, tech, electronics, tech hardware"
fedex,350,47200000000,usa,181,0.53%,-22.90%,"courier, transportation"
basf,351,47130000000,germany,51,1.82%,-23.27%,"chemicals, dax"
oriental land,348,47320000000,japan,144,-1.52%,-6.21%,"entertainment, hotels, travel"
bank rakyat indonesia,345,47440000000,indonesia,0,-1.41%,7.41%,"banks, financial services"
macquarie,346,47350000000,australia,122,-1.02%,-13.62%,"banks, financial services, investment"
edwards lifesciences,347,47320000000,usa,76,-1.30%,-30.30%,medical devices
mercadolibre,344,47530000000,,945,0.43%,-16.31%,"e-commerce, internet, tech"
southern copper,341,47900000000,usa,61,0.83%,5.59%,mining
midea,342,47880000000,china,6,-0.56%,-35.71%,"home & kitchen appliances, manufacturing"
samsung biologics,343,47710000000,south korea,670,-1.58%,-11.54%,"biotech, manufacturing"
snowflake,340,47910000000,usa,149,-2.79%,-58.44%,"tech, software"
corteva,337,48090000000,usa,67,1.60%,45.72%,"agriculture, chemicals"
amphenol,338,47970000000,usa,80,-0.31%,-1.03%,
foxconn hon hai precision industry,339,47950000000,taiwan,3,2.43%,-8.95%,"electronics, manufacturing, tech hardware, tech"
constellation brands,335,48150000000,usa,261,0.90%,15.89%,"alcoholic beverages, beverages"
the hershey company,336,48130000000,usa,234,1.23%,32.85%,food
adani total gas,333,48450000000,india,43,-0.91%,98.96%,"energy, oil&gas, utility companies"
mitsubishi corporation,334,48410000000,japan,33,-2.25%,9.14%,conglomerate
centene,332,48570000000,usa,85,-0.02%,20.12%,"healthcare, insurance"
kraft heinz,331,48780000000,usa,39,0.86%,19.79%,food
american electric power,328,48870000000,usa,95,-1.41%,16.98%,"electricity, energy"
daikin,329,48820000000,japan,166,-1.43%,-22.91%,manufacturing
autozone,330,48810000000,usa,2,0.73%,37.64%,retail
valero energy,327,48980000000,usa,127,-3.76%,78.54%,"energy, oil&gas"
lululemon athletica,324,49210000000,canada,385,1.09%,-14.35%,"retail, sports goods, clothing"
ambev,325,49130000000,brazil,3,0.65%,10.32%,"beverages, alcoholic beverages"
edf electricite de france,326,49100000000,france,12,0.00%,-10.16%,"electricity, utility companies, energy"
itau unibanco,322,49390000000,brazil,5,1.41%,24.14%,"banks, financial services"
stellantis,323,49380000000,netherlands,15,-2.23%,-15.27%,"automakers, manufacturing, cac 40"
foshan haitian flavouring and food,320,49740000000,china,10,1.69%,-39.32%,food
bajaj finance,321,49640000000,india,82,-1.07%,-14.33%,financial services
saudi telecom company,318,49830000000,saudi arabia,9,-2.47%,-66.55%,telecommunication
nintendo,319,49820000000,japan,42,-1.41%,-90.69%,"video games, electronics, entertainment, tech hardware, tech"
santander,316,49930000000,spain,2,0.34%,-6.94%,"banks, financial services"
