name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
constellation brands inc,45210000000,stz,united states,consumer staples,beverageswineries & distilleries,"victor,ny,unitedstates", 1945," 9,300",william a newlands
infineon technologies ag,45350000000,ifxa,germany,technology,semiconductors,"munich,germany",," 50,280",reinhard ploss
the travelers companies inc,45560000000,trv,united states,financials,insuranceproperty & casualty,"newyork,ny,unitedstates", 1853," 30,184",alan david schnitzer
idexx laboratories inc,45640000000,idxx,united states,healthcare,diagnostics & research,"westbrook,me,unitedstates", 1983," 10,350",jonathan j mazelsky
vodafone group plc,45740000000,vod,united kingdom,communication services,telecom services,"newbury,unitedkingdom", 16 september 1991," 105,000",nicholas jonathan read
vanjia corp,45740000000,vnja,united states,consumer discretionary,residential construction,"houston,tx,unitedstates",,,su hua tian
amphenol corporation,45770000000,aph,united states,technology,electronic components,"wallingford,ct,unitedstates", 1932," 90,000",richard adam norwitt
the hershey company,45830000000,hsy,united states,consumer staples,confectioners,"hershey,pa,unitedstates"," february 8, 1894"," 16,620",michele gross buck
takeda pharmaceutical company limited,45890000000,4502,japan,healthcare,drug manufacturersspecialty & generic,"tokyo,japan"," doshomachi, osaka, japan june 12, 1781"," 47,099",christophe weber
baidu inc,45980000000,9888,china,communication services,internet content & information,"beijing,china"," january 1, 2000"," 45,500",yanhong li
sika ag,46010000000,sika,switzerland,basic materials,specialty chemicals,"baar,switzerland",," 26,272",
adidas ag,46130000000,ads1,germany,consumer discretionary,footwear & accessories,"herzogenaurach,germany",," 53,870",kasper bo rorsted
nidec corp,46330000000,6594,japan,industrials,specialty industrial machinery,"kyoto,japan",, 758,jun seki
banco bradesco sa,46710000000,bbdc3,brazil,financials,banks,"osasco,sp,brazil"," march 10, 1943"," 85,264",octavio de lazari jr junior
dexcom inc,46860000000,dxcm,united states,healthcare,diagnostics & research,"sandiego,ca,unitedstates", 1999," 6,300",kevin ronald sayer
nucor corporation,46860000000,nue,united states,basic materials,steel,"charlotte,nc,unitedstates",," 28,800",leon j topalian
cognizant technology solutions corporation,47070000000,ctsh,united states,technology,information technology services,"teaneck,nj,unitedstates", 26 january 1994," 330,600",brian humphries
open joint stock company omz,47150000000,omzzp,russia,industrials,specialty industrial machinery,"moscow,russia",,,igor y zhilkin
prudential financial inc,47170000000,pru,united states,financials,insurancelife,"newark,nj,unitedstates", 1875," 40,916",charles frederick lowrey jr
autodesk inc,47690000000,adsk,united states,technology,softwareapplication,"sanrafael,ca,unitedstates"," january 30, 1982"," 12,600",andrew anagnost
naspers ltd,47730000000,npn,south africa,communication services,internet content & information,"capetown,southafrica",," 28,445",bob van dijk
crowdstrike holdings inc,47890000000,crwd,united states,technology,softwareinfrastructure,"sunnyvale,ca,unitedstates", 2011," 4,965",george r kurtz
grupo mexico sab de cv,48000000000,gmexicob,mexico,basic materials,other industrial metals & mining,"mexicocity,df,mexico",," 29,707",
o'reilly automotive inc,48140000000,orly,united states,consumer discretionary,specialty retail,"springfield,mo,unitedstates"," december 2, 1957"," 82,852",gregory d johnson
johnson controls international plc,48150000000,jci,ireland,industrials,engineering & construction,"cork,ireland", 1885," 101,000",george r oliver
vmware inc,48170000000,vmw,united states,technology,softwareinfrastructure,"paloalto,ca,unitedstates"," february 10, 1998"," 34,000",rangarajan raghuram
suncor energy inc,48270000000,su,canada,energy,oil & gas integrated,"calgary,ab,canada"," montreal, quebec, canada in 1919"," 16,922",mark s little
mckesson corporation,48460000000,mck,united states,healthcare,medical distribution,"irving,tx,unitedstates"," new york city, united states1833"," 59,000",brian s tyler phd
rosneft oil co pjsc,48500000000,rosn,russia,energy,oil & gas integrated,"moscow,russia",,,igor ivanovich sechin
dow inc,48500000000,dow,united states,basic materials,chemicals,"midland,mi,unitedstates"," april 1, 2019"," 35,700",james r fitterling
lululemon athletica inc,48520000000,lulu,canada,consumer discretionary,apparel retail,"vancouver,bc,canada", 1998," 25,000",calvin r mcdonald
mediatek inc,48740000000,2454,taiwan,technology,semiconductors,"hsinchucity,taiwan",,,lih shyng tsai phd
scentre group,48830000000,scg,australia,real estate,reitretail,"sydney,nsw,australia", 2014," 2,780",peter kenneth allen
hitachi ltd,48920000000,6501,japan,industrials,conglomerates,"tokyo,japan",," 350,864",toshiaki higashihara
wanhua chemical group co ltd,39730000000,600309,china,basic materials,chemicals,"yantai,china",," 19,692",
united overseas bank ltd,39730000000,u11,singapore,financials,banks,"singapore,singapore",," 24,346",ee cheong wee bsc ma
xcel energy inc,39760000000,xel,united states,utilities,utilitiesregulated electric,"minneapolis,mn,unitedstates", 1909," 11,321",robert c frenzel
welltower inc,39960000000,well,united states,real estate,reithealthcare facilities,"toledo,oh,unitedstates", 1970, 464,shankh s mitra
msci inc,39970000000,msci,united states,financials,financial data & stock exchanges,"newyork,ny,unitedstates", 1968," 4,303",henry a fernandez
boc hong kong holdings ltd,39990000000,2388,hong kong,financials,banks,"central,hongkong",," 14,462",yu sun
baxter international inc,40130000000,bax,united states,healthcare,medical instruments & supplies,"deerfield,il,unitedstates", 1931," 60,000",jose e almeida
citic securities company ltd,40170000000,600030,china,financials,capital markets,"shenzhen,china",," 11,380",
global payments inc,40350000000,gpn,united states,industrials,specialty business services,"atlanta,ga,unitedstates", 2000," 25,000",jeffrey s sloan jd
agilent technologies inc,40490000000,a,united states,healthcare,diagnostics & research,"santaclara,ca,unitedstates", 1999," 17,200",michael r mcmullen
walgreens boots alliance inc,40550000000,wba,united states,healthcare,pharmaceutical retailers,"deerfield,il,unitedstates"," december 31, 2014"," 202,000",rosalind gates brewer
digital realty trust inc,40640000000,dlr,united states,real estate,reitoffice,"sanfrancisco,ca,unitedstates", 2004," 3,030",arthur william stein
oversea-chinese banking corp ltd,40770000000,o39,singapore,financials,banks,"singapore,singapore",," 29,622",
carrier global corporation,40790000000,carr,united states,industrials,building products & equipment,"palmbeachgardens,fl,unitedstates"," june 26, 1915"," 58,000",david l gitlin
the bank of new york mellon corporation,40830000000,bk,united states,financials,asset management,"newyork,ny,unitedstates"," july 1, 2007"," 49,100",thomas p gibbons
east money information coltd,40830000000,300059,china,communication services,internet content & information,"shanghai,china",," 5,696",
motorola solutions inc,40870000000,msi,united states,technology,communication equipment,"chicago,il,unitedstates"," january 4, 2011"," 18,700",gregory q brown
mmc norilsk nickel pjsc,41160000000,gmkn,russia,basic materials,other industrial metals & mining,"moscow,russia",,,
ing groep nv,41250000000,inga,netherlands,financials,banks,"amsterdam,netherlands",," 57,000",steven j a van rijswijk
valero energy corporation,41270000000,vlo,united states,energy,oil & gas refining & marketing,"sanantonio,tx,unitedstates"," january 1, 1980"," 9,794",joseph w gorder
hang seng bank limited,41470000000,0011,hong kong,financials,banks,"central,hongkong",," 9,396",
the allstate corporation,41540000000,all,united states,financials,insuranceproperty & casualty,"northbrook,il,unitedstates"," april 17, 1931"," 54,300",thomas joseph wilson ii
the williacompanies inc,41600000000,wmb,united states,energy,oil & gas midstream,"tulsa,ok,unitedstates", 1908," 4,783",alan s armstrong
devon energy corporation,41820000000,dvn,united states,energy,oil & gas e&p,"oklahomacity,ok,unitedstates", 1971," 1,600",richard e muncrief
stmicroelectronics nv,41910000000,stm,switzerland,technology,semiconductors,"geneva,switzerland",," 48,254",jean-marc chery
biontech se,41930000000,22ua,germany,healthcare,biotechnology,"mainz,germany", 2008," 2,800",prof ugur sahin md
manulife financial corporation,41980000000,mfc,canada,financials,insurancelife,"toronto,on,canada"," june 23, 1887"," 38,000",rocco gori
the kroger co,42030000000,kr,united states,consumer staples,grocery stores,"cincinnati,oh,unitedstates", 1883," 500,000",william rodney mcmullen
sysco corporation,42220000000,syy,united states,consumer staples,food distribution,"houston,tx,unitedstates"," march 19, 1969"," 58,000",kevin p hourican
wuxi apptec co ltd,42250000000,603259,china,healthcare,diagnostics & research,"shanghai,china",," 34,912",ge li phd
hilton worldwide holdings inc,42390000000,hlt,united states,consumer discretionary,lodging,"mclean,va,unitedstates"," may 31, 1919"," 142,000",christopher j nassetta
dsv panalpina a-s,42490000000,dsv,denmark,industrials,integrated freight & logistics,"hedehusene,denmark",," 77,958",jens bjorn andersen
seven & i holdings co ltd,42530000000,3382,japan,consumer staples,grocery stores,"tokyo,japan",," 58,975",
general mills inc,42650000000,gis,united states,consumer staples,packaged foods,"minneapolis,mn,unitedstates"," june 20, 1866"," 35,000",jeffrey l harmening
corteva inc,42660000000,ctva,united states,basic materials,agricultural inputs,"wilmington,de,unitedstates", 2019," 21,000",charles victor magro bsc chem mba
longi green energy technology co ltd,42680000000,601012,china,technology,semiconductor equipment & materials,"xi'an,china",," 46,631",
monster beverage corporation,42810000000,mnst,united states,consumer staples,beveragesnon-alcoholic,"corona,ca,unitedstates", 1935," 3,458",rodney cyril sacks
yihai kerry arawana holdings co ltd,42840000000,300999,china,consumer staples,packaged foods,"shanghai,china",," 34,389",
hoya corp,42880000000,7741,japan,healthcare,medical instruments & supplies,"tokyo,japan",," 37,245",eiichiro ikeda
republic services inc,42910000000,rsg,united states,industrials,waste management,"phoenix,az,unitedstates"," july 2, 1998"," 35,000",jon vander ark
wesfarmers limited,43090000000,wes,australia,consumer discretionary,home improvement retail,"perth,wa,australia", 1914," 122,000",robert g scott
xiaomi corp,43100000000,1810,china,technology,consumer electronics,"beijing,china",," 33,427",jun lei
kimberly-clark corporation,43210000000,kmb,united states,consumer staples,household & personal products,"dallas,tx,unitedstates", 1872," 45,000",michael d hsu
kinder morgan inc,43380000000,kmi,united states,energy,oil & gas midstream,"houston,tx,unitedstates", 1997," 10,529",steven j kean
murata manufacturing co ltd,43410000000,6981,japan,technology,electronic components,"nagaokakyo,japan",," 77,398",
barrick gold corporation,43500000000,abx,canada,basic materials,gold,"toronto,on,canada", 1983," 18,421",dennis mark bristow
aflac incorporated,43590000000,afl,united states,financials,insurancelife,"columbus,ga,unitedstates"," november 17, 1955"," 12,447",daniel paul amos
simon property group inc,43690000000,spg,united states,real estate,reitretail,"indianapolis,in,unitedstates", 1993," 2,400",david e simon
lloyds banking group plc,43700000000,lloy,united kingdom,financials,banks,"london,unitedkingdom",," 57,955",
woolworths group limited,35330000000,wow,australia,consumer staples,grocery stores,"bellavista,nsw,australia", 22 september 1924," 210,067",bradford leon banducci bcomm acc llb mba
intuitive surgical inc,35370000000,isrg,united states,healthcare,medical instruments & supplies,"sunnyvale,ca,unitedstates", 1995," 9,793",gary s guthart phd
experian plc,35400000000,expn,ireland,industrials,consulting services,"dublin,ireland", 1996," 20,000",brian j cassin
resmed inc,35440000000,rmd,united states,healthcare,medical instruments & supplies,"sandiego,ca,unitedstates", 1989," 7,970",michael j farrell be mba sm
neste oyj,35570000000,neste,finland,energy,oil & gas refining & marketing,"espoo,finland",," 4,719",peter z e vanacker
shanxi xinghuacun fen wine factory coltd,35840000000,600809,china,consumer staples,beverageswineries & distilleries,"fenyang,china",," 12,614",
coinbase global inc,35860000000,coin,united states,technology,softwareapplication,"wilmington,de,unitedstates",," 3,730",brian armstrong
nio limited,35860000000,nio,china,consumer discretionary,auto manufacturers,"shanghai,china", november 2014," 7,763",william li
cloudflare inc,35920000000,net,united states,technology,softwareinfrastructure,"sanfrancisco,ca,unitedstates", july 2009," 2,440",matthew prince
da sa,35930000000,bn,france,consumer staples,packaged foods,"paris,france",," 98,105",
lyondellbasell industries nv,35960000000,lyb,united states,basic materials,specialty chemicals,"houston,tx,unitedstates", 2007," 19,100",kenneth todd lane
waste connections inc,36140000000,wcn,united states,industrials,waste management,," 1997 in folsom, california"," 19,998",worthing f jackman
transdigm group incorporated,36140000000,tdg,united states,industrials,aerospace & defense,"cleveland,oh,unitedstates", 1993," 13,300",kevin m stein phd
public service enterprise group incorporated,36280000000,peg,united states,utilities,utilitiesdiversified,"newark,nj,unitedstates", 1903," 12,684",ralph izzo phd
telus corporation,36370000000,t,canada,communication services,telecom services,"vancouver,bc,canada", 1990," 90,800",darren entwistle ba lld mba
inner mongolia yili industrial group co ltd,36610000000,600887,china,consumer staples,packaged foods,"hohhot,china",," 59,159",
constellation software inc,36670000000,csu,canada,technology,softwareapplication,"toronto,on,canada", 1995," 16,000",
shanghai pudong development bank co ltd,36720000000,600000,china,financials,banks,"shanghai,china",," 61,686",
doordash inc,36740000000,dash,united states,communication services,internet content & information,"sanfrancisco,ca,unitedstates", january 2013," 8,600",tony xu
munchener ruckversicherungs-gesellschaft aktiengesellschaft in munchen,36890000000,muv2,germany,financials,insurancereinsurance,"munich,germany",," 39,281",torsten jeworrek
beijing-shanghai high-speed railway coltd,36900000000,601816,china,industrials,railroads,"beijing,china",, 57,
jiangsu hengrui medicine co ltd,36900000000,600276,china,healthcare,drug manufacturersgeneral,"lianyungang,china",," 28,903",
tokio marine holdings inc,36990000000,8766,japan,financials,insuranceproperty & casualty,"tokyo,japan",," 43,257",satoru komiya
parker-hannifin corporation,37050000000,ph,united states,industrials,specialty industrial machinery,"cleveland,oh,unitedstates"," 1917, cleveland, ohio, u.s."," 54,640",thomas l williams
smc corp,37080000000,6273,japan,industrials,specialty industrial machinery,"tokyo,japan",," 20,619",
trane technologies plc,37360000000,tt,ireland,industrials,specialty industrial machinery,"swords,ireland", 1871," 37,000",david s regnery
phillips 66,37510000000,psx,united states,energy,oil & gas refining & marketing,"houston,tx,unitedstates", 1927," 14,000",greg c garland
electronic arts inc,37380000000,ea,united states,communication services,electronic gaming & multimedia,"redwoodcity,ca,unitedstates"," may 27, 1982"," 11,000",andrew wilson
pt bank rakyat indonesia persero tbk,37510000000,byra,indonesia,financials,banks,"jakarta,indonesia",," 79,398",
sartorius stedim biotech sa,37550000000,dim,france,healthcare,medical instruments & supplies,"aubagne,france",," 10,409",joachim kreuzburg
compass group plc,37730000000,cpg,united kingdom,consumer discretionary,restaurants,"chertsey,unitedkingdom", 1941," 480,000",dominic blakemore
daiichi sankyo company ltd,37790000000,4568,japan,healthcare,drug manufacturersgeneral,"tokyo,japan",," 16,033",sunao manabe dvm phd
capgemini se,37820000000,cap,france,technology,information technology services,"paris,france",," 324,700",aiman ezzat
sba communications corporation,37930000000,sbac,united states,real estate,reitspecialty,"bocaraton,fl,unitedstates",," 1,596",jeffrey a stoops
dollar tree inc,38000000000,dltr,united states,consumer staples,discount stores,"chesapeake,va,unitedstates", 1986," 61,886",michael a witynski
credit agricole sa,38010000000,aca,france,financials,banks,"montrouge,france",," 75,975",philippe brassac
ab volvo,38130000000,vol4,sweden,industrials,farm & heavy construction machinery,"gothenburg,sweden",," 92,144",martin lundstedt msc
kuaishou technology,38150000000,1024,china,communication services,broadcasting,"beijing,china",," 27,125",yixiao cheng
dell technologies inc,38160000000,dell,united states,technology,computer hardware,"roundrock,tx,unitedstates"," september 7, 2016"," 133,000",michael saul dell
banco bilbao vizcaya argentaria sa,38250000000,bbva,spain,financials,banks,"bilbao,spain",," 110,432",onur genc
baker hughes company,38390000000,bkr,united states,energy,oil & gas equipment & services,"houston,tx,unitedstates", 1907," 54,000",lorenzo simonelli
ecopetrol sa,38690000000,ec,colombia,                                        energy                                    ,                                        oil & gas integrated                                    ,"bogota,colombia", 1921," 18,000",
alcon inc,38900000000,alc,switzerland,healthcare,medical instruments & supplies,"geneva,switzerland"," 1945, fort worth, texas, united states"," 24,389",david j endicott
prudential plc,39000000000,pru,united kingdom,financials,insurancelife,"london,unitedkingdom", 1848," 23,000",
novozymes a-s,39030000000,nzym.b,denmark,basic materials,chemicals,"bagsvaerd,denmark",," 6,184",ester baiget
givaudan sa,39290000000,givn,switzerland,basic materials,specialty chemicals,"vernier,switzerland",," 16,842",
ebay inc,39340000000,ebay,united states,consumer discretionary,internet retail,"sanjose,ca,unitedstates"," september 3, 1995"," 10,800",jamie j ian
alimentation couche-tard inc,39560000000,atd.b,canada,consumer staples,grocery stores,"laval,qc,canada", 1980," 98,000",brian p hannasch
eqt ab,39710000000,6eq,japan,financials,asset management,"tokyo,japan",," 1,059",christian sinding
hess corporation,32810000000,hes,united states,energy,oil & gas e&p,"newyork,ny,unitedstates"," december 11, 1919"," 1,545",john b hess
orange sa,32840000000,ora,france,communication services,telecom services,"paris,france", 1 january 1988," 132,002",stephane richard
deutsche borse ag,32990000000,db1,germany,financials,financial data & stock exchanges,"eschborn,germany",," 8,855",theodor weimer
cenovus energy inc,33020000000,cve,canada,energy,oil & gas integrated,"calgary,ab,canada", 2009," 5,938",alexander j pourbaix
aptiv plc,33020000000,aptv,ireland,consumer discretionary,auto parts,"dublin,ireland", 1994," 155,000",kevin p clark
rockwell automation inc,33049999999,rok,united states,industrials,specialty industrial machinery,"milwaukee,wi,unitedstates", 1903," 24,500",blake d moret
sun life financial inc,33080000000,slf,canada,financials,insurancediversified,"toronto,on,canada",," 22,719",kevin david strain ca cpa
otis worldwide corporation,33090000000,otis,united states,industrials,specialty industrial machinery,"farmington,ct,unitedstates", 20 september 1853," 70,000",judith f marks
zoom video communications inc,33220000000,zm,united states,communication services,telecom services,"sanjose,ca,unitedstates"," april 21, 2011"," 6,787",eric s yuan
china resources land ltd,33259999999,1109,hong kong,real estate,real estatedevelopment,"wanchai,hongkong",," 47,537",
telefonaktiebolaget lm ericsson,33290000000,eric.a,sweden,technology,communication equipment,"stockholm,sweden"," stockholm, sweden 1876"," 100,454",e borje ekholm mba msc
international flavors & fragrances inc,33320000000,iff,united states,basic materials,specialty chemicals,"newyork,ny,unitedstates", 1889 ," 24,000",franklin k clyburn jr
china vanke co ltd,33350000000,000002,china,real estate,real estatedevelopment,"shenzhen,china",," 140,565",jiusheng zhu mba
koninklijke ahold delhaize nv,33430000000,ad,netherlands,consumer staples,grocery stores,"zaandam,netherlands",," 144,550",frans w h muller
ptt pcl,33460000000,ptt,thailand,energy,oil & gas integrated,"bangkok,thailand",,,auttapol rerkpiboon
mizuho financial group inc,33470000000,8411,japan,financials,banks,"tokyo,japan", 2001," 54,492",masahiro kihara
kkr & co inc,33490000000,kkr,united states,financials,asset management,"newyork,ny,unitedstates", 1976," 3,238",joseph y bae
poly developments and holdings group co ltd,33640000000,600048,china,real estate,real estatedevelopment,"guangzhou,china",," 61,201",
mtr corp ltd,33659999999,0066,hong kong,industrials,railroads,"kowloonbay,hongkong",," 31,968",chak-pui kam
fanuc corp,33680000000,6954,japan,industrials,specialty industrial machinery,"yamanashi,japan",," 8,256",kenji yamaguchi
kuehne nagel international ag,33689999999,knin,switzerland,industrials,integrated freight & logistics,"schindellegi,switzerland",," 73,516",detlef a trefzger
discover financial services,33729999999,dfs,united states,financials,credit services,"riverwoods,il,unitedstates", 1985," 16,700",roger crosby hochschild
tyson foods inc,33729999999,tsn,united states,consumer staples,farm products,"springdale,ar,unitedstates", 1935," 137,000",donnie d king
halliburton company,33950000000,hal,united states,energy,oil & gas equipment & services,"houston,tx,unitedstates", 1919," 40,000",jeffrey allen miller
t rowe price group inc,34009999999,trow,united states,financials,asset management,"baltimore,md,unitedstates", 1937," 7,529",robert w sharps cfa cpa cfa cpa
chunghwa telecom co ltd,34060000000,2412,taiwan,communication services,telecom services,"taipeicity,taiwan"," june 15, 1996"," 20,341",chi-mau sheih
equity residential,34110000000,eqr,united states,real estate,reitresidential,"chicago,il,unitedstates", 1969," 2,400",mark j parrell
chongqing zhifei biological products co ltd,34130000000,300122,china,healthcare,biotechnology,"chongqing,china",," 3,380",
arthur j gallagher & co,34220000000,ajg,united states,financials,insurance brokers,"rollingmeadows,il,unitedstates", 1927," 39,000",j patrick gallagher jr
z holdings corp,34240000000,4689,japan,consumer discretionary,internet retail,"tokyo,japan",," 22,531",kentaro kawabe
verisk analytics inc,34390000000,vrsk,united states,industrials,consulting services,"jerseycity,nj,unitedstates", 1971," 9,367",scott g stephenson
sydney airport limited,34400000000,syd,australia,industrials,airports & air services,"sydney,nsw,australia", 2002, 418,
verbund ag,34440000000,oew,austria,                                        utilities                                    ,                                        utilitiesrenewable                                    ,"vienna,austria",," 2,870",michael strugl mba
align technology inc,34490000000,algn,united states,healthcare,medical devices,"tempe,az,unitedstates", 1997," 22,540",joseph m hogan
fastenal company,34580000000,fast,united states,industrials,industrial distribution,"winona,mn,unitedstates", 1967," 18,370",daniel l florness
ameriprise financial inc,34640000000,amp,united states,financials,asset management,"minneapolis,mn,unitedstates", 1894," 12,000",james m cracchiolo
arcelormittal,34660000000,mt,luxembourg,                                        basic materials                                    ,                                        steel                                    ,"luxembourgcity,luxembourg",," 158,000",aditya mittal
budweiser brewing company apac ltd,34730000000,1876,hong kong,consumer staples,beveragesbrewers,"causewaybay,hongkong",," 26,038",jan eli b craps
china citic bank corp ltd,34840000000,601998,china,financials,banks,"beijing,china",," 57,062",
consolidated edison inc,34890000000,ed,united states,utilities,utilitiesregulated electric,"newyork,ny,unitedstates", 1823 as the new york gas light company," 13,871",timothy p cawley
cheniere energy inc,34920000000,lng,united states,energy,oil & gas midstream,"houston,tx,unitedstates", 1996," 1,550",jack a fusco
old dominion freight line inc,34940000000,odfl,united states,industrials,trucking,"thomasville,nc,unitedstates", 1934," 23,663",greg c gantt
sun hung kai properties ltd,35040000000,0016,hong kong,real estate,real estatedevelopment,"wanchai,hongkong",," 38,500",
yum brands inc,35120000000,yum,united states,consumer discretionary,restaurants,"louisville,ky,unitedstates"," october 6, 1997"," 36,000",david w gibbs
imperial oil limited,35130000000,imo,canada,energy,oil & gas integrated,"calgary,ab,canada", 1880," 5,400",bradley william corson bs
avalonbay communities inc,35190000000,avb,united states,real estate,reitresidential,"arlington,va,unitedstates", 1978," 2,839",benjamin w schall
assicurazioni generali,35200000000,g,italy,financials,insurancediversified,"trieste,italy",," 74,621",philippe roger donnet
hexagon ab,35210000000,hxg,sweden,technology,scientific & technical instruments,"stockholm,sweden",," 22,097",ola rollan bsc bsc econ
telstra corporation limited,35240000000,tls,australia,communication services,telecom services,"melbourne,vic,australia", 1 july 1975," 26,728",andrew richard penn mba amp mba bec fcca hfaipm
henkel ag & co kgaa,30530000000,hen,germany,consumer staples,household & personal products,"dusseldorf,germany",," 52,450",carsten knobel
twitter inc,30830000000,twtr,united states,communication services,internet content & information,"sanfrancisco,ca,unitedstates"," march 21, 2006"," 7,500",parag agrawal
energy transfer lp,30690000000,et,united states,energy,oil & gas midstream,"dallas,tx,unitedstates", 1995," 12,558",marshall s mccrea iii
loblaw companies limited,30700000000,l,canada,consumer staples,grocery stores,"brampton,on,canada"," toronto, ontario, canada 1956"," 200,000",galen g weston ba mba mba
veeva systeinc,30760000000,veev,united states,healthcare,health information services,"pleasanton,ca,unitedstates", 2007," 4,506",peter p gassner
nokia corporation,30910000000,nokia.sek,finland,technology,communication equipment,"espoo,finland", 12 may 1865," 87,927",pekka ilmari lundmark
saic motor corp ltd,30930000000,600104,china,consumer discretionary,auto manufacturers,"shanghai,china",," 204,815",
state street corporation,30950000000,stt,united states,financials,asset management,"boston,ma,unitedstates", 1792," 38,784",ronald philip o'hanley
engie sa,31000000000,engi,france,utilities,utilitiesdiversified,"courbevoie,france",," 154,364",catherine macgregor
anhui conch cement company ltd,31020000000,600585,china,basic materials,building materials,"wuhu,china",," 47,539",
franco-nevada corporation,31000000000,fnv,canada,basic materials,gold,"toronto,on,canada",, 38,paul brink
china pacific insurance,31040000000,601601,china,financials,insurancelife,"shanghai,china",," 110,940",
zscaler inc,31030000000,zs,united states,technology,softwareinfrastructure,"sanjose,ca,unitedstates", 2007," 3,153",jagtar singh chaudhry
eon se,31120000000,eoaa,germany,utilities,utilitiesdiversified,"essen,germany",," 63,227",leonhard birnbaum
ametek inc,31150000000,ame,united states,industrials,specialty industrial machinery,"berwyn,pa,unitedstates", 1930," 18,500",david a zapico
zhangzhou pientzehuang pharmaceutical ltd,31170000000,600436,china,healthcare,drug manufacturersgeneral,"zhangzhou,china",," 2,526",
formosa petrochemical corp,31220000000,6505,taiwan,energy,oil & gas refining & marketing,"mailiao,taiwan",,,
koninklijke dsm nv,31250000000,dsm,netherlands,basic materials,specialty chemicals,"heerlen,netherlands",," 21,358",dimitri de vreeze
swisscom ag,31260000000,scmn,switzerland,communication services,telecom services,"bern,switzerland",," 18,905",urs schaeppi lic oec hsg
biogen inc,31350000000,biib,united states,healthcare,drug manufacturersgeneral,"cambridge,ma,unitedstates", 1978," 9,610",michel vounatsos
japan post holdings co ltd,31410000000,6178,japan,financials,banks,"tokyo,japan",," 243,612",hiroya masuda
crh plc,31450000000,crh,ireland,basic materials,building materials,"dublin,ireland"," cement limited 1936, roadstone limited 1949 & merger to form cement roadstone holdings 1970"," 77,400",
china telecom corp ltd,31490000000,0728,hong kong,communication services,telecom services,"wanchai,hongkong",," 278,922",ruiwen ke
eversource energy,31560000000,es,united states,utilities,utilitiesregulated electric,"springfield,ma,unitedstates", 1966," 9,227",joseph r nolan jr
foxconn industrial internet co ltd,31580000000,601138,china,technology,communication equipment,"shenzhen,china",," 196,159",hongmeng cheng
japan tobacco inc,31590000000,2914,japan,consumer staples,tobacco,"tokyo,japan",," 55,381",masamichi terabatake
corning incorporated,31600000000,glw,united states,technology,electronic components,"corning,ny,unitedstates", 1851," 61,200",wendell p weeks
goodman group,31640000000,gmg,australia,real estate,reitdiversified,"rosebery,nsw,australia", 1989, 941,gregory leith goodman
oneok inc,31660000000,oke,united states,energy,oil & gas midstream,"tulsa,ok,unitedstates", 1906," 2,847",pierce h norton ii
mettler-toledo international inc,31780000000,mtd,united states,healthcare,diagnostics & research,"columbus,oh,unitedstates", 1945," 15,600",patrick k kaltenbach
perusahaan perseroan persero pt telekomunikasi indonesia tbk,31780000000,tlk,indonesia,communication services,telecom services,"bandung,indonesia", 23 october 1856," 20,817",
ppg industries inc,31890000000,ppg,united states,basic materials,specialty chemicals,"pittsburgh,pa,unitedstates", 1883," 49,300",michael h mcgarry
japan post bank coltd,31930000000,7182,japan,financials,banks,"tokyo,japan",," 12,451",
longfor group holdings ltd,31980000000,0960,china,real estate,real estatedevelopment,"beijing,china",," 44,065",xuping chen
great wall motor co ltd,32009999999,601633,china,consumer discretionary,auto manufacturers,"baoding,china",," 63,174",
paccar inc,32040000000,pcar,united states,industrials,farm & heavy construction machinery,"bellevue,wa,unitedstates", 1905," 28,500",r preston feight
weg sa,32049999999,wege3,brazil,industrials,specialty industrial machinery,"jaraguadosul,sc,brazil",," 36,987",harry schmelzer jr
brown-forman corporation,32070000000,bf.b,united states,consumer staples,beverageswineries & distilleries,"louisville,ky,unitedstates", 1870," 4,700",lawson e whiting
barclays plc,32189999999,barc,united kingdom,financials,banks,"london,unitedkingdom", 17 november 1690," 81,600",coimbatore sundararajan venkatakrishnan
anta sports products ltd,32200000000,2020,china,consumer discretionary,leisure,"jinjiang,china",," 52,000",shizhong ding
singapore telecommunications ltd,32229999999,z74,singapore,communication services,telecom services,"singapore,singapore",," 22,914",kuan moon yuen
haier smart home co ltd,32310000000,600690,china,consumer discretionary,"furnishings, fixtures & appliances","qingdao,china",," 99,299",
cellnex telecom sa,32320000000,clnx,spain,communication services,telecom services,"madrid,spain",," 2,877",tobias martinez gimeno
citic ltd,32330000000,0267,hong kong,industrials,conglomerates,"central,hongkong",," 135,304",
wuxi biologics,32409999999,2269,china,healthcare,biotechnology,"wuxi,china",," 9,864",zhisheng chen
china overseas land & investment ltd,32490000000,0688,hong kong,real estate,real estatedevelopment,"central,hongkong",," 5,916",zhichao zhang
amerisourcebergen corporation,32509999999,abc,united states,healthcare,medical distribution,"chesterbrook,pa,unitedstates", merger between amerisource health and bergen brunswig in 2001," 38,000",steven h collis
wec energy group inc,32540000000,wec,united states,utilities,utilitiesregulated electric,"milwaukee,wi,unitedstates", 1896," 6,938",scott j lauber
ross stores inc,32710000000,rost,united states,consumer discretionary,apparel retail,"dublin,ca,unitedstates", 1982," 88,100",barbara rentler
cgn power co ltd,19250000000,003816,china,utilities,utilitiesindependent power producers,"shenzhen,china",," 18,248",
