name,annual_revenue_usd,annual_net_income_usd,market_capitalization_2022,employees_number,ceo,headquarters_country,wikipedia_page_url,twitter_page_url,facebook_page_url
jiangsu hengli hydraulic,1355000000,392000000,17878000000,,,china,,,
entegris,2298000000,409000000,17884000000,6850,bertrand loy,usa,https://en.wikipedia.org/wiki/entegris,,
hdfc life insurance company,8442000000,166000000,17862000000,14587,vibha padalkar,india,https://en.wikipedia.org/wiki/hdfc life,https://twitter.com/hdfclife,
viatris inc,17886000000,-1269000000,17826000000,37000,michael goettler,usa,https://en.wikipedia.org/wiki/mylan,https://twitter.com/mylannews,https://www.facebook.com/mylanfrance/
mega financial holding,2001000000,857000000,17822000000,9669,,taiwan,,,
wabtec corporation,7822000000,558000000,17767000000,25000,rafael santana,usa,https://en.wikipedia.org/wiki/wabtec corporation,,
jacobs engineering group,14092000000,477000000,17760000000,55000,steven j demetriou,usa,https://en.wikipedia.org/wiki/jacobs engineering group,https://twitter.com/jacobsconnects,
confluent inc,387000000,-342000000,17749000000,1473,jay kreps,usa,,,
alnylam pharmaceuticals,844000000,-852000000,17716000000,1665,john maraganore,usa,https://en.wikipedia.org/wiki/alnylam pharmaceuticals,,
nice,1921000000,199000000,17701000000,6800,barak eilam,israel,,,
henan shuanghui investment & development,9720000000,708000000,17688000000,,,china,https://en.wikipedia.org/wiki/wh group,,
hologic,5632000000,1871000000,17677000000,6705,stephen p macmillan,usa,https://en.wikipedia.org/wiki/hologic,https://twitter.com/hologic,https://www.facebook.com/hologic/
pimco,333000000,333000000,,,,usa,https://en.wikipedia.org/wiki/pimco,,
avery dennison corporation,8408000000,740000000,17655000000,36000,mitchell r butier,usa,https://en.wikipedia.org/wiki/avery dennison,https://twitter.com/averydennison,https://www.facebook.com/averydennisoncorporation/
franklin resources,8425000000,1831000000,17643000000,10300,jennifer m johnson,usa,https://en.wikipedia.org/wiki/franklin templeton investments,https://twitter.com/fti global,https://www.facebook.com/franklintempleton/
nuance communications,1362000000,-26000000,17589000000,6500,mark d benjamin,usa,https://en.wikipedia.org/wiki/nuance communications,https://twitter.com/nuanceent,https://www.facebook.com/nuancecommunications/
pao severstal,6870000000,1016000000,17528000000,52200,aleksanshevelev,russia,https://en.wikipedia.org/wiki/severstal,https://twitter.com/severstal,
china merchants shekou industrial zone holdings,23377000000,1509000000,17531000000,48465,,china,https://en.wikipedia.org/wiki/china merchants shekou industrial zone holdings,,
contura energy,,,17533000000,,david j stetson,usa,https://en.wikipedia.org/wiki/contura energy,,
puma se,7499000000,341000000,17486000000,14374,bjorn gulden,germany,https://en.wikipedia.org/wiki/puma  brand ,,
huaneng lancang river hydropower,2940000000,849000000,17488000000,3403,,china,,,
beijing kingsoft office software,515000000,164000000,17474000000,2267,,china,,,
ntpc,16493000000,2087000000,17433000000,19918,gurdeep singh,india,https://en.wikipedia.org/wiki/ntpc limited,https://twitter.com/ntpclimited,
country garden services holdings company,4197000000,587000000,17412000000,101784,,china,,,
arch capital group,8883000000,2156000000,17403000000,4500,marc grandisson,bermuda,https://en.wikipedia.org/wiki/arch capital group,,
ppd inc,4681000000,120000000,17400000000,24000,david simmons,usa,"https://en.wikipedia.org/wiki/ppd, inc.",,
centerpoint energy,8352000000,1391000000,17394000000,9418,david john lesar,usa,https://en.wikipedia.org/wiki/centerpoint energy,,
wheaton precious metals,1201000000,754000000,17372000000,40,randy v j smallwood,canada,https://en.wikipedia.org/wiki/wheaton precious metals corporation,https://twitter.com/wheaton pm,
china cssc holdings,8693000000,31000000,17331000000,7670,,china,,,
carl zeiss meditec ag,1814000000,260000000,17301000000,3000,markus weber,germany,https://en.wikipedia.org/wiki/carl zeiss meditec,,
idex corporation,2764000000,449000000,17302000000,7536,eric d ashleman,usa,https://en.wikipedia.org/wiki/idex corporation,,
royalty pharma plc,2289000000,619000000,17292000000,35,pablo legorreta,usa,https://en.wikipedia.org/wiki/royalty pharma,,
ally financial,8780000000,3003000000,17291000000,10500,jeffrey j brown,usa,https://en.wikipedia.org/wiki/ally financial,https://twitter.com/ally,
insulet corporation,1098000000,16000000,17247000000,2300,shacey petrovic,usa,,https://twitter.com/myomnipod,https://www.facebook.com/myomnipod/
textron,12382000000,756000000,17248000000,37000,scott c donnelly,usa,https://en.wikipedia.org/wiki/textron,https://twitter.com/textron,
publicis groupe,12935000000,1132000000,17224000000,79051,arthur sadoun,france,https://en.wikipedia.org/wiki/publicis,https://twitter.com/publicisgroupe,https://www.facebook.com/publicisgroupe/
sk innovation,35039000000,228000000,17206000000,2424,kim jun,south korea,https://en.wikipedia.org/wiki/sk group,,
pembina pipeline corporation,6891000000,992000000,17210000000,2623,,canada,https://en.wikipedia.org/wiki/pembina pipeline,https://twitter.com/pembinapipeline,
shanghai fosun pharmaceutical group,5676000000,689000000,17177000000,,,china,https://en.wikipedia.org/wiki/fosun pharmaceutical,,
guosen securities,3338000000,1472000000,17171000000,10423,,china,https://en.wikipedia.org/wiki/guosen securities,,
markel corporation,12846000000,2425000000,17150000000,20300,thomas s gayner,usa,https://en.wikipedia.org/wiki/markel corporation,,
ayala corporation,4143000000,473000000,17131000000,60000,jaime augusto zobel de ayala,philippines,https://en.wikipedia.org/wiki/ayala corporation,,
nn group,25930000000,3612000000,17104000000,15417,david knibbe,netherlands,https://en.wikipedia.org/wiki/nn group,https://twitter.com/nn nederland,
poste italiane spa,31629000000,1578000000,17079000000,118523,matteo del fante,italy,https://en.wikipedia.org/wiki/poste italiane,,
haier electronics group,30114000000,,,16775,,hong kong,https://en.wikipedia.org/wiki/haier,,
byjus,374000000,7000000,,9000,byju raveendran,india,https://en.wikipedia.org/wiki/byju's,,https://www.facebook.com/byjuslearningapp/
formosa chemicals & fibre corporation,12088000000,1268000000,17066000000,51000,,taiwan,,,
camden property trust,1154000000,313000000,17056000000,1700,richard j campo,usa,https://en.wikipedia.org/wiki/camden property trust,https://twitter.com/camdenliving,https://www.facebook.com/camdenliving/
nitori holdings,5922000000,706000000,17050000000,10366,akio nitori,japan,https://en.wikipedia.org/wiki/nitori,,
qorvo,4645000000,1033000000,17050000000,8400,robert a bruggeworth,usa,https://en.wikipedia.org/wiki/qorvo,,https://www.facebook.com/qorvo/
cnp assurances sa,48298000000,1710000000,17021000000,5353,stephane dedeyan,france,https://en.wikipedia.org/wiki/cnp assurances,https://twitter.com/cnp assurances,https://www.facebook.com/cnpassurances.officiel/
lkq corporation,13088000000,1090000000,16985000000,46000,dominick zarcone,usa,https://en.wikipedia.org/wiki/lkq corporation,https://twitter.com/lkqcorp,https://www.facebook.com/lkqcorp/
novolipetsk steel,16196000000,5036000000,16921000000,52800,grigory vitalevich fedorishin,russia,https://en.wikipedia.org/wiki/novolipetsk steel,,
burlington stores,9322000000,408000000,16924000000,47000,michael o sullivan,usa,https://en.wikipedia.org/wiki/burlington  department store ,https://twitter.com/burlington,
molina healthcare,27771000000,659000000,16923000000,14000,joseph m zubretsky,usa,https://en.wikipedia.org/wiki/molina healthcare,,
lens technology,6587000000,301000000,16912000000,198990,,china,https://en.wikipedia.org/wiki/lens technology,,
uniper se,180700000000,-4595000000,16886000000,11644,klaus-dieter maubach,germany,https://en.wikipedia.org/wiki/uniper,https://twitter.com/uniper energy,
zhejiang chint electrics,5656000000,495000000,16882000000,25140,,china,,,
nexon,2251000000,942000000,16869000000,6288,owen mahoney,japan,https://en.wikipedia.org/wiki/nexon,https://twitter.com/nexon shikyoku,
george weston,42934000000,344000000,16871000000,226299,galen weston jr,canada,https://en.wikipedia.org/wiki/george weston limited,,
maxscend microelectronics company,674000000,311000000,16841000000,217,,china,,,
larsen & toubro infotech,1961000000,287000000,16844000000,35991,sanjay jalona,india,https://en.wikipedia.org/wiki/larsen %26 toubro infotech,,
vedanta,16421000000,2603000000,16830000000,76000,sunil duggal,india,https://en.wikipedia.org/wiki/vedanta limited,https://twitter.com/vedantalimited lang=en,
china railway construction corporation,148000000,3593000000,16820000000,,,china,https://en.wikipedia.org/wiki/china railway construction corporation limited,,
marubeni corporation,62087000000,3096000000,16817000000,4404,,japan,https://en.wikipedia.org/wiki/marubeni,,
grupo elektra,7330000000,650000000,16802000000,71278,fabrice deceliere marquez,mexico,https://en.wikipedia.org/wiki/grupo elektra,,
brookfield property partners,7100000000,530000000,16785000000,17000,brian kingston,bermuda,https://en.wikipedia.org/wiki/brookfield property partners,,
tsingtao brewery company,4739000000,496000000,16774000000,38169,,china,https://en.wikipedia.org/wiki/tsingtao brewery,,
qualtrics international inc,1075000000,-1059000000,16732000000,4808,zig serafin,usa,,,
factset research systems,1591000000,399000000,16701000000,10892,philip snow,usa,https://en.wikipedia.org/wiki/factset,https://twitter.com/factset,https://www.facebook.com/factset/
groupe bruxelles lambert sa,8495000000,306000000,16677000000,59000,ian gallienne,belgium,https://en.wikipedia.org/wiki/groupe bruxelles lambert,,
adevinta asa,1139000000,-54000000,16683000000,4700,rolv erik ryssdal,norway,,,
conagra brands,11535000000,888000000,16670000000,18600,sean connolly,usa,https://en.wikipedia.org/wiki/conagra brands,https://twitter.com/conagrabrands,https://www.facebook.com/conagrabrands/
omnicom group,14289000000,1407000000,16663000000,71700,john wren,usa,https://en.wikipedia.org/wiki/omnicom group,https://twitter.com/omnicom,https://www.facebook.com/omnicomgroupinc/
china southern airlines company,14791000000,-1762000000,16651000000,100431,,china,https://en.wikipedia.org/wiki/china southern airlines,,
coles group,27254000000,726000000,16625000000,118000,steven cain,australia,https://en.wikipedia.org/wiki/coles group,,
ajinomoto,8000000,553000000,16626000000,32509,takaaki nishii,japan,https://en.wikipedia.org/wiki/ajinomoto,,
first quantum minerals,7212000000,832000000,16614000000,20000,,canada,https://en.wikipedia.org/wiki/first quantum minerals,,
charles river laboratories international,3504000000,390000000,16587000000,20000,james c foster,usa,https://en.wikipedia.org/wiki/charles river laboratories,https://twitter.com/criverlabs,https://www.facebook.com/charlesriverlabs/
rollins,2424000000,350000000,16577000000,16482,gary rollins,usa,https://en.wikipedia.org/wiki/rollins,,
aercap holdings,4587000000,1000000000,16583000000,376,aengus kelly,ireland,https://en.wikipedia.org/wiki/aercap,https://twitter.com/aercapnv,
amundi,3531000000,1443000000,16574000000,4700,valerie baudson,france,https://en.wikipedia.org/wiki/amundi,,
wan hai lines,7944000000,3600000000,16562000000,,tom yario,taiwan,https://en.wikipedia.org/wiki/wan hai lines,,
changchun high & new technology industry group,1688000000,590000000,16555000000,6247,,china,,,
wsp global,8211000000,378000000,16554000000,47000,alexanj l heureux,canada,https://en.wikipedia.org/wiki/wsp global,,
wuxi lead intelligent equipment,1460000000,231000000,16541000000,,,china,,,
china molybdenum co ltd,25301000000,743000000,16523000000,10956,,china,,,
james hardie industries,3613000000,459000000,16505000000,4861,jack truong,ireland,https://en.wikipedia.org/wiki/james hardie industries,,
santos,4837000000,658000000,16512000000,2178,kevin gallagher,australia,https://en.wikipedia.org/wiki/santos limited,https://twitter.com/santosltd,https://www.facebook.com/santosaustralialimited
alfa laval ab publ,4296000000,500000000,16501000000,17883,tom erixon,sweden,https://en.wikipedia.org/wiki/alfa laval,https://twitter.com/alfa laval,
ase technology holding,19859000000,2227000000,16470000000,95727,,taiwan,https://en.wikipedia.org/wiki/ase group,,
shinhan financial group,16348000000,2919000000,16464000000,172,cho yong-byoung,south korea,https://en.wikipedia.org/wiki/shinhan bank,,
eastman chemical company,10476000000,857000000,16457000000,14000,mark j costa,usa,https://en.wikipedia.org/wiki/eastman chemical company,https://twitter.com/eastmanchemco,https://www.facebook.com/eastmanchemicalco/
norsk hyasa,15410000000,1252000000,16447000000,34240,hilde merete aasheim,norway,,,
tryg a/s,3691000000,467000000,16442000000,4000,morten hubbe,denmark,https://en.wikipedia.org/wiki/tryg,,
gigadevice semiconductor beijing,1238000000,340000000,16420000000,,,china,,,
bandai namco holdings,6489000000,677000000,16401000000,9052,shukuo ishikawa,japan,https://en.wikipedia.org/wiki/bandai namco holdings,,
worldline,3688000000,-751000000,16384000000,20000,gilles grapinet,france,https://en.wikipedia.org/wiki/worldline  company ,,
masco corporation,8375000000,410000000,16371000000,20000,keith j allman,usa,https://en.wikipedia.org/wiki/masco,,
bio-techne corporation,1105000000,271000000,16319000000,2600,charles r kummeth,usa,https://en.wikipedia.org/wiki/bio-techne,,
sbi life insurance company,10378000000,188000000,16308000000,17466,mahesh kumar sharma,india,https://en.wikipedia.org/wiki/sbi life insurance company,https://twitter.com/sbilife,
varian medical systems,3168000000,269000000,16300000000,10062,dow r wilson,usa,https://en.wikipedia.org/wiki/varian medical systems,https://twitter.com/varianmedsys,
anhui gujing distillery,1931000000,334000000,16291000000,,,china,,,
abu dhabi commercial bank pjsc,3798000000,1028000000,16290000000,,alaa mohamed atta khalil eraiqat,uae,,,
china longyuan power group corporation,5415000000,932000000,16278000000,,,china,https://en.wikipedia.org/wiki/longyuan power,,
toyota tsusho corporation,58580000000,1622000000,16263000000,66067,ichiro kashitani,japan,https://en.wikipedia.org/wiki/toyota tsusho,,
teck resources,10769000000,2291000000,16187000000,10000,donald r lindsay,canada,https://en.wikipedia.org/wiki/teck resources,https://twitter.com/teckresources,https://www.facebook.com/teckresourcesltd/
bank of shanghai,8264000000,3240000000,16184000000,12699,,china,https://en.wikipedia.org/wiki/bank of shanghai,,
incyte corporation,2986000000,948000000,16167000000,2094,herve hoppenot,usa,https://en.wikipedia.org/wiki/incyte,https://twitter.com/incyte,https://www.facebook.com/incyte/
pt astra international tbk,15760000000,1363000000,16153000000,226105,djony bunarto tjondro,indonesia,https://en.wikipedia.org/wiki/astra international,,
orient overseas international,16832000000,7128000000,16136000000,10593,,hong kong,,,
knorr-bremse,6703000000,621000000,16125000000,29000,jan michael mrosik,germany,https://en.wikipedia.org/wiki/knorr-bremse,,
argenx se,497000000,-408000000,16128000000,336,tim hauwermeiren,netherlands,,,
eisai,5518000000,350000000,16116000000,10998,haruo naito,japan,https://en.wikipedia.org/wiki/eisai  company ,https://twitter.com/eisai sdgs,
nippon steel corporation,49684000000,4651000000,16116000000,106599,,japan,https://en.wikipedia.org/wiki/nippon steel,,
gulf energy development public company,1314000000,212000000,16117000000,832,sarath ratanavadi,thailand,,,
ringcentral,1183000000,-82000000,16105000000,3919,vlad shmunis,usa,https://en.wikipedia.org/wiki/ringcentral,https://twitter.com/ringcentral,https://www.facebook.com/ringcentral/
hangzhou first applied material,1871000000,320000000,16111000000,2525,,china,,,
carrefour sa,81863000000,1182000000,16110000000,322164,,france,https://en.wikipedia.org/wiki/carrefour,https://twitter.com/carrefourgroup,https://www.facebook.com/carrefour/ brand redir=325136260912360
mango excellent media,2234000000,308000000,16096000000,,,china,,,
divi's laboratories,1101000000,371000000,16053000000,13884,,india,https://en.wikipedia.org/wiki/divi%27s laboratories,,
tripcom group,3146000000,-86000000,16041000000,33400,,china,https://en.wikipedia.org/wiki/ctrip,https://twitter.com/trip,https://www.facebook.com/trip
chow tai fook jewellery group,12610000000,855000000,16025000000,27900,,hong kong,https://en.wikipedia.org/wiki/chow tai fook,,
samsung c&t corporation,28253000000,1341000000,16014000000,9374,oh se-chul,south korea,https://en.wikipedia.org/wiki/samsung c%26t corporation,,
bollore,19765000000,6060000000,16011000000,79207,,france,https://en.wikipedia.org/wiki/bollor%c3%a9,,
athene holding,26325000000,3718000000,16011000000,1350,james belardi,bermuda,,,
sofina societe anonyme,2650000000,2592000000,16000000000,,harold boel,belgium,https://en.wikipedia.org/wiki/sofina,,
avic jonhon optronic technology,1872000000,290000000,15961000000,,,china,,,
ocado group,3270000000,-292000000,15933000000,17121,tim steiner,uk,https://en.wikipedia.org/wiki/ocado,https://twitter.com/ocado,https://www.facebook.com/ocado
new china life insurance company,34923000000,2348000000,15920000000,36309,,china,https://en.wikipedia.org/wiki/new china life insurance,,
bank leumi le- israel,4746000000,1847000000,15890000000,8816,hanan friedman,israel,https://en.wikipedia.org/wiki/bank leumi,,
check point software technologies,664000000,250000000,15869000000,5198,gil shwed,israel,https://en.wikipedia.org/wiki/check point,https://twitter.com/checkpointsw,
grasim industries,11840000000,945000000,15866000000,24123,jayant v dhobley,india,https://en.wikipedia.org/wiki/grasim industries,https://twitter.com/grasimind,
olaplex holdings inc,598000000,220000000,15866000000,106,jue wong,usa,,,
guangzhou tinci materials technology,1742000000,347000000,15860000000,4020,,china,,,
telia company ab publ,9276000000,1227000000,15857000000,20700,allison kirkby,sweden,https://en.wikipedia.org/wiki/telia company,https://twitter.com/teliacompany,
afterpay,333000000,-14000000,15834000000,650,anthony eisen,australia,https://en.wikipedia.org/wiki/afterpay,https://twitter.com/afterpayusa,https://www.facebook.com/afterpay.it/
capitec bank holdings,1645000000,520000000,15818000000,13333,gerrie fourie,south africa,https://en.wikipedia.org/wiki/capitec bank,,
china unicom hong kong,47710000000,2091000000,15808000000,254702,,china,https://en.wikipedia.org/wiki/china unicom,,
ck infrastructure holdings,898000000,958000000,15795000000,2137,,hong kong,https://en.wikipedia.org/wiki/ck infrastructure holdings,,
tiffany & co,4420000000,541000000,15800000000,14100,anthony ledru,usa,https://en.wikipedia.org/wiki/tiffany %26 co.,,
woodside energy group,6962000000,1983000000,15804000000,3670,meg o neill,australia,https://en.wikipedia.org/wiki/woodside petroleum,https://twitter.com/woodsideenergy,
imeik technology development coltd,227000000,150000000,15775000000,,,china,,,
gongniu group,1802000000,405000000,15775000000,,,china,,,
abacus property group,213000000,358000000,15762000000,738,,australia,,,
smith & nephew,5212000000,524000000,15688000000,17500,roland diggelmann,uk,https://en.wikipedia.org/wiki/smith %26 nephew,https://twitter.com/smithnephewplc,https://www.facebook.com/smithnephewplc/
clarivate plc,1876000000,-270000000,15685000000,8300,jerre stead,uk,https://en.wikipedia.org/wiki/clarivate,,
lendlease group,6107000000,-69000000,15667000000,13720,tony lombardo,australia,https://en.wikipedia.org/wiki/lendlease,,
shanghai putailai new energy technology,1309000000,254000000,15666000000,,,china,,,
terna spa,2462000000,785000000,15647000000,4735,stefano antonio donnarumma,italy,https://en.wikipedia.org/wiki/terna group,https://twitter.com/ternaspa,
atlantia,7043000000,690000000,15611000000,30745,carlo bertazzo,italy,https://en.wikipedia.org/wiki/atlantia  company ,,
halma,1796000000,287000000,15584000000,7120,andrew williams,uk,https://en.wikipedia.org/wiki/halma plc,https://twitter.com/halmaplc,
huali industrial group company limited,2542000000,403000000,15562000000,,,china,,,
kikkoman corporation,3768000000,284000000,15562000000,7376,noriaki horikiri,japan,https://en.wikipedia.org/wiki/kikkoman,,
cp all public company,15642000000,332000000,15541000000,62556,tanin buranamanit,thailand,https://en.wikipedia.org/wiki/cp all,,
jiangsu eastern shenghong,7527000000,661000000,15532000000,,,china,,,
j m smucker company,7998000000,629000000,15534000000,7100,mark smucker,usa,https://en.wikipedia.org/wiki/the j.m. smucker company,https://twitter.com/smuckers,https://www.facebook.com/smuckers/
xp inc,2592000000,771000000,15522000000,3651,thiago maffra,brazil,https://en.wikipedia.org/wiki/xp inc.,,
siemens gamesa renewable energy,11237000000,-690000000,15524000000,24500,andreas nauen,spain,https://en.wikipedia.org/wiki/siemens gamesa,,
davide campari-milano,2394000000,313000000,15491000000,4000,robert kunze-concewitz,italy,https://en.wikipedia.org/wiki/campari group,,
evergy,5586000000,879000000,15489000000,4930,terry d bassham,usa,https://en.wikipedia.org/wiki/evergy,https://twitter.com/westarenergy,https://www.facebook.com/westarenergy/
nortonlifelock,2796000000,836000000,15481000000,2800,vincent pilette,usa,https://en.wikipedia.org/wiki/nortonlifelock,,
biomarin pharmaceutical,1846000000,-64000000,15468000000,3045,jean-jacques bienaime,usa,https://en.wikipedia.org/wiki/biomarin pharmaceutical,,
bath & body works inc,7882000000,1333000000,15438000000,92300,andrew meslow,usa,https://en.wikipedia.org/wiki/l brands,https://twitter.com/l brands,
sonic healthcare,6466000000,1011000000,15438000000,37000,colin s goldschmidt md,australia,https://en.wikipedia.org/wiki/sonic healthcare,,
lg household & health care,6635000000,693000000,15428000000,4638,suk cha,south korea,https://en.wikipedia.org/wiki/lg household %26 health care,,https://www.facebook.com/lgcare.korea/
evonik industries ag,16480000000,822000000,15424000000,33004,christian kullmann,germany,https://en.wikipedia.org/wiki/evonik industries,https://twitter.com/evonik,https://www.facebook.com/evonik/
loews corporation,11738000000,1578000000,15419000000,10340,james s tisch,usa,https://en.wikipedia.org/wiki/loews corporation,,
dynatrace,929000000,52000000,15408000000,2779,rick m mcconnell,usa,https://en.wikipedia.org/wiki/dynatrace,,
danske bank a/s,0,1912000000,15411000000,21754,carsten rasch egeriis,denmark,https://en.wikipedia.org/wiki/danske bank,,
krafton inc,1411000000,389000000,15397000000,169,kim chang-han,south korea,https://en.wikipedia.org/wiki/krafton,,
aes corporation,11141000000,-409000000,15401000000,8450,andres gluski,usa,https://en.wikipedia.org/wiki/aes corporation,https://twitter.com/theaescorp,https://www.facebook.com/theaescorporation/
united airlines holdings,24634000000,-1964000000,15319000000,84100,scott kirby,usa,https://en.wikipedia.org/wiki/united airlines holdings,,
transneft,15816000000,2189000000,15311000000,115900,,russia,https://en.wikipedia.org/wiki/transneft,,
sompo holdings,30137000000,1641000000,15302000000,323,satoshi kasai,japan,https://en.wikipedia.org/wiki/sompo japan nipponkoa holdings,,
cardinal health,181360000000,-933000000,15284000000,47300,mike kaufmann,usa,https://en.wikipedia.org/wiki/cardinal health,https://twitter.com/cardinalhealth,
biomerieux,3720000000,662000000,15281000000,12000,alexanmerieux,france,https://en.wikipedia.org/wiki/biom%c3%a9rieux,,
alliant energy corporation,3669000000,674000000,15270000000,3313,john o larsen,usa,https://en.wikipedia.org/wiki/alliant energy,,https://www.facebook.com/alliantenergy/
kimco realty corporation,1364000000,815000000,15257000000,484,conor c flynn,usa,https://en.wikipedia.org/wiki/kimco realty,https://twitter.com/kimcorealty,
deutsche wohnen se,2271000000,877000000,15251000000,1339,michael zahn,germany,https://en.wikipedia.org/wiki/deutsche wohnen,,
spirax-sarco engineering,1759000000,306000000,15248000000,85,nicholas j anderson,uk,https://en.wikipedia.org/wiki/spirax-sarco engineering,,
avary holding shenzhen,5234000000,521000000,15249000000,35050,,china,,,
flat glass group,1369000000,333000000,15241000000,3440,,china,,,
obic,254000000,86000000,15215000000,898,masahiro noda,japan,,,
quanta services,12980000000,485000000,15203000000,43700,earl c austin jr,usa,https://en.wikipedia.org/wiki/quanta services,https://twitter.com/quanta services,
swire properties,2028000000,909000000,15187000000,130716,,hong kong,https://en.wikipedia.org/wiki/swire properties,,https://www.facebook.com/artsatswireproperties/
china shipbuilding industry company,5754000000,32000000,15186000000,33009,,china,https://en.wikipedia.org/wiki/dalian shipbuilding industry company,,
daqin railway,11450000000,1773000000,15166000000,96995,,china,https://en.wikipedia.org/wiki/daqin railway  company ,,
fidelity national financial,15054000000,2422000000,15154000000,27058,raymond r quirk,usa,https://en.wikipedia.org/wiki/fidelity national financial,,
prada,3708000000,324000000,15139000000,13331,miuccia prada,italy,https://en.wikipedia.org/wiki/prada,https://twitter.com/prada,https://www.facebook.com/prada/
hyone,5771000000,771000000,15135000000,8085,mark poweska,canada,https://en.wikipedia.org/wiki/hydro one,,
rea group,988000000,266000000,15130000000,1496,owen wilson,australia,https://en.wikipedia.org/wiki/rea group,https://twitter.com/rea group,
kanzhun ltd,669000000,-168000000,15100000000,3388,,china,,,
shanghai international airport,542000000,-249000000,15095000000,8389,,china,https://en.wikipedia.org/wiki/shanghai pudong international airport,,
icahn enterprises,10941000000,-604000000,15075000000,19536,keith cozza,usa,https://en.wikipedia.org/wiki/icahn enterprises,,
stora enso oyj,11201000000,1394000000,15063000000,22094,annica bresky,finland,https://en.wikipedia.org/wiki/stora enso,,
abn abank,0,1357000000,15059000000,17813,robert swaak,netherlands,https://en.wikipedia.org/wiki/abn amro,https://twitter.com/abnamro,
builders firstsource,19893000000,1725000000,15058000000,28000,dave flitman,usa,,,
sulaiman al habib medical services group company,1933000000,367000000,15045000000,,,saudi arabia,,,
rakuten,13790000000,-1097000000,15042000000,23841,hiroshi mikitani,japan,https://en.wikipedia.org/wiki/rakuten,https://twitter.com/rakutenus,
w p carey,1331000000,409000000,15026000000,183,jason e fox,usa,https://en.wikipedia.org/wiki/w. p. carey,,
liberty global,10311000000,13426000000,15016000000,11200,mike fries,uk,https://en.wikipedia.org/wiki/liberty global,https://twitter.com/libertyglobal,https://www.facebook.com/libertyglobal/
warner bros discovery inc,12191000000,1006000000,15018000000,9800,david zaslav,usa,"https://en.wikipedia.org/wiki/discovery, inc.",https://twitter.com/discoveryinctv,https://www.facebook.com/discoveryinctv
bank of beijing,9720000000,3267000000,15008000000,14975,,china,https://en.wikipedia.org/wiki/bank of beijing,,
jd sports fashion,10086000000,435000000,15001000000,61053,peter cowgill,uk,https://en.wikipedia.org/wiki/jd sports,https://twitter.com/jdofficial,https://www.facebook.com/jdsportsofficial
secom,7661000000,688000000,14982000000,64119,,japan,https://en.wikipedia.org/wiki/secom,https://twitter.com/secom jp,https://www.facebook.com/secom.jp/
standard bank group,13309000000,1517000000,14982000000,50115,lungisa fuzile,south africa,https://en.wikipedia.org/wiki/standard bank,,
shaw communications,4401000000,788000000,14984000000,9500,bradley shaw,canada,https://en.wikipedia.org/wiki/shaw communications,,
united company rusal,11994000000,3225000000,14968000000,,evgenii nikitin,russia,,,
aluminum corporation of china,39254000000,709000000,14949000000,63007,,china,https://en.wikipedia.org/wiki/aluminum corporation of china limited,,
indian oil corporation,73354000000,3142000000,14954000000,31648,,india,https://en.wikipedia.org/wiki/indian oil corporation,https://twitter.com/indianoilcl,https://www.facebook.com/indianoilcorplimited/
w r berkley corporation,9481000000,1022000000,14940000000,7681,william r berkley,usa,https://en.wikipedia.org/wiki/w. r. berkley corporation,https://twitter.com/wrberkleycorp,
wharf real estate investment company,2047000000,560000000,14926000000,2900,,hong kong,https://en.wikipedia.org/wiki/the wharf  holdings ,,
equity lifestyle properties,1260000000,262000000,14890000000,500,marguerite m nader,usa,,,
silergy,749000000,200000000,14883000000,427,,taiwan,,,
the mosaic company,12357000000,1630000000,14883000000,12525,james c o rourke,usa,https://en.wikipedia.org/wiki/the mosaic company,https://twitter.com/mosaiccompany,https://www.facebook.com/mosaicfertilizantes/
advance auto parts,10997000000,616000000,14846000000,68000,thomas r greco,usa,https://en.wikipedia.org/wiki/advance auto parts,https://twitter.com/advanceauto,https://www.facebook.com/advanceautoparts/
jbs,75259000000,4396000000,14840000000,250000,gilberto tomazoni,brazil,https://en.wikipedia.org/wiki/jbs s.a.,,
pharmaron beijing,1169000000,261000000,14833000000,11012,,china,,,
cf industries holdings,6538000000,917000000,14829000000,3000,w anthony will,usa,https://en.wikipedia.org/wiki/cf industries,,
teleflex,2809000000,485000000,14823000000,14000,liam kelly,usa,https://en.wikipedia.org/wiki/teleflex,,
tdk corporation,13880000000,958000000,14791000000,129284,shigenao ishiguro,japan,https://en.wikipedia.org/wiki/tdk,https://twitter.com/tdk press,https://www.facebook.com/tdk.jp/
interpublic group of companies,10240000000,952000000,14782000000,50200,philippe krakowsky,usa,https://en.wikipedia.org/wiki/the interpublic group of companies,https://twitter.com/interpublicipg,https://www.facebook.com/interpublicgroup
otp bank nyrt,0,1321000000,14752000000,38626,sasndor csanyi,hungary,https://en.wikipedia.org/wiki/otp bank,,
banque saudi fransi,1931000000,920000000,14747000000,2881,rayan mohammed fayez,saudi arabia,https://en.wikipedia.org/wiki/banque saudi fransi,,
hindalco industries,24252000000,1719000000,14740000000,23555,satish pai,india,https://en.wikipedia.org/wiki/hindalco industries,,
julius bar gruppe ag,0,1149000000,14734000000,6606,philipp rickenbacher,switzerland,https://en.wikipedia.org/wiki/julius baer group,https://twitter.com/juliusbaer,https://www.facebook.com/bankjuliusbaer/
bilibili,3045000000,-1067000000,14719000000,8646,,china,https://en.wikipedia.org/wiki/bilibili,,
