name,headquarters,number_of_employees,address,industry,website,market_cap,telephone,revenue
owl rock capital corp,united states of america,,"399 park avenue, 38th floor, new york, 10022",financial services,www.owlrockcapitalcorporation.com,5,1 212 4193000,1
pt abm investama tbk,indonesia,"6,652","suite 1802, jl. cilandak kko no. 1, lantai 18, gedung tmt 1, jakarta selatan, 12560",metals and mining,www.abm-investama.com,573,62 21 29976767,1
bizlink holding inc,united states of america,"5,003","3400 gateway blvd, fremont, california, 94538-6583",technology and communications,www.bizlinktech.com,1,886 2 82261000,1
cosumar sa,morocco,"1,380","8 rue mouatamid ibnou abbad, bp 3098 roches noires, casablanca",consumer packaged goods,www.cosumar.co.ma,1,212 52 2678300,1
clas ohlson ab,sweden,"3,186","insjon, leksand, 79385",retailing,www.clasohlson.com/se,410,46 247 44400,1
mediaset espana comunicacion sa,spain,"1,587","carretera de fuencarral a alcobendas, n 4, madrid, 28049",media,www.mediaset.es,1,34 913 966300,1
la doria spa,italy,810,"via nazionale, 320, angri, 84012",consumer packaged goods,www.gruppoladoria.it,,39 081 5166111,1
enova international inc,united states of america,"1,463","175 w jackson blvd ste 1000, chicago, illinois, 60604-2863",financial services,www.enova.com,1,1 312 5684200,1
pt pabrik kertas tjiwi kimia tbk,indonesia,"5,300","sinar mas land plaza, menara 2, lt.5 jl. mh. thamrin no 51, jakarta pusat, 10350",paper and packaging,tjiwikimia.co.id,1,62 21 29650800,1
aenza saa,peru,"33,169","av. paseo de la republica n 4675, lima, 15047",construction,www.aenza.com.pe,182,51 1 2136565,1
neenah inc,united states of america,"2,493","3460 preston ridge rd, alpharetta, georgia, 30005-2058",paper and packaging,www.neenah.com,561,1 678 5666500,1
bystronic ag,switzerland,"3,636","giesshuebelstrasse 45, zuerich, 8045",industrial goods and machinery,www.bystronic.com,1,41 44 4682449,1
essent group ltd,bermuda,350,"61 front street, 2 church street, hamilton, hm11",financial services,essentgroup.com,4,1 441 2979901,1
datadog inc,united states of america,"3,200","620 eighth avenue, 45th floor, new york, 10018",technology and communications,www.datadoghq.com,22,1 917 5126452,1
zhejiang huahai pharmaceutical co ltd,china,"7,019","xunqiao, linhai city, taizhou, zhejiang, 317024",pharmaceuticals and healthcare,www.huahaipharm.com,4,8657685991096,1
shenzhen kingdom sci-tech co ltd,china,"8,888","8-9f, kingdom technology mansion, gaoxin south fifth ave,south section, hi-tech zone, nanshan district, shenzhen, guangdong, 518057",technology and communications,www.szkingdom.com,1,86 755 86393989,1
rws holdings plc,united kingdom,"7,796","chiltern hill, test city, new postcode, chalfont st peter, sl99fg",business and consumer services,www.rws.com,1,44 1753 480200,1
megaworld corp,philippines,924,"28/f the world centre, 330 sen. gil puyat avenue, manila, 1634",construction,www.megaworldcorp.com,1,63 2 88946431,1
choice properties real estate investment trust,canada,298,"22 st. clair avenue east, suite 500, toronto, ontario, m4t2s5",construction,www.choicereit.ca,3,1 416 9606990,1
abiomed inc,united states of america,"2,003","22 cherry hill dr, danvers, massachusetts, 01923-2575",medical equipment,www.abiomed.com,,1 978 7775410,1
yelp inc,united states of america,"4,400","10th floor, 350 mission street, san francisco, california, 94105",technology and communications,www.yelp.com,2,1 303 7962850,1
first resources ltd,singapore,"8,066","8 temasek boulevard,  36-02 suntec tower three, singapore, 038988",agriculture and forestry,www.first-resources.com,1,65 6 6020200,1
tien phong commercial joint stock bank,vietnam,"8,968","toa nha tpbank, so 57, pho ly thuong kie, phuong tran hung dao, quan hoan kiem, hanoi",financial services,tpb.vn,1,84 4 37683683,1
pt indocement tunggal prakarsa tbk,indonesia,"4,668","citeureup factory complex, jl. mayor oking jayaatmaja, bogor, 16810",construction,www.indocement.co.id,2,62 21 2512121,1
solutions 30 se,luxembourg,"7,487","3 rue de la reine, luxembourg, l2418",technology and communications,www.solutions30.com,245,,1
texwinca holdings ltd,hong kong,"10,903","16th floor, metroplaza, tower ii, 223 hing fong road, kwai chung, new territories, hong kong",retailing,www.texwinca.com,242,852  26107116,1
livanova plc,united kingdom,"3,000","20 eastbourne terrace, london, w26lg",medical equipment,www.livanova.com/home.action,3,44 20 33250662,1
tecan group ltd,switzerland,"3,291","seestrasse 103, maennedorf, 8708",medical equipment,www.tecan.com,5,41 44 9228111,1
makalot industrial co ltd,taiwan,"23,773","6th floor, no. 106-2, section 2, chung shan north road, jhongshan dist., taipei, 110",textiles,www.makalot.com.tw,1,886 2 23455588,1
container corporation of india ltd,india,"1,359","nsic new mdbp building, 3rd floor, okhla industrial estate, new delhi, 110020",transport and logistics,www.concorindia.com,5,91 11 41222500,1
datwyler holding inc,switzerland,"8,679","gotthardstrasse 31, altdorf, 6460",industrial goods and machinery,www.datwyler.com,2,41 41 8751100,1
aker asa,norway,"2,358","oksenoyveien 10, lysaker, 1366",energy and utilities,www.akerasa.com,5,47 2 4130000,1
cognex corp,united states of america,"2,257","one vision drive, natick, massachusetts, 01760",technology and communications,www.cognex.com,8,1 508 6503000,1
odfjell se,norway,"2,299","postterminalen, conrad mohrsv. 29, p.o. box 6101, bergen, 5892",transport and logistics,www.odfjell.com,744,47 55 270000,1
mitsubishi research institute inc,japan,"4,235","2-10-3, nagata-cho, chiyoda-ku, tokyo, 100-8141",technology and communications,www.mri.co.jp,619,81 3 51572111,1
nien made enterprise co ltd,taiwan,"7,664","23f-1, no.98, shizheng north, 7th road, xitun district, taichung, 407",consumer packaged goods,www.nienmade.com.tw,3,886 43 6000999,1
gcc sab de cv,mexico,"3,028","avenida vicente suarez y calle sexta, s/n zona industrial nombre de dios, chihuahua, 31105",construction,www.gcc.com,2,52 614 4423100,1
enviva inc,united states of america,"1,196","7272 wisconsin ave., suite 1800, bethesda, maryland, 20814",alternative energy,www.envivabiomass.com,3,1 301 6575560,1
fastighets ab balder,sweden,"1,139","parkgatan 49, goeteborg, 41138",construction,www.balder.se,6,46 31 109570,1
partner communications co ltd,israel,"2,588","8 amal street,  afeq industrial park, p.o. box 435, rosh ha'ayin, 4809229",technology and communications,www.partner.co.il,1,,1
the hiroshima bank ltd,japan,"3,439","1-1-7 nishikaniya, minami-ku, minami-ku, hiroshima-shi, 732-0804",financial services,www.hirogin-hd.co.jp/,,81 82 2455151,1
lacto japan co ltd,japan,323,"8-15 nihonbashi honcho 4-chome, 3rd floor neo kawai building, chuo-ku, tokyo, 103-0027",consumer packaged goods,www.lactojapan.com,151,81 3 62143831,1
covenant logistics group inc,united states of america,"4,500","400 birmingham hwy, chattanooga, tennessee, 37419-2346",transport and logistics,www.covenantlogistics.com,486,1 423 8211212,1
gentherm inc,united states of america,"10,474","21680 haggerty rd, northville, michigan, 48167-8994",automotive,www.gentherm.com,2,1 248 5040500,1
vueling airlines sa,spain,"3,969","vilaadecans business park, edif. brasil, carrer de catalunya, 83, barcelona , 08840",transport and logistics,www.vueling.com,,34 93 3787878,1
csg systeinternational inc,united states of america,"5,200","10th floor, 6175 south willow drive, greenwood village, colorado, 80111",technology and communications,www.csgi.com,1,1 303 2002000,1
nihon parkerizing co ltd,japan,"4,353","1-15-1, nihombashi, chuo-ku, tokyo, 103-0027",chemicals,www.parker.co.jp,969,81 3 32784333,1
unionbank of the philippines,philippines,"3,676","unionbank plaza, ortigas center, meralco avenue cor.onyx & sapphire roads, pasig, 1605",financial services,www.unionbankph.com,3,63 2 86676388,1
bgi genomics co ltd,china,"4,333","ole maaloees vej 3, copenhagen n, shenzhen, guangdong, 518083",medical equipment,www.bgi.com,3,86 755 36307065,1
banco de occidente,colombia,"3,353","carrera 13 no. 27-47, bogota",financial services,www.bancodeoccidente.com.co,952,57 1 7464000,1
proofpoint inc,united states of america,"3,658","925 west maude avenue, sunnyvale, california, 94085",technology and communications,www.proofpoint.com,,1 408 5174710,1
ocwen financial corp,united states of america,"5,700","1661 worthington rd ste 100, west palm beach, florida, 33409-6493",financial services,www.ocwen.com,262,1 561 6828000,1
s&b foods inc,japan,"2,122","18-6, nihombashi kabuto-cho, chuo-ku, tokyo, 103-0026",consumer packaged goods,www.sbfoods.co.jp,371,81 3 36680551,1
mixi inc,japan,"1,452","36f, scramble square, 2-24-12, shibuya, shibuya-ku, tokyo, 150-6136",technology and communications,mixi.co.jp,1,81 3 68979500,1
hanmi pharmaceuticals co ltd,south korea,"2,095","214, muha-ro, paltan-myeon, hwaseong, 18536",pharmaceuticals and healthcare,www.hanmi.co.kr,2,82 31 3505600,1
the 77 bank ltd,japan,"2,754","3-3-20, chuo, aoba-ku, sendai-shi, miyagi, 980-8777",financial services,www.77bank.co.jp,1,81 22 2671111,1
the supreme industries ltd,india,"5,228","142-48, s. v. road, jogeshwari  west , mumbai, 400093",construction,www.supreme.co.in,3,91 22 67710000,1
merida industry co ltd,taiwan,"3,768","no.116, megan road, megan village, dacun, 515",leisure and arts,www.merida-bikes.com,1,886 48 526171,1
united arrows ltd,japan,"4,213","3-28-1, jingumae, shibuya-ku, tokyo, 150-0001",retailing,www.united-arrows.co.jp,399,81 3 57856325,1
amano corp,japan,"4,786","275, mamedo-cho, kohoku-ku, yokohama-shi, kanagawa, 222-8558",technology and communications,www.amano.co.jp,1,81 45 4011441,1
paycom software inc,united states of america,"5,385","7501 w memorial rd, oklahoma city, 73142-1404",technology and communications,www.paycom.com,18,1 405 7226900,1
softwareone holding ag,switzerland,"8,890","riedenmatt 4, stans, 6370",technology and communications,www.softwareone.com,2,,1
china aviation lithium battery co ltd,china,,"no. 1 jiangdong avenue, jintan district, changzhou, jiangsu, 213200",clean technology,www.calb-tech.com,4,86 379 60339688,1
osb group plc,united kingdom,"1,826","chatham maritime, osb house quayside, kent, me44qz",financial services,www.osb.co.uk,2,44 1634 848944,1
systex corp,taiwan,"4,363","no.318, rueiguang road, neihu district, taipei, 114",technology and communications,tw.systex.com,654,886 2 77201888,1
crown resorts ltd,australia,"11,500","level 3, crown towers, 8 whiteman street, southbank, melbourne, victoria, 3006",leisure and arts,www.crownresorts.com.au,,61 3 92928824,1
carrefoursa carrefour sabanci ticaret merkezi as,turkey,"11,154","carfrsa plza cvzli mh.tgy yl  cad, no:67a blok b maltepe, istanbul, 34846",retailing,www.carrefoursa.com,441,90 216 6550000,1
sao martinho sa,brazil,"7,869","fazenda sao martinho, s/nr., zona rural, pradopolis, 14.850-000",chemicals,www.saomartinho.com.br,1,55 16 39819000,1
kobelco eco-solutions co ltd,japan,"1,330","4-78, 1-chome, wakinohama-cho, chuo-ku, kobe-shi, hyogo, 651-0072",clean technology,www.kobelco-eco.co.jp,,81 78 2328018,1
tatung co ltd,taiwan,"32,222","no.22, section 3, chungshan north road, taipei, 104",technology and communications,www.tatung.com.tw,2,886 2 25925252,1
pt jasa marga persero tbk,indonesia,"8,049","plaza tol taman mini indah, jakarta, 13550",construction,www.jasamarga.com,1,62 21 8413630,1
db hitek co ltd,south korea,"2,004","90, sudo-ro, bucheon, 14519",technology and communications,www.dbhitek.co.kr,1,82 32 6804700,1
dah sing financial holdings ltd,hong kong,"3,014","36/f, everbright centre, 108 gloucester road, hong kong",financial services,www.dahsing.com/html/tc/about us/aboutus.html,830,852  25078866,1
cgg sa,france,"3,312","27 avenue carnot, paris, 91300",energy and utilities,www.cgg.com,605,33 1 64474500,1
omega healthcare investors inc,united states of america,70,"suite 3500, 200 international circle, hunt valley, maryland, 21030",construction,www.omegahealthcare.com,6,1 410 4271700,1
stockmann plc,finland,"6,449","aleksanterinkatu 52 b, pl 220, helsinki, 00100",retailing,www.stockmanngroup.com,355,358 9 1211,1
global industrial co,united states of america,"1,480","11 harbor park dr, port washington, new york, 11050",retailing,www.globalindustrial.com,952,1 516 6087000,1
zhaojin mining industry co ltd,china,"6,755","no. 118 wenquan road, zhaoyuan city, yantai, shandong , 265400",metals and mining,en.zhaojin.com.cn,3,86 535 8266009,1
brunel international nv,netherlands,"12,219","john m. keynesplein 33, amsterdam, 1066ep",business and consumer services,www.brunelinternational.net,550,31 20 3125000,1
islami bank bangladesh ltd,bangladesh,"19,193","islami bk tower, 40 dilkusha c/a, dhaka, 1000",financial services,www.islamibankbd.com,561,880 2 9563040,1
ijm corporation berhad,malaysia,"2,878","wisma ijm, jalan yong shook lin, selangor darul ehsan, 46050",construction,www.ijm.com,1,60 3 79858288,1
semirara mining and power corp,philippines,"3,943","2/f dmci bldg. pasong tamo extension, makati, 2281",metals and mining,www.semiraramining.com,2,63 88 83000,1
breville group ltd,australia,610,"u 2 170-180 bourke rd, alexandria, new south wales, 2015",consumer packaged goods,www.brevillegroup.com.au,2,61 2 93848100,1
sky perfect jsat holdings inc,japan,841,"akasaka intercity air, 1-8-1, akasaka, minato-ku, tokyo, 107-0052",technology and communications,www.skyperfectjsat.space/company/resume/sjh,1,81 3 55711500,1
united fire group inc,united states of america,"1,086","118 2nd ave se, cedar rapids, iowa, 52401-1212",financial services,www.ufginsurance.com,756,1 319 3995700,1
bahrain telecommunications co bsc,bahrain,"2,486","p.o.box 14, building 1095, block 1014, road 1425, hamala, manama, 1014",technology and communications,www.batelco.com,2,973 1 7881881,1
varta ag,germany,"4,712","varta-platz 1, ellwangen, 73479",alternative energy,www.varta-ag.com,1,49 7961 9210,1
ameris bancorp,united states of america,"2,865","suite 1550, 3490 piedmont road n.e., atlanta, georgia, 30305",financial services,www.amerisbank.com,3,1 404 6396500,1
jiangsu yuyue medical equipment & supply co ltd,china,"6,440","no. 1 baisheng road, development zone, danyang city, zhenjiang, jiangsu, 212300",medical equipment,www.yuyue.com.cn,4,86 511 86900876,1
asiainfo technologies ltd,china,"13,309","asiainfo plaza, dong qu, 10 xibeiwang dong lu, haidian district, beijing, 100193",technology and communications,www.asiainfo.com,1,,1
choice hotels international inc,united states of america,"1,500","suite 400, 1 choice hotels circle, rockville, maryland, 20850",leisure and arts,www.choicehotels.com/en-in,6,1 301 5925181,1
esprit holdings ltd,hong kong,"2,200","bei jiao ma bao dao 28 hao, hua hui zhong xin 27 lou, kowloon bay, hong kong",retailing,www.esprit.com,289,852  27654321,1
hisamitsu pharmaceutical co inc,japan,"2,784","30f, marunouchi bldg., 2-4-1, marunouchi, chiyoda-ku, tokyo, 100-6221",pharmaceuticals and healthcare,www.hisamitsu.co.jp,2,81 3 52931700,1
ohb se,germany,"3,077","manfred-fuchs-platz 2-4, bremen, 28359",aerospace and defense,www.ohb.de,642,49 421 20208,1
united bankshares inc,united states of america,"2,966","300 united center, , 500 virginia street e, charleston, west virginia, 25301",financial services,www.ubsi-inc.com,5,1 740 7351104,1
rea group ltd,australia,"3,103","511 church street, richmond, victoria, 3121",media,www.rea-group.com,11,61 3 98971121,1
austal ltd,australia,"5,000","100 clarence beach road, henderson, perth, 6166",transport and logistics,www.austal.com,452,61 8 94101111,1
oil search ltd,papua new guinea,"1,243","po box 842, port moresby, 121",energy and utilities,www.oilsearch.com,,675 3 225599,1
richelieu hardware ltd,canada,"2,800","7900, boul. henri-bourassa ouest, montreal, quebec, h4s1v4",consumer packaged goods,www.richelieu.com,1,1 514 3364144,1
national healthcare corp,united states of america,"12,965","100 e. vine st, murfreesboro, tennessee, 37130",pharmaceuticals and healthcare,nhccare.com,892,1 615 8902020,1
voltas ltd,india,"8,343","voltas house, a' block, dr. babasaheb ambedkar road, mumbai, 400033",industrial goods and machinery,www.voltas.com,3,91 22 66656666,1
merit medical systeinc,united states of america,"6,446","1600 west merit park way, south jordan, utah, 84095",medical equipment,www.merit.com,4,1 801 2531600,1
proassurance corp,united states of america,"1,021","100 brookwood pl, birmingham, alabama, 35209-6811",financial services,www.proassurance.com,1,1 205 8774400,1
raya holding for financial investment sae,egypt,"10,127","26th july st., touristic zone, 6th of october, giza, 12568",technology and communications,rayacorp.com,199,20 2 38276000,1
tradeweb markets inc,united states of america,"1,046","1177 avenue of the americas, new york, 10036-2714",financial services,www.tradeweb.com,17,1 646 4306000,1
sanquan food co ltd,china,"7,652","middle section, tianhe road, zhengzhou, henan, 450044",consumer packaged goods,www.sanquan.com,2,86 371 63987832,1
getac holdings corp,taiwan,"11,500","4th floor, no. 1, r&d 2nd road, science based industrial park, baoshan, 300",technology and communications,www.getac.com.tw,897,886 2 27857888,1
fibra uno administracion sa de cv,mexico,317,"antonio dovali jaime 70, samara torre b, piso 11, colonia centro ciudad santa fe, 01219",construction,funo.mx,5,52 55 41707070,1
heiwa corp,japan,"5,484","heiwa honsha bldg., 1-16-1, higashi ueno, taito-ku, tokyo, 110-0015",technology and communications,www.heiwanet.co.jp,1,81 3 38390077,1
fraser & neave holdings bhd,malaysia,"2,454","f&n point, no. 3 jalan metro pudu 1, off jalan yew, fraser business park, kuala lumpur, 55100",consumer packaged goods,www.fn.com.my,2,60 3 92352288,1
equinox gold corp,canada,683,"suite 1501, 700 west pender st., vancouver, british columbia, v6c1g8",metals and mining,www.equinoxgold.com,1,1 604 5580560,1
jk cement ltd,india,"3,941","kamla tower, kanpur, 208001",construction,www.jkcement.com,2,91 512 2371478,1
ellaktor sa,greece,"5,340","25 ermou str., ermou str. 25, kifissia, athina, 14564",construction,ellaktor.com,774,30 21 08185000,1
taiwan high speed rail corp,taiwan,"4,608","100, hsin yi road sec. 5, taipei, 115",transport and logistics,www.thsrc.com.tw,5,886 2 87892000,1
china yurun food group ltd,china,"1,100","no. 10 yurun road, jianye district, nanjing, jiangsu, 210041",consumer packaged goods,www.yurun.com.hk,88,86 25 56677150,1
p h glatfelter co,united states of america,"3,250","4350 congress street, suite 600, charlotte, north carolina, 28209",paper and packaging,www.glatfelter.com,149,1 717 2252709,1
laureate education inc,united states of america,"14,000","78 sw 7th st, suite 900, miami, florida, 33130",business and consumer services,www.laureate.net,1,1 410 8436100,1
prestige consumer healthcare inc,united states of america,535,"660 white plains road, tarrytown, new york, 10591",consumer packaged goods,www.prestigebrands.com,3,1 914 5246800,1
bj's restaurants inc,united states of america,"21,000","suite 300, 7755 center avenue, huntington beach, california, 92647",leisure and arts,www.bjsrestaurants.com,730,1 714 5002440,1
cecep solar energy co ltd,china,"1,859","no. 1, jiefang west road, yuzhong district, beijing, 100082",alternative energy,www.cecsec.cn,4,86 10 83052461,1
