name,market_cap,stock,sector,industry,country
hilton worldwide holdings inc,42390000000.0,hlt,consumer discretionary,lodging,united states
wuxi apptec co ltd,42250000000.0,603259,healthcare,diagnostics & research,china
sysco corporation,42220000000.0,syy,consumer staples,food distribution,united states
the kroger co,42030000000.0,kr,consumer staples,grocery stores,united states
manulife financial corporation,41980000000.0,mfc,financials,insurancelife,canada
biontech se,41930000000.0,22ua,healthcare,biotechnology,germany
stmicroelectronics nv,41910000000.0,stm,technology,semiconductors,switzerland
devon energy corporation,41820000000.0,dvn,energy,oil & gas e&p,united states
the williacompanies inc,41600000000.0,wmb,energy,oil & gas midstream,united states
the allstate corporation,41540000000.0,all,financials,insuranceproperty & casualty,united states
hang seng bank limited,41470000000.0,0011,financials,banks,hong kong
valero energy corporation,41270000000.0,vlo,energy,oil & gas refining & marketing,united states
ing groep nv,41250000000.0,inga,financials,banks,netherlands
mmc norilsk nickel pjsc,41160000000.0,gmkn,basic materials,other industrial metals & mining,russia
motorola solutions inc,40870000000.0,msi,technology,communication equipment,united states
east money information coltd,40830000000.0,300059,communication services,internet content & information,china
the bank of new york mellon corporation,40830000000.0,bk,financials,asset management,united states
carrier global corporation,40790000000.0,carr,industrials,building products & equipment,united states
oversea-chinese banking corp ltd,40770000000.0,o39,financials,banks,singapore
digital realty trust inc,40640000000.0,dlr,real estate,reitoffice,united states
walgreens boots alliance inc,40550000000.0,wba,healthcare,pharmaceutical retailers,united states
agilent technologies inc,40490000000.0,a,healthcare,diagnostics & research,united states
global payments inc,40350000000.0,gpn,industrials,specialty business services,united states
citic securities company ltd,40170000000.0,600030,financials,capital markets,china
baxter international inc,40130000000.0,bax,healthcare,medical instruments & supplies,united states
boc hong kong holdings ltd,39990000000.0,2388,financials,banks,hong kong
msci inc,39970000000.0,msci,financials,financial data & stock exchanges,united states
welltower inc,39960000000.0,well,real estate,reithealthcare facilities,united states
xcel energy inc,39760000000.0,xel,utilities,utilitiesregulated electric,united states
united overseas bank ltd,39730000000.0,u11,financials,banks,singapore
wanhua chemical group co ltd,39730000000.0,600309,basic materials,chemicals,china
dupont de nemours inc,39720000000.0,dd,basic materials,chemicals,united states
eqt ab,39710000000.0,6eq,financials,asset management,japan
alimentation couche-tard inc,,atd.b,consumer staples,grocery stores,canada
ebay inc,39340000000.0,ebay,consumer discretionary,internet retail,united states
givaudan sa,39290000000.0,givn,basic materials,specialty chemicals,switzerland
novozymes a-s,39030000000.0,nzym.b,basic materials,chemicals,denmark
prudential plc,39000000000.0,pru,financials,insurancelife,united kingdom
alcon inc,38900000000.0,alc,healthcare,medical instruments & supplies,switzerland
ecopetrol sa,38690000000.0,ec,,,
baker hughes company,38390000000.0,bkr,energy,oil & gas equipment & services,united states
banco bilbao vizcaya argentaria sa,38250000000.0,bbva,financials,banks,spain
dell technologies inc,38160000000.0,dell,technology,computer hardware,united states
kuaishou technology,38150000000.0,1024,communication services,broadcasting,china
ab volvo,38130000000.0,vol4,industrials,farm & heavy construction machinery,sweden
credit agricole sa,38010000000.0,aca,financials,banks,france
dollar tree inc,38000000000.0,dltr,consumer staples,discount stores,united states
sba communications corporation,37930000000.0,sbac,real estate,reitspecialty,united states
capgemini se,37820000000.0,cap,technology,information technology services,france
daiichi sankyo company ltd,37790000000.0,4568,healthcare,drug manufacturersgeneral,japan
compass group plc,37730000000.0,cpg,consumer discretionary,restaurants,united kingdom
sartorius stedim biotech sa,37550000000.0,dim,healthcare,medical instruments & supplies,france
pt bank rakyat indonesia persero tbk,,byra,financials,banks,indonesia
phillips 66,37510000000.0,psx,energy,oil & gas refining & marketing,united states
electronic arts inc,37380000000.0,ea,communication services,electronic gaming & multimedia,united states
trane technologies plc,37360000000.0,tt,industrials,specialty industrial machinery,ireland
smc corp,37080000000.0,6273,industrials,specialty industrial machinery,japan
parker-hannifin corporation,37050000000.0,ph,industrials,specialty industrial machinery,united states
tokio marine holdings inc,,8766,financials,insuranceproperty & casualty,japan
jiangsu hengrui medicine co ltd,36900000000.0,600276,healthcare,drug manufacturersgeneral,china
beijing-shanghai high-speed railway coltd,36900000000.0,601816,industrials,railroads,china
munchener ruckversicherungs-gesellschaft aktiengesellschaft in munchen,36890000000.0,muv2,financials,insurancereinsurance,germany
doordash inc,36740000000.0,dash,communication services,internet content & information,united states
shanghai pudong development bank co ltd,36720000000.0,600000,financials,banks,china
constellation software inc,36670000000.0,csu,technology,softwareapplication,canada
inner mongolia yili industrial group co ltd,36610000000.0,600887,consumer staples,packaged foods,china
telus corporation,36370000000.0,t,communication services,telecom services,canada
public service enterprise group incorporated,36280000000.0,peg,utilities,utilitiesdiversified,united states
transdigm group incorporated,36140000000.0,tdg,industrials,aerospace & defense,united states
waste connections inc,36140000000.0,wcn,industrials,waste management,united states
lyondellbasell industries nv,35960000000.0,lyb,basic materials,specialty chemicals,united states
da sa,35930000000.0,bn,consumer staples,packaged foods,france
cloudflare inc,35920000000.0,net,technology,softwareinfrastructure,united states
nio limited,35860000000.0,nio,consumer discretionary,auto manufacturers,china
coinbase global inc,35860000000.0,coin,technology,softwareapplication,united states
shanxi xinghuacun fen wine factory coltd,35840000000.0,600809,consumer staples,beverageswineries & distilleries,china
neste oyj,35570000000.0,neste,energy,oil & gas refining & marketing,finland
resmed inc,35440000000.0,rmd,healthcare,medical instruments & supplies,united states
experian plc,35400000000.0,expn,industrials,consulting services,ireland
intuitive surgical inc,35370000000.0,isrg,healthcare,medical instruments & supplies,united states
woolworths group limited,35330000000.0,wow,consumer staples,grocery stores,australia
mplx lp,35270000000.0,mplx,energy,oil & gas midstream,united states
telstra corporation limited,35240000000.0,tls,communication services,telecom services,australia
hexagon ab,35210000000.0,hxg,technology,scientific & technical instruments,sweden
assicurazioni generali,35200000000.0,g,financials,insurancediversified,italy
avalonbay communities inc,35190000000.0,avb,real estate,reitresidential,united states
imperial oil limited,35130000000.0,imo,energy,oil & gas integrated,canada
yum brands inc,35120000000.0,yum,consumer discretionary,restaurants,united states
sun hung kai properties ltd,35040000000.0,0016,real estate,real estatedevelopment,hong kong
old dominion freight line inc,34940000000.0,odfl,industrials,trucking,united states
cheniere energy inc,34920000000.0,lng,energy,oil & gas midstream,united states
consolidated edison inc,34890000000.0,ed,utilities,utilitiesregulated electric,united states
china citic bank corp ltd,34840000000.0,601998,financials,banks,china
budweiser brewing company apac ltd,34730000000.0,1876,consumer staples,beveragesbrewers,hong kong
arcelormittal,34660000000.0,mt,,,
ameriprise financial inc,34640000000.0,amp,financials,asset management,united states
fastenal company,34580000000.0,fast,industrials,industrial distribution,united states
align technology inc,34490000000.0,algn,healthcare,medical devices,united states
verbund ag,34440000000.0,oew,,,
sydney airport limited,,syd,industrials,airports & air services,australia
verisk analytics inc,34390000000.0,vrsk,industrials,consulting services,united states
z holdings corp,34240000000.0,4689,consumer discretionary,internet retail,japan
arthur j gallagher & co,34220000000.0,ajg,financials,insurance brokers,united states
chongqing zhifei biological products co ltd,34130000000.0,300122,healthcare,biotechnology,china
equity residential,34110000000.0,eqr,real estate,reitresidential,united states
chunghwa telecom co ltd,34060000000.0,2412,communication services,telecom services,taiwan
t rowe price group inc,34009999999.0,trow,financials,asset management,united states
halliburton company,33950000000.0,hal,energy,oil & gas equipment & services,united states
tyson foods inc,33729999999.0,tsn,consumer staples,farm products,united states
discover financial services,33729999999.0,dfs,financials,credit services,united states
kuehne nagel international ag,33689999999.0,knin,industrials,integrated freight & logistics,switzerland
fanuc corp,33680000000.0,6954,industrials,specialty industrial machinery,japan
mtr corp ltd,33659999999.0,0066,industrials,railroads,hong kong
poly developments and holdings group co ltd,33640000000.0,600048,real estate,real estatedevelopment,china
kkr & co inc,33490000000.0,kkr,financials,asset management,united states
mizuho financial group inc,33470000000.0,8411,financials,banks,japan
ptt pcl,33460000000.0,ptt,energy,oil & gas integrated,thailand
koninklijke ahold delhaize nv,33430000000.0,ad,consumer staples,grocery stores,netherlands
china vanke co ltd,33350000000.0,000002,real estate,real estatedevelopment,china
international flavors & fragrances inc,33320000000.0,iff,basic materials,specialty chemicals,united states
telefonaktiebolaget lm ericsson,33290000000.0,eric.a,technology,communication equipment,sweden
china resources land ltd,33259999999.0,1109,real estate,real estatedevelopment,hong kong
zoom video communications inc,33220000000.0,zm,communication services,telecom services,united states
otis worldwide corporation,33090000000.0,otis,industrials,specialty industrial machinery,united states
sun life financial inc,33080000000.0,slf,financials,insurancediversified,canada
rockwell automation inc,33049999999.0,rok,industrials,specialty industrial machinery,united states
aptiv plc,33020000000.0,aptv,consumer discretionary,auto parts,ireland
cenovus energy inc,33020000000.0,cve,energy,oil & gas integrated,canada
deutsche borse ag,32990000000.0,db1,financials,financial data & stock exchanges,germany
orange sa,32840000000.0,ora,communication services,telecom services,france
hess corporation,32810000000.0,hes,energy,oil & gas e&p,united states
natwest group plc,32720000000.0,nwg,financials,banks,united kingdom
ross stores inc,32710000000.0,rost,consumer discretionary,apparel retail,united states
wec energy group inc,32540000000.0,wec,utilities,utilitiesregulated electric,united states
amerisourcebergen corporation,32509999999.0,abc,healthcare,medical distribution,united states
china overseas land & investment ltd,32490000000.0,0688,real estate,real estatedevelopment,hong kong
wuxi biologics,32409999999.0,2269,healthcare,biotechnology,china
citic ltd,32330000000.0,0267,industrials,conglomerates,hong kong
cellnex telecom sa,32320000000.0,clnx,communication services,telecom services,spain
haier smart home co ltd,32310000000.0,600690,consumer discretionary,"furnishings, fixtures & appliances",china
singapore telecommunications ltd,32229999999.0,z74,communication services,telecom services,singapore
anta sports products ltd,32200000000.0,2020,consumer discretionary,leisure,china
barclays plc,32189999999.0,barc,financials,banks,united kingdom
brown-forman corporation,32070000000.0,bf.b,consumer staples,beverageswineries & distilleries,united states
weg sa,32049999999.0,wege3,industrials,specialty industrial machinery,brazil
paccar inc,32040000000.0,pcar,industrials,farm & heavy construction machinery,united states
great wall motor co ltd,32009999999.0,601633,consumer discretionary,auto manufacturers,china
longfor group holdings ltd,31980000000.0,0960,real estate,real estatedevelopment,china
japan post bank coltd,31930000000.0,7182,financials,banks,japan
ppg industries inc,31890000000.0,ppg,basic materials,specialty chemicals,united states
perusahaan perseroan persero pt telekomunikasi indonesia tbk,31780000000.0,tlk,communication services,telecom services,indonesia
mettler-toledo international inc,31780000000.0,mtd,healthcare,diagnostics & research,united states
oneok inc,31660000000.0,oke,energy,oil & gas midstream,united states
goodman group,31640000000.0,gmg,real estate,reitdiversified,australia
corning incorporated,31600000000.0,glw,technology,electronic components,united states
japan tobacco inc,31590000000.0,2914,consumer staples,tobacco,japan
foxconn industrial internet co ltd,31580000000.0,601138,technology,communication equipment,china
eversource energy,31560000000.0,es,utilities,utilitiesregulated electric,united states
china telecom corp ltd,31490000000.0,0728,communication services,telecom services,hong kong
crh plc,31450000000.0,crh,basic materials,building materials,ireland
japan post holdings co ltd,31410000000.0,6178,financials,banks,japan
biogen inc,31350000000.0,biib,healthcare,drug manufacturersgeneral,united states
swisscom ag,31260000000.0,scmn,communication services,telecom services,switzerland
koninklijke dsm nv,31250000000.0,dsm,basic materials,specialty chemicals,netherlands
formosa petrochemical corp,31220000000.0,6505,energy,oil & gas refining & marketing,taiwan
zhangzhou pientzehuang pharmaceutical ltd,31170000000.0,600436,healthcare,drug manufacturersgeneral,china
ametek inc,31150000000.0,ame,industrials,specialty industrial machinery,united states
eon se,31120000000.0,eoaa,utilities,utilitiesdiversified,germany
china pacific insurance,31040000000.0,601601,financials,insurancelife,china
zscaler inc,31030000000.0,zs,technology,softwareinfrastructure,united states
anhui conch cement company ltd,31020000000.0,600585,basic materials,building materials,china
franco-nevada corporation,31000000000.0,fnv,basic materials,gold,canada
engie sa,31000000000.0,engi,utilities,utilitiesdiversified,france
state street corporation,30950000000.0,stt,financials,asset management,united states
saic motor corp ltd,30930000000.0,600104,consumer discretionary,auto manufacturers,china
nokia corporation,30910000000.0,nokia.sek,technology,communication equipment,finland
twitter inc,30830000000.0,twtr,communication services,internet content & information,united states
veeva systeinc,30760000000.0,veev,healthcare,health information services,united states
loblaw companies limited,30700000000.0,l,consumer staples,grocery stores,canada
energy transfer lp,30690000000.0,et,energy,oil & gas midstream,united states
henkel ag & co kgaa,30530000000.0,hen,consumer staples,household & personal products,germany
coupang inc,30530000000.0,cpng,consumer discretionary,internet retail,south korea
ferguson plc,30520000000.0,ferg,industrials,industrial distribution,united kingdom
bae systeplc,30510000000.0,ba.,industrials,aerospace & defense,united kingdom
fifth third bancorp,30460000000.0,fitb,financials,banks,united states
cbre group inc,30450000000.0,cbre,real estate,real estate services,united states
american water works company inc,30430000000.0,awk,utilities,utilitiesregulated water,united states
fujitsu ltd,30280000000.0,6702,technology,information technology services,japan
west pharmaceutical services inc,30230000000.0,wst,healthcare,medical instruments & supplies,united states
compagnie de saint-gobain sa,30160000000.0,sgo,industrials,building products & equipment,france
alexandria real estate equities inc,30100000000.0,are,real estate,reitoffice,united states
assa abloy ab,30050000000.0,alz,industrials,security & protection services,sweden
cummins inc,29940000000.0,cmi,industrials,specialty industrial machinery,united states
vestas wind systea-s,29930000000.0,vws,industrials,specialty industrial machinery,denmark
riyad bank,29860000000.0,1010,financials,banks,saudi arabia
willis towers watson plc,,wltw,financials,insurance brokers,united kingdom
match group inc,29820000000.0,mtch,communication services,internet content & information,united states
kbc group nv,29810000000.0,kdb,financials,banks,belgium
unicredit spa,,ucg,financials,banks,italy
cathay financial holding co ltd,29580000000.0,2882,financials,insurancelife,taiwan
copart inc,29580000000.0,cprt,industrials,specialty business services,united states
spotify technology sa,29560000000.0,spot,,,
nasdaq inc,29520000000.0,ndaq,financials,financial data & stock exchanges,united states
weyerhaeuser company,29420000000.0,wy,real estate,reitspecialty,united states
saudi electricity company,29420000000.0,5110,utilities,utilitiesregulated electric,saudi arabia
ball corporation,29400000000.0,bll,consumer discretionary,packaging & containers,united states
keysight technologies inc,29400000000.0,keys,technology,scientific & technical instruments,united states
astellas pharma inc,29220000000.0,4503,healthcare,drug manufacturersgeneral,japan
amadeus it group sa,29190000000.0,ams,technology,information technology services,spain
electricite de france sa,29170000000.0,edf,utilities,utilitiesdiversified,france
rogers communications inc,29130000000.0,rci.b,communication services,telecom services,canada
tongwei co ltd,29100000000.0,600438,consumer staples,farm products,china
las vegas sands corp,29070000000.0,lvs,consumer discretionary,resorts & casinos,united states
rwe ag,29060000000.0,rwe,utilities,utilitiesdiversified,germany
cosco shipping holdings co ltd,28930000000.0,601919,industrials,marine shipping,china
svb financial group,28910000000.0,sivb,financials,banks,united states
csx corporation,28900000000.0,csx,industrials,railroads,united states
techtronic industries company ltd,28750000000.0,0669,industrials,tools & accessories,hong kong
naturgy energy group sa,28710000000.0,ntgy,utilities,utilitiesregulated gas,spain
apa group,28550000000.0,apa,utilities,utilitiesregulated gas,australia
hormel foods corporation,28520000000.0,hrl,consumer staples,packaged foods,united states
cerner corporation,28310000000.0,cern,healthcare,health information services,united states
ashtead group plc,28280000000.0,aht,industrials,rental & leasing services,united kingdom
equifax inc,28240000000.0,efx,industrials,consulting services,united states
semiconductor manufacturing international corp,28240000000.0,688981,technology,semiconductors,china
porsche automobil holding se,28150000000.0,paha,consumer discretionary,auto manufacturers,germany
tesco plc,28110000000.0,tsco,consumer staples,grocery stores,united kingdom
sirius xm holdings inc,28050000000.0,siri,communication services,broadcasting,united states
airports of thailand public company ltd,28000000000.0,aot,industrials,airports & air services,thailand
ck hutchison holdings ltd,27940000000.0,0001,industrials,conglomerates,hong kong
the people's insurance company group of china ltd,27930000000.0,601319,financials,insuranceproperty & casualty,china
expedia group inc,27910000000.0,expe,consumer discretionary,travel services,united states
first republic bank,27900000000.0,frc,financials,banks,united states
koninklijke philips nv,27890000000.0,phia,healthcare,diagnostics & research,netherlands
great-west lifeco inc,27850000000.0,gwo,financials,insurancelife,canada
thai beverage public company ltd,27810000000.0,y92,consumer staples,beverageswineries & distilleries,thailand
swiss re ag,27800000000.0,sren,financials,insurancereinsurance,switzerland
edison international,27670000000.0,eix,utilities,utilitiesregulated electric,united states
wolters kluwer nv,27650000000.0,wkl,communication services,publishing,netherlands
on semiconductor corporation,27630000000.0,on,technology,semiconductors,united states
caixabank sa,27580000000.0,cabk,financials,banks,spain
sampo oyj,27460000000.0,sampo,financials,insurancediversified,finland
extra space storage inc,27370000000.0,exr,real estate,reitindustrial,united states
sartorius ag,27350000000.0,srt,healthcare,medical instruments & supplies,germany
dr horton inc,27340000000.0,dhi,consumer discretionary,residential construction,united states
ww grainger inc,27330000000.0,gww,industrials,industrial distribution,united states
nari technology co ltd,27330000000.0,600406,industrials,specialty industrial machinery,china
kone oyj,27290000000.0,knebv,industrials,specialty industrial machinery,finland
mccormick & company incorporated,27290000000.0,mkc,consumer staples,packaged foods,united states
ntt data corp,27260000000.0,9613,technology,information technology services,japan
ganfeng lithium co ltd,27250000000.0,002460,basic materials,chemicals,china
will semiconductor co ltd,27240000000.0,603501,technology,semiconductors,china
interactive brokers group inc,27220000000.0,ibkr,financials,capital markets,united states
gazprom neft pjsc,27140000000.0,sibn,energy,oil & gas integrated,russia
fubon financial holding co ltd,27130000000.0,2881,financials,insurancelife,taiwan
tractor supply company,27090000000.0,tsco,consumer discretionary,specialty retail,united states
chocoladefabriken lindt & sprungli ag,27080000000.0,lisn,consumer staples,confectioners,switzerland
ansys inc,26980000000.0,anss,technology,softwareapplication,united states
shaanxi coal industry company ltd,26950000000.0,601225,energy,thermal coal,china
aier eye hospital group co ltd,26950000000.0,300015,healthcare,medical care facilities,china
zimmer biomet holdings inc,26940000000.0,zbh,healthcare,medical devices,united states
bridgestone corp,26880000000.0,5108,consumer discretionary,auto parts,japan
evolution gaming group ab,26820000000.0,evo,consumer discretionary,gambling,sweden
beijing wantai biological pharmacy enterprise co ltd,26800000000.0,603392,healthcare,biotechnology,china
vonovia se,26780000000.0,vna,real estate,real estate services,germany
sandvik ab,26710000000.0,sand,industrials,specialty industrial machinery,sweden
cheniere energy partners lp,26680000000.0,cqp,energy,oil & gas midstream,united states
pg&e corporation,26660000000.0,pcg,utilities,utilitiesregulated electric,united states
kansas city southern,,ksu,industrials,railroads,united states
unity software inc,26560000000.0,u,technology,softwareapplication,united states
thales sa,26550000000.0,ho,industrials,aerospace & defense,france
southwest airlines co,26520000000.0,luv,industrials,airlines,united states
dte energy company,26410000000.0,dte,utilities,utilitiesregulated electric,united states
intact financial corporation,26400000000.0,ifc,financials,insuranceproperty & casualty,canada
deutsche bank ag,26380000000.0,dbk,financials,banks,germany
canon inc,26380000000.0,7751,technology,computer hardware,japan
lyondellbasell advanced polymers inc,26380000000.0,slmnp,basic materials,chemicals,united states
national bank of canada,26290000000.0,na,financials,banks,canada
sonova holding ag,26220000000.0,soon,healthcare,medical instruments & supplies,switzerland
realty income corporation,26180000000.0,o,real estate,reitretail,united states
china everbright bank company ltd,26130000000.0,601818,financials,banks,china
twilio inc,26090000000.0,twlo,communication services,internet content & information,united states
roblox corp,26050000000.0,rblx,communication services,electronic gaming & multimedia,united states
telefonica sa,26040000000.0,tef,communication services,telecom services,spain
central japan railway co,26000000000.0,9022,industrials,railroads,japan
li auto inc,25830000000.0,li,consumer discretionary,auto manufacturers,china
enbw energie baden-wuerttemberg ag,25820000000.0,ebk,utilities,utilitiesdiversified,germany
the hartford financial services group inc,25760000000.0,hig,financials,insurancediversified,united states
laboratory corporation of america holdings,25750000000.0,lh,healthcare,diagnostics & research,united states
mongodb inc,25730000000.0,mdb,technology,softwareinfrastructure,united states
mitsubishi electric corporation,25610000000.0,6503,industrials,electrical equipment & parts,japan
banco santander brasil sa,25590000000.0,sanb11,financials,banks,brazil
axis bank ltd,25540000000.0,axisbank,financials,banks,india
united rentals inc,25460000000.0,uri,industrials,rental & leasing services,united states
nan ya plastics corp,25410000000.0,1303,basic materials,specialty chemicals,taiwan
lennar corporation,25340000000.0,len,consumer discretionary,residential construction,united states
straumann holding ag,25310000000.0,stmn,healthcare,medical instruments & supplies,switzerland
clp holdings ltd,25290000000.0,0002,utilities,utilitiesregulated electric,hong kong
yanzhou coal mining company ltd,25260000000.0,600188,energy,thermal coal,china
firstenergy corp,25260000000.0,fe,utilities,utilitiesdiversified,united states
albemarle corporation,25250000000.0,alb,basic materials,specialty chemicals,united states
ck asset holdings limited,25210000000.0,1113,real estate,real estatedevelopment,hong kong
enphase energy inc,25200000000.0,enph,technology,solar,united states
legrand sa,25190000000.0,lr,industrials,specialty industrial machinery,france
galaxy entertainment group ltd,25170000000.0,0027,consumer discretionary,resorts & casinos,hong kong
skandinaviska enskilda banken ab,25150000000.0,seb.a,financials,banks,sweden
the mosaic company,25090000000.0,mos,basic materials,agricultural inputs,united states
cdw corporation,25040000000.0,cdw,technology,information technology services,united states
gartner inc,25030000000.0,it,technology,information technology services,united states
edp renovaveis sa,,edpr,utilities,utilitiesrenewable,spain
delta air lines inc,24920000000.0,dal,industrials,airlines,united states
palantir technologies inc,24910000000.0,pltr,technology,softwareinfrastructure,united states
seagen inc,24870000000.0,sgen,healthcare,biotechnology,united states
diamondback energy inc,24840000000.0,fang,energy,oil & gas e&p,united states
verisign inc,24810000000.0,vrsn,technology,softwareinfrastructure,united states
church & dwight co inc,24810000000.0,chd,consumer staples,household & personal products,united states
ameren corporation,24790000000.0,aee,utilities,utilitiesregulated electric,united states
china minsheng banking corp ltd,24650000000.0,600016,financials,banks,china
live nation entertainment inc,24610000000.0,lyv,communication services,entertainment,united states
woodside petroleum ltd,24600000000.0,wpl,energy,oil & gas e&p,australia
evergreen marine corp,24490000000.0,2603,industrials,marine shipping,taiwan
aena sme sa,24450000000.0,aena,industrials,airports & air services,spain
xpeng inc,24440000000.0,xpev,consumer discretionary,auto manufacturers,china
northern trust corporation,24420000000.0,ntrs,financials,asset management,united states
slack technologies inc,,work,technology,softwareapplication,united states
mid-america apartment communities inc,24180000000.0,maa,real estate,reitresidential,united states
fresenius se & co kgaa,24120000000.0,fre,healthcare,medical care facilities,germany
fujifilm holdings corp,24120000000.0,4901,industrials,business equipment & supplies,japan
bt group plc,24090000000.0,bt.a,communication services,telecom services,united kingdom
vulcan materials company,24080000000.0,vmc,basic materials,building materials,united states
epiroc ab,24080000000.0,3ad2,industrials,farm & heavy construction machinery,sweden
delta electronics inc,24050000000.0,2308,technology,electronic components,taiwan
public joint stock company polyus,,plzl,basic materials,gold,russia
schindler holding ag,24020000000.0,schn,industrials,specialty industrial machinery,switzerland
orix corporation,23970000000.0,8591,financials,credit services,japan
martin marietta materials inc,23940000000.0,mlm,basic materials,building materials,united states
csc financial co ltd,23940000000.0,601066,financials,capital markets,china
best buy co inc,23930000000.0,bby,consumer discretionary,specialty retail,united states
steris plc,23930000000.0,ste,healthcare,medical instruments & supplies,ireland
entergy corporation,23920000000.0,etr,utilities,utilitiesdiversified,united states
m3 inc,23890000000.0,2413,healthcare,health information services,japan
splunk inc,23840000000.0,splk,technology,softwareinfrastructure,united states
eve energy co ltd,23820000000.0,300014,industrials,electrical equipment & parts,china
ventas inc,23810000000.0,vtr,real estate,reithealthcare facilities,united states
endesa sa,23780000000.0,ele,utilities,utilitiesregulated electric,spain
sse plc,23730000000.0,sse,utilities,utilitiesdiversified,united kingdom
compagnie generale des etablissements michelin sca,23650000000.0,ml,consumer discretionary,auto parts,france
horizon therapeutics public limited company,23640000000.0,hznp,healthcare,drug manufacturersgeneral,ireland
baoshan iron & steel co ltd,23590000000.0,600019,basic materials,steel,china
stanley black & decker inc,23570000000.0,swk,industrials,tools & accessories,united states
sungrow power supply co ltd,23550000000.0,300274,industrials,electrical equipment & parts,china
beiersdorf ag,23510000000.0,bei,consumer staples,household & personal products,germany
pt bank mandiri persero tbk,,pq9,financials,banks,indonesia
first quantum minerals ltd,23470000000.0,fm,basic materials,copper,canada
kubota corp,23460000000.0,6326,industrials,farm & heavy construction machinery,japan
mtn group ltd,23450000000.0,mtn,communication services,telecom services,south africa
maxim integrated products inc,,mxim,technology,semiconductors,united states
rocket companies inc,23440000000.0,rkt,financials,mortgage finance,united states
fortis inc,23430000000.0,fts,utilities,utilitiesregulated electric,canada
formosa plastics corp,23420000000.0,1301,basic materials,specialty chemicals,taiwan
liberty broadband corporation,23400000000.0,lbrdk,communication services,entertainment,united states
united microelectronics corporation,23350000000.0,2303,technology,semiconductors,taiwan
garmin ltd,23350000000.0,grmn,technology,scientific & technical instruments,switzerland
huazhu group limited,23340000000.0,htht,consumer discretionary,lodging,china
carnival corporation & plc,23290000000.0,ccl,consumer discretionary,travel services,united states
sany heavy industry co ltd,23270000000.0,600031,industrials,farm & heavy construction machinery,china
fox corporation,23260000000.0,foxa,communication services,broadcasting,united states
wens foodstuff group co ltd,23200000000.0,300498,consumer staples,farm products,china
societe generale sa,23180000000.0,gle,financials,banks,france
terumo corp,23160000000.0,4543,healthcare,medical instruments & supplies,japan
china international capital corp ltd,23130000000.0,601995,financials,capital markets,china
invitation homes inc,23090000000.0,invh,real estate,reitresidential,united states
royalty pharma plc,23040000000.0,rprx,healthcare,biotechnology,united states
olympus corp,23000000000.0,7733,healthcare,medical instruments & supplies,japan
vf corporation,22960000000.0,vfc,consumer discretionary,apparel manufacturing,united states
dover corporation,22940000000.0,dov,industrials,specialty industrial machinery,united states
ppl corporation,22870000000.0,ppl,utilities,utilitiesregulated electric,united states
hengli petrochemical coltd,22860000000.0,600346,consumer discretionary,textile manufacturing,china
genmab a/s,22830000000.0,gmab,healthcare,biotechnology,denmark
sabic agri-nutrients company,22780000000.0,2020,basic materials,agricultural inputs,saudi arabia
heineken holding nv,22780000000.0,heio,consumer staples,beveragesbrewers,netherlands
east japan railway company,22780000000.0,9020,industrials,railroads,japan
sociedad quimica y minera de chile sa,22770000000.0,sqm,basic materials,chemicals,chile
eurofins scientific se,,erf,,,
panasonic corp,22730000000.0,6752,technology,consumer electronics,japan
ucb sa,22710000000.0,ucb,healthcare,biotechnology,belgium
shanghai international port,22650000000.0,600018,industrials,marine shipping,china
hewlett packard enterprise company,22650000000.0,hpe,technology,communication equipment,united states
kellogg company,22630000000.0,k,consumer staples,packaged foods,united states
picc property and casualty company ltd,22620000000.0,2328,financials,insuranceproperty & casualty,china
grupo financiero banorte sab de cv,22600000000.0,gfnorteo,financials,banks,mexico
komatsu ltd,22560000000.0,6301,industrials,farm & heavy construction machinery,japan
the hong kong and china gas company ltd,22540000000.0,0003,utilities,utilitiesregulated gas,hong kong
coca-cola europacific partners plc,22530000000.0,ccep,consumer staples,beveragesnon-alcoholic,united kingdom
essex property trust inc,22510000000.0,ess,real estate,reitresidential,united states
ems-chemie holding ag,22480000000.0,emsn,basic materials,specialty chemicals,switzerland
okta inc,22450000000.0,okta,technology,softwareinfrastructure,united states
china national nuclear power co ltd,22420000000.0,601985,utilities,utilitiesindependent power producers,china
sumitomo corp,22420000000.0,8053,industrials,conglomerates,japan
tata motors limited,22380000000.0,ttm,consumer discretionary,auto manufacturers,india
banco do brasil sa,22360000000.0,bbas3,financials,banks,brazil
hennes & mauritz ab,22330000000.0,hm.b,consumer discretionary,apparel manufacturing,sweden
bio-rad laboratories inc,,bio,healthcare,medical devices,united states
teleperformance se,22300000000.0,tep,industrials,consulting services,france
fomento economico mexicano sab de cv,,femsaub,consumer staples,beveragesbrewers,mexico
huntington bancshares inc,22260000000.0,hu3,financials,banks,united states
continental resources inc,22250000000.0,clr,energy,oil & gas e&p,united states
crrc corp ltd,22210000000.0,601766,industrials,railroads,china
skyworks solutions inc,22170000000.0,swks,technology,semiconductors,united states
xp inc,,xpbr31,financials,capital markets,brazil
unicharm corp,22080000000.0,8113,consumer staples,household & personal products,japan
zto express cayman inc,22050000000.0,zto,industrials,integrated freight & logistics,china
geberit ag,22030000000.0,gebn,industrials,building products & equipment,switzerland
toyota industries corp,21990000000.0,6201,consumer discretionary,auto manufacturers,japan
