name,rank,marketcap,country,share_price,change1d,change1y,categories
azenta,2698,4160000000.0,usa,60.0,1.46%,-25.85%,biotech medical-devices 
dairy farm,2701,4150000000.0,hong-kong,3.0,0.33%,8.87%,retail 
tfs financial,2692,4170000000.0,usa,14.0,-0.83%,-17.98%,
balchem,2699,4160000000.0,usa,129.0,-1.08%,-16.71%,
freedom holding,2801,3880000000.0,,65.0,1.10%,-2.50%,financial-services 
kemira,3494,2470000000.0,finland,16.0,1.16%,3.46%,pulp-and-paper 
the navigator company,3495,2470000000.0,,3.0,-1.48%,-7.94%,pulp-and-paper 
sl green realty,3500,2450000000.0,usa,38.0,0.29%,-53.27%,real-estate investment reit 
arbor realty trust,3498,2450000000.0,usa,14.0,0.70%,-22.40%,real-estate investment reit 
endurance technologies,3489,2470000000.0,india,17.0,0.67%,-23.17%,
iveco group,3492,2470000000.0,italy,7.0,1.38%,-38.44%,manufacturing specialty-vehicles 
arconic,3493,2470000000.0,usa,24.0,3.01%,-30.23%,
pb fintech,3497,2460000000.0,india,5.0,0.69%,-60.15%,financial-services tech insurance 
acadia pharmaceuticals,3201,2980000000.0,usa,18.0,2.13%,-20.02%,
verint systems,3496,2470000000.0,usa,37.0,1.19%,-29.96%,software tech 
genus,3491,2470000000.0,united-kingdom,37.0,-0.84%,-34.06%,biotech genomics 
luminar technologies,3499,2450000000.0,usa,6.0,5.28%,-56.03%,lidar tech tech-hardware autonomous-driving 
billerudkorsnas,3101,3150000000.0,sweden,12.0,1.34%,-28.78%,pulp-and-paper packaging 
hang lung group,3490,2470000000.0,hong-kong,1.0,-0.56%,-15.35%,investment 
covivio hotels,3488,2470000000.0,france,16.0,-0.65%,-16.27%,hotels real-estate investment reit travel 
britvic,3487,2470000000.0,united-kingdom,9.0,-1.01%,-25.35%,beverages 
ultrapar participacoes,3299,2800000000.0,brazil,2.0,2.06%,7.17%,
ironsource,3296,2810000000.0,israel,2.0,-3.18%,-58.17%,software tech 
jk cement,3290,2820000000.0,india,36.0,0.70%,-24.55%,cement building-materials 
lithium americas,3294,2810000000.0,canada,20.0,0.70%,-29.00%,mining 
metcash,3291,2810000000.0,australia,2.0,1.45%,-4.58%,
equity commonwealth,3300,2800000000.0,usa,25.0,0.31%,-4.41%,real-estate reit investment 
varonis,3293,2810000000.0,usa,25.0,0.95%,-34.29%,software tech it-security 
atul,3292,2810000000.0,india,95.0,-0.42%,-33.40%,chemicals 
arcosa,3298,2800000000.0,usa,58.0,0.57%,10.67%,
pacwest bancorp,3289,2820000000.0,usa,23.0,0.04%,-53.20%,
pacific biosciences,3295,2810000000.0,usa,12.0,3.54%,0.12%,
nternational bancshares corp,3297,2810000000.0,usa,45.0,-0.96%,-1.18%,
altarea,3285,2820000000.0,france,139.0,-0.77%,-27.21%,real-estate 
corvel corporation,3287,2820000000.0,usa,163.0,1.22%,-15.21%,healthcare 
allreal holding,3288,2820000000.0,switzerland,170.0,-0.88%,-21.88%,real-estate 
computacenter,3286,2820000000.0,united-kingdom,24.0,-0.78%,-33.70%,professional-services it-services 
park hotels & resorts,3282,2830000000.0,usa,12.0,-0.55%,-35.13%,
vector limited,3281,2830000000.0,new-zealand,2.0,0.23%,3.65%,electricity oil-gas utility-companies energy 
group 1 automotive,3283,2830000000.0,usa,194.0,2.47%,5.85%,
korn ferry,3279,2830000000.0,usa,53.0,1.80%,-26.68%,professional-services 
easterly government properties,3278,2830000000.0,usa,16.0,1.10%,-29.22%,
macerich,3274,2840000000.0,usa,12.0,0.32%,-28.68%,reit real-estate investment 
torrent power,3280,2830000000.0,india,5.0,-0.62%,-24.36%,utility-companies energy electricity 
site centers,3272,2850000000.0,usa,13.0,0.07%,-16.24%,real-estate investment reit 
rumble,3271,2850000000.0,usa,10.0,4.71%,-20.78%,internet tech 
efg international,3277,2840000000.0,switzerland,9.0,0.83%,12.09%,banks financial-services 
rush enterprises,3276,2840000000.0,usa,51.0,0.74%,-9.09%,retail 
elf cosmetics,3273,2850000000.0,usa,53.0,0.42%,81.30%,cosmetics 
jet2,3275,2840000000.0,united-kingdom,13.0,3.58%,-23.44%,airlines travel transportation 
crestwood equity partners,3284,2820000000.0,usa,27.0,1.12%,-8.22%,energy oil-gas 
doosan bobcat,3266,2850000000.0,south-korea,28.0,-1.40%,-15.72%,specialty-vehicles manufacturing 
giant network group,3269,2850000000.0,china,1.0,6.47%,-27.18%,video-games entertainment 
hanesbrands,3265,2860000000.0,usa,8.0,0.06%,-51.13%,
vidrala,3264,2860000000.0,spain,94.0,-1.14%,0.12%,manufacturing 
bank jago,3268,2850000000.0,indonesia,0.0,2.30%,-83.85%,banks financial-services 
jinko solar,3267,2850000000.0,china,57.0,-0.88%,20.40%,renewable-energy electricity energy manufacturing 
focus financial partners,3263,2860000000.0,usa,43.0,1.17%,-20.41%,
amedisys,3270,2850000000.0,usa,87.0,2.58%,-40.17%,healthcare 
blueprint medicines,3262,2870000000.0,usa,48.0,1.33%,-38.46%,
allied properties reit,3261,2870000000.0,canada,22.0,0.91%,-36.45%,real-estate investment reit 
ct reit,3251,2890000000.0,canada,12.0,0.18%,-8.58%,real-estate investment reit 
nordstrom,3252,2890000000.0,usa,18.0,1.66%,-18.85%,luxury-goods retail 
liberty energy,3249,2890000000.0,usa,15.0,-0.19%,27.87%,oil-gas oil-gas-equipment-services energy 
gland pharma,3255,2880000000.0,india,17.0,1.79%,-64.76%,pharmaceuticals biotech 
werner enterprises,3257,2880000000.0,usa,45.0,3.18%,-1.78%,
simmons first national,3253,2890000000.0,usa,22.0,-1.21%,-28.64%,
sulzer,3250,2890000000.0,switzerland,85.0,1.73%,-10.76%,engineering manufacturing 
vodafone idea,3254,2880000000.0,india,0.0,0.69%,-47.06%,telecommunication 
corporacion financiera alba,3260,2870000000.0,spain,48.0,-0.67%,-22.49%,asset-management investment 
flywire,3259,2870000000.0,usa,26.0,3.53%,-15.12%,financial-services tech 
grupo aval,3247,2900000000.0,,2.0,2.08%,-54.55%,
grocery outlet,3246,2910000000.0,usa,29.0,-0.86%,13.28%,
thermax,3248,2900000000.0,india,24.0,0.66%,-13.67%,engineering 
atlas air worldwide holdings,3256,2880000000.0,usa,101.0,0.07%,23.71%,airlines travel transportation 
kyndryl,3258,2880000000.0,usa,12.0,0.95%,-27.43%,it-services 
first capital reit,3237,2930000000.0,canada,13.0,0.27%,-6.98%,real-estate investment reit 
acerinox,3245,2910000000.0,spain,11.0,-0.05%,-22.30%,steel-producers steel-industry 
timken india,3244,2910000000.0,india,38.0,-0.02%,38.90%,
kulicke and soffa industries,3240,2920000000.0,singapore,51.0,2.47%,-15.25%,semiconductors tech tech-hardware 
certara,3242,2920000000.0,usa,18.0,3.04%,-34.11%,software biotech tech 
polymetal,3236,2930000000.0,,6.0,0.00%,-61.22%,mining gold-mining silver-mining 
j&j snack foods,3239,2920000000.0,usa,152.0,-1.30%,-1.23%,food 
american eagle outfitters,3235,2930000000.0,usa,15.0,1.20%,-34.13%,
pennon group,3234,2930000000.0,united-kingdom,11.0,-0.38%,-26.33%,utility-companies 
westports,3232,2930000000.0,malaysia,0.0,0.00%,-9.47%,ports 
olink holding,3233,2930000000.0,sweden,24.0,2.16%,95.94%,pharmaceuticals biotech 
shapir civil and marine engineering,3238,2920000000.0,israel,8.0,4.15%,-15.86%,
hensoldt,3243,2910000000.0,germany,27.0,5.57%,86.58%,defense-contractors 
harmonic drive systems,3241,2920000000.0,japan,30.0,0.13%,-22.96%,
wsfs financial,3231,2930000000.0,usa,47.0,-1.10%,-14.95%,financial-services banks 
coforge,3225,2940000000.0,india,48.0,0.20%,-36.14%,software professional-services 
pacific premier bancorp,3218,2950000000.0,usa,31.0,-1.11%,-29.82%,
adapthealth,3217,2950000000.0,usa,21.0,-0.05%,7.03%,
o-i glass,3228,2930000000.0,usa,18.0,0.00%,32.70%,
rubis,3223,2950000000.0,france,28.0,0.53%,-12.05%,
petco,3226,2940000000.0,usa,11.0,2.97%,-39.96%,retail 
installed building products,3227,2940000000.0,usa,102.0,1.59%,-13.33%,
curaleaf,3229,2930000000.0,usa,4.0,0.22%,-50.18%,cannabis 
stepstone group,3220,2950000000.0,usa,29.0,1.47%,-21.77%,financial-services investment 
sumitomo chemical india,3221,2950000000.0,india,5.0,-0.25%,11.30%,chemicals 
immunocore,3222,2950000000.0,united-kingdom,61.0,-0.28%,168.41%,biotech pharmaceuticals 
dycom industries,3224,2950000000.0,usa,99.0,2.39%,3.52%,engineering professional-services 
cvent,3230,2930000000.0,usa,6.0,1.86%,-13.63%,software tech 
brink's,3216,2950000000.0,usa,63.0,-0.42%,-12.56%,
harmony biosciences,3219,2950000000.0,usa,49.0,1.48%,35.67%,pharmaceuticals biotech 
bancfirst,3213,2960000000.0,usa,90.0,-0.55%,16.24%,banks financial-services 
viva energy,3214,2950000000.0,australia,1.0,-0.36%,12.35%,oil-gas energy 
prospect capital,3212,2960000000.0,usa,7.0,0.47%,-14.90%,investment 
maxlinear,3210,2960000000.0,usa,37.0,2.05%,-42.72%,
sma solar technology,3200,2980000000.0,germany,85.0,-0.25%,123.23%,
highpeak energy,3211,2960000000.0,usa,26.0,1.74%,40.32%,oil-gas energy 
prothena,3215,2950000000.0,ireland,57.0,2.62%,44.90%,pharmaceuticals biotech 
siegfried holding,3205,2970000000.0,switzerland,700.0,-0.23%,-17.13%,pharmaceuticals biotech 
kinaxis,3199,2980000000.0,canada,107.0,2.38%,-15.16%,software tech 
intercorp financial services,3204,2970000000.0,,25.0,0.23%,-18.53%,financial-services insurance 
shangri-la,3202,2980000000.0,hong-kong,0.0,-0.15%,-1.19%,hotels travel 
evo payments,3203,2980000000.0,usa,33.0,0.06%,41.54%,financial-services tech 
suntec reit,3206,2970000000.0,singapore,1.0,0.00%,-8.77%,real-estate investment reit 
inmode,3209,2960000000.0,israel,35.0,1.25%,-28.56%,
conmed,3208,2960000000.0,usa,97.0,1.45%,-27.98%,medical-devices 
growthpoint properties,3207,2970000000.0,south-africa,0.0,1.03%,-1.14%,real-estate investment reit 
yuhan,3190,3010000000.0,south-korea,42.0,-0.19%,-15.67%,pharmaceuticals biotech chemicals 
ggroup,3188,3010000000.0,india,0.0,1.12%,-16.67%,
papa john's pizza,3198,2980000000.0,usa,84.0,1.04%,-28.41%,pizza food restaurant-chains 
hisense visual technology,3183,3020000000.0,china,2.0,-0.32%,-5.33%,electronics tech tech-hardware 
graham holdings,3185,3020000000.0,usa,629.0,0.49%,-0.54%,media-press 
freshpet,3184,3020000000.0,usa,62.0,-0.47%,-31.02%,food 
viscofan,3194,3000000000.0,spain,65.0,-1.07%,7.27%,
ats automation,3197,2990000000.0,canada,32.0,3.97%,-18.63%,
samsung heavy industries,3193,3000000000.0,south-korea,147.0,0.00%,-7.44%,
marel,3196,3000000000.0,,3.0,1.94%,-38.90%,food 
archaea energy,3191,3010000000.0,usa,26.0,0.00%,51.96%,energy renewable-energy 
federal signal,3187,3020000000.0,usa,49.0,0.46%,19.07%,
cnx resources,3186,3020000000.0,usa,16.0,0.48%,6.02%,
nomad foods,3195,3000000000.0,united-kingdom,17.0,-0.12%,-35.00%,food 
pierer mobility,3192,3000000000.0,,85.0,1.67%,-15.70%,motorcycle-manufacturers 
mainova,3189,3010000000.0,germany,548.0,0.00%,-17.13%,utility-companies energy electricity 
bic,3181,3020000000.0,france,69.0,0.16%,24.18%,
syngene international,3180,3020000000.0,india,7.0,1.38%,-10.24%,
guoco,3175,3030000000.0,hong-kong,9.0,2.78%,-16.86%,investment 
squarespace,3172,3030000000.0,usa,22.0,1.93%,-24.84%,tech internet software 
amot investment,3170,3040000000.0,israel,6.0,1.47%,-28.16%,real-estate investment 
softcat,3171,3040000000.0,united-kingdom,15.0,-0.08%,-35.08%,it-security it-services tech 
livanova,3176,3030000000.0,united-kingdom,56.0,-0.11%,-33.16%,medical-devices 
multichoice group,3169,3040000000.0,south-africa,7.0,-1.05%,-1.51%,media-press entertainment 
rajesh exports,3182,3020000000.0,india,10.0,1.34%,-19.94%,retail luxury-goods 
abm industries,3178,3020000000.0,usa,46.0,0.94%,2.10%,
vienna airport,3173,3030000000.0,,36.0,-0.45%,12.79%,airports infrastructure 
pjt partners,3167,3040000000.0,usa,76.0,0.48%,5.28%,
main street capital,3174,3030000000.0,usa,39.0,0.28%,-10.86%,
ingevity,3179,3020000000.0,usa,80.0,0.85%,9.44%,
axsome therapeutics,3177,3030000000.0,usa,69.0,2.35%,144.02%,pharmaceuticals biotech 
texas capital bancshares,3168,3040000000.0,usa,61.0,-1.84%,-8.68%,financial-services banks 
comstock resources,3165,3050000000.0,usa,13.0,0.00%,46.91%,oil-gas energy 
kumho petrochemical,3164,3050000000.0,south-korea,118.0,-1.35%,-15.95%,chemicals 
privia health group,3154,3070000000.0,usa,26.0,0.88%,22.01%,healthcare 
premium brands,3155,3070000000.0,canada,68.0,0.59%,-29.26%,food 
wienerberger,3166,3050000000.0,,28.0,-0.31%,-25.57%,building-materials 
sabra health care reit,3160,3060000000.0,usa,13.0,0.15%,-7.34%,real-estate investment reit 
epr properties,3158,3060000000.0,usa,40.0,0.10%,-14.14%,
makemytrip,3152,3080000000.0,india,29.0,-0.48%,9.26%,travel internet online-travel tech 
iluka resources,3151,3080000000.0,australia,7.0,-0.19%,-8.46%,mining 
aci worldwide,3163,3050000000.0,usa,27.0,0.68%,-21.29%,
hostess brands,3161,3060000000.0,usa,22.0,-0.57%,12.72%,food 
linamar,3156,3070000000.0,canada,49.0,0.48%,-23.41%,manufacturing 
kb home,3157,3060000000.0,usa,35.0,1.92%,-26.87%,construction 
santen pharmaceutical,3153,3070000000.0,japan,7.0,1.79%,-34.30%,pharmaceuticals 
nordic semiconductor,3162,3050000000.0,norway,16.0,-4.15%,-49.54%,semiconductors tech 
ovh groupe,3159,3060000000.0,france,16.0,-1.20%,-44.44%,internet tech telecommunication software 
stroer,3145,3090000000.0,germany,54.0,-0.79%,-30.20%,
abcellera,3147,3080000000.0,canada,10.0,2.32%,7.31%,biotech pharmaceuticals 
eastern bankshares,3141,3090000000.0,usa,17.0,-0.68%,-20.42%,banks financial-services 
alvotech,3150,3080000000.0,,12.0,0.00%,,biotech pharmaceuticals 
cd projekt,3140,3090000000.0,poland,31.0,3.76%,-35.39%,video-games tech 
exxaro resources,3143,3090000000.0,south-africa,12.0,0.30%,23.48%,mining coal-mining energy 
kansai paint,3146,3080000000.0,japan,13.0,2.77%,-37.33%,chemicals paint-and-coating 
lion corp,3144,3090000000.0,japan,10.0,-0.99%,-17.45%,consumer-goods 
pagseguro,3148,3080000000.0,brazil,9.0,3.20%,-58.31%,
amp limited,3149,3080000000.0,australia,0.0,0.37%,34.29%,asset-management investment 
national vision holdings,3139,3090000000.0,usa,39.0,0.90%,-0.41%,
lxp industrial trust,3142,3090000000.0,usa,11.0,0.04%,-20.81%,
ultragenyx,3138,3100000000.0,usa,44.0,4.16%,-38.56%,pharmaceuticals biotech 
enel chile,3137,3100000000.0,chile,2.0,1.63%,9.80%,utility-companies electricity energy 
avista,3136,3100000000.0,usa,42.0,-0.71%,-3.55%,
vz holding,3132,3100000000.0,switzerland,79.0,0.55%,-22.84%,asset-management financial-services investment 
tripadvisor,3127,3120000000.0,usa,22.0,2.35%,-23.34%,online-travel internet 
tower bersama infrastructure,3124,3120000000.0,indonesia,0.0,-0.48%,-30.00%,telecommunication 
nextdc,3134,3100000000.0,australia,6.0,0.62%,-15.78%,it-services tech 
frontline,3125,3120000000.0,,14.0,-0.64%,85.96%,transportation maritime-transportation oil-gas 
oil india,3131,3110000000.0,india,2.0,3.21%,-4.97%,oil-gas energy 
boralex,3130,3110000000.0,canada,30.0,-0.30%,23.84%,energy renewable-energy electricity 
cushman & wakefield,3122,3120000000.0,usa,13.0,1.13%,-36.44%,
moelis & company,3133,3100000000.0,usa,45.0,0.67%,-24.10%,financial-services 
phoenix mills,3135,3100000000.0,india,17.0,-1.60%,27.52%,real-estate 
st galler kantonalbank,3126,3120000000.0,switzerland,522.0,0.10%,6.91%,banks financial-services 
plexus,3123,3120000000.0,usa,113.0,0.42%,21.74%,
euronav,3128,3110000000.0,belgium,15.0,1.21%,66.72%,transportation 
mister car wash,3129,3110000000.0,usa,10.0,0.89%,-38.77%,
pegasystems,3118,3130000000.0,usa,38.0,7.02%,-61.70%,software tech 
stoneco,3120,3130000000.0,brazil,10.0,2.98%,-39.71%,financial-services 
chindata,3108,3140000000.0,china,8.0,-1.72%,61.58%,it-services tech 
evolent health,3115,3130000000.0,usa,31.0,0.47%,22.22%,healthcare 
plains gp,3119,3130000000.0,usa,13.0,0.97%,8.74%,oil-gas energy 
sig semen indonesia,3113,3140000000.0,indonesia,0.0,-2.84%,-2.17%,cement building-materials 
3m india,3114,3130000000.0,india,278.0,0.08%,-17.18%,glove-ppe 
asana,3107,3150000000.0,usa,14.0,3.03%,-75.40%,software tech 
hannon armstrong,3112,3140000000.0,usa,35.0,1.82%,-23.55%,
cooper group,3106,3150000000.0,usa,44.0,0.34%,0.36%,
cathay general bancorp,3117,3130000000.0,usa,42.0,-1.38%,-10.17%,
braze,3116,3130000000.0,usa,32.0,2.71%,-47.67%,software tech 
tata chemicals,3121,3130000000.0,india,12.0,1.19%,-11.20%,chemicals 
strauss group,3111,3140000000.0,israel,26.0,0.97%,-16.02%,food 
sigma lithium,3109,3140000000.0,canada,30.0,2.29%,183.22%,mining 
equitrans midstream,3110,3140000000.0,usa,7.0,0.90%,-34.78%,
stepan company,3484,2480000000.0,usa,111.0,0.22%,-8.02%,
globalstar,3476,2500000000.0,usa,1.0,2.93%,33.61%,telecommunication aerospace 
casio,3483,2490000000.0,japan,10.0,1.58%,-15.63%,electronics manufacturing 
qinetiq,3486,2470000000.0,united-kingdom,4.0,0.29%,14.05%,defense-contractors 
engagesmart,3102,3150000000.0,usa,19.0,1.31%,-9.71%,software tech 
encavis,3105,3150000000.0,germany,19.0,-3.51%,20.18%,renewable-energy energy electricity 
jumbo sa,3477,2500000000.0,,17.0,0.30%,12.16%,retail 
ihs towers,3479,2490000000.0,united-kingdom,7.0,0.80%,-35.75%,telecommunication infrastructure 
softwareone,3482,2490000000.0,switzerland,15.0,1.53%,-24.00%,software tech 
galapagos nv,3103,3150000000.0,belgium,47.0,-0.19%,-13.19%,pharmaceuticals biotech 
jamf,3480,2490000000.0,usa,20.0,2.54%,-40.25%,software tech 
amylyx pharmaceuticals,3485,2480000000.0,usa,37.0,0.25%,82.02%,pharmaceuticals biotech 
beach energy,3481,2490000000.0,australia,1.0,-2.18%,3.81%,oil-gas energy 
netlink trust,3475,2500000000.0,singapore,0.0,0.59%,-12.33%,telecommunication 
carter's,3104,3150000000.0,usa,82.0,0.71%,-14.25%,clothing retail 
sats,3478,2490000000.0,singapore,2.0,0.68%,-26.00%,food 
piper sandler,3463,2520000000.0,usa,141.0,0.38%,-15.32%,banks financial-services investment 
compagnie plastic omnium,3472,2510000000.0,france,17.0,0.50%,-36.62%,automotive-suppliers manufacturing 
pagerduty,3471,2510000000.0,usa,27.0,0.97%,-9.71%,
win semiconductors,3469,2520000000.0,taiwan,5.0,0.56%,-51.94%,semiconductors manufacturing tech tech-hardware 
bata india,3468,2520000000.0,india,19.0,0.56%,-28.56%,footwear 
corcept therapeutics,3465,2520000000.0,usa,23.0,2.27%,27.10%,pharmaceuticals biotech 
renew power,3470,2510000000.0,india,6.0,3.17%,3.17%,utility-companies renewable-energy energy 
opc energy,3474,2500000000.0,israel,11.0,1.57%,3.71%,electricity energy 
revolution medicines,3461,2530000000.0,usa,28.0,4.13%,8.78%,
ssp group,3467,2520000000.0,united-kingdom,3.0,1.73%,-18.09%,restaurant-chains food 
independent bank group,3473,2510000000.0,usa,61.0,-1.07%,-22.59%,banks financial-services 
banco macro,3466,2520000000.0,,22.0,2.50%,54.80%,
outokumpu,3462,2520000000.0,finland,5.0,1.58%,-22.04%,
apollo tyres,3464,2520000000.0,india,3.0,1.27%,21.71%,tires 
duck creek technologies,3460,2530000000.0,usa,19.0,0.03%,-30.35%,software tech 
inficon,3459,2530000000.0,switzerland,1.0,1.80%,-22.69%,scientific-and-technical-instruments 
baytex energy,3452,2540000000.0,canada,4.0,3.23%,25.00%,oil-gas energy 
relay therapeutics,3454,2530000000.0,usa,21.0,2.71%,-20.10%,pharmaceuticals biotech 
red rock resorts,3447,2550000000.0,usa,44.0,0.87%,-9.16%,
uniqa insurance group,3456,2530000000.0,,8.0,0.00%,-12.59%,insurance 
st joe company,3446,2550000000.0,usa,43.0,1.98%,-13.04%,real-estate 
swissquote,3457,2530000000.0,switzerland,169.0,0.13%,-7.89%,
dana,3448,2550000000.0,usa,17.0,1.37%,-29.78%,
viavi solutions,3443,2550000000.0,usa,11.0,0.98%,-33.29%,
keppel reit,3451,2540000000.0,singapore,0.0,0.00%,-20.00%,reit real-estate investment 
cembra money bank,3458,2530000000.0,switzerland,84.0,-0.25%,18.07%,banks financial-services 
tohoku electric power,3444,2550000000.0,japan,5.0,0.92%,-28.49%,electricity utility-companies energy 
vivint smart home,3449,2550000000.0,usa,11.0,0.04%,52.29%,tech smart-home 
lgi homes,3455,2530000000.0,usa,108.0,1.62%,-21.64%,construction 
millicom,3445,2550000000.0,,14.0,0.34%,-47.51%,media-press telecommunication 
commvault,3450,2540000000.0,usa,57.0,1.11%,-17.82%,
compania cervecerias unidas,3453,2540000000.0,chile,13.0,0.07%,-19.79%,beverages alcoholic-beverages 
dream industrial reit,3434,2560000000.0,canada,10.0,-0.45%,-23.57%,real-estate investment reit 
kadokawa,3439,2560000000.0,japan,18.0,2.50%,-18.52%,media-press video-games entertainment 
new india assurance,3436,2560000000.0,india,1.0,0.92%,-17.46%,insurance 
boral,3431,2570000000.0,australia,2.0,-1.76%,-44.12%,building-materials cement 
fletcher building,3429,2570000000.0,new-zealand,3.0,0.67%,-33.20%,construction 
kingnet network,3437,2560000000.0,china,1.0,4.72%,27.96%,video-games entertainment 
balfour beatty,3441,2550000000.0,united-kingdom,4.0,1.30%,17.47%,infrastructure construction 
zain saudi arabia,3438,2560000000.0,saudi-arabia,2.0,-0.19%,-15.18%,telecommunication 
wh smith,3442,2550000000.0,united-kingdom,19.0,-1.73%,-10.30%,retail 
tronox,3440,2560000000.0,usa,16.0,2.54%,-34.26%,chemicals 
dixon technologies,3430,2570000000.0,india,43.0,-1.33%,-40.25%,electronics 
brady,3435,2560000000.0,usa,51.0,0.39%,-4.14%,manufacturing 
otter tail,3433,2560000000.0,usa,61.0,-0.53%,-4.08%,utility-companies electricity energy 
tianjin faw,3427,2580000000.0,china,0.0,-0.35%,-21.82%,automotive-suppliers 
sunnova,3428,2580000000.0,usa,22.0,3.26%,-4.75%,renewable-energy energy electricity 
callon petroleum,3432,2560000000.0,usa,41.0,2.96%,-26.86%,oil-gas energy 
aarti industries,3423,2580000000.0,india,7.0,0.88%,-52.15%,chemicals 
myovant sciences,3416,2600000000.0,united-kingdom,26.0,-0.02%,75.15%,
lightspeed pos,3421,2590000000.0,canada,17.0,3.86%,-52.84%,e-commerce software tech 
