name,country,sector,revenue_2020_eu,revenue_2017_eu,employees_number_2020,employees_number_2017,founding_year
chetariffait,italy,support services,2495860,110200,9,2,2013
simply,uk,financial services,16483836,744092,90,26,2017
salary finance,uk,fintech,8593220,387995,187,24,2015
dbt,sweden,fintech,3837994,179204,10,2,2017
tutlo,poland,education,7778203,388565,140,15,2016
ponera,france,ecommerce,25901607,1186853,27,4,2013
active energy solutions,greece,energy,13312033,640056,2,0,2014
acteam enr,france,energy,2133691,103240,8,2,2012
everflow,uk,technology,64223085,3188715,70,8,2015
azure prism,uk,retail,4752777,238216,1,1,2016
wr logistics,germany,transport,11662200,585280,7,2,2017
iproov,uk,technology,7435887,376519,61,14,2011
spin up,italy,advertising,4009330,203950,5,1,2017
begreat,germany,retail,5141555,270090,16,4,2012
tsunami nutrition,italy,ecommerce,6945000,369000,17,2,2017
matt sleeps,the netherlands,interiors,9789240,535070,6,2,2016
tessian,uk,technology,15365580,858482,138,28,2013
solarisbank,germany,financial services,35938000,2007000,369,98,2016
m2dg myflexoffice,france,support services,6630617,375323,21,2,2016
eukon,italy,health,6393680,362320,11,2,2004
evolution adv,italy,advertising,14175780,805870,13,3,2016
making science,spain,technology,57670541,3306795,274,47,2001
everli,italy,ecommerce,109248030,6287460,207,45,2014
appfollow,finland,technology,2210636,128176,73,12,2014
synerise,poland,technology,3999023,255062,190,40,2013
chaikola,poland,food & beverage,5158786,330763,8,4,2010
scolution,germany,technology,1825546,107492,12,4,2015
jl&p,france,energy,2212606,131164,15,3,2017
efarmacom,italy,pharmaceuticals,20150800,1199580,50,8,2017
elvie,uk,technology,40813930,2474341,138,22,2013
farmarelax,italy,personal & household goods,4459170,270750,5,1,2010
omnisend,uk,technology,11761268,742746,99,20,2008
world trade group,italy,fashion,4897950,314150,5,1,2017
besteam conseil,france,technology,3871782,249176,32,2,2016
motorway,uk,automobiles,4838407,320411,96,5,2016
iso public services,germany,technology,10019903,672821,26,0,2014
octopus energy,uk,energy,2120071949,145398192,918,106,2015
cyberiam,uk,cyber security,5639335,387161,82,8,2017
cbweed,italy,personal & household goods,3500000,245000,17,2,2017
catraport,portugal,automobiles,7294549,518613,46,18,2015
ouihelp,france,support services,3686617,262421,106,13,2016
inpay,denmark,fintech,23803000,1702000,67,33,2013
mgi meccaniche generali irpine,italy,industrial goods,2610700,188680,10,4,2017
glencar construction,uk,construction,107860442,7930094,80,7,2016
qmee,uk,technology,12571314,925527,23,9,2010
myappfree,italy,advertising,5764870,422420,10,1,2015
investa dienstleistungen,germany,support services,2176136,159707,55,8,2014
polarium energy solutions,sweden,batteries,74065413,5581858,58,19,2014
baroni home,italy,ecommerce,1531358,113072,5,4,2016
dayshape,uk,technology,3320479,247465,45,6,2013
marketers company,italy,advertising,1880460,139300,8,3,2016
easo magno,spain,beauty,3061854,228076,5,2,2017
greyfood,germany,retail,9187050,684874,10,1,2016
misfits health,uk,food & beverage,2266155,171057,9,3,2016
meilleursbienscom,france,property,3864176,291481,5,1,2010
fasanara capital,uk,financial services,11527860,882099,36,5,2011
ntechlab,cyprus,technology,8730000,664000,122,44,2015
babylino sensitive,italy,personal & household goods,2851840,217460,5,2,2016
fastned,the netherlands,technology,6890000,530667,54,24,2012
oxray,portugal,health,5465756,427339,6,2,2009
zega invest,germany,property,3785340,299598,4,3,2017
abylon consulting,hungary,technology,1721315,159128,7,2,2016
milrab,norway,ecommerce,79302201,6753191,77,20,2005
urbantz,belgium,technology,3031099,242368,55,7,2015
tricas construction,uk,construction,15880745,1281462,32,6,2017
florence one,italy,technology,1629099,131691,10,6,2017
ergotopia,germany,retail,7664825,620283,35,8,2014
mculecom kft,hungary,chemicals & pharmaceuticals,2683264,252713,17,5,2011
filo,italy,technology,10049610,815690,18,9,2014
homepal,italy,property,1603990,130290,11,4,2014
staffbase,germany,technology,26894501,2201178,310,55,2014
ilon materiel,france,construction,2512300,207327,4,2,2016
bio-marine,ireland,personal & household goods,1612837,133200,25,7,2014
isodeco,france,construction,2906133,241411,18,2,2016
treedom,italy,support services,6709720,560150,42,18,2010
fenstermaxx24,germany,retail,8466121,712855,20,3,2016
pohl & sohne gerustbau,germany,construction,2124763,180824,31,7,2017
yso corp,france,media,6689503,570012,13,3,2013
gyada cosmetics,italy,beauty,1830610,156130,10,2,2017
privitar,uk,technology,9923965,855321,190,47,2014
delineate,uk,technology,3332661,288095,25,1,2015
spyrosoft,poland,technology,24721755,2326082,563,75,2016
bio energy solutions,slovakia,waste management & recycling,16006537,1383205,37,6,2014
increso,italy,management consulting,3230000,281000,51,2,2015
lsg - logistic & service group,italy,transport,8873180,777410,46,1,2016
energihem,sweden,construction,28004684,2527006,125,19,2015
amity,uk,technology,5743440,522712,164,48,2012
goyago,germany,retail,3729920,337525,43,4,2014
la regie de portage salarial,france,support services,7638731,692440,140,23,2016
dall energy,denmark,energy,6013000,551000,15,5,2007
appinio,germany,technology,3597000,330500,44,5,2014
pinsami,italy,food & beverage,4892000,455000,33,14,2015
aer trading,france,retail,17575388,1643572,1,1,2013
valumen,france,support services,2196424,205554,4,1,2014
follow,france,advertising,6844818,643299,14,4,2016
darpdecade,germany,retail,6624660,628384,173,4,2016
bolt,estonia,technology,221393889,21098843,1798,399,2013
kiteworldshopcom,italy,ecommerce,1671984,160539,5,2,2014
peter kenkel,germany,retail,22137000,2131000,19,10,2006
templafy,denmark,technology,15486451,1521010,292,32,2014
comservice,italy,support services,2016300,194780,99,17,2014
falcor presse,italy,industrial goods,2996770,291720,5,1,2017
roomraccoon,the netherlands,technology,1715334,167000,40,8,2017
signaturit,spain,technology,5639953,552355,95,37,2013
modulr,uk,fintech,12789098,1269382,191,31,2015
profishop,germany,ecommerce,43812068,4340517,63,17,2012
floer,the netherlands,interiors,2520013,249975,15,2,2015
audiosalus,italy,retail,1569480,156300,12,4,2011
statsbomb,uk,technology,2027170,204620,26,2,2016
theras biocare,italy,pharmaceuticals,26633230,2693390,8,2,2013
stenn,uk,fintech,29615571,3058141,61,32,2016
nanushka,hungary,fashion,20825934,2456563,180,30,2012
dpm - deutsches personal management,germany,support services,2267760,230800,60,10,2016
monese,uk,fintech,18196451,1870109,243,84,2013
arquimea,spain,technology,72044361,7450099,288,40,2005
groupe perspective,france,education,2709000,280390,18,4,2013
funnel,sweden,technology,11499031,1217338,155,37,2014
living quarter,germany,health,5016731,529371,49,5,2015
svea solar,sweden,energy,66146911,7177912,287,38,2013
bevcraft group,ireland,food & beverage,4046859,429505,16,6,2016
learning technologies group,uk,technology,19446429,2096570,932,767,2013
cura farma,italy,health,4436220,479290,9,2,2014
kamado bono,lithuania,personal & household goods,6801734,735758,7,2,2013
sipadan,spain,management consulting,3457203,374200,47,3,2007
dateio,czech republic,fintech,4710733,530785,45,18,2013
crest investment,germany,property,4857817,533144,16,4,2016
componenti digitali,italy,retail,2805850,308810,19,2,2017
immo-konzepte,germany,property,2269276,252871,6,3,2006
swipbox,denmark,technology,9391760,1052796,41,3,2014
nextory,sweden,media,26534087,3046667,85,9,2015
itds polska,poland,technology,8609941,1057443,176,32,2016
savait,italy,ecommerce,2108040,237410,5,4,2015
adpone,spain,advertising,11124512,1255372,18,3,2015
nord security,lithuania,cyber security,156623915,18035029,1000,350,2012
mews,the netherlands,technology,22386000,2531000,226,25,2012
titulae,spain,education,4870863,551128,35,9,2015
systemeio,ireland,ecommerce,2407982,273552,40,5,2016
eodh sa,greece,aerospace & defence,2597612,299988,30,20,2003
multix solutions,italy,health,11586460,1340430,5,2,2015
b2digit,france,technology,1978128,228982,12,2,2016
a million ads,uk,advertising,4882837,570564,47,5,2015
woodwatch,the netherlands,retail,5590390,651170,25,5,2013
fenetres du doubs,france,construction,2238347,262280,12,3,2010
koesea,germany,construction,3400000,400000,65,3,2016
podium advanced technologies,italy,automobiles,18025740,2133310,38,14,2011
spegra,croatia,construction,17059791,2025879,166,109,2010
gpainnova,spain,industrial goods,15245617,1815680,117,18,2013
soluzione tasse,italy,management consulting,18939430,2264940,23,4,2016
velocultour,germany,retail,2458500,295731,15,2,2016
butorpiachu,hungary,ecommerce,2184336,305268,7,2,2011
success solutions,czech republic,technology,2633664,327218,44,8,2016
bug bite thing europe,denmark,health,1577878,191679,1,1,1989
dexatel,estonia,technology,11087980,1349733,24,4,2015
gemco,italy,construction,3941900,481510,6,1,2015
lyonnaise de construction et renovation,france,construction,6640842,812371,n/a,n/a,2015
gousto,uk,food & beverage,210945370,26112757,702,204,2012
winter in venice,uk,beauty,12682062,1575522,6,4,2010
infratech bau,germany,construction,60067088,7415334,72,18,2007
4streets building innovation tunnels bridges roads,italy,construction,6739630,833230,46,3,2016
landbay,uk,fintech,8980496,1119178,95,31,2013
degoo,sweden,technology,1973775,249818,18,3,2012
franco fresco,germany,food & beverage,50723858,6280267,320,52,2016
lendable,uk,fintech,40305193,5026349,84,25,2014
ulrich muller wealth academy,germany,education,3516744,440369,6,2,2014
cerascreen,germany,health,10499782,1315000,84,19,2012
eqinov,france,energy,70183744,8811708,43,24,2011
serre famiglia pederiva viticoltori dal 1958,italy,food & beverage,9022020,1134730,12,7,1996
bloom & wild,uk,ecommerce,155595726,19757296,170,68,2013
brautigam,germany,automobiles,6315124,796207,29,9,2016
newil & bau,finland,construction,19420672,2448858,7,1,2006
id finance,spain,fintech,103634000,13157000,411,271,2015
kry,sweden,health,77764611,10152222,600,74,2014
sixth sense,italy,technology,3916570,500440,25,4,2015
nethive,italy,cyber security,3960770,506730,19,7,2014
latitude investment management,uk,financial services,1750466,225964,8,3,2016
qred,sweden,fintech,30414122,3989355,68,10,2015
oculavis,germany,technology,3924472,504357,55,15,2016
the information lab,italy,technology,4253110,548180,30,5,2015
md sonnenschutztechnik,germany,construction,4068621,524750,10,6,2015
syntio,croatia,technology,2127532,274966,43,7,2017
bomae,denmark,financial services,1662487,214713,13,3,2016
gophr,uk,technology,5738336,755191,18,6,2014
memory pc,germany,retail,57375000,7522000,110,20,2012
sollis solargrohandel,germany,retail,11860100,1556607,6,2,2017
spotawheel,greece,automobiles,15646588,2058315,123,37,2015
ooni pizza ovens,uk,personal & household goods,63879414,8508398,83,18,2012
robovox distributions,germany,retail,19427000,2570000,35,10,2015
centralnic group,uk,technology,197260279,26626422,650,92,2000
bernd andert transporte,germany,transport,4105262,546226,83,16,2003
bluewater bio,uk,technology,20201424,2708983,18,16,2007
tecma solutions,italy,technology,7319870,975140,107,25,2012
delante,poland,sales & marketing,2160094,316525,48,21,2015
intumind,germany,health,6560962,884885,15,8,2015
saljol,germany,health,4146403,559778,15,10,2016
tkd solutions,germany,telecoms,15874245,2146950,20,9,2014
kuori,finland,technology,2501902,340000,15,5,2016
ferroamp,sweden,energy,7645003,1062649,42,21,2010
valor real estate partners,uk,financial services,4534588,621636,23,6,2016
anexiti,france,technology,2565735,350019,14,2,2013
genius,france,support services,2417902,330522,23,6,2017
instilla,italy,advertising,2993310,410520,31,3,2015
footdistrict,spain,ecommerce,14942262,2051133,60,12,2012
spiideo,sweden,technology,4799358,674805,36,12,2012
contractpodai,uk,technology,4875622,670685,118,14,2012
tarhan bauausfuhrungen,germany,construction,1851000,255000,15,5,2017
matillion,uk,technology,24580709,3417815,218,44,2010
extra mile live service,germany,retail,2637501,364485,5,2,2017
littlebig connection,france,support services,111538883,15653388,173,17,2013
spc general service,italy,construction,6788660,954700,50,15,2011
jobandtalent,spain,technology,352879165,49833511,801,156,2008
financial house,uk,fintech,18766625,2669247,20,14,2016
mylead,poland,sales & marketing,2004501,309471,42,8,2013
mia-platform,italy,technology,6515510,923730,74,15,2016
tecnimed,italy,health,9551790,1354980,32,20,1976
longevity partners,uk,retail,2336243,335460,22,5,2015
nexumstp,italy,management consulting,25667400,3659630,345,56,2015
g-on,france,support services,1810459,259342,16,3,2016
picnic,uk,advertising,1508869,219999,10,3,2016
egomnia,italy,technology,1901140,276750,36,2,2012
loyaltylion,uk,technology,4483296,657382,40,10,2012
remarkable,norway,technology,115793390,18106514,142,22,2016
kubrick,uk,management consulting,32614354,4829922,673,119,2016
contrader,italy,technology,4682960,688860,35,7,2012
samont,germany,industrial goods,19577339,2880891,89,39,2008
sirive,italy,construction,4527690,667170,5,1,2017
multienergia verde,spain,energy,146453604,21640253,15,10,2014
wielandts upmt,belgium,technology,1529270,226295,6,1,2013
asket,sweden,fashion,6525278,991534,13,4,2015
central warehouse solution,czech republic,transport,1788545,274790,45,10,2015
chef in camicia,italy,advertising,2071960,310810,21,2,2015
piper homes,uk,construction,30436232,4601266,28,9,2015
alturas cubiertas y fachadas,spain,construction,9375243,1411811,33,12,2014
autosalon uhingen,germany,automobiles,10540000,1587500,11,2,2015
yumi beauty,france,chemicals & pharmaceuticals,2678257,404819,5,1,2013
for me lab,france,ecommerce,1652073,251795,7,2,2016
stockholelbolag,sweden,energy,32265912,5033032,25,7,2015
flohr,germany,waste management & recycling,21249638,3241629,84,21,1999
agricodem,italy,agricultural commodities,2856530,436610,4,1,2008
dach schutzbekleidung,germany,industrial goods,45227730,6936038,80,14,2005
em-tec energiemontagen,germany,construction,3002729,461000,16,7,2017
wave studio,romania,technology,4105688,656172,9,8,2014
bazzar,croatia,retail,6686617,1034093,17,3,2013
cybersprint,the netherlands,cyber security,2914738,449771,43,10,2015
brandon group,italy,ecommerce,32039000,4954590,34,19,2012
feiniko handelsgesellschaft,germany,retail,32168909,4979484,13,1,2014
pharmagrin,italy,health,2701410,422610,21,2,2015
life m,czech republic,technology,2001844,322050,3,1,2016
plasticos dao / sacos & saquetas,portugal,industrial goods,1946703,304833,16,5,2012
logipal24,germany,transport,4967568,789058,70,19,2010
pastbook,the netherlands,technology,33651532,5361088,22,23,2012
bluefin,uk,ecommerce,28993287,4653721,21,6,2013
milk & honey pr,uk,sales & marketing,1528900,245974,18,4,2016
prodeval,france,energy,73514217,11756712,220,70,1990
virta,finland,technology,11029402,1765457,110,23,2013
bizaway,italy,travel & leisure,1989950,318940,28,4,2015
karl & leon,france,retail,2391019,385266,6,2,2015
identity,uk,management consulting,22885804,3733539,80,39,2001
blackbelt holding,hungary,technology,5695000,923000,55,4,2016
dynveo,france,retail,3687780,598678,13,1,2010
favi,czech republic,ecommerce,24995030,4174549,29,7,2016
hopkins,finland,sales & marketing,4534346,737936,27,4,2016
ap italian luxury,italy,fashion,4283930,698300,7,3,2016
novicap,uk,fintech,3383802,551848,45,20,2015
iglm store,italy,ecommerce,7790420,1277410,5,1,2013
luis technology,germany,technology,10000511,1644899,41,8,1999
quantexa,uk,fintech,33902755,5643295,275,55,2016
enerbrain,italy,energy,4131370,685370,37,9,2014
brinckmann,germany,construction,6037461,1002579,28,7,2013
lmg building,italy,construction,6255970,1043440,12,6,1982
nordic unmanned,norway,aerospace & defence,6305237,1122907,33,12,2013
hemisphere,france,property,6484822,1091925,6,2,2017
therapiezentrumcom nw,germany,health,2916337,492860,87,23,2017
beauhurst,uk,technology,5355215,916511,82,39,2010
cun cargo carriers,romania,transport,7103702,1207613,49,43,2017
mg project,italy,telecoms,8208450,1396400,34,23,2016
bonmea,germany,retail,14597418,2484783,6,3,2015
oceanis yachts,italy,travel & leisure,3059130,521250,6,2,2007
opus db,france,construction,12171118,2076139,8,2,2016
devensys cybersecurity,france,technology,3403055,580644,27,9,2013
project agora,cyprus,advertising,19798875,3380420,104,25,2016
bettertrust,germany,advertising,4981938,853561,19,5,2012
banale,italy,ecommerce,2051370,352000,10,3,2014
maatwerk online,the netherlands,sales & marketing,1673382,287985,17,5,2013
les constructeurs du bois,france,property,5087783,877275,6,1,2011
esserre pharma,italy,pharmaceuticals,2556640,441260,10,6,2013
onbuycom,uk,ecommerce,2720319,473344,18,8,2014
gojob,france,support services,40546000,7007000,108,27,2015
newroom,germany,retail,3669217,638739,10,6,2016
christmas the original,italy,retail,1994200,347190,9,3,2016
dimaxbau,germany,construction,2003989,349641,16,5,2016
comnovis it,germany,technology,1900000,332372,9,2,2013
die direktkontakter,germany,support services,2818000,493000,8,4,2016
mega trasporti,italy,transport,18168170,3185180,400,30,2010
lehibou,france,technology,13816792,2423113,40,9,2014
stufe a pellet italia,italy,interiors,3598050,631500,13,3,2014
aquis exchange,uk,financial services,12824155,2267165,46,31,2012
chattermill,uk,technology,2306045,408336,50,8,2015
schonertel,germany,construction,16388546,2884392,45,10,2016
global work,italy,telecoms,3174000,558820,57,8,2011
allygatr,germany,support services,1914500,338300,9,1,2012
cru wine,uk,food & beverage,9235946,1644134,14,3,2013
abc rent,italy,automobiles,21818000,3878370,8,5,2004
superior wellness,uk,personal & household goods,54150622,9719653,57,20,2011
schrott24,austria,waste management & recycling,14641523,2610679,12,3,2016
mazzoni etech,italy,industrial goods,2344440,419240,14,3,2017
berdugo immobilier,france,property,15049845,2696485,6,4,1996
nova rent,lithuania,industrial goods,8900000,1600000,37,9,2016
rouvy,czech republic,games industry,4058269,751071,38,13,2013
business analysis & legal expertise - bale,italy,management consulting,2943020,532690,4,3,2015
jmb,poland,energy,70179000,12709000,381,172,2000
nocnoc,france,travel & leisure,1596167,289766,13,2,2016
crowdproperty,uk,fintech,2941537,539486,33,5,2013
tutosme,france,education,4989872,910963,42,4,2015
studio eko,italy,management consulting,1740660,318370,10,4,2011
beings,uk,technology,1881768,348129,7,2,2010
dmrgroupltdcom,poland,chemicals & pharmaceuticals,7050124,1418769,6,3,2013
ice telecommunications ltd,uk,telecoms,16067551,2982238,119,35,2014
gallas group,italy,support services,4640710,856790,95,18,2012
etracom,italy,ecommerce,22952660,4253600,10,4,2010
xalient,uk,technology,26199717,4893654,88,38,2015
labevolution,italy,health,7264130,1349250,n/a,5,2009
kuadra,italy,interiors,3400580,635400,20,9,2015
kyo electric,spain,telecoms,5402302,1013181,8,3,2014
sopost,uk,technology,7825138,1481398,32,13,2012
sfre,italy,construction,3004290,564910,44,7,2016
sportstech,germany,retail,108500233,20436426,262,60,2012
opera energie,france,energy,11218211,2127151,98,40,2014
routenote,uk,technology,38428858,7339330,76,28,2010
doctify,uk,health,2409255,461671,40,26,2016
fruugo,uk,ecommerce,21793194,4176347,67,30,2008
insidemarketing,germany,technology,2971846,569646,15,7,2012
falzi,italy,waste management & recycling,2037320,391540,11,2,2013
atrys health,spain,health,31396438,6035116,504,62,2015
il cantiere costruzioni,italy,construction,4297790,826430,4,1,2016
soorce,germany,support services,15639618,3013629,22,13,2004
sortlist,belgium,technology,3396000,655000,85,26,2013
virtuslab,poland,technology,12468548,2635420,234,90,2010
skalhusetse,sweden,ecommerce,7342811,1454711,16,5,2012
vipino,germany,retail,11067681,2148122,26,6,2013
gea service,italy,waste management & recycling,6673050,1304060,133,30,2015
gellify,italy,technology,5581540,1090920,62,12,2016
billion dollar boy,uk,advertising,13085484,2577297,92,42,2014
westrafo,italy,energy,22072700,4356500,58,19,2014
goboony,the netherlands,travel & leisure,1718442,340309,21,10,2015
multiservice ambrosiana,italy,support services,4266770,846360,180,60,2016
b&c systems,germany,construction,5339538,1061327,65,16,2016
s&g solar,bulgaria,energy,3980920,792093,10,31,2014
bittnet,romania,management consulting,22436395,4641712,120,40,2007
ibanfirst,belgium,fintech,12062697,2408187,204,47,2013
uplink network,germany,telecoms,28140196,5629906,46,20,2013
base organic food,france,agricultural commodities,10802997,2163006,25,6,2015
currentbody,uk,ecommerce,38002441,7671961,74,20,2009
apex aero,uk,aerospace & defence,3812785,770031,6,1,2016
startup development house,poland,technology,1514111,303615,59,25,2016
gruppo gheron,italy,health,58422800,11728040,806,8,2010
dyflowing,italy,technology,1696320,341370,30,5,2016
digital masters,germany,advertising,3019110,608053,40,22,2016
prusseit auto-outlet,germany,automobiles,2576602,520998,17,3,2017
techouse,norway,energy,31852584,6863940,72,30,2002
svs,italy,construction,9694310,1965560,8,3,2016
telcoswitch group,uk,telecoms,7519236,1543824,86,18,2017
bothe-reimann tortechnik,germany,construction,2277791,464354,8,3,2017
e-pol / personalizzalo,italy,ecommerce,16089160,3284400,12,8,2012
riluxa,spain,interiors,3428464,700007,18,3,2016
modalis,france,transport,19169652,3915724,8,6,2002
olympp,france,technology,5512134,1127652,27,8,2016
zeck fishing,germany,retail,6806664,1401463,25,4,2013
storpool storage,bulgaria,technology,3306191,681460,25,16,2011
vimcar,germany,technology,14674011,3035269,164,72,2013
joannes distribution sas,france,retail,7064900,1468200,8,5,2011
sourcing force,france,technology,12806965,2663699,30,8,2011
schalttechnik nord,germany,technology,12489032,2601157,60,16,2000
dgc,germany,cyber security,1577296,329298,27,5,2015
superprof,france,education,10168214,2136626,202,28,2013
improveasy,uk,management consulting,26446798,5602132,48,12,2011
viareno,france,construction,6937737,1459655,30,8,2014
cmt,slovakia,waste management & recycling,1951232,411858,19,10,2013
rets,poland,property,5206032,1201964,97,31,2014
mubi,uk,media,18356623,3954351,104,33,2007
dynamicom education,italy,education,9018160,1906790,27,3,2001
touch4it,slovakia,technology,2064141,437747,47,25,2015
tattahomecom,italy,interiors,2800000,595800,8,4,1986
speechmatics,uk,technology,7161145,1541070,90,37,2006
samy road,spain,advertising,19458114,4163750,118,20,2012
prometeo,italy,support services,3580500,766510,9,6,2006
dialectica,uk,management consulting,17078846,3688264,260,65,2015
wolf & badger,uk,ecommerce,11604670,2508842,62,32,2009
eco co2,france,support services,9220216,1982251,94,28,2009
lakogep kft,hungary,construction,25335854,6328462,20,3,2011
beyer betonwaren,germany,construction,2062749,443694,20,9,2017
fill up media,france,media,4999802,1081079,42,12,2011
zara imballaggi fabriano,italy,industrial goods,2297210,496790,6,4,1984
cd projekt,poland,games industry,468257487,110835763,1177,744,1994
vpace bikes,germany,retail,2643580,573145,10,1,2015
tooltester,spain,sales & marketing,3646507,790712,6,0,2014
bunker partner,estonia,energy,101726265,22060642,7,2,2015
tikamoon,france,ecommerce,56122322,12200275,130,40,2006
star digital,croatia,advertising,3211868,699907,8,10,2013
funding options,uk,fintech,5922043,1297717,62,29,2011
isimed,italy,health,4828920,1050660,14,8,2014
sonar sonarqube sonarcloud sonarlint,switzerland,technology,83632640,16861349,195,50,2008
scherer,germany,support services,4285766,934994,30,4,2016
mycroclean italia,italy,support services,3366730,736000,24,14,2002
piscor,italy,ecommerce,4842410,1061360,16,8,2015
marwincar,italy,automobiles,5083140,1114200,3,1,2016
brighton & hove albion football club,uk,travel & leisure,148505285,32824451,1038,288,1993
inpe transport,bulgaria,transport,1816274,398676,60,5,2015
rtb house,poland,technology,191601076,45981552,773,266,2013
obiz,france,media,15377000,3389300,38,27,2010
vmway,italy,technology,15901220,3525720,70,33,2012
legimi,poland,media,7007093,1698358,12,8,2009
beauty,germany,retail,2910737,645633,11,5,2011
leogra trading,germany,retail,5078464,1128243,11,4,2014
benefind,italy,technology,2262490,505520,32,10,2012
ab oil & gas service,italy,support services,2310000,516640,13,5,2017
mailtrack,spain,technology,3445698,775341,23,14,2013
bumper,uk,fintech,3394214,771504,33,15,2013
otl - online trainer,germany,health,6607564,1492190,46,22,2015
macingo technologies,italy,support services,1601000,361790,17,9,2014
mycs,germany,retail,39355846,8935361,210,120,2014
audience serv,germany,advertising,6107018,1389534,92,23,2008
start,italy,telecoms,3769100,857590,8,4,2012
mvh media,the netherlands,sales & marketing,2391654,544943,29,8,2010
pure gaming,france,ecommerce,6984956,1593667,2,1,2010
parcel compare,uk,transport,9085936,2091995,8,4,1998
ames centro polidiagnostico strumentale,italy,health,40391360,9235130,81,71,1979
arcadia italia,italy,energy,3249140,743130,6,1,2016
zia lucia,uk,restaurants,4853930,1119494,43,16,2016
travaglini costruzioni,italy,construction,4603740,1062010,37,16,1952
versa design zycle,spain,technology,9501888,2199640,81,10,2008
maucher consult,germany,construction,1952000,452091,15,5,2016
ayes,italy,technology,10827070,2510930,137,51,2015
brandup group,italy,advertising,2718640,630660,5,1,2016
opyn,italy,financial services,4168220,969930,19,11,2012
var capital,uk,financial services,2132001,499815,8,4,2014
storyterrace,uk,technology,2843048,667467,25,9,2017
blubit,slovenia,technology,2964852,691140,22,8,2009
zenup,france,insurance,1891361,441271,9,9,2014
lorcher bauunternehmen,germany,construction,3932792,917735,25,17,2001
barcode architects,the netherlands,architecture,4851997,1134256,62,23,2010
top chaleur,france,retail,7260096,1702165,27,9,2002
seingim,italy,construction,13479380,3163540,160,52,1999
amphibian scaffolding,uk,construction,4011415,948813,49,21,2008
beliani,liechtenstein,ecommerce,93438770,20298288,551,205,2009
hatstore,sweden,ecommerce,17453187,4195789,45,17,2011
carpenteria martino,italy,construction,9719750,2286000,27,19,2006
capitalontap,uk,fintech,82238372,19489369,147,61,2012
netguru,poland,technology,34677235,8933769,637,199,2008
fazio,italy,retail,3375810,799170,7,6,2014
grillfurst,germany,retail,38599408,9145411,84,37,2010
dealernet,italy,automobiles,22704300,5394020,18,14,2017
alpha real estate,germany,property,119161137,28378990,57,14,2013
appwise,belgium,technology,4546110,1084812,74,12,2013
convert group,greece,technology,2789489,666118,55,17,2014
revolution race,sweden,ecommerce,89332521,21841341,65,17,2013
gong galaxy,france,retail,11320706,2708258,40,11,2009
gcostruzioni,italy,construction,1573480,376440,8,8,2011
emporio elettrico,italy,ecommerce,1979050,473640,4,1,2015
exscientia ai,uk,technology,10807048,2606296,87,15,2012
featurespace,uk,fintech,23501473,5688822,324,128,2005
xl energies,france,energy,8358760,2013403,11,3,2016
claveria,spain,support services,4715363,1137450,43,20,2015
timberagents,germany,retail,5302985,1280989,4,3,2010
