name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type,Label
pfizer inc,,united states,,,,,,300790000000.0,,,healthcare,,,688
dexcom inc,,united states,,,,,,46860000000.0,,,healthcare,,,689
vmware inc,,united states,,,,,,48170000000.0,,,technology,,,690
zoetis inc,,united states,,,,,,89820000000.0,,,healthcare,,,691
airbnb inc,,united states,,,,,,105070000000.0,,,communication services,,,692
kb financial group inc,,south korea,,,,,,19390000000.0,,,financials,,,693
hsbc holdings plc,,united kingdom,,,,,,140150000000.0,,,financials,,,694
crowdstrike holdings inc,,united states,,,,,,47890000000.0,,,technology,,,695
fastenal company,,united states,,,,,,34580000000.0,,,industrials,,,696
synchrony financial,,united states,,,,,,20430000000.0,,,financials,,,697
cvs health corporation,,united states,,,,,,135270000000.0,,,healthcare,,,698
mgm resorts international,,united states,,,,,,20220000000.0,,,consumer discretionary,,,699
mettler-toledo international inc,,united states,,,,,,31780000000.0,,,healthcare,,,700
philip morris international inc,,united states,,,,,,154710000000.0,,,consumer staples,,,701
roblox corp,,united states,,,,,,26050000000.0,,,communication services,,,702
mastercard incorporated,,united states,,,,,,358600000000.0,,,financials,,,703
lg electronics inc,,south korea,,,,,,18910000000.0,,,technology,,,704
albemarle corporation,,united states,,,,,,25250000000.0,,,basic materials,,,705
eli lilly and company,,united states,,,,,,273010000000.0,,,healthcare,,,706
starbucks corporation,,united states,,,,,,108190000000.0,,,consumer discretionary,,,707
microsoft corporation,,united states,,,,,,2328000000000.0,,,technology,,,708
samsung biologics coltd,,south korea,,,,,,44010000000.0,,,healthcare,,,709
keycorp,,united states,,,,,,21710000000.0,,,financials,,,710
unitedhealth group incorporated,,united states,,,,,,488520000000.0,,,healthcare,,,711
ansys inc,,united states,,,,,,26980000000.0,,,technology,,,712
block inc,,united states,,,,,,59950000000.0,,,technology,,,713
oneok inc,,united states,,,,,,31660000000.0,,,energy,,,714
tesla inc,,united states,,,,,,1016000000000.0,,,consumer discretionary,,,715
amgen inc,,united states,,,,,,141720000000.0,,,healthcare,,,716
adobe inc,,united states,,,,,,199570000000.0,,,technology,,,717
apple inc,,united states,,,,,,2825000000000.0,,,technology,,,718
sirius xm holdings inc,,united states,,,,,,28050000000.0,,,communication services,,,719
coinbase global inc,,united states,,,,,,35860000000.0,,,technology,,,720
live nation entertainment inc,,united states,,,,,,24610000000.0,,,communication services,,,721
equinix inc reit,,united states,,,,,,66349999999.0,,,real estate,,,722
amazoncom inc,,united states,,,,,,1642000000000.0,,,consumer discretionary,,,723
tradeweb markets inc,,united states,,,,,,19980000000.0,,,financials,,,724
m&t bank corporation,,united states,,,,,,21740000000.0,,,financials,,,725
amphenol corporation,,united states,,,,,,45770000000.0,,,technology,,,726
mckesson corporation,,united states,,,,,,48460000000.0,,,healthcare,,,727
omnicom group inc,,united states,,,,,,18800000000.0,,,communication services,,,728
qualcomm incorporated,,united states,,,,,,172250000000.0,,,technology,,,729
mcdonald's corporation,,united states,,,,,,186570000000.0,,,consumer discretionary,,,730
crown castle international corp reit,,united states,,,,,,80920000000.0,,,real estate,,,731
capital one financial corporation,,united states,,,,,,59670000000.0,,,financials,,,732
mplx lp,,united states,,,,,,35270000000.0,,,energy,,,733
cenergy corporation,,united states,,,,,,20730000000.0,,,utilities,,,734
fortive corporation,,united states,,,,,,20880000000.0,,,technology,,,735
entergy corporation,,united states,,,,,,23920000000.0,,,utilities,,,736
emerson electric co,,united states,,,,,,59660000000.0,,,industrials,,,737
danaher corporation,,united states,,,,,,208030000000.0,,,healthcare,,,738
comcast corporation,,united states,,,,,,218900000000.0,,,communication services,,,739
centene corporation,,united states,,,,,,49320000000.0,,,healthcare,,,740
newmont corporation,,united states,,,,,,65890000000.0,,,basic materials,,,741
chevron corporation,,united states,,,,,,315130000000.0,,,energy,,,742
honeywell international inc,,united states,,,,,,136479999999.0,,,industrials,,,743
transdigm group incorporated,,united states,,,,,,36140000000.0,,,industrials,,,744
billcom holdings inc,,united states,,,,,,19650000000.0,,,technology,,,745
corning incorporated,,united states,,,,,,31600000000.0,,,technology,,,746
bp plc,,united kingdom,,,,,,96240000000.0,,,energy,,,747
the hartford financial services group inc,,united states,,,,,,25760000000.0,,,financials,,,748
okta inc,,united states,,,,,,22450000000.0,,,technology,,,749
nike inc,,united states,,,,,,213600000000.0,,,consumer discretionary,,,750
ebay inc,,united states,,,,,,39340000000.0,,,consumer discretionary,,,751
msci inc,,united states,,,,,,39970000000.0,,,financials,,,752
snap inc,,united states,,,,,,53860000000.0,,,communication services,,,753
at&t inc,,united states,,,,,,175880000000.0,,,communication services,,,754
visa inc,,united states,,,,,,486770000000.0,,,financials,,,755
principal financial group inc,,united states,,,,,,20130000000.0,,,financials,,,756
fleetcor technologies inc,,united states,,,,,,20920000000.0,,,technology,,,757
zoominfo technologies inc,,united states,,,,,,21230000000.0,,,technology,,,758
palantir technologies inc,,united states,,,,,,24910000000.0,,,technology,,,759
keysight technologies inc,,united states,,,,,,29400000000.0,,,technology,,,760
carnival corporation & plc,,united states,,,,,,23290000000.0,,,consumer discretionary,,,761
mondelez international inc,,united states,,,,,,90670000000.0,,,consumer staples,,,762
markel corporation,,united states,,,,,,20300000000.0,,,financials,,,763
ameren corporation,,united states,,,,,,24790000000.0,,,utilities,,,764
lennar corporation,,united states,,,,,,25340000000.0,,,consumer discretionary,,,765
nvidia corporation,,united states,,,,,,660380000000.0,,,technology,,,766
moody's corporation,,united states,,,,,,62580000000.0,,,financials,,,767
oracle corporation,,united states,,,,,,228180000000.0,,,technology,,,768
cintas corporation,,united states,,,,,,44320000000.0,,,industrials,,,769
target corporation,,united states,,,,,,106890000000.0,,,consumer staples,,,770
sk hynix inc,,south korea,,,,,,,,,technology,,,771
merck & co inc,,united states,,,,,,210380000000.0,,,healthcare,,,772
cisco systeinc,,united states,,,,,,238450000000.0,,,technology,,,773
paycom software inc,,united states,,,,,,19870000000.0,,,technology,,,774
paypal holdings inc,,united states,,,,,,133919999999.0,,,financials,,,775
coca-cola europacific partners plc,,united kingdom,,,,,,22530000000.0,,,consumer staples,,,776
the people's insurance company group of china ltd,,china,,,,,,27930000000.0,,,financials,,,777
verizon communications inc,,united states,,,,,,216680000000.0,,,communication services,,,778
carrier global corporation,,united states,,,,,,40790000000.0,,,industrials,,,779
coupang inc,,south korea,,,,,,30530000000.0,,,consumer discretionary,,,780
heico corporation,,united states,,,,,,18490000000.0,,,industrials,,,781
dover corporation,,united states,,,,,,22940000000.0,,,industrials,,,782
sysco corporation,,united states,,,,,,42220000000.0,,,consumer staples,,,783
fedex corporation,,united states,,,,,,63250000000.0,,,industrials,,,784
intel corporation,,united states,,,,,,201720000000.0,,,technology,,,785
nucor corporation,,united states,,,,,,46860000000.0,,,basic materials,,,786
cigna corporation,,united states,,,,,,84670000000.0,,,healthcare,,,787
teledyne technologies incorporated,,united states,,,,,,21650000000.0,,,technology,,,788
akamai technologies inc,,united states,,,,,,19590000000.0,,,technology,,,789
al rajhi banking and investment corp,,saudi arabia,,,,,,106370000000.0,,,financials,,,790
aflac incorporated,,united states,,,,,,43590000000.0,,,financials,,,791
iqvia holdings inc,,united states,,,,,,44320000000.0,,,healthcare,,,792
baxter international inc,,united states,,,,,,40130000000.0,,,healthcare,,,793
dow inc,,united states,,,,,,48500000000.0,,,basic materials,,,794
costco wholesale corporation,,united states,,,,,,258149999999.0,,,consumer staples,,,795
advanced info service pcl,,thailand,,,,,,20650000000.0,,,communication services,,,796
hess corporation,,united states,,,,,,32810000000.0,,,energy,,,797
ford motor company,,united states,,,,,,65739999999.0,,,consumer discretionary,,,798
uber technologies inc,,united states,,,,,,62660000000.0,,,technology,,,799
dell technologies inc,,united states,,,,,,38160000000.0,,,technology,,,800
kla corporation,,united states,,,,,,56480000000.0,,,technology,,,801
ppl corporation,,united states,,,,,,22870000000.0,,,utilities,,,802
zoom video communications inc,,united states,,,,,,33220000000.0,,,communication services,,,803
hp inc,,united states,,,,,,43900000000.0,,,technology,,,804
fifth third bancorp,,united states,,,,,,30460000000.0,,,financials,,,805
3m company,,united states,,,,,,88770000000.0,,,industrials,,,806
samsung electronics co ltd,,south korea,,,,,,378350000000.0,,,technology,,,807
sabic agri-nutrients company,,saudi arabia,,,,,,22780000000.0,,,basic materials,,,808
china national nuclear power co ltd,,china,,,,,,22420000000.0,,,utilities,,,
link real estate investment trust,,hong kong,,,,,,18270000000.0,,,real estate,,,810
monolithic power systeinc,,united states,,,,,,21870000000.0,,,technology,,,811
cadence design systeinc,,united states,,,,,,44230000000.0,,,technology,,,812
ingersoll rand inc,,united states,,,,,,21130000000.0,,,industrials,,,813
china railway group ltd,,hong kong,,,,,,20150000000.0,,,industrials,,,814
canadian imperial bank of commerce,,canada,,,,,,57200000000.0,,,financials,,,815
murata manufacturing co ltd,,japan,,,,,,43410000000.0,,,technology,,,816
china mobile ltd,,hong kong,,,,,,139300000000.0,,,communication services,,,817
merck kommanditgesellschaft auf aktien,,germany,,,,,,90740000000.0,,,healthcare,,,818
taiwan semiconductor manufacturing company limited,,taiwan,,,,,,527890000000.0,,,technology,,,
energy transfer lp,,united states,,,,,,30690000000.0,,,energy,,,820
china telecom corp ltd,,hong kong,,,,,,31490000000.0,,,communication services,,,821
budweiser brewing company apac ltd,,hong kong,,,,,,34730000000.0,,,consumer staples,,,822
kellogg company,,united states,,,,,,22630000000.0,,,consumer staples,,,823
continental resources inc,,united states,,,,,,22250000000.0,,,energy,,,824
daimler ag,,germany,,,,,,,,,consumer discretionary,,,825
meta platforinc,,united states,,,,,,617500000000.0,,,communication services,,,826
cnooc limited,,hong kong,,,,,,60190000000.0,,,energy,,,827
norsk hyasa,,,,,,,,20100000000.0,,,,,,
petroleo brasileiro sa - petrobras,,brazil,,,,,,98370000000.0,,,energy,,,
united overseas bank ltd,,singapore,,,,,,39730000000.0,,,financials,,,
booking holdings inc,,united states,,,,,,95020000000.0,,,consumer discretionary,,,831
singapore telecommunications ltd,,singapore,,,,,,32229999999.0,,,communication services,,,
international business machines corporation,,united states,,,,,,119200000000.0,,,technology,,,
shenzhen mindray bio-medical electronics co ltd,,china,,,,,,59260000000.0,,,healthcare,,,
nippon telegraph & telephone corp,,japan,,,,,,103750000000.0,,,communication services,,,
beijing wantai biological pharmacy enterprise co ltd,,china,,,,,,26800000000.0,,,healthcare,,,
grupo financiero banorte sab de cv,,mexico,,,,,,22600000000.0,,,financials,,,
veeva systeinc,,united states,,,,,,30760000000.0,,,healthcare,,,838
cez as,,,,,,,,,,,,,,839
maxim integrated products inc,,united states,,,,,,,,,technology,,,
bae systeplc,,united kingdom,,,,,,30510000000.0,,,industrials,,,841
general accident plc,,united kingdom,,,,,,51430000000.0,,,financials,,,
compagnie generale des etablissements michelin sca,,france,,,,,,23650000000.0,,,consumer discretionary,,,
chongqing zhifei biological products co ltd,,china,,,,,,34130000000.0,,,healthcare,,,
eqt ab,,japan,,,,,,39710000000.0,,,financials,,,
the bank of new york mellon corporation,,united states,,,,,,40830000000.0,,,financials,,,
edp - energias de portugal sa,,,,,,,,19430000000.0,,,,,,
pacificorp,,united states,,,,,,62870000000.0,,,utilities,,,
saudi arabian mining company,,saudi arabia,,,,,,45000000000.0,,,basic materials,,,
banco santander sa,,spain,,,,,,61670000000.0,,,financials,,,
itochu corp,,japan,,,,,,52190000000.0,,,industrials,,,851
brown-forman corporation,,united states,,,,,,32070000000.0,,,consumer staples,,,852
electricite de france sa,,france,,,,,,29170000000.0,,,utilities,,,853
jb hunt transport services inc,,united states,,,,,,21480000000.0,,,industrials,,,854
advanced micro devices inc,,united states,,,,,,128289999999.0,,,technology,,,
china vanke co ltd,,china,,,,,,33350000000.0,,,real estate,,,
woodside petroleum ltd,,australia,,,,,,24600000000.0,,,energy,,,
shanghai international port,,china,,,,,,22650000000.0,,,industrials,,,858
china mengniu dairy co ltd,,hong kong,,,,,,21170000000.0,,,consumer staples,,,
investment ab latour,,sweden,,,,,,20390000000.0,,,financials,,,
alphabet inc,,united states,,,,,,1825000000000.0,,,communication services,,,
schindler holding ag,,switzerland,,,,,,24020000000.0,,,industrials,,,862
china merchants bank co ltd,,china,,,,,,185980000000.0,,,financials,,,
mtr corp ltd,,hong kong,,,,,,33659999999.0,,,industrials,,,864
ww grainger inc,,united states,,,,,,27330000000.0,,,industrials,,,865
the pnc financial services group inc,,united states,,,,,,77100000000.0,,,financials,,,
china international capital corp ltd,,china,,,,,,23130000000.0,,,financials,,,
bank of nova scotia,,canada,,,,,,87760000000.0,,,financials,,,
weg sa,,brazil,,,,,,32049999999.0,,,industrials,,,
the boeing company,,united states,,,,,,110460000000.0,,,industrials,,,
saudi arabian oil company,,saudi arabia,,,,,,2297000000000.0,,,energy,,,
archer-daniels-midland company,,united states,,,,,,51030000000.0,,,consumer staples,,,872
telefonaktiebolaget lm ericsson,,sweden,,,,,,33290000000.0,,,technology,,,
marvell technology inc,,united states,,,,,,57620000000.0,,,technology,,,
liberty bancshares inc oh,,united states,,,,,,,,,financials,,,
citic ltd,,hong kong,,,,,,32330000000.0,,,industrials,,,876
dr horton inc,,united states,,,,,,27340000000.0,,,consumer discretionary,,,877
china petroleum & chemical corporation,,china,,,,,,78390000000.0,,,energy,,,
industria de diseno textil sa,,spain,,,,,,,,,consumer discretionary,,,
the southern company,,united states,,,,,,78380000000.0,,,utilities,,,
public service enterprise group incorporated,,united states,,,,,,36280000000.0,,,utilities,,,
china northern rare earth,,china,,,,,,21210000000.0,,,basic materials,,,
the charles schwab corporation,,united states,,,,,,158060000000.0,,,financials,,,
huazhu group limited,,china,,,,,,23340000000.0,,,consumer discretionary,,,
the coca-cola company,,united states,,,,,,273200000000.0,,,consumer staples,,,
shanghai fosun pharmaceutical,,china,,,,,,19630000000.0,,,healthcare,,,
the cooper companies inc,,united states,,,,,,21350000000.0,,,healthcare,,,
the liberty siriusxm group,,united states,,,,,,18740000000.0,,,communication services,,,
power construction corp of china ltd,,china,,,,,,18690000000.0,,,industrials,,,
the kraft heinz company,,united states,,,,,,49420000000.0,,,consumer staples,,,
the blackstone group inc,,united states,,,,,,87640000000.0,,,financials,,,
restaurant brands international limited partnership,,canada,,,,,,,,,consumer discretionary,,,
the estee lauder companies inc,,united states,,,,,,100160000000.0,,,consumer staples,,,
the kroger co,,united states,,,,,,42030000000.0,,,consumer staples,,,
shenzhou international group holdings ltd,,hong kong,,,,,,19500000000.0,,,consumer discretionary,,,
oversea-chinese banking corp ltd,,singapore,,,,,,40770000000.0,,,financials,,,
clp holdings ltd,,hong kong,,,,,,25290000000.0,,,utilities,,,
will semiconductor co ltd,,china,,,,,,27240000000.0,,,technology,,,
the hong kong and china gas company ltd,,hong kong,,,,,,22540000000.0,,,utilities,,,
industrial & commercial bank of china ltd,,china,,,,,,250370000000.0,,,financials,,,
mitsui & co ltd,,japan,,,,,,45090000000.0,,,energy,,,
the williacompanies inc,,united states,,,,,,41600000000.0,,,energy,,,
novatek pjsc,,russia,,,,,,50190000000.0,,,energy,,,
steris corp,,united states,,,,,,,,,healthcare,,,
scottish mortgage investment trust plc,,united kingdom,,,,,,18780000000.0,,,financials,,,
open joint stock company omz,,russia,,,,,,47150000000.0,,,industrials,,,
the goldman sachs group inc,,united states,,,,,,112710000000.0,,,financials,,,
boc hong kong holdings ltd,,hong kong,,,,,,39990000000.0,,,financials,,,
sands china ltd,,,,,,,,18520000000.0,,,,,,
china citic bank corp ltd,,china,,,,,,34840000000.0,,,financials,,,
zhejiang huayou cobalt co ltd,,china,,,,,,19200000000.0,,,basic materials,,,
kansas city southern,,united states,,,,,,,,,industrials,,,
the tjx companies inc,,united states,,,,,,73990000000.0,,,consumer discretionary,,,
mega financial holding co ltd,,taiwan,,,,,,20210000000.0,,,financials,,,
the walt disney company,,united states,,,,,,247880000000.0,,,communication services,,,
the procter & gamble company,,united states,,,,,,384600000000.0,,,consumer staples,,,
huntington bancshares incorporated,,united states,,,,,,21930000000.0,,,financials,,,
saudi basic industries corp,,saudi arabia,,,,,,104000000000.0,,,basic materials,,,
ihs markit ltd,,united kingdom,,,,,,,,,industrials,,,
the progressive corporation,,united states,,,,,,67310000000.0,,,financials,,,
the allstate corporation,,united states,,,,,,41540000000.0,,,financials,,,
pg&e corporation,,united states,,,,,,26660000000.0,,,utilities,,,
seven & i holdings co ltd,,japan,,,,,,42530000000.0,,,consumer staples,,,
sea limited,,singapore,,,,,,62660000000.0,,,communication services,,,
china resources land ltd,,hong kong,,,,,,33259999999.0,,,real estate,,,
the sherwin-williacompany,,united states,,,,,,67540000000.0,,,basic materials,,,
the home depot inc,,united states,,,,,,321470000000.0,,,consumer discretionary,,,
kerry group plc,,ireland,,,,,,19740000000.0,,,consumer staples,,,
bayerische motoren werke ag,,germany,,,,,,56170000000.0,,,consumer discretionary,,,
contemporary amperex technology co ltd,,china,,,,,,185670000000.0,,,industrials,,,
laboratory corporation of america holdings,,united states,,,,,,25750000000.0,,,healthcare,,,
inner mongolia yili industrial group co ltd,,china,,,,,,36610000000.0,,,consumer staples,,,
cgn power co ltd,,china,,,,,,19250000000.0,,,utilities,,,
eve energy co ltd,,china,,,,,,23820000000.0,,,industrials,,,
vulcan international corp,,united states,,,,,,90340000000.0,,,basic materials,,,
rosneft oil co pjsc,,russia,,,,,,48500000000.0,,,energy,,,
vanjia corp,,united states,,,,,,,,,consumer discretionary,,,
pjsc lukoil,,russia,,,,,,44960000000.0,,,energy,,,
wal-mart de mexico sab de cv,,mexico,,,,,,71960000000.0,,,consumer staples,,,
pt bank central asia tbk,,indonesia,,,,,,71910000000.0,,,financials,,,
sberbank of russia pjsc,,russia,,,,,,68690000000.0,,,financials,,,
ap moller - maersk a-s,,denmark,,,,,,64400000000.0,,,industrials,,,
ergo science corp,,united states,,,,,,,,,industrials,,,
xilinx inc,,united states,,,,,,,,,technology,,,
agribank fcb,,united states,,,,,,,,,financials,,,
hon hai precision industry co ltd,,taiwan,,,,,,50750000000.0,,,technology,,,
yihai kerry arawana holdings co ltd,,china,,,,,,42840000000.0,,,consumer staples,,,
mmc norilsk nickel pjsc,,russia,,,,,,41160000000.0,,,basic materials,,,
ab volvo,,sweden,,,,,,38130000000.0,,,industrials,,,
sartorius stedim biotech sa,,france,,,,,,37550000000.0,,,healthcare,,,
pt bank rakyat indonesia persero tbk,,indonesia,,,,,,,,,financials,,,
beijing-shanghai high-speed railway coltd,,china,,,,,,36900000000.0,,,industrials,,,
munchener ruckversicherungs-gesellschaft aktiengesellschaft in munchen,,germany,,,,,,36890000000.0,,,financials,,,
shanxi xinghuacun fen wine factory coltd,,china,,,,,,35840000000.0,,,consumer staples,,,
assicurazioni generali,,italy,,,,,,35200000000.0,,,financials,,,
sydney airport limited,,australia,,,,,,,,,industrials,,,
kuehne nagel international ag,,switzerland,,,,,,33689999999.0,,,industrials,,,
poly developments and holdings group co ltd,,china,,,,,,33640000000.0,,,real estate,,,
koninklijke ahold delhaize nv,,netherlands,,,,,,33430000000.0,,,consumer staples,,,
perusahaan perseroan persero pt telekomunikasi indonesia tbk,,indonesia,,,,,,31780000000.0,,,communication services,,,
crh plc,,ireland,,,,,,31450000000.0,,,basic materials,,,
zhangzhou pientzehuang pharmaceutical ltd,,china,,,,,,31170000000.0,,,healthcare,,,
twitter inc,,united states,,,,,,30830000000.0,,,communication services,,,
tongwei co ltd,,china,,,,,,29100000000.0,,,consumer staples,,,
apa group,,australia,,,,,,28550000000.0,,,utilities,,,
cerner corporation,,united states,,,,,,28310000000.0,,,healthcare,,,
semiconductor manufacturing international corp,,china,,,,,,28240000000.0,,,technology,,,
koninklijke philips nv,,netherlands,,,,,,27890000000.0,,,healthcare,,,
nari technology co ltd,,china,,,,,,27330000000.0,,,industrials,,,
gazprom neft pjsc,,russia,,,,,,27140000000.0,,,energy,,,
chocoladefabriken lindt & sprungli ag,,switzerland,,,,,,27080000000.0,,,consumer staples,,,
shaanxi coal industry company ltd,,china,,,,,,26950000000.0,,,energy,,,
lyondellbasell advanced polymers inc,,united states,,,,,,26380000000.0,,,basic materials,,,
yanzhou coal mining company ltd,,china,,,,,,25260000000.0,,,energy,,,
slack technologies inc,,united states,,,,,,,,,technology,,,
public joint stock company polyus,,russia,,,,,,,,,basic materials,,,
csc financial co ltd,,china,,,,,,23940000000.0,,,financials,,,
baoshan iron & steel co ltd,,china,,,,,,23590000000.0,,,basic materials,,,
sungrow power supply co ltd,,china,,,,,,23550000000.0,,,industrials,,,
pt bank mandiri persero tbk,,indonesia,,,,,,,,,financials,,,
wens foodstuff group co ltd,,china,,,,,,23200000000.0,,,consumer staples,,,
hengli petrochemical coltd,,china,,,,,,22860000000.0,,,consumer discretionary,,,
heineken holding nv,,netherlands,,,,,,22780000000.0,,,consumer staples,,,
picc property and casualty company ltd,,china,,,,,,22620000000.0,,,financials,,,
hennes & mauritz ab,,sweden,,,,,,22330000000.0,,,consumer discretionary,,,
duke realty corporation,,united states,,,,,,21930000000.0,,,real estate,,,
contura energy inc,,united states,,,,,,21570000000.0,,,energy,,,
viacomcbs inc,,united states,,,,,,,,,communication services,,,
li ning co ltd,,china,,,,,,20750000000.0,,,consumer discretionary,,,
sojitz corp,,japan,,,,,,20550000000.0,,,industrials,,,
klabin sa,,brazil,,,,,,,,,basic materials,,,
aecc aviation power coltd,,china,,,,,,18790000000.0,,,industrials,,,
gf securities co ltd,,china,,,,,,18440000000.0,,,financials,,,
take-two interactive software inc,,united states,,,,,,18350000000.0,,,communication services,,,
haitong securities co ltd,,china,,,,,,18230000000.0,,,financials,,,
